"Status","Year","Responsibility_level","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Disclosure Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Disclosure Scotland","Unknown","60","60","21970","22230"
"In post","2021","AA/AO","Disclosure Scotland","White","110","110","21950","22230"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Asian","30","30","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Undeclared","120","110","20820","21590"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","Unknown","530","470","20640","21590"
"In post","2021","AA/AO","Driver and Vehicle Licensing Agency","White","3370","2820","20630","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Undeclared","190","180","25260","26580"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","Unknown","200","200","24300","21590"
"In post","2021","AA/AO","Driver and Vehicle Standards Agency","White","690","630","24350","21590"
"In post","2021","AA/AO","Education and Skills Funding Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education and Skills Funding Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Education Scotland","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","ESTYN","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","FCDO Services","White","110","110","24520","23280"
"In post","2021","AA/AO","Food Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Food Standards Scotland","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Asian","40","40","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Black","40","40","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","50","50","[c]","[c]"
"In post","2021","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","White","260","250","25670","24750"
"In post","2021","AA/AO","Forestry and Land Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","Forestry and Land Scotland","White","420","400","24970","25140"
"In post","2021","AA/AO","Government Actuary's Department","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Actuary's Department","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Internal Audit Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Legal Department","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Government Property Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Health and Safety Executive","Unknown","50","40","22420","22160"
