"Status","Year","Sexual_orientation","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Asian","HM Courts and Tribunals Service","1270","1150","24820","22570"
"In post","2021","Heterosexual / straight","Asian","HM Land Registry","150","140","31390","27130"
"In post","2021","Heterosexual / straight","Asian","HM Prison and Probation Service","1340","1260","30920","30010"
"In post","2021","Heterosexual / straight","Asian","HM Revenue and Customs (excl. agencies)","3110","2940","31420","29570"
"In post","2021","Heterosexual / straight","Asian","HM Treasury (excl. agencies)","170","170","43730","38720"
"In post","2021","Heterosexual / straight","Asian","Home Office (incl. agencies)","4070","3780","31470","28810"
"In post","2021","Heterosexual / straight","Asian","Insolvency Service","90","90","29090","25060"
"In post","2021","Heterosexual / straight","Asian","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Legal Aid Agency","60","50","26670","22570"
"In post","2021","Heterosexual / straight","Asian","Maritime and Coastguard Agency","60","50","48780","52620"
"In post","2021","Heterosexual / straight","Asian","Medicines and Healthcare Products Regulatory Agency","180","180","39760","33090"
"In post","2021","Heterosexual / straight","Asian","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Ministry of Defence (excl. agencies)","800","770","34090","31200"
"In post","2021","Heterosexual / straight","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","190","180","40610","35890"
"In post","2021","Heterosexual / straight","Asian","Ministry of Justice (excl. agencies)","420","410","38620","33930"
"In post","2021","Heterosexual / straight","Asian","National Crime Agency","220","220","36420","36200"
"In post","2021","Heterosexual / straight","Asian","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Office for Standards in Education, Children's Services and Skills","90","90","40250","35010"
"In post","2021","Heterosexual / straight","Asian","Office of Gas and Electricity Markets","50","50","42120","38850"
"In post","2021","Heterosexual / straight","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Office of the Public Guardian","390","360","21210","19930"
"In post","2021","Heterosexual / straight","Asian","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Public Health England","560","520","40700","32330"
"In post","2021","Heterosexual / straight","Asian","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Scottish Government (excl. agencies)","60","60","39780","38540"
"In post","2021","Heterosexual / straight","Asian","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Serious Fraud Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","The National Archives","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","UK Export Finance","60","60","48980","41130"
"In post","2021","Heterosexual / straight","Asian","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","United Kingdom Statistics Authority","110","100","30650","29540"
"In post","2021","Heterosexual / straight","Asian","Valuation Office Agency","140","130","33600","30850"
"In post","2021","Heterosexual / straight","Asian","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Welsh Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Asian","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Cabinet Office (excl. agencies)","230","230","42050","35590"
"In post","2021","Heterosexual / straight","Black","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Crown Prosecution Service","290","280","40220","32720"
"In post","2021","Heterosexual / straight","Black","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Defence Equipment and Support","210","210","32500","32210"
"In post","2021","Heterosexual / straight","Black","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","250","250","40930","36810"
"In post","2021","Heterosexual / straight","Black","Department for Digital, Culture, Media and Sport","80","80","40260","34020"
"In post","2021","Heterosexual / straight","Black","Department for Education (excl. agencies)","190","190","40110","36780"
"In post","2021","Heterosexual / straight","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","160","160","36410","33010"
"In post","2021","Heterosexual / straight","Black","Department for International Trade","110","110","38500","36860"
"In post","2021","Heterosexual / straight","Black","Department for Transport (excl. agencies)","150","150","40190","37660"
"In post","2021","Heterosexual / straight","Black","Department for Work and Pensions (excl. agencies)","2950","2820","29200","29840"
"In post","2021","Heterosexual / straight","Black","Department of Health and Social Care (excl. agencies)","90","80","37300","32790"
"In post","2021","Heterosexual / straight","Black","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Foreign, Commonwealth and Development Office (excl. agencies)","210","210","38510","34770"
"In post","2021","Heterosexual / straight","Black","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Government Legal Department","130","130","40560","31630"
"In post","2021","Heterosexual / straight","Black","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","HM Courts and Tribunals Service","800","760","25390","23270"
"In post","2021","Heterosexual / straight","Black","HM Land Registry","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","HM Prison and Probation Service","1820","1780","31480","30320"
"In post","2021","Heterosexual / straight","Black","HM Revenue and Customs (excl. agencies)","1110","1080","32110","30430"
"In post","2021","Heterosexual / straight","Black","HM Treasury (excl. agencies)","60","60","37830","32320"
"In post","2021","Heterosexual / straight","Black","Home Office (incl. agencies)","1740","1640","32590","29080"
"In post","2021","Heterosexual / straight","Black","Insolvency Service","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Legal Aid Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Medicines and Healthcare Products Regulatory Agency","60","60","36790","32960"
"In post","2021","Heterosexual / straight","Black","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Ministry of Defence (excl. agencies)","460","450","32720","30200"
"In post","2021","Heterosexual / straight","Black","Ministry of Housing, Communities and Local Government (excl. agencies)","140","130","41420","38160"
"In post","2021","Heterosexual / straight","Black","Ministry of Justice (excl. agencies)","300","300","36060","32280"
"In post","2021","Heterosexual / straight","Black","National Crime Agency","80","80","36790","36320"
"In post","2021","Heterosexual / straight","Black","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Office for Standards in Education, Children's Services and Skills","50","50","44320","44610"
"In post","2021","Heterosexual / straight","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Office of the Public Guardian","80","80","21170","19930"
"In post","2021","Heterosexual / straight","Black","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Public Health England","400","370","38850","33100"
"In post","2021","Heterosexual / straight","Black","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","United Kingdom Statistics Authority","60","50","30170","29540"
"In post","2021","Heterosexual / straight","Black","Valuation Office Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Black","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Department for Work and Pensions (excl. agencies)","100","90","27310","27570"
"In post","2021","Heterosexual / straight","Chinese","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","HM Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","HM Prison and Probation Service","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","HM Revenue and Customs (excl. agencies)","110","110","33830","29570"
"In post","2021","Heterosexual / straight","Chinese","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Home Office (incl. agencies)","130","120","31470","28670"
"In post","2021","Heterosexual / straight","Chinese","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Ministry of Defence (excl. agencies)","60","60","33560","30750"
"In post","2021","Heterosexual / straight","Chinese","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Public Health England","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Chinese","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
