"Status","Year","Responsibility_level","Disability","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Unknown","50-59","3870","3680","29370","28410"
"In post","2021","EO","Unknown","60-64","930","750","28930","28130"
"In post","2021","EO","Unknown","65+","280","210","28540","28130"
"In post","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared disabled","20-29","260","260","54310","53380"
"In post","2021","G6/G7","Declared disabled","30-39","1050","1030","56460","54700"
"In post","2021","G6/G7","Declared disabled","40-49","1350","1300","58360","57080"
"In post","2021","G6/G7","Declared disabled","50-59","1600","1550","59620","57790"
"In post","2021","G6/G7","Declared disabled","60-64","300","250","60620","59160"
"In post","2021","G6/G7","Declared disabled","65+","70","50","63100","62260"
"In post","2021","G6/G7","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Declared non-disabled","20-29","2710","2700","54520","53420"
"In post","2021","G6/G7","Declared non-disabled","30-39","11170","10840","57140","55060"
"In post","2021","G6/G7","Declared non-disabled","40-49","13490","12950","59120","57680"
"In post","2021","G6/G7","Declared non-disabled","50-59","13050","12730","60370","59160"
"In post","2021","G6/G7","Declared non-disabled","60-64","2190","1930","61890","60510"
"In post","2021","G6/G7","Declared non-disabled","65+","590","460","63360","61000"
"In post","2021","G6/G7","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","20-29","210","210","54200","53600"
"In post","2021","G6/G7","Undeclared","30-39","840","820","56810","54760"
"In post","2021","G6/G7","Undeclared","40-49","890","860","58680","57230"
"In post","2021","G6/G7","Undeclared","50-59","1010","980","60090","58210"
"In post","2021","G6/G7","Undeclared","60-64","170","150","62670","61090"
"In post","2021","G6/G7","Undeclared","65+","40","30","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","20-29","1180","1170","54450","53380"
"In post","2021","G6/G7","Unknown","30-39","3480","3390","57210","54700"
"In post","2021","G6/G7","Unknown","40-49","3410","3280","59270","57040"
"In post","2021","G6/G7","Unknown","50-59","2770","2700","60880","59160"
"In post","2021","G6/G7","Unknown","60-64","450","400","61060","59120"
"In post","2021","G6/G7","Unknown","65+","160","120","64370","62590"
"In post","2021","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","30-39","60","60","80020","74890"
"In post","2021","SCS","Declared disabled","40-49","160","150","86030","79240"
"In post","2021","SCS","Declared disabled","50-59","170","170","93760","84710"
"In post","2021","SCS","Declared disabled","60-64","30","30","[c]","[c]"
"In post","2021","SCS","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared non-disabled","30-39","750","720","79380","75180"
"In post","2021","SCS","Declared non-disabled","40-49","2040","1970","87750","80670"
"In post","2021","SCS","Declared non-disabled","50-59","1850","1820","94410","86370"
"In post","2021","SCS","Declared non-disabled","60-64","310","290","102750","94190"
"In post","2021","SCS","Declared non-disabled","65+","60","50","102670","95890"
"In post","2021","SCS","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","30-39","50","50","80130","76420"
"In post","2021","SCS","Undeclared","40-49","100","100","86530","81080"
"In post","2021","SCS","Undeclared","50-59","100","100","93110","84500"
"In post","2021","SCS","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","30-39","300","300","77970","72960"
"In post","2021","SCS","Unknown","40-49","590","580","90470","80640"
"In post","2021","SCS","Unknown","50-59","500","490","102100","93890"
"In post","2021","SCS","Unknown","60-64","80","70","109500","104930"
"In post","2021","SCS","Unknown","65+","30","30","[c]","[c]"
"In post","2021","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Declared disabled","20-29","1330","1310","34240","33420"
"In post","2021","SEO/HEO","Declared disabled","30-39","2150","2090","35940","35110"
"In post","2021","SEO/HEO","Declared disabled","40-49","2860","2750","36510","35780"
"In post","2021","SEO/HEO","Declared disabled","50-59","4260","4080","37390","36460"
"In post","2021","SEO/HEO","Declared disabled","60-64","950","790","37680","36460"
"In post","2021","SEO/HEO","Declared disabled","65+","280","210","38160","36460"
"In post","2021","SEO/HEO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Declared non-disabled","20-29","12780","12710","34600","33620"
"In post","2021","SEO/HEO","Declared non-disabled","30-39","20580","19930","36250","35640"
"In post","2021","SEO/HEO","Declared non-disabled","40-49","21250","20380","37370","36780"
"In post","2021","SEO/HEO","Declared non-disabled","50-59","24950","24120","37810","36780"
"In post","2021","SEO/HEO","Declared non-disabled","60-64","5290","4470","38280","36760"
"In post","2021","SEO/HEO","Declared non-disabled","65+","1350","1050","38490","36950"
"In post","2021","SEO/HEO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","20-29","940","930","34560","34020"
"In post","2021","SEO/HEO","Undeclared","30-39","1580","1540","36530","36160"
"In post","2021","SEO/HEO","Undeclared","40-49","1920","1860","37720","37280"
"In post","2021","SEO/HEO","Undeclared","50-59","2690","2610","38470","37660"
"In post","2021","SEO/HEO","Undeclared","60-64","520","450","37990","37150"
"In post","2021","SEO/HEO","Undeclared","65+","140","110","38580","36650"
"In post","2021","SEO/HEO","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","20-29","6940","6910","33510","32540"
"In post","2021","SEO/HEO","Unknown","30-39","6030","5870","36170","35830"
"In post","2021","SEO/HEO","Unknown","40-49","4630","4460","37780","37480"
"In post","2021","SEO/HEO","Unknown","50-59","4390","4240","38630","38630"
"In post","2021","SEO/HEO","Unknown","60-64","970","820","39110","38630"
"In post","2021","SEO/HEO","Unknown","65+","270","200","39070","38630"
"In post","2021","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","20-29","250","250","25970","24020"
"In post","2021","Unknown","Declared disabled","30-39","480","460","29610","30210"
"In post","2021","Unknown","Declared disabled","40-49","620","580","32290","32690"
"In post","2021","Unknown","Declared disabled","50-59","750","710","33180","32690"
"In post","2021","Unknown","Declared disabled","60-64","290","250","31920","28860"
"In post","2021","Unknown","Declared disabled","65+","70","60","32150","32390"
"In post","2021","Unknown","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","20-29","1890","1860","26200","24020"
"In post","2021","Unknown","Declared non-disabled","30-39","2570","2390","31060","31420"
"In post","2021","Unknown","Declared non-disabled","40-49","2610","2410","34330","34340"
"In post","2021","Unknown","Declared non-disabled","50-59","2400","2270","34760","33700"
"In post","2021","Unknown","Declared non-disabled","60-64","750","660","32560","30210"
"In post","2021","Unknown","Declared non-disabled","65+","270","210","33110","31420"
"In post","2021","Unknown","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","20-29","80","80","26490","25500"
"In post","2021","Unknown","Undeclared","30-39","160","150","32040","31420"
"In post","2021","Unknown","Undeclared","40-49","190","180","34190","34220"
"In post","2021","Unknown","Undeclared","50-59","210","200","34330","34000"
"In post","2021","Unknown","Undeclared","60-64","50","40","[c]","[c]"
"In post","2021","Unknown","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","16-19","50","50","18270","16780"
"In post","2021","Unknown","Unknown","20-29","750","740","26630","24020"
"In post","2021","Unknown","Unknown","30-39","660","640","34230","32690"
"In post","2021","Unknown","Unknown","40-49","560","550","38320","34340"
"In post","2021","Unknown","Unknown","50-59","650","640","41430","36330"
"In post","2021","Unknown","Unknown","60-64","160","150","38900","37000"
"In post","2021","Unknown","Unknown","65+","40","30","[c]","[c]"
"In post","2022","AA/AO","Declared disabled","16-19","30","30","[c]","[c]"
"In post","2022","AA/AO","Declared disabled","20-29","1700","1640","22530","21260"
"In post","2022","AA/AO","Declared disabled","30-39","2150","1970","22740","21260"
"In post","2022","AA/AO","Declared disabled","40-49","3130","2740","22530","21260"
"In post","2022","AA/AO","Declared disabled","50-59","5580","4940","22440","21260"
"In post","2022","AA/AO","Declared disabled","60-64","2350","1880","22100","21260"
"In post","2022","AA/AO","Declared disabled","65+","790","600","21950","21260"
"In post","2022","AA/AO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Declared non-disabled","16-19","480","460","21440","21260"
"In post","2022","AA/AO","Declared non-disabled","20-29","15670","15270","22930","21300"
"In post","2022","AA/AO","Declared non-disabled","30-39","16350","14900","23310","21650"
"In post","2022","AA/AO","Declared non-disabled","40-49","16870","15040","22880","21300"
"In post","2022","AA/AO","Declared non-disabled","50-59","24610","22160","22770","21260"
"In post","2022","AA/AO","Declared non-disabled","60-64","9430","7700","22260","21260"
"In post","2022","AA/AO","Declared non-disabled","65+","3490","2710","22200","21260"
"In post","2022","AA/AO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","20-29","700","680","22990","21260"
"In post","2022","AA/AO","Undeclared","30-39","1280","1170","23800","21490"
"In post","2022","AA/AO","Undeclared","40-49","1790","1630","24760","21860"
"In post","2022","AA/AO","Undeclared","50-59","3390","3120","25350","22080"
"In post","2022","AA/AO","Undeclared","60-64","1210","960","24150","21860"
"In post","2022","AA/AO","Undeclared","65+","420","310","23280","21650"
"In post","2022","AA/AO","Unknown","16-19","370","350","21560","21250"
"In post","2022","AA/AO","Unknown","20-29","8500","8270","22800","21680"
"In post","2022","AA/AO","Unknown","30-39","5590","5230","23390","21680"
"In post","2022","AA/AO","Unknown","40-49","4040","3700","23190","21680"
"In post","2022","AA/AO","Unknown","50-59","4830","4350","22910","21830"
"In post","2022","AA/AO","Unknown","60-64","1790","1470","22340","21750"
"In post","2022","AA/AO","Unknown","65+","620","480","22550","21550"
"In post","2022","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared disabled","20-29","1730","1700","27440","27570"
"In post","2022","EO","Declared disabled","30-39","2280","2160","27730","27570"
"In post","2022","EO","Declared disabled","40-49","3610","3330","27930","27570"
"In post","2022","EO","Declared disabled","50-59","6170","5650","28140","27570"
"In post","2022","EO","Declared disabled","60-64","1910","1510","28250","27570"
"In post","2022","EO","Declared disabled","65+","560","420","28330","27570"
"In post","2022","EO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared non-disabled","16-19","160","160","24160","25000"
"In post","2022","EO","Declared non-disabled","20-29","14190","14040","27220","27500"
"In post","2022","EO","Declared non-disabled","30-39","17620","16670","27590","27570"
"In post","2022","EO","Declared non-disabled","40-49","19280","17890","27810","27570"
"In post","2022","EO","Declared non-disabled","50-59","25980","24150","28140","27570"
"In post","2022","EO","Declared non-disabled","60-64","7740","6200","28220","27570"
"In post","2022","EO","Declared non-disabled","65+","2260","1670","28410","27570"
"In post","2022","EO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","20-29","650","640","27550","27570"
"In post","2022","EO","Undeclared","30-39","1340","1270","28290","27570"
"In post","2022","EO","Undeclared","40-49","1570","1490","28590","27570"
"In post","2022","EO","Undeclared","50-59","2430","2300","28990","27570"
"In post","2022","EO","Undeclared","60-64","680","560","28740","27570"
"In post","2022","EO","Undeclared","65+","200","160","28650","27800"
"In post","2022","EO","Unknown","16-19","130","130","22860","24830"
"In post","2022","EO","Unknown","20-29","6590","6530","27620","27050"
"In post","2022","EO","Unknown","30-39","5420","5250","28420","27230"
"In post","2022","EO","Unknown","40-49","3460","3300","28510","27230"
"In post","2022","EO","Unknown","50-59","4060","3820","29910","28920"
"In post","2022","EO","Unknown","60-64","970","790","29890","28920"
"In post","2022","EO","Unknown","65+","280","210","29350","28920"
"In post","2022","G6/G7","Declared disabled","20-29","340","340","54340","53420"
"In post","2022","G6/G7","Declared disabled","30-39","1250","1220","56970","54850"
"In post","2022","G6/G7","Declared disabled","40-49","1550","1490","58710","57190"
"In post","2022","G6/G7","Declared disabled","50-59","1830","1780","59750","57450"
"In post","2022","G6/G7","Declared disabled","60-64","340","290","60890","59540"
"In post","2022","G6/G7","Declared disabled","65+","80","60","63020","61440"
"In post","2022","G6/G7","Declared non-disabled","20-29","3050","3040","54890","54110"
"In post","2022","G6/G7","Declared non-disabled","30-39","12320","11980","57230","55210"
"In post","2022","G6/G7","Declared non-disabled","40-49","15060","14460","59340","57540"
"In post","2022","G6/G7","Declared non-disabled","50-59","14140","13800","60580","58970"
"In post","2022","G6/G7","Declared non-disabled","60-64","2490","2200","61830","60290"
"In post","2022","G6/G7","Declared non-disabled","65+","650","500","63110","61440"
"In post","2022","G6/G7","Undeclared","20-29","190","180","54550","53380"
"In post","2022","G6/G7","Undeclared","30-39","770","760","57670","55210"
"In post","2022","G6/G7","Undeclared","40-49","850","830","59820","57540"
"In post","2022","G6/G7","Undeclared","50-59","950","930","61200","59260"
"In post","2022","G6/G7","Undeclared","60-64","180","150","62670","60720"
"In post","2022","G6/G7","Undeclared","65+","40","30","[c]","[c]"
"In post","2022","G6/G7","Unknown","20-29","1470","1460","55260","53600"
"In post","2022","G6/G7","Unknown","30-39","4290","4190","57890","55210"
"In post","2022","G6/G7","Unknown","40-49","3940","3790","60080","57740"
"In post","2022","G6/G7","Unknown","50-59","3050","2980","61890","60720"
"In post","2022","G6/G7","Unknown","60-64","490","450","62210","60790"
"In post","2022","G6/G7","Unknown","65+","160","130","63700","62170"
"In post","2022","SCS","Declared disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Declared disabled","30-39","70","70","80510","75060"
"In post","2022","SCS","Declared disabled","40-49","180","170","86080","78380"
"In post","2022","SCS","Declared disabled","50-59","210","200","92690","84250"
"In post","2022","SCS","Declared disabled","60-64","30","30","[c]","[c]"
"In post","2022","SCS","Declared disabled","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Declared non-disabled","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Declared non-disabled","30-39","740","710","79760","75460"
"In post","2022","SCS","Declared non-disabled","40-49","2110","2040","86900","79980"
"In post","2022","SCS","Declared non-disabled","50-59","1870","1840","93810","85030"
"In post","2022","SCS","Declared non-disabled","60-64","300","270","101480","93000"
"In post","2022","SCS","Declared non-disabled","65+","60","50","109110","102120"
"In post","2022","SCS","Undeclared","30-39","40","40","[c]","[c]"
"In post","2022","SCS","Undeclared","40-49","100","90","84520","80720"
"In post","2022","SCS","Undeclared","50-59","90","90","89170","82440"
"In post","2022","SCS","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","30-39","230","220","80950","75600"
"In post","2022","SCS","Unknown","40-49","580","560","92840","85550"
"In post","2022","SCS","Unknown","50-59","470","460","105050","98820"
"In post","2022","SCS","Unknown","60-64","80","80","115360","114000"
"In post","2022","SCS","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Declared disabled","20-29","1650","1640","34730","33570"
"In post","2022","SEO/HEO","Declared disabled","30-39","2540","2470","36430","35310"
"In post","2022","SEO/HEO","Declared disabled","40-49","3140","3030","36860","36050"
"In post","2022","SEO/HEO","Declared disabled","50-59","4530","4360","37750","36630"
"In post","2022","SEO/HEO","Declared disabled","60-64","1060","890","37940","36550"
"In post","2022","SEO/HEO","Declared disabled","65+","300","230","38460","36520"
"In post","2022","SEO/HEO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Declared non-disabled","20-29","14940","14870","34920","33570"
"In post","2022","SEO/HEO","Declared non-disabled","30-39","23230","22560","36730","36130"
"In post","2022","SEO/HEO","Declared non-disabled","40-49","22690","21810","37780","37290"
"In post","2022","SEO/HEO","Declared non-disabled","50-59","26020","25200","38180","37350"
"In post","2022","SEO/HEO","Declared non-disabled","60-64","5980","5120","38420","36970"
"In post","2022","SEO/HEO","Declared non-disabled","65+","1570","1250","38990","37600"
"In post","2022","SEO/HEO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Undeclared","20-29","810","810","35020","33980"
"In post","2022","SEO/HEO","Undeclared","30-39","1550","1520","36960","36410"
"In post","2022","SEO/HEO","Undeclared","40-49","1910","1860","38190","37540"
"In post","2022","SEO/HEO","Undeclared","50-59","2650","2580","38790","37930"
"In post","2022","SEO/HEO","Undeclared","60-64","620","530","38190","36780"
"In post","2022","SEO/HEO","Undeclared","65+","150","120","39270","37350"
"In post","2022","SEO/HEO","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","SEO/HEO","Unknown","20-29","8150","8120","34330","33250"
"In post","2022","SEO/HEO","Unknown","30-39","7170","6990","36870","36500"
"In post","2022","SEO/HEO","Unknown","40-49","5110","4940","38160","37930"
"In post","2022","SEO/HEO","Unknown","50-59","4480","4330","39240","39580"
"In post","2022","SEO/HEO","Unknown","60-64","1000","850","39770","40290"
"In post","2022","SEO/HEO","Unknown","65+","270","220","40200","40210"
"In post","2022","Unknown","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Declared disabled","20-29","370","370","26080","24270"
"In post","2022","Unknown","Declared disabled","30-39","630","590","29290","28220"
"In post","2022","Unknown","Declared disabled","40-49","870","820","32360","31420"
"In post","2022","Unknown","Declared disabled","50-59","1080","1040","32830","30330"
"In post","2022","Unknown","Declared disabled","60-64","430","380","31830","28690"
"In post","2022","Unknown","Declared disabled","65+","130","100","33330","30210"
"In post","2022","Unknown","Declared non-disabled","16-19","30","30","[c]","[c]"
"In post","2022","Unknown","Declared non-disabled","20-29","2520","2480","26070","24090"
"In post","2022","Unknown","Declared non-disabled","30-39","3140","2930","30820","30210"
"In post","2022","Unknown","Declared non-disabled","40-49","3270","3040","34430","34340"
"In post","2022","Unknown","Declared non-disabled","50-59","3030","2860","34170","31020"
"In post","2022","Unknown","Declared non-disabled","60-64","1000","870","32430","28200"
"In post","2022","Unknown","Declared non-disabled","65+","350","280","31580","28200"
"In post","2022","Unknown","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","20-29","100","100","26400","24800"
"In post","2022","Unknown","Undeclared","30-39","190","180","30920","30210"
"In post","2022","Unknown","Undeclared","40-49","230","220","35120","37170"
"In post","2022","Unknown","Undeclared","50-59","280","260","34000","31940"
"In post","2022","Unknown","Undeclared","60-64","80","70","34130","33160"
"In post","2022","Unknown","Undeclared","65+","30","20","[c]","[c]"
"In post","2022","Unknown","Unknown","16-19","50","50","[c]","[c]"
"In post","2022","Unknown","Unknown","20-29","1260","1230","25740","24090"
"In post","2022","Unknown","Unknown","30-39","1380","1290","30460","28200"
"In post","2022","Unknown","Unknown","40-49","1180","1090","34190","31420"
"In post","2022","Unknown","Unknown","50-59","1300","1220","35540","32690"
"In post","2022","Unknown","Unknown","60-64","400","350","33580","31780"
"In post","2022","Unknown","Unknown","65+","120","90","31660","28760"
"Leaver CS","2021","AA/AO","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared disabled","20-29","190","180","21010","21010"
"Leaver CS","2021","AA/AO","Declared disabled","30-39","110","100","21940","21010"
"Leaver CS","2021","AA/AO","Declared disabled","40-49","140","120","21000","21010"
"Leaver CS","2021","AA/AO","Declared disabled","50-59","320","270","21560","20920"
"Leaver CS","2021","AA/AO","Declared disabled","60-64","230","180","20840","21010"
"Leaver CS","2021","AA/AO","Declared disabled","65+","280","200","20800","21010"
"Leaver CS","2021","AA/AO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","16-19","50","40","[c]","[c]"
"Leaver CS","2021","AA/AO","Declared non-disabled","20-29","1580","1530","21340","21010"
"Leaver CS","2021","AA/AO","Declared non-disabled","30-39","890","810","21610","21010"
"Leaver CS","2021","AA/AO","Declared non-disabled","40-49","700","610","21200","21010"
"Leaver CS","2021","AA/AO","Declared non-disabled","50-59","1240","1060","21410","21010"
"Leaver CS","2021","AA/AO","Declared non-disabled","60-64","970","770","21510","21010"
"Leaver CS","2021","AA/AO","Declared non-disabled","65+","1100","800","20780","20720"
"Leaver CS","2021","AA/AO","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","20-29","90","80","21400","21010"
"Leaver CS","2021","AA/AO","Undeclared","30-39","110","90","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","40-49","100","90","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","50-59","230","200","22880","21070"
"Leaver CS","2021","AA/AO","Undeclared","60-64","150","110","21840","20780"
"Leaver CS","2021","AA/AO","Undeclared","65+","140","100","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","16-19","30","30","[c]","[c]"
"Leaver CS","2021","AA/AO","Unknown","20-29","1260","1210","20780","20830"
"Leaver CS","2021","AA/AO","Unknown","30-39","550","500","21460","21010"
"Leaver CS","2021","AA/AO","Unknown","40-49","420","380","21440","21010"
"Leaver CS","2021","AA/AO","Unknown","50-59","530","460","21620","21010"
"Leaver CS","2021","AA/AO","Unknown","60-64","270","230","21910","21010"
"Leaver CS","2021","AA/AO","Unknown","65+","250","190","21010","20680"
"Leaver CS","2021","EO","Declared disabled","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","20-29","60","50","[c]","[c]"
"Leaver CS","2021","EO","Declared disabled","30-39","70","60","27440","27570"
"Leaver CS","2021","EO","Declared disabled","40-49","80","70","27800","27570"
"Leaver CS","2021","EO","Declared disabled","50-59","250","220","27960","27570"
"Leaver CS","2021","EO","Declared disabled","60-64","180","150","28020","27570"
"Leaver CS","2021","EO","Declared disabled","65+","170","110","27600","27570"
"Leaver CS","2021","EO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Declared non-disabled","20-29","530","510","26090","26670"
"Leaver CS","2021","EO","Declared non-disabled","30-39","420","390","27060","27570"
"Leaver CS","2021","EO","Declared non-disabled","40-49","380","340","27680","27570"
