"Status","Year","Sexual_orientation","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Department for International Trade","30-39","420","410","49830","51970"
"In post","2021","Heterosexual / straight","Department for International Trade","40-49","290","280","53230","51970"
"In post","2021","Heterosexual / straight","Department for International Trade","50-59","270","270","50850","48220"
"In post","2021","Heterosexual / straight","Department for International Trade","60-64","50","50","50500","43840"
"In post","2021","Heterosexual / straight","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport","20-29","1360","1330","30510","27680"
"In post","2021","Heterosexual / straight","Department for Transport","30-39","2420","2260","33500","27250"
"In post","2021","Heterosexual / straight","Department for Transport","40-49","2470","2350","36570","31040"
"In post","2021","Heterosexual / straight","Department for Transport","50-59","2600","2470","35390","29750"
"In post","2021","Heterosexual / straight","Department for Transport","60-64","850","710","31640","26780"
"In post","2021","Heterosexual / straight","Department for Transport","65+","250","190","30810","26780"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","16-19","150","150","22620","21010"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","20-29","7450","7320","26680","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","30-39","9970","9220","27970","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","40-49","14350","13060","29040","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","50-59","21100","19220","29100","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","60-64","5930","4630","27450","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","65+","1590","1140","26660","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","20-29","1450","1400","30900","28590"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","30-39","1760","1650","42030","39510"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","40-49","1640","1510","48460","45760"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","50-59","1480","1390","51400","45750"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","60-64","340","290","53180","43960"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","65+","130","100","46100","36340"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","50-59","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","20-29","100","100","32970","32350"
"In post","2021","Heterosexual / straight","Food Standards Agency","30-39","200","200","38220","37910"
"In post","2021","Heterosexual / straight","Food Standards Agency","40-49","230","230","40870","37910"
"In post","2021","Heterosexual / straight","Food Standards Agency","50-59","250","250","38840","33330"
"In post","2021","Heterosexual / straight","Food Standards Agency","60-64","50","50","35920","29010"
"In post","2021","Heterosexual / straight","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","20-29","980","980","34030","33860"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","30-39","1500","1480","46060","44230"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","40-49","1610","1560","52400","54370"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","50-59","1490","1460","51500","47580"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","60-64","290","270","50700","47000"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","65+","100","80","47120","46630"
"In post","2021","Heterosexual / straight","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","HM Land Registry","20-29","550","540","25540","22350"
"In post","2021","Heterosexual / straight","HM Land Registry","30-39","470","440","30650","27130"
"In post","2021","Heterosexual / straight","HM Land Registry","40-49","740","690","34880","33840"
"In post","2021","Heterosexual / straight","HM Land Registry","50-59","1440","1300","33370","33840"
"In post","2021","Heterosexual / straight","HM Land Registry","60-64","270","190","33090","30600"
"In post","2021","Heterosexual / straight","HM Land Registry","65+","70","40","34320","31740"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","16-19","80","70","20780","20140"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","20-29","4720","4610","28140","25560"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","30-39","7960","7560","32450","31810"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","40-49","8440","7900","34170","31810"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","50-59","11590","10740","34710","31810"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","60-64","3130","2390","31480","28130"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","65+","780","560","31150","28130"
"In post","2021","Heterosexual / straight","HM Treasury","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","HM Treasury","20-29","770","760","38580","32960"
"In post","2021","Heterosexual / straight","HM Treasury","30-39","540","530","55850","56850"
"In post","2021","Heterosexual / straight","HM Treasury","40-49","290","280","56630","54270"
"In post","2021","Heterosexual / straight","HM Treasury","50-59","270","260","51600","49220"
"In post","2021","Heterosexual / straight","HM Treasury","60-64","50","40","47470","44530"
"In post","2021","Heterosexual / straight","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Home Office","16-19","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Home Office","20-29","3950","3840","27970","24890"
"In post","2021","Heterosexual / straight","Home Office","30-39","7120","6680","31800","26820"
"In post","2021","Heterosexual / straight","Home Office","40-49","7330","6860","33780","28850"
"In post","2021","Heterosexual / straight","Home Office","50-59","7390","6840","32790","28650"
"In post","2021","Heterosexual / straight","Home Office","60-64","1760","1420","30130","26120"
"In post","2021","Heterosexual / straight","Home Office","65+","600","450","27830","25630"
"In post","2021","Heterosexual / straight","Ministry of Defence","16-19","130","130","19290","19040"
"In post","2021","Heterosexual / straight","Ministry of Defence","20-29","5220","5180","28440","27540"
"In post","2021","Heterosexual / straight","Ministry of Defence","30-39","7580","7290","34780","33300"
"In post","2021","Heterosexual / straight","Ministry of Defence","40-49","8900","8600","36530","33300"
"In post","2021","Heterosexual / straight","Ministry of Defence","50-59","14520","14210","34440","32670"
"In post","2021","Heterosexual / straight","Ministry of Defence","60-64","4410","4090","32120","28260"
"In post","2021","Heterosexual / straight","Ministry of Defence","65+","1500","1330","30950","26670"
"In post","2021","Heterosexual / straight","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","20-29","510","500","36200","33210"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","30-39","670","650","46230","48200"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","40-49","640","600","49260","47930"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","50-59","560","540","48740","47660"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","60-64","120","110","50220","47660"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","65+","50","40","54450","58810"
"In post","2021","Heterosexual / straight","Ministry of Justice","16-19","80","80","22130","22230"
"In post","2021","Heterosexual / straight","Ministry of Justice","20-29","8990","8870","25990","24920"
"In post","2021","Heterosexual / straight","Ministry of Justice","30-39","13150","12380","29230","26850"
"In post","2021","Heterosexual / straight","Ministry of Justice","40-49","12440","11670","32050","29750"
"In post","2021","Heterosexual / straight","Ministry of Justice","50-59","15050","14230","31470","28200"
"In post","2021","Heterosexual / straight","Ministry of Justice","60-64","4180","3510","28410","24550"
"In post","2021","Heterosexual / straight","Ministry of Justice","65+","1280","980","26300","22450"
"In post","2021","Heterosexual / straight","National Crime Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Crime Agency","20-29","710","700","31850","32260"
"In post","2021","Heterosexual / straight","National Crime Agency","30-39","990","970","37970","36740"
"In post","2021","Heterosexual / straight","National Crime Agency","40-49","1020","990","42640","40210"
"In post","2021","Heterosexual / straight","National Crime Agency","50-59","1130","1110","44360","41350"
"In post","2021","Heterosexual / straight","National Crime Agency","60-64","220","200","41900","40060"
"In post","2021","Heterosexual / straight","National Crime Agency","65+","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Standards in Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Standards in Education","20-29","120","120","28710","25880"
"In post","2021","Heterosexual / straight","Office for Standards in Education","30-39","310","300","42290","39460"
"In post","2021","Heterosexual / straight","Office for Standards in Education","40-49","410","400","52940","51360"
"In post","2021","Heterosexual / straight","Office for Standards in Education","50-59","460","450","57710","51360"
"In post","2021","Heterosexual / straight","Office for Standards in Education","60-64","100","90","55510","51360"
"In post","2021","Heterosexual / straight","Office for Standards in Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","20-29","160","160","29920","26430"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","30-39","160","160","45070","40000"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","40-49","80","80","55720","53490"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","50-59","60","60","54060","52500"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","30-39","60","60","41720","38000"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","40-49","50","50","47580","45660"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","50-59","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","30-39","60","50","50060","51060"
"In post","2021","Heterosexual / straight","Office of Rail and Road","40-49","50","50","51730","51310"
"In post","2021","Heterosexual / straight","Office of Rail and Road","50-59","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","20-29","90","90","30620","27770"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","30-39","200","190","36880","34800"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","40-49","190","190","44960","40000"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","50-59","200","200","46100","40780"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Government","16-19","50","50","21610","21150"
"In post","2021","Heterosexual / straight","Scottish Government","20-29","1720","1690","28390","26570"
"In post","2021","Heterosexual / straight","Scottish Government","30-39","2910","2780","37670","33650"
"In post","2021","Heterosexual / straight","Scottish Government","40-49","3060","2920","43600","39500"
"In post","2021","Heterosexual / straight","Scottish Government","50-59","3130","3000","42300","36670"
"In post","2021","Heterosexual / straight","Scottish Government","60-64","630","530","38430","33650"
"In post","2021","Heterosexual / straight","Scottish Government","65+","140","110","35120","29190"
"In post","2021","Heterosexual / straight","The National Archives","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","20-29","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","30-39","50","50","34280","32230"
"In post","2021","Heterosexual / straight","The National Archives","40-49","70","60","41980","37770"
"In post","2021","Heterosexual / straight","The National Archives","50-59","60","50","39480","39780"
"In post","2021","Heterosexual / straight","The National Archives","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Export Finance","20-29","60","60","35300","33000"
"In post","2021","Heterosexual / straight","UK Export Finance","30-39","70","70","50840","49520"
"In post","2021","Heterosexual / straight","UK Export Finance","40-49","90","90","56660","52880"
"In post","2021","Heterosexual / straight","UK Export Finance","50-59","80","80","61290","52050"
"In post","2021","Heterosexual / straight","UK Export Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Export Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","20-29","670","660","30660","29540"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","30-39","820","770","35630","36030"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","40-49","690","630","38510","36030"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","50-59","840","720","31930","27160"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","60-64","300","220","25850","19520"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","65+","190","120","23430","19520"
"In post","2021","Heterosexual / straight","Wales Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","40-49","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Government","20-29","430","430","26920","23830"
"In post","2021","Heterosexual / straight","Welsh Government","30-39","1050","990","37170","37410"
"In post","2021","Heterosexual / straight","Welsh Government","40-49","1380","1310","43800","37410"
"In post","2021","Heterosexual / straight","Welsh Government","50-59","1340","1280","44340","37410"
"In post","2021","Heterosexual / straight","Welsh Government","60-64","330","290","43860","37410"
"In post","2021","Heterosexual / straight","Welsh Government","65+","130","100","39290","33620"
"In post","2021","Heterosexual / straight","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Attorney General's Departments","20-29","110","110","31240","27350"
"In post","2021","LGBO","Attorney General's Departments","30-39","110","100","44400","50500"
"In post","2021","LGBO","Attorney General's Departments","40-49","100","90","52600","54230"
"In post","2021","LGBO","Attorney General's Departments","50-59","100","100","53310","55610"
"In post","2021","LGBO","Attorney General's Departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Attorney General's Departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office","20-29","190","190","37820","34550"
"In post","2021","LGBO","Cabinet Office","30-39","140","140","48980","54700"
"In post","2021","LGBO","Cabinet Office","40-49","60","60","52610","54700"
"In post","2021","LGBO","Cabinet Office","50-59","30","30","[c]","[c]"
"In post","2021","LGBO","Cabinet Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","20-29","290","280","38490","36060"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","30-39","210","210","45470","40860"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","40-49","110","100","52710","53600"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","50-59","70","70","46720","43900"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","20-29","90","90","41580","34090"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","30-39","70","70","49710","51730"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Education","16-19","[c]","[c]","[c]","[c]"
