"Status","Year","Function_of_post","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Undeclared","G6/G7","50","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","SEO/HEO","150","150","37660","37920"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","80","70","21800","20920"
"In post","2021","Commercial","Unknown","EO","90","90","25500","26010"
"In post","2021","Commercial","Unknown","G6/G7","670","660","62480","56200"
"In post","2021","Commercial","Unknown","SCS","400","400","87570","72000"
"In post","2021","Commercial","Unknown","SEO/HEO","350","340","37340","38200"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","AA/AO","370","340","21960","21130"
"In post","2021","Commercial","White","EO","630","600","26800","26670"
"In post","2021","Commercial","White","G6/G7","940","910","60740","58670"
"In post","2021","Commercial","White","SCS","150","150","105660","95580"
"In post","2021","Commercial","White","SEO/HEO","2220","2150","38330","37640"
"In post","2021","Commercial","White","Unknown","180","180","40370","38240"
"In post","2021","Communications","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","EO","250","240","25250","25560"
"In post","2021","Communications","Asian","G6/G7","40","30","[c]","[c]"
"In post","2021","Communications","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","SEO/HEO","210","210","35090","32280"
"In post","2021","Communications","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","EO","100","100","25860","25560"
"In post","2021","Communications","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","SEO/HEO","80","80","35770","34970"
"In post","2021","Communications","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","EO","50","50","[c]","[c]"
"In post","2021","Communications","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","SEO/HEO","80","80","36790","36360"
"In post","2021","Communications","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","EO","70","70","25850","25560"
"In post","2021","Communications","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","SEO/HEO","90","90","36070","34250"
"In post","2021","Communications","Unknown","AA/AO","90","80","21600","21050"
"In post","2021","Communications","Unknown","EO","1110","1080","25820","25560"
"In post","2021","Communications","Unknown","G6/G7","230","230","57850","55080"
"In post","2021","Communications","Unknown","SCS","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","710","700","35380","32790"
"In post","2021","Communications","White","AA/AO","360","320","21290","21130"
"In post","2021","Communications","White","EO","1600","1520","25800","25560"
"In post","2021","Communications","White","G6/G7","730","700","57860","55890"
"In post","2021","Communications","White","SCS","90","90","90920","82850"
"In post","2021","Communications","White","SEO/HEO","2110","2050","35870","34770"
"In post","2021","Counter Fraud","Asian","AA/AO","70","60","22420","21440"
"In post","2021","Counter Fraud","Asian","EO","250","240","27770","27700"
"In post","2021","Counter Fraud","Asian","G6/G7","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","SEO/HEO","240","240","35180","36160"
"In post","2021","Counter Fraud","Black","AA/AO","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Black","EO","110","110","28870","29570"
"In post","2021","Counter Fraud","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","SEO/HEO","100","90","35860","36160"
"In post","2021","Counter Fraud","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","EO","50","50","26980","25560"
"In post","2021","Counter Fraud","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","SEO/HEO","50","50","36880","36160"
"In post","2021","Counter Fraud","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","AA/AO","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","EO","170","150","27890","28130"
"In post","2021","Counter Fraud","Undeclared","G6/G7","100","90","58250","56400"
"In post","2021","Counter Fraud","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","SEO/HEO","260","250","35660","36160"
"In post","2021","Counter Fraud","Unknown","AA/AO","160","140","21130","20140"
"In post","2021","Counter Fraud","Unknown","EO","730","700","26840","25560"
"In post","2021","Counter Fraud","Unknown","G6/G7","120","120","57500","56740"
"In post","2021","Counter Fraud","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","680","650","35390","35000"
"In post","2021","Counter Fraud","White","AA/AO","520","450","21220","21440"
"In post","2021","Counter Fraud","White","EO","2080","1930","26750","25560"
"In post","2021","Counter Fraud","White","G6/G7","800","760","57470","54700"
"In post","2021","Counter Fraud","White","SCS","40","40","[c]","[c]"
"In post","2021","Counter Fraud","White","SEO/HEO","2870","2710","35070","33140"
"In post","2021","Debt","Asian","AA/AO","280","240","22270","20430"
"In post","2021","Debt","Asian","EO","60","60","28050","26470"
"In post","2021","Debt","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Black","AA/AO","110","100","22900","24120"
"In post","2021","Debt","Black","EO","30","30","[c]","[c]"
"In post","2021","Debt","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","AA/AO","30","30","[c]","[c]"
"In post","2021","Debt","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","AA/AO","100","90","21930","21440"
"In post","2021","Debt","Undeclared","EO","40","30","[c]","[c]"
"In post","2021","Debt","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","AA/AO","1340","1250","20570","20140"
"In post","2021","Debt","Unknown","EO","190","180","26440","25560"
"In post","2021","Debt","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","White","AA/AO","1530","1340","20800","20140"
"In post","2021","Debt","White","EO","630","570","26630","25560"
"In post","2021","Debt","White","G6/G7","40","40","[c]","[c]"
"In post","2021","Debt","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","White","SEO/HEO","200","190","34230","31810"
"In post","2021","Digital, Data & Technology","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Asian","EO","160","160","27780","27130"
"In post","2021","Digital, Data & Technology","Asian","G6/G7","210","210","58370","55480"
"In post","2021","Digital, Data & Technology","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Asian","SEO/HEO","390","380","36810","36500"
"In post","2021","Digital, Data & Technology","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Black","EO","80","80","28250","28170"
"In post","2021","Digital, Data & Technology","Black","G6/G7","80","80","56210","54700"
"In post","2021","Digital, Data & Technology","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Black","SEO/HEO","200","190","36840","36160"
"In post","2021","Digital, Data & Technology","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","EO","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","G6/G7","80","80","56450","54700"
"In post","2021","Digital, Data & Technology","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","SEO/HEO","90","90","37000","36490"
"In post","2021","Digital, Data & Technology","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","EO","90","90","28650","27510"
"In post","2021","Digital, Data & Technology","Undeclared","G6/G7","180","170","58430","57050"
"In post","2021","Digital, Data & Technology","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","SEO/HEO","360","350","38010","38450"
"In post","2021","Digital, Data & Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","AA/AO","100","90","21570","21590"
"In post","2021","Digital, Data & Technology","Unknown","EO","450","450","26880","26210"
"In post","2021","Digital, Data & Technology","Unknown","G6/G7","620","600","57680","55550"
"In post","2021","Digital, Data & Technology","Unknown","SCS","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SEO/HEO","1270","1250","36710","36160"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","White","AA/AO","290","280","21850","21440"
"In post","2021","Digital, Data & Technology","White","EO","1440","1370","27440","26670"
"In post","2021","Digital, Data & Technology","White","G6/G7","2460","2400","57230","54700"
"In post","2021","Digital, Data & Technology","White","SCS","190","180","90040","83410"
"In post","2021","Digital, Data & Technology","White","SEO/HEO","4450","4300","37400","37420"
"In post","2021","Digital, Data & Technology","White","Unknown","70","70","38130","38270"
"In post","2021","Finance","Asian","AA/AO","100","90","21490","20140"
"In post","2021","Finance","Asian","EO","150","140","27150","26490"
"In post","2021","Finance","Asian","G6/G7","140","130","59200","59120"
"In post","2021","Finance","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Asian","SEO/HEO","350","340","37810","36890"
"In post","2021","Finance","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","AA/AO","30","30","[c]","[c]"
"In post","2021","Finance","Black","EO","60","60","28420","28670"
"In post","2021","Finance","Black","G6/G7","60","60","58230","57380"
"In post","2021","Finance","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","SEO/HEO","190","190","38450","37510"
"In post","2021","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","G6/G7","40","40","[c]","[c]"
"In post","2021","Finance","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","SEO/HEO","70","70","37420","36970"
"In post","2021","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","AA/AO","60","50","21340","21440"
"In post","2021","Finance","Undeclared","EO","70","60","27240","26720"
"In post","2021","Finance","Undeclared","G6/G7","90","90","59060","57940"
"In post","2021","Finance","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","SEO/HEO","150","150","37900","36970"
"In post","2021","Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","AA/AO","310","260","20710","20140"
"In post","2021","Finance","Unknown","EO","180","170","26130","25810"
"In post","2021","Finance","Unknown","G6/G7","220","220","57560","54990"
"In post","2021","Finance","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","SEO/HEO","480","470","36200","35950"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","White","AA/AO","980","820","21100","21180"
"In post","2021","Finance","White","EO","1190","1120","26240","26670"
"In post","2021","Finance","White","G6/G7","1500","1460","58720","57540"
"In post","2021","Finance","White","SCS","230","220","91470","85100"
"In post","2021","Finance","White","SEO/HEO","2520","2420","37340","36970"
"In post","2021","Finance","White","Unknown","40","40","[c]","[c]"
"In post","2021","Grants Management","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","EO","30","30","[c]","[c]"
"In post","2021","Grants Management","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","AA/AO","420","400","20990","21050"
"In post","2021","Grants Management","Unknown","EO","180","170","25090","25100"
"In post","2021","Grants Management","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","SEO/HEO","80","70","32470","31130"
"In post","2021","Grants Management","White","AA/AO","470","400","21020","21050"
"In post","2021","Grants Management","White","EO","330","300","25700","25660"
"In post","2021","Grants Management","White","G6/G7","40","40","[c]","[c]"
"In post","2021","Grants Management","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","White","SEO/HEO","230","210","32740","31080"
"In post","2021","Human Resources","Asian","AA/AO","60","50","21730","20920"
"In post","2021","Human Resources","Asian","EO","110","110","27280","27380"
"In post","2021","Human Resources","Asian","G6/G7","80","80","58370","56730"
"In post","2021","Human Resources","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Asian","SEO/HEO","210","210","36710","36160"
"In post","2021","Human Resources","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","EO","80","80","28050","27710"
"In post","2021","Human Resources","Black","G6/G7","40","40","[c]","[c]"
"In post","2021","Human Resources","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","SEO/HEO","150","150","37250","36390"
"In post","2021","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","EO","[c]","[c]","[c]","[c]"
