"Status","Year","Disability","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","20-29","Unknown","1110","1090","27730","26670"
"In post","2021","Declared non-disabled","20-29","White","36180","35690","29120","27500"
"In post","2021","Declared non-disabled","30-39","Asian","6540","6150","32840","29080"
"In post","2021","Declared non-disabled","30-39","Black","2520","2430","32390","30880"
"In post","2021","Declared non-disabled","30-39","Chinese","280","270","39040","36160"
"In post","2021","Declared non-disabled","30-39","Mixed","1740","1670","36780","32050"
"In post","2021","Declared non-disabled","30-39","Other ethnicity","450","430","36730","31810"
"In post","2021","Declared non-disabled","30-39","Undeclared","1530","1450","34770","31060"
"In post","2021","Declared non-disabled","30-39","Unknown","2330","2150","31970","27570"
"In post","2021","Declared non-disabled","30-39","White","53850","50870","34650","30830"
"In post","2021","Declared non-disabled","40-49","Asian","6130","5600","34540","29550"
"In post","2021","Declared non-disabled","40-49","Black","2870","2740","33870","31060"
"In post","2021","Declared non-disabled","40-49","Chinese","270","260","37720","33050"
"In post","2021","Declared non-disabled","40-49","Mixed","1280","1200","39000","33310"
"In post","2021","Declared non-disabled","40-49","Other ethnicity","460","440","37930","31650"
"In post","2021","Declared non-disabled","40-49","Undeclared","2120","1990","34120","29570"
"In post","2021","Declared non-disabled","40-49","Unknown","2440","2230","34280","29170"
"In post","2021","Declared non-disabled","40-49","White","61290","57300","36930","31810"
"In post","2021","Declared non-disabled","50-59","Asian","4090","3820","33330","29370"
"In post","2021","Declared non-disabled","50-59","Black","3930","3810","33670","30840"
"In post","2021","Declared non-disabled","50-59","Chinese","180","170","36120","29870"
"In post","2021","Declared non-disabled","50-59","Mixed","1060","1000","36850","31810"
"In post","2021","Declared non-disabled","50-59","Other ethnicity","420","400","38010","31880"
"In post","2021","Declared non-disabled","50-59","Undeclared","3370","3140","33000","28350"
"In post","2021","Declared non-disabled","50-59","Unknown","2620","2430","34160","28200"
"In post","2021","Declared non-disabled","50-59","White","79110","74050","35180","29710"
"In post","2021","Declared non-disabled","60-64","Asian","1020","870","31190","28120"
"In post","2021","Declared non-disabled","60-64","Black","810","740","31190","29250"
"In post","2021","Declared non-disabled","60-64","Chinese","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","Mixed","210","190","33910","28200"
"In post","2021","Declared non-disabled","60-64","Other ethnicity","120","100","35810","31060"
"In post","2021","Declared non-disabled","60-64","Undeclared","960","780","31450","27570"
"In post","2021","Declared non-disabled","60-64","Unknown","790","660","30520","27130"
"In post","2021","Declared non-disabled","60-64","White","21130","17280","32000","27570"
"In post","2021","Declared non-disabled","65+","Asian","500","380","29770","25930"
"In post","2021","Declared non-disabled","65+","Black","230","200","29530","26280"
"In post","2021","Declared non-disabled","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Mixed","60","50","30040","26780"
"In post","2021","Declared non-disabled","65+","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Undeclared","330","250","31660","27570"
"In post","2021","Declared non-disabled","65+","Unknown","300","230","30690","25590"
"In post","2021","Declared non-disabled","65+","White","6260","4750","30630","26780"
"In post","2021","Declared non-disabled","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Asian","210","210","30030","28650"
"In post","2021","Undeclared","20-29","Black","80","80","31530","31060"
"In post","2021","Undeclared","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Mixed","80","70","30140","28360"
"In post","2021","Undeclared","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Undeclared","520","510","31520","28900"
"In post","2021","Undeclared","20-29","Unknown","410","400","34120","33990"
"In post","2021","Undeclared","20-29","White","1450","1420","29210","27570"
"In post","2021","Undeclared","30-39","Asian","360","330","32450","27570"
"In post","2021","Undeclared","30-39","Black","120","120","32000","31060"
"In post","2021","Undeclared","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Mixed","110","100","35090","31180"
"In post","2021","Undeclared","30-39","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Undeclared","30-39","Undeclared","1300","1270","36780","32940"
"In post","2021","Undeclared","30-39","Unknown","460","440","38350","34710"
"In post","2021","Undeclared","30-39","White","3050","2870","33010","30180"
"In post","2021","Undeclared","40-49","Asian","340","310","33430","29550"
"In post","2021","Undeclared","40-49","Black","180","170","33650","31060"
"In post","2021","Undeclared","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Mixed","100","90","37270","33300"
"In post","2021","Undeclared","40-49","Other ethnicity","50","40","[c]","[c]"
"In post","2021","Undeclared","40-49","Undeclared","1830","1760","37080","32400"
"In post","2021","Undeclared","40-49","Unknown","440","410","37790","32750"
"In post","2021","Undeclared","40-49","White","3880","3660","33570","31650"
"In post","2021","Undeclared","50-59","Asian","220","200","33050","29470"
"In post","2021","Undeclared","50-59","Black","290","280","32130","31060"
"In post","2021","Undeclared","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Mixed","100","90","34780","31650"
"In post","2021","Undeclared","50-59","Other ethnicity","60","50","39210","32790"
"In post","2021","Undeclared","50-59","Undeclared","2900","2770","36030","32520"
"In post","2021","Undeclared","50-59","Unknown","540","500","34930","31650"
"In post","2021","Undeclared","50-59","White","6110","5770","32870","31650"
"In post","2021","Undeclared","60-64","Asian","70","60","31520","27570"
"In post","2021","Undeclared","60-64","Black","70","70","29820","27570"
"In post","2021","Undeclared","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Undeclared","650","540","34320","30620"
"In post","2021","Undeclared","60-64","Unknown","130","110","30180","28130"
"In post","2021","Undeclared","60-64","White","1650","1350","30230","27570"
"In post","2021","Undeclared","65+","Asian","40","30","[c]","[c]"
"In post","2021","Undeclared","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Undeclared","190","150","33940","28130"
"In post","2021","Undeclared","65+","Unknown","50","40","29210","26870"
"In post","2021","Undeclared","65+","White","540","410","28780","26140"
"In post","2021","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Unknown","490","470","20500","20140"
"In post","2021","Unknown","16-19","White","60","60","21720","21290"
"In post","2021","Unknown","20-29","Asian","500","490","30460","28650"
"In post","2021","Unknown","20-29","Black","180","180","31060","29270"
"In post","2021","Unknown","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Mixed","200","190","32230","30600"
"In post","2021","Unknown","20-29","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Unknown","20-29","Undeclared","240","230","31970","30930"
"In post","2021","Unknown","20-29","Unknown","18120","17870","28100","26370"
"In post","2021","Unknown","20-29","White","3920","3870","29990","28500"
"In post","2021","Unknown","30-39","Asian","530","510","36460","32960"
"In post","2021","Unknown","30-39","Black","200","190","35480","32560"
"In post","2021","Unknown","30-39","Chinese","40","40","[c]","[c]"
"In post","2021","Unknown","30-39","Mixed","210","200","38600","36410"
"In post","2021","Unknown","30-39","Other ethnicity","70","60","39690","36410"
"In post","2021","Unknown","30-39","Undeclared","470","450","37390","34140"
"In post","2021","Unknown","30-39","Unknown","13940","13390","34000","29920"
"In post","2021","Unknown","30-39","White","5140","4920","36300","33650"
"In post","2021","Unknown","40-49","Asian","570","540","39810","35110"
"In post","2021","Unknown","40-49","Black","220","210","39450","36160"
"In post","2021","Unknown","40-49","Chinese","30","30","[c]","[c]"
"In post","2021","Unknown","40-49","Mixed","90","90","43070","40450"
"In post","2021","Unknown","40-49","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Unknown","40-49","Undeclared","570","540","40710","37410"
"In post","2021","Unknown","40-49","Unknown","9590","9110","37400","31220"
"In post","2021","Unknown","40-49","White","5690","5370","38930","35950"
"In post","2021","Unknown","50-59","Asian","410","390","39210","32520"
"In post","2021","Unknown","50-59","Black","260","250","38230","32520"
"In post","2021","Unknown","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Mixed","90","90","42160","38100"
"In post","2021","Unknown","50-59","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Unknown","50-59","Undeclared","690","650","39430","33650"
"In post","2021","Unknown","50-59","Unknown","9140","8650","35900","30430"
"In post","2021","Unknown","50-59","White","6940","6530","37730","33650"
"In post","2021","Unknown","60-64","Asian","90","80","35750","29290"
"In post","2021","Unknown","60-64","Black","60","60","34290","29370"
"In post","2021","Unknown","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Undeclared","180","150","36000","33650"
"In post","2021","Unknown","60-64","Unknown","2250","1890","31600","26580"
"In post","2021","Unknown","60-64","White","1860","1530","33790","28130"
"In post","2021","Unknown","65+","Asian","50","40","39340","32090"
"In post","2021","Unknown","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Undeclared","60","40","36320","29250"
"In post","2021","Unknown","65+","Unknown","650","510","31540","25560"
"In post","2021","Unknown","65+","White","610","480","34520","28130"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","16-19","White","40","40","[c]","[c]"
"In post","2022","Declared disabled","20-29","Asian","400","390","30380","27570"
"In post","2022","Declared disabled","20-29","Black","210","210","30630","30730"
"In post","2022","Declared disabled","20-29","Mixed","260","250","30090","27910"
"In post","2022","Declared disabled","20-29","Other ethnicity","50","50","31860","31060"
"In post","2022","Declared disabled","20-29","Undeclared","100","100","29730","27570"
"In post","2022","Declared disabled","20-29","Unknown","130","130","29100","27570"
"In post","2022","Declared disabled","20-29","White","4640","4550","29410","27570"
"In post","2022","Declared disabled","30-39","Asian","590","560","33640","30820"
"In post","2022","Declared disabled","30-39","Black","320","310","34490","31060"
"In post","2022","Declared disabled","30-39","Mixed","320","310","34820","31060"
"In post","2022","Declared disabled","30-39","Other ethnicity","60","50","39660","36220"
"In post","2022","Declared disabled","30-39","Undeclared","250","240","33630","29430"
"In post","2022","Declared disabled","30-39","Unknown","240","220","33560","30450"
"In post","2022","Declared disabled","30-39","White","7130","6770","33470","29330"
"In post","2022","Declared disabled","40-49","Asian","940","860","32850","29290"
"In post","2022","Declared disabled","40-49","Black","400","370","33430","31060"
"In post","2022","Declared disabled","40-49","Mixed","350","320","36030","31060"
"In post","2022","Declared disabled","40-49","Other ethnicity","100","90","36200","31650"
"In post","2022","Declared disabled","40-49","Undeclared","480","450","32460","28770"
"In post","2022","Declared disabled","40-49","Unknown","240","220","34780","31210"
"In post","2022","Declared disabled","40-49","White","9970","9250","33810","28430"
"In post","2022","Declared disabled","50-59","Asian","860","790","33060","29470"
"In post","2022","Declared disabled","50-59","Black","830","780","33440","31020"
"In post","2022","Declared disabled","50-59","Mixed","340","320","35230","31060"
"In post","2022","Declared disabled","50-59","Other ethnicity","130","120","35030","31590"
"In post","2022","Declared disabled","50-59","Undeclared","920","860","32940","28950"
"In post","2022","Declared disabled","50-59","Unknown","460","420","33420","29820"
"In post","2022","Declared disabled","50-59","White","15870","14680","32510","27570"
"In post","2022","Declared disabled","60-64","Asian","250","210","30750","27710"
"In post","2022","Declared disabled","60-64","Black","240","220","30950","29290"
"In post","2022","Declared disabled","60-64","Mixed","100","80","30910","28030"
"In post","2022","Declared disabled","60-64","Other ethnicity","30","30","[c]","[c]"
"In post","2022","Declared disabled","60-64","Undeclared","270","220","31220","27570"
"In post","2022","Declared disabled","60-64","Unknown","160","120","32100","28580"
"In post","2022","Declared disabled","60-64","White","5070","4090","29770","27570"
"In post","2022","Declared disabled","65+","Asian","90","70","30150","28260"
"In post","2022","Declared disabled","65+","Black","60","50","29920","27370"
"In post","2022","Declared disabled","65+","Mixed","30","20","[c]","[c]"
"In post","2022","Declared disabled","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","Undeclared","90","60","29180","27570"
"In post","2022","Declared disabled","65+","Unknown","60","50","30780","27130"
"In post","2022","Declared disabled","65+","White","1530","1150","28930","26870"
"In post","2022","Declared disabled","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Asian","90","80","23020","21260"
"In post","2022","Declared non-disabled","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","White","530","510","21840","21260"
"In post","2022","Declared non-disabled","20-29","Asian","5540","5430","29640","27570"
"In post","2022","Declared non-disabled","20-29","Black","1850","1830","30310","29290"
"In post","2022","Declared non-disabled","20-29","Mixed","1840","1810","31130","28690"
"In post","2022","Declared non-disabled","20-29","Other ethnicity","380","380","31660","30270"
"In post","2022","Declared non-disabled","20-29","Undeclared","610","600","31120","29180"
"In post","2022","Declared non-disabled","20-29","Unknown","1240","1210","27540","26030"
"In post","2022","Declared non-disabled","20-29","White","38920","38460","29750","27570"
"In post","2022","Declared non-disabled","30-39","Asian","7470","7070","34030","30750"
"In post","2022","Declared non-disabled","30-39","Black","2820","2720","32920","31060"
"In post","2022","Declared non-disabled","30-39","Mixed","1930","1850","37280","33300"
"In post","2022","Declared non-disabled","30-39","Other ethnicity","480","460","37900","33210"
"In post","2022","Declared non-disabled","30-39","Undeclared","1540","1480","35480","31900"
"In post","2022","Declared non-disabled","30-39","Unknown","2170","2010","32060","27570"
"In post","2022","Declared non-disabled","30-39","White","56980","54150","35440","31540"
"In post","2022","Declared non-disabled","40-49","Asian","6940","6400","35500","30820"
"In post","2022","Declared non-disabled","40-49","Black","3040","2930","34540","31060"
"In post","2022","Declared non-disabled","40-49","Mixed","1370","1290","39910","34340"
"In post","2022","Declared non-disabled","40-49","Other ethnicity","460","440","38320","33210"
"In post","2022","Declared non-disabled","40-49","Undeclared","2110","1980","35630","31060"
"In post","2022","Declared non-disabled","40-49","Unknown","2290","2110","34700","29280"
"In post","2022","Declared non-disabled","40-49","White","63060","59150","37910","32740"
"In post","2022","Declared non-disabled","50-59","Asian","4510","4230","34080","29750"
"In post","2022","Declared non-disabled","50-59","Black","4120","3990","34160","31060"
"In post","2022","Declared non-disabled","50-59","Mixed","1110","1060","36770","31740"
"In post","2022","Declared non-disabled","50-59","Other ethnicity","400","380","37600","31880"
"In post","2022","Declared non-disabled","50-59","Undeclared","3360","3150","34310","30030"
"In post","2022","Declared non-disabled","50-59","Unknown","2430","2270","34520","28310"
"In post","2022","Declared non-disabled","50-59","White","79720","74940","36020","30870"
"In post","2022","Declared non-disabled","60-64","Asian","1180","1020","32010","28780"
"In post","2022","Declared non-disabled","60-64","Black","1010","920","31670","29300"
"In post","2022","Declared non-disabled","60-64","Mixed","250","220","35800","29340"
"In post","2022","Declared non-disabled","60-64","Other ethnicity","130","110","36380","31740"
"In post","2022","Declared non-disabled","60-64","Undeclared","1050","860","32230","27570"
"In post","2022","Declared non-disabled","60-64","Unknown","740","630","31070","27130"
"In post","2022","Declared non-disabled","60-64","White","22570","18600","32520","27570"
"In post","2022","Declared non-disabled","65+","Asian","580","450","29990","26400"
"In post","2022","Declared non-disabled","65+","Black","300","260","29900","27060"
"In post","2022","Declared non-disabled","65+","Mixed","80","70","32440","27570"
"In post","2022","Declared non-disabled","65+","Other ethnicity","50","40","[c]","[c]"
"In post","2022","Declared non-disabled","65+","Undeclared","370","280","32100","27570"
"In post","2022","Declared non-disabled","65+","Unknown","270","210","31970","27060"
"In post","2022","Declared non-disabled","65+","White","6730","5150","31280","27380"
"In post","2022","Declared non-disabled","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Asian","230","220","30690","29930"
"In post","2022","Undeclared","20-29","Black","70","70","31710","31060"
"In post","2022","Undeclared","20-29","Mixed","90","90","30830","29290"
"In post","2022","Undeclared","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Undeclared","430","420","32470","31060"
"In post","2022","Undeclared","20-29","Unknown","80","80","30850","30050"
"In post","2022","Undeclared","20-29","White","1530","1510","30210","27570"
"In post","2022","Undeclared","30-39","Asian","400","380","33250","28990"
"In post","2022","Undeclared","30-39","Black","120","110","33670","31060"
"In post","2022","Undeclared","30-39","Mixed","120","120","35110","31060"
"In post","2022","Undeclared","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","30-39","Undeclared","1240","1210","37590","33370"
"In post","2022","Undeclared","30-39","Unknown","230","220","34260","31180"
"In post","2022","Undeclared","30-39","White","3040","2880","33710","30450"
"In post","2022","Undeclared","40-49","Asian","370","340","34580","30500"
"In post","2022","Undeclared","40-49","Black","170","160","35190","31650"
"In post","2022","Undeclared","40-49","Mixed","90","90","37870","32520"
"In post","2022","Undeclared","40-49","Other ethnicity","30","30","[c]","[c]"
"In post","2022","Undeclared","40-49","Undeclared","1740","1670","37990","33370"
"In post","2022","Undeclared","40-49","Unknown","270","260","34050","31650"
"In post","2022","Undeclared","40-49","White","3770","3570","34500","31650"
"In post","2022","Undeclared","50-59","Asian","250","240","34220","31020"
"In post","2022","Undeclared","50-59","Black","300","280","32990","31300"
"In post","2022","Undeclared","50-59","Mixed","100","100","36770","31650"
"In post","2022","Undeclared","50-59","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Undeclared","50-59","Undeclared","2770","2650","36520","33300"
"In post","2022","Undeclared","50-59","Unknown","390","360","33400","31650"
"In post","2022","Undeclared","50-59","White","5940","5610","33180","31650"
"In post","2022","Undeclared","60-64","Asian","70","70","31580","28670"
"In post","2022","Undeclared","60-64","Black","90","80","30600","30910"
"In post","2022","Undeclared","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","Undeclared","710","600","34640","31990"
"In post","2022","Undeclared","60-64","Unknown","100","80","30950","28920"
"In post","2022","Undeclared","60-64","White","1780","1440","30490","27570"
"In post","2022","Undeclared","65+","Asian","40","30","[c]","[c]"
"In post","2022","Undeclared","65+","Black","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Undeclared","180","140","34020","29200"
"In post","2022","Undeclared","65+","Unknown","50","30","[c]","[c]"
"In post","2022","Undeclared","65+","White","540","410","28840","26670"
"In post","2022","Unknown","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Mixed","[c]","[c]","[c]","[c]"
