"Status","Year","Disability","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Internal Audit","Heterosexual / straight","70","60","44110","39980"
"In post","2021","Declared disabled","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Heterosexual / straight","60","60","46950","46130"
"In post","2021","Declared disabled","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Heterosexual / straight","190","190","34640","33000"
"In post","2021","Declared disabled","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Undeclared","50","40","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Heterosexual / straight","700","650","48360","50500"
"In post","2021","Declared disabled","Legal","LGBO","70","70","52970","52490"
"In post","2021","Declared disabled","Legal","Undeclared","100","90","48210","46590"
"In post","2021","Declared disabled","Legal","Unknown","90","80","46560","49150"
"In post","2021","Declared disabled","Medicine","Heterosexual / straight","100","90","54540","40890"
"In post","2021","Declared disabled","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Heterosexual / straight","12940","11760","28120","25580"
"In post","2021","Declared disabled","Operational Delivery","LGBO","1300","1240","28340","25830"
"In post","2021","Declared disabled","Operational Delivery","Undeclared","1870","1660","27560","25630"
"In post","2021","Declared disabled","Operational Delivery","Unknown","1240","1080","27250","25560"
"In post","2021","Declared disabled","Operational Research","Heterosexual / straight","110","100","42100","38800"
"In post","2021","Declared disabled","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Heterosexual / straight","1480","1410","28320","25380"
"In post","2021","Declared disabled","Other","LGBO","100","100","28470","26350"
"In post","2021","Declared disabled","Other","Undeclared","220","210","28370","23990"
"In post","2021","Declared disabled","Other","Unknown","90","80","30220","27580"
"In post","2021","Declared disabled","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Heterosexual / straight","1760","1710","44830","39900"
"In post","2021","Declared disabled","Policy","LGBO","340","330","44610","40050"
"In post","2021","Declared disabled","Policy","Undeclared","240","240","43970","40050"
"In post","2021","Declared disabled","Policy","Unknown","120","120","49250","50050"
"In post","2021","Declared disabled","Project Delivery","Heterosexual / straight","1140","1100","40190","38310"
"In post","2021","Declared disabled","Project Delivery","LGBO","110","110","40040","35760"
"In post","2021","Declared disabled","Project Delivery","Undeclared","160","150","43170","40580"
"In post","2021","Declared disabled","Project Delivery","Unknown","70","60","38910","35000"
"In post","2021","Declared disabled","Property","Heterosexual / straight","440","420","34890","33250"
"In post","2021","Declared disabled","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Undeclared","70","60","38320","33630"
"In post","2021","Declared disabled","Property","Unknown","40","30","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Heterosexual / straight","90","80","33760","30450"
"In post","2021","Declared disabled","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Heterosexual / straight","810","780","36660","35120"
"In post","2021","Declared disabled","Science and Engineering","LGBO","80","80","36130","30930"
"In post","2021","Declared disabled","Science and Engineering","Undeclared","120","120","37530","37290"
"In post","2021","Declared disabled","Science and Engineering","Unknown","100","100","37290","36490"
"In post","2021","Declared disabled","Security","Heterosexual / straight","450","430","31220","28070"
"In post","2021","Declared disabled","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Undeclared","90","80","34850","37130"
"In post","2021","Declared disabled","Security","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Heterosexual / straight","70","70","42710","39460"
"In post","2021","Declared disabled","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Heterosexual / straight","130","120","43760","39140"
"In post","2021","Declared disabled","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Tax","Heterosexual / straight","990","920","35250","31810"
"In post","2021","Declared disabled","Tax","LGBO","120","110","34200","31810"
"In post","2021","Declared disabled","Tax","Undeclared","130","120","36630","31870"
"In post","2021","Declared disabled","Tax","Unknown","130","110","34560","32100"
"In post","2021","Declared disabled","Unknown","Heterosexual / straight","12620","11210","28750","27570"
"In post","2021","Declared disabled","Unknown","LGBO","1390","1320","29910","27570"
"In post","2021","Declared disabled","Unknown","Undeclared","1800","1580","27950","27570"
"In post","2021","Declared disabled","Unknown","Unknown","1680","1430","26980","27570"
"In post","2021","Declared disabled","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Heterosexual / straight","2830","2740","40950","37460"
"In post","2021","Declared non-disabled","Commercial","LGBO","110","110","37100","33300"
"In post","2021","Declared non-disabled","Commercial","Undeclared","250","240","39990","36970"
"In post","2021","Declared non-disabled","Commercial","Unknown","330","320","41580","39650"
"In post","2021","Declared non-disabled","Communications","Heterosexual / straight","2050","1970","42220","38630"
"In post","2021","Declared non-disabled","Communications","LGBO","140","140","43050","40610"
"In post","2021","Declared non-disabled","Communications","Undeclared","180","170","38790","37410"
"In post","2021","Declared non-disabled","Communications","Unknown","190","180","39730","36790"
"In post","2021","Declared non-disabled","Corporate Finance","Heterosexual / straight","110","100","47160","46080"
"In post","2021","Declared non-disabled","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Heterosexual / straight","470","450","37590","34990"
"In post","2021","Declared non-disabled","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Unknown","80","80","41610","39490"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Heterosexual / straight","6540","6360","42840","39040"
"In post","2021","Declared non-disabled","Digital, Data and Technology","LGBO","300","300","42700","38630"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Undeclared","650","630","42020","39250"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Unknown","890","860","40090","37720"
"In post","2021","Declared non-disabled","Economics","Heterosexual / straight","1140","1120","48740","49320"
"In post","2021","Declared non-disabled","Economics","LGBO","90","90","46460","40930"
"In post","2021","Declared non-disabled","Economics","Undeclared","110","110","48920","52750"
"In post","2021","Declared non-disabled","Economics","Unknown","60","60","58970","58120"
"In post","2021","Declared non-disabled","Finance","Heterosexual / straight","5370","5120","41260","37410"
"In post","2021","Declared non-disabled","Finance","LGBO","190","180","44300","40680"
"In post","2021","Declared non-disabled","Finance","Undeclared","490","460","40950","37410"
"In post","2021","Declared non-disabled","Finance","Unknown","410","380","38800","35560"
"In post","2021","Declared non-disabled","Human Resources","Heterosexual / straight","4550","4300","39310","35000"
"In post","2021","Declared non-disabled","Human Resources","LGBO","220","220","42450","38630"
"In post","2021","Declared non-disabled","Human Resources","Undeclared","310","290","36590","33300"
"In post","2021","Declared non-disabled","Human Resources","Unknown","230","220","38250","33860"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Heterosexual / straight","630","610","67470","74730"
"In post","2021","Declared non-disabled","Inspector of Education and Training","LGBO","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","Heterosexual / straight","2010","1930","33920","30830"
"In post","2021","Declared non-disabled","Intelligence Analysis","LGBO","90","90","34720","30830"
"In post","2021","Declared non-disabled","Intelligence Analysis","Undeclared","230","210","33150","30500"
"In post","2021","Declared non-disabled","Intelligence Analysis","Unknown","70","60","36450","32040"
"In post","2021","Declared non-disabled","Internal Audit","Heterosexual / straight","490","470","46210","43540"
"In post","2021","Declared non-disabled","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Undeclared","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Heterosexual / straight","620","610","47680","48220"
"In post","2021","Declared non-disabled","International Trade","LGBO","60","50","53110","51970"
"In post","2021","Declared non-disabled","International Trade","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","Unknown","60","60","48160","43060"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Heterosexual / straight","1310","1250","36860","33300"
"In post","2021","Declared non-disabled","Knowledge and Information Management","LGBO","60","60","34020","31400"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Undeclared","150","150","35660","33310"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Unknown","80","70","35170","32110"
"In post","2021","Declared non-disabled","Legal","Heterosexual / straight","6200","5810","48570","50520"
"In post","2021","Declared non-disabled","Legal","LGBO","320","310","50890","51250"
"In post","2021","Declared non-disabled","Legal","Undeclared","520","480","48820","46530"
"In post","2021","Declared non-disabled","Legal","Unknown","1110","1010","54690","55610"
"In post","2021","Declared non-disabled","Medicine","Heterosexual / straight","1320","1190","53690","40000"
"In post","2021","Declared non-disabled","Medicine","LGBO","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","Undeclared","120","100","60220","47000"
"In post","2021","Declared non-disabled","Medicine","Unknown","70","70","50670","37890"
"In post","2021","Declared non-disabled","Operational Delivery","Heterosexual / straight","90450","83620","29040","26130"
"In post","2021","Declared non-disabled","Operational Delivery","LGBO","4300","4140","29150","25960"
"In post","2021","Declared non-disabled","Operational Delivery","Undeclared","8810","7870","28790","26700"
"In post","2021","Declared non-disabled","Operational Delivery","Unknown","9530","8370","28940","26590"
"In post","2021","Declared non-disabled","Operational Research","Heterosexual / straight","680","650","45100","46080"
"In post","2021","Declared non-disabled","Operational Research","LGBO","50","50","40700","37320"
"In post","2021","Declared non-disabled","Operational Research","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other","Heterosexual / straight","11970","11470","31060","26670"
"In post","2021","Declared non-disabled","Other","LGBO","410","400","32970","28120"
"In post","2021","Declared non-disabled","Other","Undeclared","1110","1070","31910","26670"
"In post","2021","Declared non-disabled","Other","Unknown","580","560","39230","33260"
"In post","2021","Declared non-disabled","Planning","Heterosexual / straight","140","130","47420","40920"
"In post","2021","Declared non-disabled","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning Inspectors","Heterosexual / straight","220","200","58140","58810"
"In post","2021","Declared non-disabled","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Policy","Heterosexual / straight","16090","15610","48220","45370"
"In post","2021","Declared non-disabled","Policy","LGBO","1320","1310","48080","46000"
"In post","2021","Declared non-disabled","Policy","Undeclared","1460","1410","47810","45070"
"In post","2021","Declared non-disabled","Policy","Unknown","840","800","47970","45200"
"In post","2021","Declared non-disabled","Project Delivery","Heterosexual / straight","9700","9420","42750","39310"
"In post","2021","Declared non-disabled","Project Delivery","LGBO","390","380","41950","38630"
"In post","2021","Declared non-disabled","Project Delivery","Undeclared","750","720","44520","40580"
"In post","2021","Declared non-disabled","Project Delivery","Unknown","630","600","40890","39200"
"In post","2021","Declared non-disabled","Property","Heterosexual / straight","3980","3820","37300","33300"
"In post","2021","Declared non-disabled","Property","LGBO","130","120","36270","32260"
"In post","2021","Declared non-disabled","Property","Undeclared","380","360","37110","33300"
"In post","2021","Declared non-disabled","Property","Unknown","330","310","36780","33300"
"In post","2021","Declared non-disabled","Psychology","Heterosexual / straight","880","840","35770","30450"
"In post","2021","Declared non-disabled","Psychology","LGBO","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Psychology","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Psychology","Unknown","50","40","42300","41740"
"In post","2021","Declared non-disabled","Science and Engineering","Heterosexual / straight","7160","6880","38410","37210"
"In post","2021","Declared non-disabled","Science and Engineering","LGBO","300","290","35810","31600"
"In post","2021","Declared non-disabled","Science and Engineering","Undeclared","750","710","39620","37320"
"In post","2021","Declared non-disabled","Science and Engineering","Unknown","1380","1300","40450","39650"
"In post","2021","Declared non-disabled","Security","Heterosexual / straight","4450","4360","30740","26670"
"In post","2021","Declared non-disabled","Security","LGBO","150","150","32380","30120"
"In post","2021","Declared non-disabled","Security","Undeclared","420","400","33630","35360"
"In post","2021","Declared non-disabled","Security","Unknown","210","210","34640","34290"
"In post","2021","Declared non-disabled","Social Research","Heterosexual / straight","630","600","45180","44580"
"In post","2021","Declared non-disabled","Social Research","LGBO","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Social Research","Undeclared","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Social Research","Unknown","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Statistics","Heterosexual / straight","1090","1050","44720","41760"
"In post","2021","Declared non-disabled","Statistics","LGBO","100","90","41320","37220"
"In post","2021","Declared non-disabled","Statistics","Undeclared","90","80","41690","36160"
"In post","2021","Declared non-disabled","Statistics","Unknown","80","70","46420","43740"
"In post","2021","Declared non-disabled","Tax","Heterosexual / straight","7970","7520","35760","31810"
"In post","2021","Declared non-disabled","Tax","LGBO","470","460","33210","31810"
"In post","2021","Declared non-disabled","Tax","Undeclared","560","520","37410","31870"
"In post","2021","Declared non-disabled","Tax","Unknown","750","680","35200","31810"
"In post","2021","Declared non-disabled","Unknown","Heterosexual / straight","57460","52920","31110","27570"
"In post","2021","Declared non-disabled","Unknown","LGBO","3210","3110","31290","27570"
"In post","2021","Declared non-disabled","Unknown","Undeclared","5530","4960","29530","27570"
"In post","2021","Declared non-disabled","Unknown","Unknown","18220","15670","28220","27570"
"In post","2021","Declared non-disabled","Veterinarian","Heterosexual / straight","240","230","45570","44640"
"In post","2021","Declared non-disabled","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinarian","Undeclared","50","50","46640","46270"
"In post","2021","Declared non-disabled","Veterinarian","Unknown","40","30","[c]","[c]"
"In post","2021","Undeclared","Commercial","Heterosexual / straight","160","160","43050","40000"
"In post","2021","Undeclared","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Undeclared","130","130","41250","40190"
"In post","2021","Undeclared","Commercial","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","Communications","Heterosexual / straight","70","70","40660","36420"
"In post","2021","Undeclared","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Undeclared","70","70","38640","37800"
"In post","2021","Undeclared","Communications","Unknown","50","50","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Heterosexual / straight","50","50","37560","33550"
"In post","2021","Undeclared","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Heterosexual / straight","240","240","41360","38450"
"In post","2021","Undeclared","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","Undeclared","390","380","41050","38630"
"In post","2021","Undeclared","Digital, Data and Technology","Unknown","60","50","40910","36300"
"In post","2021","Undeclared","Economics","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Undeclared","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","Undeclared","30","30","[c]","[c]"
"In post","2021","Undeclared","Economics","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","Finance","Heterosexual / straight","210","200","38030","35330"
"In post","2021","Undeclared","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Undeclared","240","230","40540","36460"
"In post","2021","Undeclared","Finance","Unknown","60","60","42900","42200"
"In post","2021","Undeclared","Human Resources","Heterosexual / straight","200","190","38520","36720"
"In post","2021","Undeclared","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Undeclared","160","150","36980","33300"
"In post","2021","Undeclared","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","Heterosexual / straight","110","100","33120","30500"
"In post","2021","Undeclared","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","Undeclared","150","140","34940","32100"
"In post","2021","Undeclared","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Heterosexual / straight","60","50","37210","33300"
"In post","2021","Undeclared","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","Undeclared","90","90","39460","36460"
"In post","2021","Undeclared","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Heterosexual / straight","170","160","48310","46950"
"In post","2021","Undeclared","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Undeclared","300","280","43800","38630"
"In post","2021","Undeclared","Legal","Unknown","50","40","[c]","[c]"
"In post","2021","Undeclared","Medicine","Heterosexual / straight","60","50","53270","38890"
"In post","2021","Undeclared","Medicine","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Medicine","Undeclared","50","50","69910","77770"
"In post","2021","Undeclared","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Heterosexual / straight","5180","4750","29220","27380"
"In post","2021","Undeclared","Operational Delivery","LGBO","410","390","29000","26850"
"In post","2021","Undeclared","Operational Delivery","Undeclared","4520","4160","29720","27370"
"In post","2021","Undeclared","Operational Delivery","Unknown","2650","2350","30340","31650"
"In post","2021","Undeclared","Operational Research","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Undeclared","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Research","Undeclared","50","50","[c]","[c]"
"In post","2021","Undeclared","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other","Heterosexual / straight","560","540","27580","22780"
"In post","2021","Undeclared","Other","LGBO","40","40","[c]","[c]"
"In post","2021","Undeclared","Other","Undeclared","560","540","30700","26930"
"In post","2021","Undeclared","Other","Unknown","190","170","35430","32740"
"In post","2021","Undeclared","Planning","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Policy","Heterosexual / straight","610","600","44320","39680"
"In post","2021","Undeclared","Policy","LGBO","90","90","44740","37700"
"In post","2021","Undeclared","Policy","Undeclared","700","690","48190","47000"
"In post","2021","Undeclared","Policy","Unknown","250","240","44440","42470"
"In post","2021","Undeclared","Project Delivery","Heterosexual / straight","330","320","40280","38630"
"In post","2021","Undeclared","Project Delivery","LGBO","30","30","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Undeclared","440","430","42610","40000"
"In post","2021","Undeclared","Project Delivery","Unknown","130","130","45240","40580"
"In post","2021","Undeclared","Property","Heterosexual / straight","190","180","35850","33300"
"In post","2021","Undeclared","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Undeclared","250","240","37930","34690"
"In post","2021","Undeclared","Property","Unknown","90","80","36910","33280"
"In post","2021","Undeclared","Psychology","Heterosexual / straight","70","60","38120","31180"
"In post","2021","Undeclared","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","Undeclared","40","40","[c]","[c]"
"In post","2021","Undeclared","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","Heterosexual / straight","330","320","38190","35890"
"In post","2021","Undeclared","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","Undeclared","570","540","38770","37360"
"In post","2021","Undeclared","Science and Engineering","Unknown","140","130","41350","44290"
"In post","2021","Undeclared","Security","Heterosexual / straight","290","280","31640","27420"
"In post","2021","Undeclared","Security","LGBO","30","30","[c]","[c]"
"In post","2021","Undeclared","Security","Undeclared","310","300","35440","39070"
"In post","2021","Undeclared","Security","Unknown","60","60","39830","38910"
"In post","2021","Undeclared","Social Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","Heterosexual / straight","40","30","[c]","[c]"
