"Status","Year","Disability","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","HM Revenue and Customs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs","20-29","350","340","28470","25560"
"In post","2021","Declared disabled","HM Revenue and Customs","30-39","820","770","31810","30550"
"In post","2021","Declared disabled","HM Revenue and Customs","40-49","1340","1240","31190","27230"
"In post","2021","Declared disabled","HM Revenue and Customs","50-59","2270","2060","31960","28130"
"In post","2021","Declared disabled","HM Revenue and Customs","60-64","740","560","29020","25600"
"In post","2021","Declared disabled","HM Revenue and Customs","65+","220","160","28600","25630"
"In post","2021","Declared disabled","HM Treasury","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","20-29","90","80","38220","32320"
"In post","2021","Declared disabled","HM Treasury","30-39","60","60","50970","52530"
"In post","2021","Declared disabled","HM Treasury","40-49","40","30","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","50-59","50","50","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Home Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Home Office","20-29","230","220","28670","24890"
"In post","2021","Declared disabled","Home Office","30-39","580","550","31230","25630"
"In post","2021","Declared disabled","Home Office","40-49","800","740","32680","28650"
"In post","2021","Declared disabled","Home Office","50-59","1070","990","31950","28670"
"In post","2021","Declared disabled","Home Office","60-64","280","230","29690","26410"
"In post","2021","Declared disabled","Home Office","65+","110","80","25740","25580"
"In post","2021","Declared disabled","Ministry of Defence","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence","20-29","520","510","28780","27750"
"In post","2021","Declared disabled","Ministry of Defence","30-39","840","810","33990","33290"
"In post","2021","Declared disabled","Ministry of Defence","40-49","1060","1030","35700","33300"
"In post","2021","Declared disabled","Ministry of Defence","50-59","1990","1930","33740","32430"
"In post","2021","Declared disabled","Ministry of Defence","60-64","640","580","32060","29200"
"In post","2021","Declared disabled","Ministry of Defence","65+","220","190","30660","27200"
"In post","2021","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","20-29","70","70","35090","33210"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","30-39","80","80","42430","40540"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","40-49","70","60","43770","40190"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","50-59","90","90","44500","38700"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","20-29","930","920","25380","24020"
"In post","2021","Declared disabled","Ministry of Justice","30-39","1640","1560","28470","26570"
"In post","2021","Declared disabled","Ministry of Justice","40-49","2060","1940","30890","28200"
"In post","2021","Declared disabled","Ministry of Justice","50-59","3090","2910","30630","28200"
"In post","2021","Declared disabled","Ministry of Justice","60-64","980","810","28110","25400"
"In post","2021","Declared disabled","Ministry of Justice","65+","260","200","26620","22260"
"In post","2021","Declared disabled","National Crime Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","30-39","50","40","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","40-49","60","50","37540","36410"
"In post","2021","Declared disabled","National Crime Agency","50-59","60","60","42230","40060"
"In post","2021","Declared disabled","National Crime Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","40-49","40","40","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","50-59","60","50","50480","51360"
"In post","2021","Declared disabled","Office for Standards in Education","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","20-29","230","220","29450","28170"
"In post","2021","Declared disabled","Scottish Government","30-39","400","380","34830","32140"
"In post","2021","Declared disabled","Scottish Government","40-49","410","390","39040","33650"
"In post","2021","Declared disabled","Scottish Government","50-59","540","520","37780","33650"
"In post","2021","Declared disabled","Scottish Government","60-64","130","100","33940","33650"
"In post","2021","Declared disabled","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","20-29","80","70","29170","29540"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","30-39","100","90","33620","31270"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","40-49","110","100","36340","32780"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","50-59","160","140","31720","29540"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","60-64","50","40","26820","23520"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","65+","30","20","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","20-29","30","30","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","30-39","50","50","35470","34490"
"In post","2021","Declared disabled","Welsh Government","40-49","80","80","41030","37410"
"In post","2021","Declared disabled","Welsh Government","50-59","110","100","40990","37410"
"In post","2021","Declared disabled","Welsh Government","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Attorney General's Departments","20-29","730","720","32420","27440"
"In post","2021","Declared non-disabled","Attorney General's Departments","30-39","1500","1400","45790","50520"
"In post","2021","Declared non-disabled","Attorney General's Departments","40-49","1980","1810","48320","51250"
"In post","2021","Declared non-disabled","Attorney General's Departments","50-59","2070","1940","48490","51470"
"In post","2021","Declared non-disabled","Attorney General's Departments","60-64","370","320","47700","54200"
"In post","2021","Declared non-disabled","Attorney General's Departments","65+","90","80","43980","33210"
"In post","2021","Declared non-disabled","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Cabinet Office","20-29","1150","1150","37040","34550"
"In post","2021","Declared non-disabled","Cabinet Office","30-39","1350","1320","49030","54700"
"In post","2021","Declared non-disabled","Cabinet Office","40-49","1030","1000","57050","54700"
"In post","2021","Declared non-disabled","Cabinet Office","50-59","770","760","55610","49700"
"In post","2021","Declared non-disabled","Cabinet Office","60-64","160","140","51550","36460"
"In post","2021","Declared non-disabled","Cabinet Office","65+","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chancellor's other departments","20-29","60","60","37490","36590"
"In post","2021","Declared non-disabled","Chancellor's other departments","30-39","80","80","58530","51370"
"In post","2021","Declared non-disabled","Chancellor's other departments","40-49","100","90","66680","58490"
"In post","2021","Declared non-disabled","Chancellor's other departments","50-59","70","60","67300","50480"
"In post","2021","Declared non-disabled","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Charity Commission","30-39","70","60","33810","29160"
"In post","2021","Declared non-disabled","Charity Commission","40-49","70","70","37500","29420"
"In post","2021","Declared non-disabled","Charity Commission","50-59","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Competition and Markets Authority","20-29","140","140","39120","34570"
"In post","2021","Declared non-disabled","Competition and Markets Authority","30-39","270","260","59600","56360"
"In post","2021","Declared non-disabled","Competition and Markets Authority","40-49","180","170","69980","71000"
"In post","2021","Declared non-disabled","Competition and Markets Authority","50-59","120","110","67220","59260"
"In post","2021","Declared non-disabled","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","20-29","1760","1750","37540","34090"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","30-39","2310","2230","43810","40220"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","40-49","2170","2050","46230","43130"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","50-59","2020","1960","44340","40620"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","60-64","390","340","38960","35240"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","65+","150","120","38140","34420"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","20-29","510","510","41410","35180"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","30-39","440","430","52750","52130"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","40-49","210","200","59920","58750"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","50-59","130","130","53630","52300"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Education","20-29","920","910","36280","33300"
"In post","2021","Declared non-disabled","Department for Education","30-39","1480","1420","44720","42220"
"In post","2021","Declared non-disabled","Department for Education","40-49","1610","1520","48310","50130"
"In post","2021","Declared non-disabled","Department for Education","50-59","1290","1250","47470","44540"
"In post","2021","Declared non-disabled","Department for Education","60-64","220","200","46380","45250"
"In post","2021","Declared non-disabled","Department for Education","65+","60","50","43290","40300"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","20-29","1430","1420","29790","29180"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","30-39","1850","1750","35390","33120"
