"Status","Year","Sexual_orientation","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Debt","20-29","350","340","21580","20140"
"In post","2021","Heterosexual / straight","Debt","30-39","410","360","22600","20140"
"In post","2021","Heterosexual / straight","Debt","40-49","420","380","24870","21440"
"In post","2021","Heterosexual / straight","Debt","50-59","660","590","25370","24120"
"In post","2021","Heterosexual / straight","Debt","60-64","230","180","24700","21440"
"In post","2021","Heterosexual / straight","Debt","65+","70","50","25660","24630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","20-29","1030","1020","33940","31810"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","30-39","1970","1930","41290","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","40-49","2330","2280","45500","41090"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","50-59","2040","1980","43490","39460"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","60-64","430","380","40660","36300"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","65+","110","100","41070","35900"
"In post","2021","Heterosexual / straight","Finance","16-19","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","20-29","800","790","32910","30420"
"In post","2021","Heterosexual / straight","Finance","30-39","1350","1290","40900","37020"
"In post","2021","Heterosexual / straight","Finance","40-49","1750","1670","43250","38630"
"In post","2021","Heterosexual / straight","Finance","50-59","1950","1860","41100","36930"
"In post","2021","Heterosexual / straight","Finance","60-64","420","370","38640","33630"
"In post","2021","Heterosexual / straight","Finance","65+","130","110","32300","28990"
"In post","2021","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","20-29","50","50","22800","21050"
"In post","2021","Heterosexual / straight","Grants Management","30-39","140","120","25320","24920"
"In post","2021","Heterosexual / straight","Grants Management","40-49","270","240","26480","25220"
"In post","2021","Heterosexual / straight","Grants Management","50-59","250","230","28620","26520"
"In post","2021","Heterosexual / straight","Grants Management","60-64","70","60","26650","25190"
"In post","2021","Heterosexual / straight","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","20-29","970","960","30710","28420"
"In post","2021","Heterosexual / straight","Human Resources","30-39","1660","1570","36350","32330"
"In post","2021","Heterosexual / straight","Human Resources","40-49","1820","1720","41550","37910"
"In post","2021","Heterosexual / straight","Human Resources","50-59","2140","2060","40630","36030"
"In post","2021","Heterosexual / straight","Human Resources","60-64","410","350","36550","32030"
"In post","2021","Heterosexual / straight","Human Resources","65+","90","70","34450","32810"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","20-29","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","30-39","110","110","42510","39980"
"In post","2021","Heterosexual / straight","Internal Audit","40-49","150","140","48860","46350"
"In post","2021","Heterosexual / straight","Internal Audit","50-59","240","230","48670","45960"
"In post","2021","Heterosexual / straight","Internal Audit","60-64","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","20-29","1180","1170","31320","27050"
"In post","2021","Heterosexual / straight","Legal","30-39","2150","2020","45800","49930"
"In post","2021","Heterosexual / straight","Legal","40-49","2420","2210","48630","50630"
"In post","2021","Heterosexual / straight","Legal","50-59","2430","2280","48350","48080"
"In post","2021","Heterosexual / straight","Legal","60-64","500","420","47780","48080"
"In post","2021","Heterosexual / straight","Legal","65+","140","110","48260","52490"
"In post","2021","Heterosexual / straight","No function","16-19","240","230","21430","20600"
"In post","2021","Heterosexual / straight","No function","20-29","20660","20340","29090","26880"
"In post","2021","Heterosexual / straight","No function","30-39","27510","26020","33720","30810"
"In post","2021","Heterosexual / straight","No function","40-49","26010","24370","36060","31810"
"In post","2021","Heterosexual / straight","No function","50-59","31360","29420","34730","31370"
"In post","2021","Heterosexual / straight","No function","60-64","8520","7000","31480","27130"
"In post","2021","Heterosexual / straight","No function","65+","2620","1970","30080","25400"
"In post","2021","Heterosexual / straight","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","16-19","70","70","18940","17780"
"In post","2021","Heterosexual / straight","Project Delivery","20-29","2920","2900","30520","29350"
"In post","2021","Heterosexual / straight","Project Delivery","30-39","4480","4340","40370","38620"
"In post","2021","Heterosexual / straight","Project Delivery","40-49","4880","4720","44950","40650"
"In post","2021","Heterosexual / straight","Project Delivery","50-59","6070","5920","44190","40580"
"In post","2021","Heterosexual / straight","Project Delivery","60-64","1440","1290","41590","38630"
"In post","2021","Heterosexual / straight","Project Delivery","65+","400","340","38870","35980"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","20-29","500","480","27920","26410"
"In post","2021","Heterosexual / straight","Property","30-39","920","880","34780","33020"
"In post","2021","Heterosexual / straight","Property","40-49","1330","1280","36720","33300"
"In post","2021","Heterosexual / straight","Property","50-59","2190","2130","37600","33300"
"In post","2021","Heterosexual / straight","Property","60-64","700","630","35090","33300"
"In post","2021","Heterosexual / straight","Property","65+","240","210","32450","31140"
"In post","2021","Heterosexual / straight","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","20-29","730","730","26990","25680"
"In post","2021","Heterosexual / straight","Security","30-39","1000","990","32630","30890"
"In post","2021","Heterosexual / straight","Security","40-49","1200","1180","33440","33200"
"In post","2021","Heterosexual / straight","Security","50-59","2320","2290","31840","27420"
"In post","2021","Heterosexual / straight","Security","60-64","600","540","27210","20920"
"In post","2021","Heterosexual / straight","Security","65+","160","140","25340","20920"
"In post","2021","Heterosexual / straight","Unknown","16-19","250","250","22470","21010"
"In post","2021","Heterosexual / straight","Unknown","20-29","14160","13900","27560","27570"
"In post","2021","Heterosexual / straight","Unknown","30-39","22360","20930","31240","27570"
"In post","2021","Heterosexual / straight","Unknown","40-49","27910","25870","32700","27570"
"In post","2021","Heterosexual / straight","Unknown","50-59","36640","33990","31260","27570"
"In post","2021","Heterosexual / straight","Unknown","60-64","10180","8370","28970","27570"
"In post","2021","Heterosexual / straight","Unknown","65+","3070","2370","28030","26120"
"In post","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","20-29","230","230","35600","33610"
"In post","2021","LGBO","Analysis","30-39","120","110","46550","43890"
"In post","2021","LGBO","Analysis","40-49","50","50","51440","52040"
"In post","2021","LGBO","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","20-29","60","60","32250","29000"
"In post","2021","LGBO","Commercial","30-39","50","50","[c]","[c]"
"In post","2021","LGBO","Commercial","40-49","40","40","[c]","[c]"
"In post","2021","LGBO","Commercial","50-59","30","30","[c]","[c]"
"In post","2021","LGBO","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","20-29","130","130","31290","28840"
"In post","2021","LGBO","Communications","30-39","120","120","37700","33120"
"In post","2021","LGBO","Communications","40-49","60","60","43400","38630"
"In post","2021","LGBO","Communications","50-59","60","60","35770","31810"
"In post","2021","LGBO","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","20-29","60","60","31060","27850"
"In post","2021","LGBO","Counter Fraud","30-39","90","90","33680","31810"
"In post","2021","LGBO","Counter Fraud","40-49","60","60","34760","31810"
"In post","2021","LGBO","Counter Fraud","50-59","80","70","36360","31870"
"In post","2021","LGBO","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","20-29","60","60","21470","20140"
"In post","2021","LGBO","Debt","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","20-29","150","150","35960","32540"
"In post","2021","LGBO","Digital, Data & Technology","30-39","190","180","43260","39040"
"In post","2021","LGBO","Digital, Data & Technology","40-49","110","110","45350","40290"
"In post","2021","LGBO","Digital, Data & Technology","50-59","70","70","44000","40580"
"In post","2021","LGBO","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","20-29","60","60","32220","30390"
"In post","2021","LGBO","Finance","30-39","70","60","43230","40600"
"In post","2021","LGBO","Finance","40-49","70","70","46050","44130"
"In post","2021","LGBO","Finance","50-59","50","40","[c]","[c]"
"In post","2021","LGBO","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","20-29","130","120","33030","29360"
"In post","2021","LGBO","Human Resources","30-39","120","120","40280","36920"
"In post","2021","LGBO","Human Resources","40-49","100","100","46370","42110"
"In post","2021","LGBO","Human Resources","50-59","80","80","41620","39750"
"In post","2021","LGBO","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","20-29","130","130","31200","27350"
"In post","2021","LGBO","Legal","30-39","150","150","45500","50500"
"In post","2021","LGBO","Legal","40-49","130","130","53850","54780"
"In post","2021","LGBO","Legal","50-59","130","120","54140","55610"
"In post","2021","LGBO","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","20-29","2510","2480","30240","28000"
"In post","2021","LGBO","No function","30-39","2360","2320","35080","31650"
"In post","2021","LGBO","No function","40-49","1520","1480","38300","31900"
"In post","2021","LGBO","No function","50-59","1240","1190","35970","31650"
"In post","2021","LGBO","No function","60-64","240","200","32540","26780"
"In post","2021","LGBO","No function","65+","60","50","29390","24630"
"In post","2021","LGBO","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","20-29","240","240","31950","29750"
"In post","2021","LGBO","Project Delivery","30-39","300","300","42800","39200"
"In post","2021","LGBO","Project Delivery","40-49","210","200","47020","41950"
"In post","2021","LGBO","Project Delivery","50-59","160","160","47000","42110"
"In post","2021","LGBO","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","20-29","40","40","[c]","[c]"
"In post","2021","LGBO","Property","30-39","60","60","34100","30550"
"In post","2021","LGBO","Property","40-49","50","50","36650","33530"
"In post","2021","LGBO","Property","50-59","50","50","40590","35930"
"In post","2021","LGBO","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","20-29","60","60","29000","26610"
"In post","2021","LGBO","Security","30-39","90","90","32890","32260"
"In post","2021","LGBO","Security","40-49","50","50","36160","33930"
"In post","2021","LGBO","Security","50-59","50","50","32980","31810"
"In post","2021","LGBO","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","16-19","30","30","[c]","[c]"
"In post","2021","LGBO","Unknown","20-29","1570","1540","27690","27570"
"In post","2021","LGBO","Unknown","30-39","1570","1530","31440","27570"
"In post","2021","LGBO","Unknown","40-49","1330","1280","33470","27570"
"In post","2021","LGBO","Unknown","50-59","1260","1200","32370","27570"
"In post","2021","LGBO","Unknown","60-64","280","230","28850","27570"
"In post","2021","LGBO","Unknown","65+","90","70","27110","25890"
"In post","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","20-29","140","130","35730","33880"
"In post","2021","Undeclared","Analysis","30-39","150","140","45350","42480"
"In post","2021","Undeclared","Analysis","40-49","100","90","51640","49850"
"In post","2021","Undeclared","Analysis","50-59","80","80","48340","42480"
"In post","2021","Undeclared","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","20-29","50","50","31080","32260"
"In post","2021","Undeclared","Commercial","30-39","100","90","36680","38280"
"In post","2021","Undeclared","Commercial","40-49","140","140","41060","35300"
"In post","2021","Undeclared","Commercial","50-59","210","210","43790","39580"
"In post","2021","Undeclared","Commercial","60-64","60","50","39380","33300"
"In post","2021","Undeclared","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","20-29","80","80","31690","31810"
"In post","2021","Undeclared","Communications","30-39","130","130","35370","31810"
"In post","2021","Undeclared","Communications","40-49","100","100","35610","31810"
"In post","2021","Undeclared","Communications","50-59","140","130","34370","30980"
"In post","2021","Undeclared","Communications","60-64","30","30","[c]","[c]"
"In post","2021","Undeclared","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","20-29","50","50","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","30-39","120","120","33230","31810"
"In post","2021","Undeclared","Counter Fraud","40-49","240","230","35380","31810"
"In post","2021","Undeclared","Counter Fraud","50-59","400","380","36620","32520"
"In post","2021","Undeclared","Counter Fraud","60-64","110","80","36000","31870"
"In post","2021","Undeclared","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","40-49","80","70","23210","21440"
"In post","2021","Undeclared","Debt","50-59","120","110","25020","21440"
"In post","2021","Undeclared","Debt","60-64","50","40","24670","21440"
"In post","2021","Undeclared","Debt","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","20-29","120","110","33490","31040"
"In post","2021","Undeclared","Digital, Data & Technology","30-39","250","240","43220","40420"
"In post","2021","Undeclared","Digital, Data & Technology","40-49","350","340","42520","39120"
"In post","2021","Undeclared","Digital, Data & Technology","50-59","410","400","40640","38450"
"In post","2021","Undeclared","Digital, Data & Technology","60-64","80","70","40380","39450"
"In post","2021","Undeclared","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","20-29","70","70","31850","30240"
"In post","2021","Undeclared","Finance","30-39","120","120","42990","40580"
"In post","2021","Undeclared","Finance","40-49","230","210","41670","37580"
"In post","2021","Undeclared","Finance","50-59","340","320","38990","34980"
"In post","2021","Undeclared","Finance","60-64","90","80","35560","31280"
"In post","2021","Undeclared","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","20-29","50","40","[c]","[c]"
"In post","2021","Undeclared","Human Resources","30-39","110","110","34900","30790"
"In post","2021","Undeclared","Human Resources","40-49","190","180","36920","33300"
"In post","2021","Undeclared","Human Resources","50-59","250","240","37410","33300"
"In post","2021","Undeclared","Human Resources","60-64","60","50","33180","31780"
"In post","2021","Undeclared","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","50-59","50","50","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","20-29","270","270","26310","22820"
"In post","2021","Undeclared","Legal","30-39","500","460","33700","29350"
"In post","2021","Undeclared","Legal","40-49","550","500","39210","30540"
"In post","2021","Undeclared","Legal","50-59","760","690","36000","29350"
"In post","2021","Undeclared","Legal","60-64","230","190","31110","22820"
"In post","2021","Undeclared","Legal","65+","70","50","31570","22820"
"In post","2021","Undeclared","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","20-29","1770","1730","30830","28870"
"In post","2021","Undeclared","No function","30-39","2910","2760","33850","31220"
"In post","2021","Undeclared","No function","40-49","3670","3440","34250","31370"
"In post","2021","Undeclared","No function","50-59","5320","4940","33750","30200"
"In post","2021","Undeclared","No function","60-64","1660","1290","30770","26780"
"In post","2021","Undeclared","No function","65+","550","380","30830","26780"
"In post","2021","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","20-29","230","230","31760","30850"
"In post","2021","Undeclared","Project Delivery","30-39","430","420","41640","39860"
"In post","2021","Undeclared","Project Delivery","40-49","680","660","42960","40580"
"In post","2021","Undeclared","Project Delivery","50-59","1170","1140","42230","39030"
"In post","2021","Undeclared","Project Delivery","60-64","320","280","39800","37960"
"In post","2021","Undeclared","Project Delivery","65+","90","70","38050","35000"
"In post","2021","Undeclared","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","20-29","40","30","[c]","[c]"
"In post","2021","Undeclared","Property","30-39","100","90","33400","32100"
"In post","2021","Undeclared","Property","40-49","190","180","36020","33300"
"In post","2021","Undeclared","Property","50-59","380","360","38870","35100"
"In post","2021","Undeclared","Property","60-64","120","110","36090","33300"
"In post","2021","Undeclared","Property","65+","40","40","[c]","[c]"
"In post","2021","Undeclared","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","20-29","60","60","31060","28890"
"In post","2021","Undeclared","Security","30-39","140","140","36240","37480"
"In post","2021","Undeclared","Security","40-49","230","230","35410","39070"
"In post","2021","Undeclared","Security","50-59","380","380","35850","39070"
"In post","2021","Undeclared","Security","60-64","100","90","31710","33150"
"In post","2021","Undeclared","Security","65+","30","30","[c]","[c]"
"In post","2021","Undeclared","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","20-29","1000","980","28450","27570"
"In post","2021","Undeclared","Unknown","30-39","2050","1930","32510","27570"
"In post","2021","Undeclared","Unknown","40-49","3520","3260","32260","27570"
"In post","2021","Undeclared","Unknown","50-59","5980","5550","30640","27570"
"In post","2021","Undeclared","Unknown","60-64","1790","1460","28990","27570"
"In post","2021","Undeclared","Unknown","65+","550","420","29030","26930"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","20-29","560","550","34350","32320"
"In post","2021","Unknown","Analysis","30-39","460","450","42040","38010"
"In post","2021","Unknown","Analysis","40-49","330","310","46280","43900"
"In post","2021","Unknown","Analysis","50-59","210","200","47790","41700"
"In post","2021","Unknown","Analysis","60-64","50","40","[c]","[c]"
"In post","2021","Unknown","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","20-29","250","240","37570","33930"
"In post","2021","Unknown","Commercial","30-39","450","440","52750","49700"
"In post","2021","Unknown","Commercial","40-49","630","620","61230","56520"
"In post","2021","Unknown","Commercial","50-59","580","570","62310","55240"
"In post","2021","Unknown","Commercial","60-64","80","70","54480","50400"
"In post","2021","Unknown","Commercial","65+","30","20","[c]","[c]"
"In post","2021","Unknown","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","20-29","860","850","29080","25560"
"In post","2021","Unknown","Communications","30-39","790","770","34200","31810"
"In post","2021","Unknown","Communications","40-49","510","490","38460","31810"
"In post","2021","Unknown","Communications","50-59","340","320","34860","29360"
"In post","2021","Unknown","Communications","60-64","50","40","[c]","[c]"
"In post","2021","Unknown","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","20-29","430","430","28420","25560"
"In post","2021","Unknown","Counter Fraud","30-39","560","540","30920","29570"
"In post","2021","Unknown","Counter Fraud","40-49","550","520","31930","31810"
"In post","2021","Unknown","Counter Fraud","50-59","730","690","33700","31810"
"In post","2021","Unknown","Counter Fraud","60-64","200","160","33440","29570"
"In post","2021","Unknown","Counter Fraud","65+","50","30","33550","31990"
"In post","2021","Unknown","Debt","16-19","40","30","[c]","[c]"
"In post","2021","Unknown","Debt","20-29","630","620","21010","20140"
"In post","2021","Unknown","Debt","30-39","400","370","21480","20140"
"In post","2021","Unknown","Debt","40-49","320","290","22780","20140"
"In post","2021","Unknown","Debt","50-59","460","410","24140","21440"
"In post","2021","Unknown","Debt","60-64","150","120","24080","21440"
"In post","2021","Unknown","Debt","65+","50","40","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
