"Status","Year","Responsibility_level","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","SEO/HEO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Property","Female","1190","1120","36470","35000"
"In post","2021","SEO/HEO","Property","Male","1980","1920","37610","36460"
"In post","2021","SEO/HEO","Psychology","Female","720","690","37380","32350"
"In post","2021","SEO/HEO","Psychology","Male","80","80","36990","33710"
"In post","2021","SEO/HEO","Science and Engineering","Female","2240","2060","36320","37080"
"In post","2021","SEO/HEO","Science and Engineering","Male","4370","4270","37420","37320"
"In post","2021","SEO/HEO","Security","Female","470","460","38570","37320"
"In post","2021","SEO/HEO","Security","Male","880","870","41520","38630"
"In post","2021","SEO/HEO","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Social Research","Female","550","520","37960","37020"
"In post","2021","SEO/HEO","Social Research","Male","230","220","36090","36770"
"In post","2021","SEO/HEO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Statistics","Female","490","460","36670","37020"
"In post","2021","SEO/HEO","Statistics","Male","530","520","36980","36820"
"In post","2021","SEO/HEO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Tax","Female","3340","3120","34440","31870"
"In post","2021","SEO/HEO","Tax","Male","3810","3660","34720","31940"
"In post","2021","SEO/HEO","Unknown","Female","12260","11580","35280","34290"
"In post","2021","SEO/HEO","Unknown","Male","9270","9070","36090","35110"
"In post","2021","SEO/HEO","Veterinarian","Female","170","160","40310","37530"
"In post","2021","SEO/HEO","Veterinarian","Male","120","110","40980","37910"
"In post","2021","Unknown","Commercial","Female","110","100","36870","33010"
"In post","2021","Unknown","Commercial","Male","110","110","40320","38240"
"In post","2021","Unknown","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data and Technology","Male","50","50","37220","37440"
"In post","2021","Unknown","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Female","80","80","41270","39860"
"In post","2021","Unknown","Finance","Male","60","50","41440","40410"
"In post","2021","Unknown","Human Resources","Female","30","30","[c]","[c]"
"In post","2021","Unknown","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Male","40","40","[c]","[c]"
"In post","2021","Unknown","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","Female","9420","8610","29650","28200"
"In post","2021","Unknown","Operational Delivery","Male","2780","2680","30840","30210"
"In post","2021","Unknown","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","Female","210","210","34760","33570"
"In post","2021","Unknown","Other","Male","1850","1850","38680","35380"
"In post","2021","Unknown","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Female","170","160","38410","36480"
"In post","2021","Unknown","Project Delivery","Male","380","380","45260","41920"
"In post","2021","Unknown","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","Male","30","30","[c]","[c]"
"In post","2021","Unknown","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Science and Engineering","Female","80","80","38580","33740"
"In post","2021","Unknown","Science and Engineering","Male","730","720","39420","37190"
"In post","2021","Unknown","Security","Female","50","40","[c]","[c]"
"In post","2021","Unknown","Security","Male","40","40","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","110","100","[c]","[c]"
"In post","2021","Unknown","Unknown","Male","150","140","[c]","[c]"
"In post","2022","AA/AO","Commercial","Female","170","150","22420","21640"
"In post","2022","AA/AO","Commercial","Male","150","140","22720","21640"
"In post","2022","AA/AO","Communications","Female","120","110","22280","21790"
"In post","2022","AA/AO","Communications","Male","90","90","22350","21830"
"In post","2022","AA/AO","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Counter Fraud","Female","1000","810","22530","21260"
"In post","2022","AA/AO","Counter Fraud","Male","490","460","22430","21260"
"In post","2022","AA/AO","Digital, Data and Technology","Female","280","260","21790","21280"
"In post","2022","AA/AO","Digital, Data and Technology","Male","390","380","21990","21380"
"In post","2022","AA/AO","Economics","Female","30","30","[c]","[c]"
"In post","2022","AA/AO","Economics","Male","50","50","[c]","[c]"
"In post","2022","AA/AO","Finance","Female","660","570","21990","21380"
"In post","2022","AA/AO","Finance","Male","330","310","22010","21380"
"In post","2022","AA/AO","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Geography","Male","50","40","[c]","[c]"
"In post","2022","AA/AO","Human Resources","Female","900","810","21960","21380"
"In post","2022","AA/AO","Human Resources","Male","330","320","22020","21410"
"In post","2022","AA/AO","Intelligence Analysis","Female","70","60","23320","21960"
"In post","2022","AA/AO","Intelligence Analysis","Male","40","40","[c]","[c]"
"In post","2022","AA/AO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Knowledge and Information Management","Female","230","220","22240","21380"
"In post","2022","AA/AO","Knowledge and Information Management","Male","140","130","22350","21380"
"In post","2022","AA/AO","Legal","Female","160","130","22190","22080"
"In post","2022","AA/AO","Legal","Male","110","110","22660","22080"
"In post","2022","AA/AO","Medicine","Female","310","290","22810","23280"
"In post","2022","AA/AO","Medicine","Male","40","30","[c]","[c]"
"In post","2022","AA/AO","Operational Delivery","Female","60250","51210","22300","21260"
"In post","2022","AA/AO","Operational Delivery","Male","42900","40750","23930","21840"
"In post","2022","AA/AO","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Other","Female","6460","5800","21510","21260"
"In post","2022","AA/AO","Other","Male","4100","3990","21190","21170"
"In post","2022","AA/AO","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Planning","Male","[c]","[c]","[c]","[c]"
