"Status","Year","Sex","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Declared disabled","Insolvency Service","120","110","31440","28980"
"In post","2021","Female","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Legal Aid Agency","80","80","25210","21810"
"In post","2021","Female","Declared disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Medicines and Healthcare Products Regulatory Agency","30","30","[c]","[c]"
"In post","2021","Female","Declared disabled","Met Office","50","50","34840","32810"
"In post","2021","Female","Declared disabled","Ministry of Defence (excl. agencies)","1670","1580","30840","26670"
"In post","2021","Female","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","150","150","42180","39600"
"In post","2021","Female","Declared disabled","Ministry of Justice (excl. agencies)","350","330","39770","35290"
"In post","2021","Female","Declared disabled","National Crime Agency","100","100","37000","36310"
"In post","2021","Female","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Office for Standards in Education, Children's Services and Skills","100","90","44830","51360"
"In post","2021","Female","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Office of the Public Guardian","120","110","22330","21170"
"In post","2021","Female","Declared disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Public Health England","230","210","36950","32330"
"In post","2021","Female","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Registers of Scotland","80","70","32380","30080"
"In post","2021","Female","Declared disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Rural Payments Agency","110","90","26450","24920"
"In post","2021","Female","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Scottish Government (excl. agencies)","400","380","40260","35110"
"In post","2021","Female","Declared disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Scottish Prison Service","120","120","32840","33650"
"In post","2021","Female","Declared disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Social Security Scotland","80","70","27370","23340"
"In post","2021","Female","Declared disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Submarine Delivery Agency","80","80","37000","35630"
"In post","2021","Female","Declared disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","UK Intellectual Property Office","30","30","[c]","[c]"
"In post","2021","Female","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","United Kingdom Statistics Authority","330","290","31190","29540"
"In post","2021","Female","Declared disabled","Valuation Office Agency","140","120","30160","26000"
"In post","2021","Female","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Welsh Government (excl. agencies)","190","170","38370","37410"
"In post","2021","Female","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Accountant in Bankruptcy","50","40","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Advisory, Conciliation and Arbitration Service","130","120","32890","30950"
"In post","2021","Female","Declared non-disabled","Animal and Plant Health Agency","1200","1110","30070","26520"
"In post","2021","Female","Declared non-disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Cabinet Office (excl. agencies)","2390","2300","46490","40600"
"In post","2021","Female","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","200","190","31220","29270"
"In post","2021","Female","Declared non-disabled","Charity Commission","120","110","35790","29160"
"In post","2021","Female","Declared non-disabled","Companies House","390","350","29900","24900"
"In post","2021","Female","Declared non-disabled","Competition and Markets Authority","360","340","57760","55860"
"In post","2021","Female","Declared non-disabled","Criminal Injuries Compensation Authority","90","80","28600","22710"
"In post","2021","Female","Declared non-disabled","Crown Commercial Service","120","120","38710","35290"
"In post","2021","Female","Declared non-disabled","Crown Office and Procurator Fiscal Service","1310","1200","34780","29040"
"In post","2021","Female","Declared non-disabled","Crown Prosecution Service","3000","2680","40780","34160"
"In post","2021","Female","Declared non-disabled","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Defence Electronics and Components Agency","40","40","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Defence Equipment and Support","2700","2530","34020","31600"
"In post","2021","Female","Declared non-disabled","Defence Science and Technology Laboratory","1050","980","37890","37320"
"In post","2021","Female","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","1800","1720","48400","49080"
"In post","2021","Female","Declared non-disabled","Department for Digital, Culture, Media and Sport","720","700","48500","51730"
"In post","2021","Female","Declared non-disabled","Department for Education (excl. agencies)","2250","2120","44990","41990"
"In post","2021","Female","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","2040","1920","41640","37240"
"In post","2021","Female","Declared non-disabled","Department for International Trade","640","620","46030","40810"
"In post","2021","Female","Declared non-disabled","Department for Transport (excl. agencies)","1040","990","47480","43360"
"In post","2021","Female","Declared non-disabled","Department for Work and Pensions (excl. agencies)","45040","38720","27260","27570"
"In post","2021","Female","Declared non-disabled","Department of Health and Social Care (excl. agencies)","510","480","49160","50260"
"In post","2021","Female","Declared non-disabled","Disclosure Scotland","60","60","27570","24110"
"In post","2021","Female","Declared non-disabled","Driver and Vehicle Licensing Agency","2680","2220","24690","21590"
"In post","2021","Female","Declared non-disabled","Driver and Vehicle Standards Agency","930","840","29370","26780"
"In post","2021","Female","Declared non-disabled","Education and Skills Funding Agency","790","750","41850","37100"
"In post","2021","Female","Declared non-disabled","Education Scotland","100","90","55710","61010"
"In post","2021","Female","Declared non-disabled","ESTYN","60","50","54760","69690"
"In post","2021","Female","Declared non-disabled","FCDO Services","260","240","38910","32090"
"In post","2021","Female","Declared non-disabled","Food Standards Agency","280","260","40230","37910"
"In post","2021","Female","Declared non-disabled","Food Standards Scotland","50","50","36130","33620"
"In post","2021","Female","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","2550","2470","47180","41770"
"In post","2021","Female","Declared non-disabled","Forestry and Land Scotland","290","270","31530","29140"
"In post","2021","Female","Declared non-disabled","Government Actuary's Department","50","50","61950","62730"
"In post","2021","Female","Declared non-disabled","Government Internal Audit Agency","180","160","46860","44020"
"In post","2021","Female","Declared non-disabled","Government Legal Department","1210","1100","53760","51830"
"In post","2021","Female","Declared non-disabled","Government Property Agency","70","70","45400","45200"
"In post","2021","Female","Declared non-disabled","Health and Safety Executive","1010","910","38750","35910"
"In post","2021","Female","Declared non-disabled","HM Courts and Tribunals Service","8400","7300","24760","21180"
"In post","2021","Female","Declared non-disabled","HM Land Registry","2270","1940","31900","27130"
"In post","2021","Female","Declared non-disabled","HM Prison and Probation Service","18400","17110","29790","27380"
"In post","2021","Female","Declared non-disabled","HM Revenue and Customs (excl. agencies)","18900","16740","31590","28130"
"In post","2021","Female","Declared non-disabled","HM Treasury (excl. agencies)","720","700","47110","43590"
"In post","2021","Female","Declared non-disabled","Home Office (incl. agencies)","14910","13420","31340","27240"
"In post","2021","Female","Declared non-disabled","Insolvency Service","630","590","32750","29320"
"In post","2021","Female","Declared non-disabled","Institute for Apprenticeships and Technical Education","110","110","47450","49960"
"In post","2021","Female","Declared non-disabled","Legal Aid Agency","530","480","28060","22570"
"In post","2021","Female","Declared non-disabled","Maritime and Coastguard Agency","330","300","33130","31040"
"In post","2021","Female","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","340","320","50260","45570"
"In post","2021","Female","Declared non-disabled","Met Office","740","690","38460","38800"
"In post","2021","Female","Declared non-disabled","Ministry of Defence (excl. agencies)","11650","11030","30840","26670"
"In post","2021","Female","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","970","930","45740","41210"
"In post","2021","Female","Declared non-disabled","Ministry of Justice (excl. agencies)","2050","1960","40640","36800"
"In post","2021","Female","Declared non-disabled","National Crime Agency","740","700","40990","39840"
"In post","2021","Female","Declared non-disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","National Records of Scotland","120","110","36630","33620"
"In post","2021","Female","Declared non-disabled","National Savings and Investments","90","90","47420","43300"
"In post","2021","Female","Declared non-disabled","Northern Ireland Office","50","50","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","970","930","49500","51360"
"In post","2021","Female","Declared non-disabled","Office of Gas and Electricity Markets","470","460","43580","37620"
"In post","2021","Female","Declared non-disabled","Office of Qualifications and Examinations Regulation","100","90","41270","38000"
"In post","2021","Female","Declared non-disabled","Office of Rail and Road","120","110","50290","49580"
"In post","2021","Female","Declared non-disabled","Office of the Public Guardian","530","480","22200","20420"
"In post","2021","Female","Declared non-disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Planning Inspectorate","270","250","40810","34860"
"In post","2021","Female","Declared non-disabled","Public Health England","3160","2850","40200","35610"
"In post","2021","Female","Declared non-disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Registers of Scotland","260","250","33470","30080"
"In post","2021","Female","Declared non-disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Rural Payments Agency","1110","960","26030","24920"
"In post","2021","Female","Declared non-disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Scottish Courts and Tribunals Service","70","70","29280","22820"
"In post","2021","Female","Declared non-disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Scottish Forestry","80","80","30630","30160"
"In post","2021","Female","Declared non-disabled","Scottish Government (excl. agencies)","2440","2290","43650","39660"
"In post","2021","Female","Declared non-disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Scottish Prison Service","40","30","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Scottish Public Pensions Agency","80","60","29640","29190"
"In post","2021","Female","Declared non-disabled","Serious Fraud Office","130","130","43960","40000"
"In post","2021","Female","Declared non-disabled","Social Security Scotland","370","360","30500","26160"
"In post","2021","Female","Declared non-disabled","Standards and Testing Agency","60","60","42850","40860"
"In post","2021","Female","Declared non-disabled","Student Awards Agency for Scotland","40","40","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Submarine Delivery Agency","400","370","37940","34050"
"In post","2021","Female","Declared non-disabled","Teaching Regulation Agency","30","30","[c]","[c]"
"In post","2021","Female","Declared non-disabled","The National Archives","190","180","35270","33930"
"In post","2021","Female","Declared non-disabled","Transport Scotland","120","110","40720","37210"
"In post","2021","Female","Declared non-disabled","UK Export Finance","150","140","49280","43000"
"In post","2021","Female","Declared non-disabled","UK Hydrographic Office","190","170","34450","33290"
"In post","2021","Female","Declared non-disabled","UK Intellectual Property Office","510","460","34990","30170"
"In post","2021","Female","Declared non-disabled","UK Space Agency","70","70","45080","40050"
"In post","2021","Female","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","United Kingdom Statistics Authority","1510","1310","32970","29540"
"In post","2021","Female","Declared non-disabled","Valuation Office Agency","1200","1070","33090","30000"
"In post","2021","Female","Declared non-disabled","Vehicle Certification Agency","60","50","29610","27250"
"In post","2021","Female","Declared non-disabled","Veterinary Medicines Directorate","80","80","38910","35580"
"In post","2021","Female","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Water Services Regulation Authority","90","80","56760","49710"
"In post","2021","Female","Declared non-disabled","Welsh Government (excl. agencies)","2960","2730","40000","37410"
"In post","2021","Female","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared non-disabled","Wilton Park","50","50","32580","27530"
"In post","2021","Female","Undeclared","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Animal and Plant Health Agency","70","60","29010","26190"
"In post","2021","Female","Undeclared","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Cabinet Office (excl. agencies)","140","140","42530","36200"
"In post","2021","Female","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Criminal Injuries Compensation Authority","40","30","[c]","[c]"
"In post","2021","Female","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Crown Office and Procurator Fiscal Service","50","50","38950","34150"
"In post","2021","Female","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Defence Equipment and Support","200","190","35790","33560"
"In post","2021","Female","Undeclared","Defence Science and Technology Laboratory","110","100","40460","39030"
"In post","2021","Female","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","120","120","48240","53380"
"In post","2021","Female","Undeclared","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Female","Undeclared","Department for Education (excl. agencies)","150","140","44190","40230"
"In post","2021","Female","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","130","130","40660","36970"
"In post","2021","Female","Undeclared","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Department for Transport (excl. agencies)","320","310","41520","35430"
"In post","2021","Female","Undeclared","Department for Work and Pensions (excl. agencies)","2410","2160","27070","27570"
"In post","2021","Female","Undeclared","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Driver and Vehicle Licensing Agency","240","200","24390","21590"
"In post","2021","Female","Undeclared","Driver and Vehicle Standards Agency","60","60","29970","26780"
"In post","2021","Female","Undeclared","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","Female","Undeclared","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Food Standards Agency","220","220","38340","37350"
"In post","2021","Female","Undeclared","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","130","120","45920","39260"
"In post","2021","Female","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Government Legal Department","70","70","56020","54680"
"In post","2021","Female","Undeclared","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Health and Safety Executive","70","70","40040","35910"
"In post","2021","Female","Undeclared","HM Courts and Tribunals Service","810","710","24360","20650"
"In post","2021","Female","Undeclared","HM Land Registry","120","100","31200","27130"
"In post","2021","Female","Undeclared","HM Prison and Probation Service","2740","2470","30040","29060"
"In post","2021","Female","Undeclared","HM Revenue and Customs (excl. agencies)","1310","1140","31700","28130"
"In post","2021","Female","Undeclared","HM Treasury (excl. agencies)","140","140","40970","33820"
"In post","2021","Female","Undeclared","Home Office (incl. agencies)","810","720","32230","28670"
"In post","2021","Female","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Legal Aid Agency","60","50","24760","21170"
"In post","2021","Female","Undeclared","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Ministry of Defence (excl. agencies)","1000","950","30610","26670"
"In post","2021","Female","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","70","70","44780","42980"
"In post","2021","Female","Undeclared","Ministry of Justice (excl. agencies)","240","230","40730","37510"
"In post","2021","Female","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Office of the Public Guardian","60","50","22840","20420"
"In post","2021","Female","Undeclared","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Public Health England","360","300","43320","39460"
"In post","2021","Female","Undeclared","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Scottish Government (excl. agencies)","70","60","41310","35110"
"In post","2021","Female","Undeclared","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","UK Hydrographic Office","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","United Kingdom Statistics Authority","80","60","27770","23050"
"In post","2021","Female","Undeclared","Valuation Office Agency","130","110","31500","29630"
"In post","2021","Female","Undeclared","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Welsh Government (excl. agencies)","90","80","41130","37410"
"In post","2021","Female","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Advisory, Conciliation and Arbitration Service","410","370","31900","30950"
"In post","2021","Female","Unknown","Animal and Plant Health Agency","110","110","29290","25320"
"In post","2021","Female","Unknown","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Cabinet Office (excl. agencies)","2120","2090","42310","32000"
"In post","2021","Female","Unknown","Centre for Environment, Fisheries and Aquaculture Science","70","60","33540","30220"
"In post","2021","Female","Unknown","Charity Commission","120","110","33160","29160"
"In post","2021","Female","Unknown","Companies House","150","120","26390","22490"
"In post","2021","Female","Unknown","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Female","Unknown","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Crown Commercial Service","250","240","35340","34800"
"In post","2021","Female","Unknown","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Crown Prosecution Service","1000","940","35800","28810"
"In post","2021","Female","Unknown","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Debt Management Office","40","40","[c]","[c]"
"In post","2021","Female","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Defence Equipment and Support","320","290","33990","32240"
"In post","2021","Female","Unknown","Defence Science and Technology Laboratory","190","170","35970","37320"
"In post","2021","Female","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","430","420","44300","40050"
"In post","2021","Female","Unknown","Department for Digital, Culture, Media and Sport","140","130","47880","51730"
"In post","2021","Female","Unknown","Department for Education (excl. agencies)","640","620","40160","36500"
"In post","2021","Female","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","460","430","42990","38750"
"In post","2021","Female","Unknown","Department for International Trade","500","490","42690","38540"
"In post","2021","Female","Unknown","Department for Transport (excl. agencies)","80","80","44990","42470"
