"Status","Year","Disability","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Male","No function","51080","49330","35370","31650"
"In post","2021","Declared non-disabled","Male","Project Delivery","11020","10840","42540","39860"
"In post","2021","Declared non-disabled","Male","Property","3700","3610","36980","33300"
"In post","2021","Declared non-disabled","Male","Security","4020","3960","31190","26670"
"In post","2021","Declared non-disabled","Male","Unknown","48560","46860","31950","27570"
"In post","2021","Declared non-disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Analysis","140","130","41680","40470"
"In post","2021","Undeclared","Female","Commercial","180","170","38620","34800"
"In post","2021","Undeclared","Female","Communications","170","160","37490","31970"
"In post","2021","Undeclared","Female","Counter Fraud","230","210","33910","31810"
"In post","2021","Undeclared","Female","Debt","100","80","23820","21440"
"In post","2021","Undeclared","Female","Digital, Data & Technology","220","210","40350","38070"
"In post","2021","Undeclared","Female","Finance","270","240","37250","33300"
"In post","2021","Undeclared","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Human Resources","340","320","37160","33270"
"In post","2021","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Legal","220","200","49870","50940"
"In post","2021","Undeclared","Female","No function","6230","5600","31220","28130"
"In post","2021","Undeclared","Female","Project Delivery","630","600","39260","36870"
"In post","2021","Undeclared","Female","Property","250","230","32870","31050"
"In post","2021","Undeclared","Female","Security","120","120","36190","33300"
"In post","2021","Undeclared","Female","Unknown","3980","3600","29100","27570"
"In post","2021","Undeclared","Male","Analysis","230","230","44100","42020"
"In post","2021","Undeclared","Male","Commercial","210","210","45460","41500"
"In post","2021","Undeclared","Male","Communications","190","190","34550","31590"
"In post","2021","Undeclared","Male","Counter Fraud","420","400","36800","32100"
"In post","2021","Undeclared","Male","Debt","110","100","24830","21440"
"In post","2021","Undeclared","Male","Digital, Data & Technology","460","450","41000","38450"
"In post","2021","Undeclared","Male","Finance","250","240","41100","37370"
"In post","2021","Undeclared","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Human Resources","170","160","37680","33300"
"In post","2021","Undeclared","Male","Internal Audit","30","30","[c]","[c]"
"In post","2021","Undeclared","Male","Legal","150","150","51740","50750"
"In post","2021","Undeclared","Male","No function","7630","7200","33950","31650"
"In post","2021","Undeclared","Male","Project Delivery","1170","1140","40550","38400"
"In post","2021","Undeclared","Male","Property","370","360","37910","33880"
"In post","2021","Undeclared","Male","Security","570","560","34450","36550"
"In post","2021","Undeclared","Male","Unknown","3660","3550","31150","27570"
"In post","2021","Unknown","Female","Analysis","770","730","39710","36390"
"In post","2021","Unknown","Female","Commercial","980","940","51700","49700"
"In post","2021","Unknown","Female","Communications","1290","1230","34280","29220"
"In post","2021","Unknown","Female","Counter Fraud","1000","920","30390","28130"
"In post","2021","Unknown","Female","Debt","950","850","22090","20140"
"In post","2021","Unknown","Female","Digital, Data & Technology","1100","1060","40230","36740"
"In post","2021","Unknown","Female","Finance","940","860","35370","31810"
"In post","2021","Unknown","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Human Resources","1050","980","34370","30360"
"In post","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Legal","2740","2490","35450","29350"
"In post","2021","Unknown","Female","No function","20640","18990","30420","25870"
"In post","2021","Unknown","Female","Project Delivery","1950","1840","41150","38600"
"In post","2021","Unknown","Female","Property","630","590","28220","25300"
"In post","2021","Unknown","Female","Security","430","410","30190","26670"
"In post","2021","Unknown","Female","Unknown","7250","6820","34640","29160"
"In post","2021","Unknown","Male","Analysis","920","900","41280","36370"
"In post","2021","Unknown","Male","Commercial","1060","1050","56280","52540"
"In post","2021","Unknown","Male","Communications","1290","1270","32560","25560"
"In post","2021","Unknown","Male","Counter Fraud","1230","1190","32700","31810"
"In post","2021","Unknown","Male","Debt","830","810","22070","20140"
"In post","2021","Unknown","Male","Digital, Data & Technology","2210","2190","40720","37720"
"In post","2021","Unknown","Male","Finance","810","790","38190","33000"
"In post","2021","Unknown","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Human Resources","480","470","33980","31700"
"In post","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Legal","1340","1290","38430","31180"
"In post","2021","Unknown","Male","No function","19540","18890","32580","28970"
"In post","2021","Unknown","Male","Project Delivery","2290","2250","42700","39860"
"In post","2021","Unknown","Male","Property","990","960","31430","28790"
"In post","2021","Unknown","Male","Security","1640","1620","30900","28600"
"In post","2021","Unknown","Male","Unknown","8260","8130","35900","31060"
"In post","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Female","Analysis","380","350","41370","37930"
"In post","2022","Declared disabled","Female","Commercial","260","240","38040","37040"
"In post","2022","Declared disabled","Female","Communications","350","330","35520","33080"
"In post","2022","Declared disabled","Female","Counter Fraud","1170","1020","30460","27570"
"In post","2022","Declared disabled","Female","Debt","530","440","23540","21260"
"In post","2022","Declared disabled","Female","Digital, Data & Technology","870","820","38040","34550"
"In post","2022","Declared disabled","Female","Finance","660","590","36340","32440"
"In post","2022","Declared disabled","Female","Grants Management","120","100","25410","21300"
"In post","2022","Declared disabled","Female","Human Resources","1110","1040","38110","33680"
"In post","2022","Declared disabled","Female","Internal Audit","60","50","43950","40580"
"In post","2022","Declared disabled","Female","Legal","790","710","43000","39750"
"In post","2022","Declared disabled","Female","No function","20910","18450","29340","27570"
"In post","2022","Declared disabled","Female","Project Delivery","1370","1270","39010","35390"
"In post","2022","Declared disabled","Female","Property","380","350","36520","33300"
"In post","2022","Declared disabled","Female","Security","280","270","32390","29060"
"In post","2022","Declared disabled","Female","Unknown","3650","3370","33320","28990"
"In post","2022","Declared disabled","Male","Analysis","340","330","41780","38020"
"In post","2022","Declared disabled","Male","Commercial","200","200","41310","37430"
"In post","2022","Declared disabled","Male","Communications","250","250","33820","33080"
"In post","2022","Declared disabled","Male","Counter Fraud","820","760","31940","27570"
"In post","2022","Declared disabled","Male","Debt","280","260","23170","21260"
"In post","2022","Declared disabled","Male","Digital, Data & Technology","1130","1100","39920","36050"
"In post","2022","Declared disabled","Male","Finance","480","460","39330","35310"
"In post","2022","Declared disabled","Male","Grants Management","70","60","25350","21300"
"In post","2022","Declared disabled","Male","Human Resources","490","480","38150","33370"
"In post","2022","Declared disabled","Male","Internal Audit","40","40","[c]","[c]"
"In post","2022","Declared disabled","Male","Legal","430","410","46730","49930"
"In post","2022","Declared disabled","Male","No function","12050","11380","31080","27570"
"In post","2022","Declared disabled","Male","Project Delivery","1250","1210","40550","39080"
"In post","2022","Declared disabled","Male","Property","400","390","36870","33300"
"In post","2022","Declared disabled","Male","Security","580","560","33470","33300"
"In post","2022","Declared disabled","Male","Unknown","2940","2840","34050","29430"
"In post","2022","Declared non-disabled","Female","Analysis","2630","2460","43070","38340"
"In post","2022","Declared non-disabled","Female","Commercial","1840","1750","40840","37280"
"In post","2022","Declared non-disabled","Female","Communications","2760","2610","37220","33370"
"In post","2022","Declared non-disabled","Female","Counter Fraud","6150","5480","31110","27570"
"In post","2022","Declared non-disabled","Female","Debt","2700","2270","23860","21260"
"In post","2022","Declared non-disabled","Female","Digital, Data & Technology","5580","5290","40240","37070"
"In post","2022","Declared non-disabled","Female","Finance","4730","4370","37910","34150"
"In post","2022","Declared non-disabled","Female","Grants Management","1220","1070","24780","21300"
"In post","2022","Declared non-disabled","Female","Human Resources","5460","5090","37740","33300"
"In post","2022","Declared non-disabled","Female","Internal Audit","300","280","44610","42530"
"In post","2022","Declared non-disabled","Female","Legal","5510","5010","46300","48990"
"In post","2022","Declared non-disabled","Female","No function","104940","94010","30930","27570"
"In post","2022","Declared non-disabled","Female","Project Delivery","8300","7780","41110","38070"
"In post","2022","Declared non-disabled","Female","Property","2770","2580","35530","33000"
"In post","2022","Declared non-disabled","Female","Security","1840","1760","33390","32000"
"In post","2022","Declared non-disabled","Female","Unknown","28690","26420","34230","29370"
"In post","2022","Declared non-disabled","Male","Analysis","3050","3000","45400","40520"
"In post","2022","Declared non-disabled","Male","Commercial","1660","1640","46760","40600"
"In post","2022","Declared non-disabled","Male","Communications","2250","2230","36150","33080"
"In post","2022","Declared non-disabled","Male","Counter Fraud","5220","5010","34220","31880"
"In post","2022","Declared non-disabled","Male","Debt","1560","1480","24170","21260"
"In post","2022","Declared non-disabled","Male","Digital, Data & Technology","9090","8930","42690","39650"
"In post","2022","Declared non-disabled","Male","Finance","3720","3650","42690","39350"
"In post","2022","Declared non-disabled","Male","Grants Management","870","850","25550","21300"
"In post","2022","Declared non-disabled","Male","Human Resources","2400","2350","39210","34260"
"In post","2022","Declared non-disabled","Male","Internal Audit","260","250","48190","46430"
"In post","2022","Declared non-disabled","Male","Legal","2990","2900","50260","52040"
"In post","2022","Declared non-disabled","Male","No function","72670","70210","33930","29180"
"In post","2022","Declared non-disabled","Male","Project Delivery","10450","10250","43300","40520"
"In post","2022","Declared non-disabled","Male","Property","3510","3420","39720","36050"
"In post","2022","Declared non-disabled","Male","Security","4870","4790","32650","30210"
"In post","2022","Declared non-disabled","Male","Unknown","24720","24040","35700","30820"
"In post","2022","Declared non-disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Analysis","130","120","43230","40090"
"In post","2022","Undeclared","Female","Commercial","120","120","39160","36490"
"In post","2022","Undeclared","Female","Communications","140","140","37700","33370"
"In post","2022","Undeclared","Female","Counter Fraud","410","360","32070","28920"
"In post","2022","Undeclared","Female","Debt","180","150","23300","21260"
"In post","2022","Undeclared","Female","Digital, Data & Technology","360","340","38900","35900"
"In post","2022","Undeclared","Female","Finance","310","290","37180","33370"
"In post","2022","Undeclared","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Human Resources","410","390","36430","33300"
"In post","2022","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Legal","180","160","51170","53370"
"In post","2022","Undeclared","Female","No function","7780","6990","30330","27570"
"In post","2022","Undeclared","Female","Project Delivery","510","480","39480","37930"
"In post","2022","Undeclared","Female","Property","250","240","34980","31900"
"In post","2022","Undeclared","Female","Security","180","170","35640","33300"
"In post","2022","Undeclared","Female","Unknown","1600","1470","32780","28760"
"In post","2022","Undeclared","Male","Analysis","150","140","45460","40670"
"In post","2022","Undeclared","Male","Commercial","150","150","46150","41090"
"In post","2022","Undeclared","Male","Communications","170","170","34280","29200"
"In post","2022","Undeclared","Male","Counter Fraud","550","530","35920","33370"
"In post","2022","Undeclared","Male","Debt","150","140","23910","21260"
"In post","2022","Undeclared","Male","Digital, Data & Technology","840","820","41130","37910"
"In post","2022","Undeclared","Male","Finance","320","310","41650","37590"
"In post","2022","Undeclared","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Male","Human Resources","210","200","37030","33370"
"In post","2022","Undeclared","Male","Internal Audit","30","30","[c]","[c]"
"In post","2022","Undeclared","Male","Legal","140","130","51960","54810"
"In post","2022","Undeclared","Male","No function","8290","7830","33090","31650"
"In post","2022","Undeclared","Male","Project Delivery","890","860","43000","40580"
"In post","2022","Undeclared","Male","Property","400","380","39310","36050"
"In post","2022","Undeclared","Male","Security","690","680","34920","36480"
"In post","2022","Undeclared","Male","Unknown","1910","1850","33930","30040"
"In post","2022","Undeclared","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Analysis","840","800","41270","38340"
"In post","2022","Unknown","Female","Commercial","1190","1150","52680","50530"
"In post","2022","Unknown","Female","Communications","1320","1260","36060","32790"
"In post","2022","Unknown","Female","Counter Fraud","1270","1180","31800","28920"
"In post","2022","Unknown","Female","Debt","770","680","23300","21250"
"In post","2022","Unknown","Female","Digital, Data & Technology","1450","1400","41040","37170"
"In post","2022","Unknown","Female","Finance","1170","1090","36260","32940"
"In post","2022","Unknown","Female","Human Resources","1100","1030","34850","30740"
"In post","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Legal","1590","1470","42930","40520"
"In post","2022","Unknown","Female","No function","26030","24050","31420","27570"
"In post","2022","Unknown","Female","Project Delivery","1670","1580","42770","40180"
"In post","2022","Unknown","Female","Property","730","690","30700","26670"
"In post","2022","Unknown","Female","Security","470","450","32080","28890"
"In post","2022","Unknown","Female","Unknown","7580","7220","35570","30040"
"In post","2022","Unknown","Male","Analysis","940","920","42600","38000"
"In post","2022","Unknown","Male","Commercial","1200","1190","57330","54070"
"In post","2022","Unknown","Male","Communications","1290","1280","34010","27270"
"In post","2022","Unknown","Male","Counter Fraud","1450","1410","33980","33080"
"In post","2022","Unknown","Male","Debt","660","640","23760","21250"
"In post","2022","Unknown","Male","Digital, Data & Technology","2750","2720","41910","38500"
"In post","2022","Unknown","Male","Finance","990","970","39190","35310"
"In post","2022","Unknown","Male","Human Resources","550","540","36290","33080"
"In post","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Legal","790","770","46170","48080"
"In post","2022","Unknown","Male","No function","21860","21110","33260","29250"
"In post","2022","Unknown","Male","Project Delivery","2140","2090","43490","40520"
"In post","2022","Unknown","Male","Property","1110","1090","33630","29900"
"In post","2022","Unknown","Male","Security","1790","1750","32140","29250"
"In post","2022","Unknown","Male","Unknown","8570","8400","36160","31540"
"In post","2022","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Legal","30","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","No function","490","420","25330","21580"
"Leaver CS","2021","Declared disabled","Female","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Female","Unknown","1000","780","27890","26890"
"Leaver CS","2021","Declared disabled","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","No function","400","360","30310","26600"
"Leaver CS","2021","Declared disabled","Male","Project Delivery","50","50","39360","35790"
"Leaver CS","2021","Declared disabled","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Security","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Male","Unknown","700","610","29290","26890"
"Leaver CS","2021","Declared disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Analysis","60","50","34870","29540"
"Leaver CS","2021","Declared non-disabled","Female","Commercial","60","50","45200","38000"
"Leaver CS","2021","Declared non-disabled","Female","Communications","70","60","37450","35590"
"Leaver CS","2021","Declared non-disabled","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Digital, Data & Technology","70","60","39980","35590"
"Leaver CS","2021","Declared non-disabled","Female","Finance","80","70","41280","36540"
"Leaver CS","2021","Declared non-disabled","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Human Resources","120","110","37290","32310"
"Leaver CS","2021","Declared non-disabled","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Legal","220","180","45450","45220"
"Leaver CS","2021","Declared non-disabled","Female","No function","2510","2200","30630","23530"
"Leaver CS","2021","Declared non-disabled","Female","Project Delivery","190","170","36630","32430"
"Leaver CS","2021","Declared non-disabled","Female","Property","100","80","29590","26000"
"Leaver CS","2021","Declared non-disabled","Female","Security","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Female","Unknown","4780","3850","28310","25490"
"Leaver CS","2021","Declared non-disabled","Male","Analysis","80","70","43750","35010"
"Leaver CS","2021","Declared non-disabled","Male","Commercial","80","80","49520","41680"
"Leaver CS","2021","Declared non-disabled","Male","Communications","70","70","39610","31420"
"Leaver CS","2021","Declared non-disabled","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Digital, Data & Technology","130","130","44860","40150"
"Leaver CS","2021","Declared non-disabled","Male","Finance","70","70","45420","44790"
"Leaver CS","2021","Declared non-disabled","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Human Resources","70","70","40270","36800"
"Leaver CS","2021","Declared non-disabled","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Male","Legal","160","140","51160","51820"
"Leaver CS","2021","Declared non-disabled","Male","No function","2390","2200","36260","27750"
"Leaver CS","2021","Declared non-disabled","Male","Project Delivery","350","330","40850","37390"
"Leaver CS","2021","Declared non-disabled","Male","Property","210","200","33940","31060"
"Leaver CS","2021","Declared non-disabled","Male","Security","170","160","30550","27050"
"Leaver CS","2021","Declared non-disabled","Male","Unknown","3390","3030","31620","27570"
"Leaver CS","2021","Declared non-disabled","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","No function","350","280","30130","22680"
"Leaver CS","2021","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Female","Unknown","370","310","29850","26890"
"Leaver CS","2021","Undeclared","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","No function","450","390","34700","31650"
"Leaver CS","2021","Undeclared","Male","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Security","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Male","Unknown","340","310","31150","27570"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Analysis","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Commercial","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Communications","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Digital, Data & Technology","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Grants Management","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Human Resources","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
