"Status","Year","Profession_of_post","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Female","80","70","43860","40800"
"In post","2021","Corporate Finance","Finance","Male","60","60","49560","46080"
"In post","2021","Corporate Finance","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Female","270","260","38820","36030"
"In post","2021","Counter Fraud","Counter Fraud","Male","400","390","42080","39490"
"In post","2021","Counter Fraud","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Female","110","100","25620","25310"
"In post","2021","Counter Fraud","Unknown","Male","70","60","29190","25580"
"In post","2021","Digital, Data and Technology","Analysis","Female","100","100","41970","41990"
"In post","2021","Digital, Data and Technology","Analysis","Male","140","130","42370","42220"
"In post","2021","Digital, Data and Technology","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Female","3840","3660","39970","36780"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Male","7000","6900","41480","38450"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","Female","100","90","37500","32140"
"In post","2021","Digital, Data and Technology","No function","Male","130","130","41090","36960"
"In post","2021","Digital, Data and Technology","Project Delivery","Female","110","100","37820","37320"
"In post","2021","Digital, Data and Technology","Project Delivery","Male","330","320","44380","44400"
"In post","2021","Digital, Data and Technology","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Female","450","430","47490","44100"
"In post","2021","Digital, Data and Technology","Unknown","Male","1000","990","48490","44970"
"In post","2021","Economics","Analysis","Female","430","420","46270","37950"
"In post","2021","Economics","Analysis","Male","840","830","46560","40480"
"In post","2021","Economics","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","Female","50","50","44150","36820"
"In post","2021","Economics","Finance","Male","50","50","[c]","[c]"
"In post","2021","Economics","No function","Female","190","180","47630","51610"
"In post","2021","Economics","No function","Male","280","280","48310","48410"
"In post","2021","Economics","Project Delivery","Female","40","40","[c]","[c]"
"In post","2021","Economics","Project Delivery","Male","70","60","56830","56610"
"In post","2021","Economics","Unknown","Female","80","70","45870","40870"
"In post","2021","Economics","Unknown","Male","130","130","46740","35910"
"In post","2021","Finance","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","Male","30","30","[c]","[c]"
"In post","2021","Finance","Commercial","Female","40","40","[c]","[c]"
"In post","2021","Finance","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Female","4270","3940","37290","33300"
"In post","2021","Finance","Finance","Male","3290","3220","43000","39000"
"In post","2021","Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Female","210","200","41040","37100"
"In post","2021","Finance","No function","Male","200","200","45380","40230"
"In post","2021","Finance","Project Delivery","Female","230","210","42330","39860"
"In post","2021","Finance","Project Delivery","Male","180","180","44040","41000"
"In post","2021","Finance","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Female","350","330","42040","37410"
"In post","2021","Finance","Unknown","Male","280","280","45730","41970"
"In post","2021","Human Resources","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Female","4940","4620","37860","33300"
"In post","2021","Human Resources","Human Resources","Male","1990","1950","39350","35000"
"In post","2021","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Female","50","50","42190","38390"
"In post","2021","Human Resources","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Female","510","470","40730","37180"
"In post","2021","Human Resources","Unknown","Male","270","260","41400","36620"
"In post","2021","Inspector of Education and Training","No function","Female","600","590","63550","64500"
"In post","2021","Inspector of Education and Training","No function","Male","260","250","73380","75500"
"In post","2021","Intelligence Analysis","Analysis","Female","140","130","51920","53360"
"In post","2021","Intelligence Analysis","Analysis","Male","150","150","52390","53360"
"In post","2021","Intelligence Analysis","Counter Fraud","Female","90","80","36840","31960"
"In post","2021","Intelligence Analysis","Counter Fraud","Male","110","110","38700","36160"
"In post","2021","Intelligence Analysis","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","No function","Female","310","290","29880","27380"
"In post","2021","Intelligence Analysis","No function","Male","180","170","34130","32040"
"In post","2021","Intelligence Analysis","Security","Female","100","100","43680","38860"
"In post","2021","Intelligence Analysis","Security","Male","100","100","47960","39770"
"In post","2021","Intelligence Analysis","Unknown","Female","930","860","30970","29080"
"In post","2021","Intelligence Analysis","Unknown","Male","1310","1270","33680","30980"
"In post","2021","Internal Audit","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","Female","380","360","43830","41340"
"In post","2021","Internal Audit","Internal Audit","Male","360","350","48160","45390"
"In post","2021","Internal Audit","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","No function","Female","640","630","45850","39590"
"In post","2021","International Trade","No function","Male","820","820","47820","42470"
"In post","2021","International Trade","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Commercial","Female","330","310","30720","26670"
"In post","2021","Knowledge and Information Management","Commercial","Male","360","350","36140","33300"
"In post","2021","Knowledge and Information Management","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","Female","70","60","35040","33640"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","Male","80","80","40350","39120"
"In post","2021","Knowledge and Information Management","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","No function","Female","640","580","37380","34010"
"In post","2021","Knowledge and Information Management","No function","Male","340","330","40320","36800"
"In post","2021","Knowledge and Information Management","Project Delivery","Female","70","60","37270","37320"
"In post","2021","Knowledge and Information Management","Project Delivery","Male","130","120","37230","35790"
"In post","2021","Knowledge and Information Management","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Female","110","100","36590","34490"
"In post","2021","Knowledge and Information Management","Unknown","Male","100","100","38240","37410"
"In post","2021","Legal","Counter Fraud","Female","1400","1310","30010","28130"
"In post","2021","Legal","Counter Fraud","Male","1930","1880","32370","31810"
"In post","2021","Legal","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","Female","5520","4990","53330","52490"
"In post","2021","Legal","Legal","Male","3120","3020","56240","55610"
"In post","2021","Legal","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Female","100","90","56140","60830"
"In post","2021","Legal","Unknown","Male","50","50","57450","60830"
"In post","2021","Medicine","No function","Female","280","240","96970","96860"
"In post","2021","Medicine","No function","Male","170","150","106540","105470"
"In post","2021","Medicine","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Project Delivery","Male","30","30","[c]","[c]"
"In post","2021","Medicine","Unknown","Female","1430","1270","42870","37890"
"In post","2021","Medicine","Unknown","Male","560","530","55420","46290"
"In post","2021","Operational Delivery","Analysis","Female","320","290","31620","29540"
"In post","2021","Operational Delivery","Analysis","Male","260","260","33270","30130"
"In post","2021","Operational Delivery","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Commercial","Female","180","170","36510","33790"
"In post","2021","Operational Delivery","Commercial","Male","230","220","48070","41100"
"In post","2021","Operational Delivery","Communications","Female","760","690","29930","26520"
"In post","2021","Operational Delivery","Communications","Male","760","750","29870","25980"
"In post","2021","Operational Delivery","Counter Fraud","Female","1630","1440","29530","28130"
"In post","2021","Operational Delivery","Counter Fraud","Male","1260","1220","30940","28130"
"In post","2021","Operational Delivery","Debt","Female","2080","1740","23890","21440"
"In post","2021","Operational Delivery","Debt","Male","1500","1420","24020","21440"
"In post","2021","Operational Delivery","Digital, Data & Technology","Female","250","240","33760","31810"
"In post","2021","Operational Delivery","Digital, Data & Technology","Male","220","220","36820","31810"
"In post","2021","Operational Delivery","Finance","Female","490","430","28080","25560"
"In post","2021","Operational Delivery","Finance","Male","370","360","29810","25560"
"In post","2021","Operational Delivery","Grants Management","Female","1090","950","25060","21050"
"In post","2021","Operational Delivery","Grants Management","Male","800","780","25980","24920"
"In post","2021","Operational Delivery","Human Resources","Female","650","590","29380","25560"
"In post","2021","Operational Delivery","Human Resources","Male","290","280","30260","25560"
"In post","2021","Operational Delivery","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Legal","Female","3610","3240","26990","25480"
"In post","2021","Operational Delivery","Legal","Male","1560","1510","28070","25560"
"In post","2021","Operational Delivery","No function","Female","69120","61620","27500","24360"
"In post","2021","Operational Delivery","No function","Male","57670","55090","30130","27460"
"In post","2021","Operational Delivery","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Project Delivery","Female","1120","1030","33650","30630"
"In post","2021","Operational Delivery","Project Delivery","Male","780","760","38550","36110"
"In post","2021","Operational Delivery","Property","Female","870","790","27390","21250"
"In post","2021","Operational Delivery","Property","Male","580","560","31080","24500"
"In post","2021","Operational Delivery","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Female","14720","13080","28100","25630"
"In post","2021","Operational Delivery","Unknown","Male","12910","12280","29070","25990"
"In post","2021","Operational Research","Analysis","Female","230","210","43040","39000"
"In post","2021","Operational Research","Analysis","Male","430","420","44750","46080"
"In post","2021","Operational Research","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","No function","Female","130","120","42950","46080"
"In post","2021","Operational Research","No function","Male","170","170","45790","46090"
"In post","2021","Operational Research","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Female","50","50","[c]","[c]"
"In post","2021","Operational Research","Unknown","Male","130","120","45650","41700"
"In post","2021","Other","Analysis","Female","80","70","60160","58760"
"In post","2021","Other","Analysis","Male","140","130","66740","57250"
"In post","2021","Other","Commercial","Female","30","30","[c]","[c]"
"In post","2021","Other","Commercial","Male","30","30","[c]","[c]"
"In post","2021","Other","Communications","Female","80","80","30500","27290"
"In post","2021","Other","Communications","Male","170","170","23790","20410"
"In post","2021","Other","Counter Fraud","Female","180","150","36950","31810"
"In post","2021","Other","Counter Fraud","Male","160","150","40580","35000"
"In post","2021","Other","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Other","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","Female","110","100","39790","33110"
"In post","2021","Other","Finance","Male","50","40","[c]","[c]"
"In post","2021","Other","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Other","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Other","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other","Legal","Female","240","230","31110","27580"
"In post","2021","Other","Legal","Male","120","120","30770","27350"
"In post","2021","Other","No function","Female","1260","1190","35760","30850"
"In post","2021","Other","No function","Male","1060","1010","44550","35740"
"In post","2021","Other","Project Delivery","Female","1350","1260","33570","28520"
"In post","2021","Other","Project Delivery","Male","2000","1960","35000","30810"
"In post","2021","Other","Property","Female","80","70","32840","25900"
"In post","2021","Other","Property","Male","250","240","31640","28870"
"In post","2021","Other","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Other","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","Female","7300","6900","27600","22080"
"In post","2021","Other","Unknown","Male","7900","7760","31000","28650"
"In post","2021","Planning","No function","Female","80","70","46620","42140"
"In post","2021","Planning","No function","Male","70","70","46190","40590"
"In post","2021","Planning","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","No function","Female","130","110","57850","58810"
"In post","2021","Planning Inspectors","No function","Male","220","190","57960","58810"
"In post","2021","Policy","Analysis","Female","180","170","47430","45250"
"In post","2021","Policy","Analysis","Male","170","160","47630","45540"
"In post","2021","Policy","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Human Resources","Female","60","60","36150","36030"
"In post","2021","Policy","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Legal","Female","40","40","[c]","[c]"
"In post","2021","Policy","Legal","Male","40","30","[c]","[c]"
"In post","2021","Policy","No function","Female","11040","10630","45570","40220"
"In post","2021","Policy","No function","Male","9600","9520","48450","46660"
"In post","2021","Policy","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Project Delivery","Female","1320","1250","50600","52580"
"In post","2021","Policy","Project Delivery","Male","1130","1100","53870","54400"
"In post","2021","Policy","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Female","3010","2870","45460","41970"
"In post","2021","Policy","Unknown","Male","2330","2300","49410","45200"
"In post","2021","Project Delivery","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Commercial","Male","50","50","47750","43600"
"In post","2021","Project Delivery","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Finance","Female","40","30","[c]","[c]"
"In post","2021","Project Delivery","Finance","Male","40","40","[c]","[c]"
"In post","2021","Project Delivery","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","No function","Female","110","110","41030","36770"
"In post","2021","Project Delivery","No function","Male","110","100","42660","36800"
"In post","2021","Project Delivery","Project Delivery","Female","7020","6700","40120","37320"
"In post","2021","Project Delivery","Project Delivery","Male","7020","6910","44120","40580"
"In post","2021","Project Delivery","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Property","Female","30","30","[c]","[c]"
"In post","2021","Project Delivery","Property","Male","40","40","[c]","[c]"
"In post","2021","Project Delivery","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Female","800","770","44020","41140"
"In post","2021","Project Delivery","Unknown","Male","650","640","46130","41970"
"In post","2021","Property","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Property","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","No function","Male","[c]","[c]","[c]","[c]"
