"Status","Year","Parent_department","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Competition and Markets Authority","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Declared disabled","660","620","41430","37820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Declared non-disabled","5340","5140","44140","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Undeclared","160","150","43350","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Unknown","850","810","38120","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Declared disabled","120","120","40070","33640"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Declared non-disabled","440","430","44880","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Unknown","80","80","40680","39580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Declared disabled","70","60","40430","35840"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Declared non-disabled","410","390","47390","46880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Undeclared","210","210","46500","44750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Unknown","240","220","39920","38670"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Declared disabled","190","170","34340","32730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Declared non-disabled","2630","2490","39480","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","1740","1680","33600","30170"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Declared disabled","80","80","48390","39360"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Declared non-disabled","1110","1090","49900","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Declared non-disabled","140","140","47720","44770"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Declared non-disabled","60","60","49820","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","220","220","48400","48580"
"In post","2021","Department for Education","Heterosexual / straight","Declared disabled","530","500","41480","37100"
"In post","2021","Department for Education","Heterosexual / straight","Declared non-disabled","4180","4020","44810","40780"
"In post","2021","Department for Education","Heterosexual / straight","Undeclared","220","210","43600","37100"
"In post","2021","Department for Education","Heterosexual / straight","Unknown","570","560","37820","36500"
"In post","2021","Department for Education","LGBO","Declared disabled","70","70","39650","33510"
"In post","2021","Department for Education","LGBO","Declared non-disabled","290","280","45020","40510"
"In post","2021","Department for Education","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Unknown","50","50","37110","32940"
"In post","2021","Department for Education","Undeclared","Declared disabled","60","60","41770","37100"
"In post","2021","Department for Education","Undeclared","Declared non-disabled","330","310","45360","43250"
"In post","2021","Department for Education","Undeclared","Undeclared","110","100","45250","42580"
"In post","2021","Department for Education","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2021","Department for Education","Unknown","Declared disabled","60","50","44600","40940"
"In post","2021","Department for Education","Unknown","Declared non-disabled","790","760","46050","42930"
"In post","2021","Department for Education","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","600","580","41650","36500"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Declared disabled","840","790","34700","30730"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Declared non-disabled","5850","5560","37250","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Undeclared","190","180","36870","33570"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Unknown","80","80","41860","37360"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Declared disabled","120","110","35110","31740"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Declared non-disabled","370","360","36860","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Declared disabled","110","100","34540","31760"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Declared non-disabled","520","500","36540","33510"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Undeclared","200","190","37280","33800"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Declared disabled","100","90","29190","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Declared non-disabled","1490","1390","28500","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Unknown","1120","1060","39930","36520"
"In post","2021","Department for International Trade","Heterosexual / straight","Declared disabled","120","120","45620","41640"
"In post","2021","Department for International Trade","Heterosexual / straight","Declared non-disabled","1100","1090","46840","42230"
"In post","2021","Department for International Trade","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Heterosexual / straight","Unknown","290","290","45250","38540"
"In post","2021","Department for International Trade","LGBO","Declared disabled","30","30","[c]","[c]"
"In post","2021","Department for International Trade","LGBO","Declared non-disabled","120","120","48990","49370"
"In post","2021","Department for International Trade","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","LGBO","Unknown","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Declared non-disabled","70","70","43770","38540"
"In post","2021","Department for International Trade","Undeclared","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Declared non-disabled","120","120","44950","38960"
"In post","2021","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Unknown","660","660","44300","38540"
"In post","2021","Department for Transport","Heterosexual / straight","Declared disabled","880","790","30420","26780"
"In post","2021","Department for Transport","Heterosexual / straight","Declared non-disabled","8430","7920","34600","29730"
"In post","2021","Department for Transport","Heterosexual / straight","Undeclared","350","330","29410","26590"
"In post","2021","Department for Transport","Heterosexual / straight","Unknown","300","280","36050","31350"
"In post","2021","Department for Transport","LGBO","Declared disabled","80","80","35530","30420"
"In post","2021","Department for Transport","LGBO","Declared non-disabled","430","410","36070","31100"
"In post","2021","Department for Transport","LGBO","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Transport","LGBO","Unknown","30","30","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Declared disabled","380","310","25860","21590"
"In post","2021","Department for Transport","Undeclared","Declared non-disabled","1960","1700","29420","26780"
"In post","2021","Department for Transport","Undeclared","Undeclared","450","410","29640","26780"
"In post","2021","Department for Transport","Undeclared","Unknown","130","130","43260","40080"
"In post","2021","Department for Transport","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","Department for Transport","Unknown","Declared non-disabled","220","190","28550","26580"
"In post","2021","Department for Transport","Unknown","Undeclared","710","690","42650","36160"
"In post","2021","Department for Transport","Unknown","Unknown","1550","1460","26910","26350"
"In post","2021","Department for Work and Pensions","Heterosexual / straight","Declared disabled","11260","9890","27450","27570"
"In post","2021","Department for Work and Pensions","Heterosexual / straight","Declared non-disabled","46660","42410","28610","27570"
"In post","2021","Department for Work and Pensions","Heterosexual / straight","Undeclared","2260","2090","27760","27570"
"In post","2021","Department for Work and Pensions","Heterosexual / straight","Unknown","390","360","28350","27570"
"In post","2021","Department for Work and Pensions","LGBO","Declared disabled","1120","1050","27830","27570"
"In post","2021","Department for Work and Pensions","LGBO","Declared non-disabled","2410","2320","28340","27570"
"In post","2021","Department for Work and Pensions","LGBO","Undeclared","190","180","28060","27570"
"In post","2021","Department for Work and Pensions","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Undeclared","Declared disabled","1650","1430","26860","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Declared non-disabled","4980","4420","28090","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Undeclared","950","900","29700","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Unknown","40","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Unknown","Declared disabled","1520","1280","26260","27570"
"In post","2021","Department for Work and Pensions","Unknown","Declared non-disabled","16490","14040","27100","27570"
"In post","2021","Department for Work and Pensions","Unknown","Undeclared","800","720","27250","27570"
"In post","2021","Department for Work and Pensions","Unknown","Unknown","2790","2670","28980","27570"
"In post","2021","Department of Health and Social Care","Heterosexual / straight","Declared disabled","360","340","40750","36330"
"In post","2021","Department of Health and Social Care","Heterosexual / straight","Declared non-disabled","4870","4500","43290","38200"
"In post","2021","Department of Health and Social Care","Heterosexual / straight","Undeclared","200","170","45360","40070"
"In post","2021","Department of Health and Social Care","Heterosexual / straight","Unknown","1390","1340","46260","40650"
"In post","2021","Department of Health and Social Care","LGBO","Declared disabled","70","70","38600","32480"
"In post","2021","Department of Health and Social Care","LGBO","Declared non-disabled","280","260","43340","38020"
"In post","2021","Department of Health and Social Care","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","LGBO","Unknown","110","110","44180","40650"
"In post","2021","Department of Health and Social Care","Undeclared","Declared disabled","50","40","[c]","[c]"
"In post","2021","Department of Health and Social Care","Undeclared","Declared non-disabled","490","440","44550","38200"
"In post","2021","Department of Health and Social Care","Undeclared","Undeclared","280","250","46730","40070"
"In post","2021","Department of Health and Social Care","Undeclared","Unknown","180","170","50220","42960"
"In post","2021","Department of Health and Social Care","Unknown","Declared disabled","50","40","[c]","[c]"
"In post","2021","Department of Health and Social Care","Unknown","Declared non-disabled","240","220","53290","49530"
"In post","2021","Department of Health and Social Care","Unknown","Undeclared","60","60","53230","46780"
"In post","2021","Department of Health and Social Care","Unknown","Unknown","3130","3010","47510","40850"
"In post","2021","ESTYN","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Heterosexual / straight","Declared non-disabled","90","80","58230","74730"
"In post","2021","ESTYN","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Declared disabled","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Heterosexual / straight","Declared non-disabled","480","460","38230","32940"
"In post","2021","Food Standards Agency","Heterosexual / straight","Undeclared","340","330","38470","37350"
"In post","2021","Food Standards Agency","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Undeclared","Undeclared","70","70","39750","37910"
"In post","2021","Food Standards Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Declared non-disabled","270","250","33210","28660"
"In post","2021","Food Standards Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Declared disabled","620","610","43530","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Declared non-disabled","4980","4870","47520","42510"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Undeclared","120","120","47490","41600"
"In post","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","Unknown","260","250","52720","53630"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Declared disabled","80","80","44120","41810"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Declared non-disabled","300","300","48200","44670"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Declared disabled","60","60","44770","38910"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Declared non-disabled","380","380","47850","41200"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Undeclared","210","200","49310","44170"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Declared non-disabled","240","230","46200","42890"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Unknown","1280","1260","47730","48500"
"In post","2021","HM Land Registry","Heterosexual / straight","Declared disabled","350","300","30630","27130"
"In post","2021","HM Land Registry","Heterosexual / straight","Declared non-disabled","2590","2320","33380","30600"
"In post","2021","HM Land Registry","Heterosexual / straight","Undeclared","50","50","29700","27130"
"In post","2021","HM Land Registry","Heterosexual / straight","Unknown","560","540","27210","22350"
"In post","2021","HM Land Registry","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Declared non-disabled","60","60","32690","33840"
"In post","2021","HM Land Registry","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","LGBO","Unknown","60","60","25430","22350"
"In post","2021","HM Land Registry","Undeclared","Declared disabled","70","60","31130","27130"
"In post","2021","HM Land Registry","Undeclared","Declared non-disabled","440","380","33480","27130"
"In post","2021","HM Land Registry","Undeclared","Undeclared","170","150","33230","33840"
"In post","2021","HM Land Registry","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Declared disabled","50","40","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Declared non-disabled","600","500","31620","27130"
"In post","2021","HM Land Registry","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Unknown","Unknown","1310","1260","27390","22350"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Declared disabled","4080","3660","31450","28130"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Declared non-disabled","29630","27500","33340","31810"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Undeclared","910","850","31420","28130"
"In post","2021","HM Revenue and Customs","Heterosexual / straight","Unknown","2080","1830","29580","25560"
"In post","2021","HM Revenue and Customs","LGBO","Declared disabled","430","400","31630","31810"
"In post","2021","HM Revenue and Customs","LGBO","Declared non-disabled","1560","1510","32780","29570"
"In post","2021","HM Revenue and Customs","LGBO","Undeclared","120","110","30350","25600"
"In post","2021","HM Revenue and Customs","LGBO","Unknown","120","110","29310","25560"
"In post","2021","HM Revenue and Customs","Undeclared","Declared disabled","500","450","31530","28130"
"In post","2021","HM Revenue and Customs","Undeclared","Declared non-disabled","2200","1990","33130","30000"
"In post","2021","HM Revenue and Customs","Undeclared","Undeclared","1880","1720","34850","31810"
"In post","2021","HM Revenue and Customs","Undeclared","Unknown","350","310","30290","25630"
"In post","2021","HM Revenue and Customs","Unknown","Declared disabled","730","630","27970","25560"
"In post","2021","HM Revenue and Customs","Unknown","Declared non-disabled","4020","3480","29290","25560"
"In post","2021","HM Revenue and Customs","Unknown","Undeclared","370","330","32560","28130"
"In post","2021","HM Revenue and Customs","Unknown","Unknown","17520","16230","27920","25560"
"In post","2021","HM Treasury","Heterosexual / straight","Declared disabled","180","180","45430","41840"
"In post","2021","HM Treasury","Heterosexual / straight","Declared non-disabled","1550","1500","48610","49940"
"In post","2021","HM Treasury","Heterosexual / straight","Undeclared","190","190","45260","39260"
"In post","2021","HM Treasury","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Declared non-disabled","120","110","49570","52500"
"In post","2021","HM Treasury","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Undeclared","Declared non-disabled","130","130","45770","43300"
"In post","2021","HM Treasury","Undeclared","Undeclared","160","160","43740","39260"
"In post","2021","HM Treasury","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Unknown","Unknown","170","160","56000","53360"
"In post","2021","Home Office","Heterosexual / straight","Declared disabled","2400","2200","31020","27370"
"In post","2021","Home Office","Heterosexual / straight","Declared non-disabled","24950","23130","31910","27370"
"In post","2021","Home Office","Heterosexual / straight","Undeclared","570","530","31080","28650"
"In post","2021","Home Office","Heterosexual / straight","Unknown","270","270","33700","28650"
"In post","2021","Home Office","LGBO","Declared disabled","230","220","33680","30010"
"In post","2021","Home Office","LGBO","Declared non-disabled","890","860","32770","27020"
"In post","2021","Home Office","LGBO","Undeclared","40","40","[c]","[c]"
"In post","2021","Home Office","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Undeclared","Declared disabled","420","380","31840","28650"
"In post","2021","Home Office","Undeclared","Declared non-disabled","2600","2380","32610","28350"
"In post","2021","Home Office","Undeclared","Undeclared","1190","1110","33390","29370"
"In post","2021","Home Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Unknown","Declared non-disabled","60","50","31790","27370"
"In post","2021","Home Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Unknown","Unknown","1710","1670","31780","25630"
"In post","2021","Ministry of Defence","Heterosexual / straight","Declared disabled","4140","3980","33160","31170"
"In post","2021","Ministry of Defence","Heterosexual / straight","Declared non-disabled","33230","32140","33990","31950"
"In post","2021","Ministry of Defence","Heterosexual / straight","Undeclared","1690","1640","32490","29200"
"In post","2021","Ministry of Defence","Heterosexual / straight","Unknown","3190","3070","33240","29750"
"In post","2021","Ministry of Defence","LGBO","Declared disabled","270","260","32770","30060"
"In post","2021","Ministry of Defence","LGBO","Declared non-disabled","930","920","32840","29550"
"In post","2021","Ministry of Defence","LGBO","Undeclared","110","110","32570","30130"
"In post","2021","Ministry of Defence","LGBO","Unknown","90","90","29960","26640"
"In post","2021","Ministry of Defence","Undeclared","Declared disabled","690","660","34600","33300"
"In post","2021","Ministry of Defence","Undeclared","Declared non-disabled","3030","2900","35090","33300"
"In post","2021","Ministry of Defence","Undeclared","Undeclared","2140","2080","35410","33300"
"In post","2021","Ministry of Defence","Undeclared","Unknown","730","700","35470","33300"
"In post","2021","Ministry of Defence","Unknown","Declared disabled","180","170","33010","31600"
"In post","2021","Ministry of Defence","Unknown","Declared non-disabled","960","930","33120","31950"
"In post","2021","Ministry of Defence","Unknown","Undeclared","260","250","38670","37800"
"In post","2021","Ministry of Defence","Unknown","Unknown","6070","5910","35230","33000"
"In post","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Declared disabled","260","250","41430","36340"
"In post","2021","Ministry of Housing, Communities and Local Government","Heterosexual / straight","Declared non-disabled","2130","2040","46540","43780"
