"Status","Year","Region_ITL1","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Unknown","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","White","300","280","39370","34480"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","White","190","190","35680","34620"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","White","180","170","42090","37100"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","White","60","60","40020","36560"
"In post","2021","East Midlands (England)","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Asian","600","520","24540","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Black","150","140","25430","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Mixed","90","80","25800","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Undeclared","200","180","25700","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Unknown","280","260","25560","27570"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","White","3140","2770","26250","27570"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Undeclared","50","50","31060","30150"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Unknown","110","110","31310","26780"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","White","350","330","32610","27680"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Education and Skills Funding Agency","White","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Food Standards Agency","White","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Internal Audit Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Government Property Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","Unknown","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Health and Safety Executive","White","310","280","42240","39390"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Asian","200","180","20840","19830"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Black","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Undeclared","70","60","21190","19830"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","Unknown","120","110","20500","18880"
"In post","2021","East Midlands (England)","HM Courts and Tribunals Service","White","910","800","22830","20100"
"In post","2021","East Midlands (England)","HM Land Registry","Asian","90","80","29120","27130"
"In post","2021","East Midlands (England)","HM Land Registry","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Undeclared","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","HM Land Registry","Unknown","120","120","27120","22350"
"In post","2021","East Midlands (England)","HM Land Registry","White","610","550","32050","27130"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Asian","150","140","29880","28220"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Black","120","110","27970","26580"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Mixed","80","80","30030","27530"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Undeclared","130","120","30380","28220"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","Unknown","530","500","25700","24920"
"In post","2021","East Midlands (England)","HM Prison and Probation Service","White","3990","3760","29320","27150"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Asian","400","370","28960","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Black","70","70","28220","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Mixed","50","50","30490","26400"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Undeclared","160","150","33270","31810"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","Unknown","950","900","27590","25560"
"In post","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","White","2130","1990","34490","31810"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Asian","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Home Office (incl. agencies)","White","150","140","28160","25310"
"In post","2021","East Midlands (England)","Insolvency Service","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Insolvency Service","White","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Institute for Apprenticeships and Technical Education","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal Aid Agency","White","130","120","24560","21170"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Maritime and Coastguard Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Met Office","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Undeclared","90","90","30600","26670"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","Unknown","130","130","28950","25290"
"In post","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","White","1310","1270","26500","21580"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","White","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","White","110","110","36480","35000"
"In post","2021","East Midlands (England)","National Crime Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","White","130","120","38120","36740"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","White","150","140","46640","46360"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","Unknown","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Office of the Public Guardian","White","290","260","21530","21170"
"In post","2021","East Midlands (England)","Public Health England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Public Health England","White","140","130","42120","36330"
"In post","2021","East Midlands (England)","Rural Payments Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Rural Payments Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Rural Payments Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Rural Payments Agency","Mixed","[c]","[c]","[c]","[c]"
