"Status","Year","Region_ITL1","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","No function","170","160","29930","25790"
"In post","2021","East Midlands (England)","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Unknown","100","90","26020","27570"
"In post","2021","East Midlands (England)","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","No function","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","No function","440","410","30750","27680"
"In post","2021","East Midlands (England)","Undeclared","Project Delivery","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Unknown","290","260","27020","27570"
"In post","2021","East Midlands (England)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Communications","190","190","27870","25560"
"In post","2021","East Midlands (England)","Unknown","Counter Fraud","90","90","31170","28130"
"In post","2021","East Midlands (England)","Unknown","Debt","120","110","20430","20140"
"In post","2021","East Midlands (England)","Unknown","Digital, Data & Technology","60","50","36810","32010"
"In post","2021","East Midlands (England)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Grants Management","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Human Resources","70","70","35080","31810"
"In post","2021","East Midlands (England)","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Legal","70","70","33620","28430"
"In post","2021","East Midlands (England)","Unknown","No function","1500","1400","26320","24250"
"In post","2021","East Midlands (England)","Unknown","Project Delivery","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Property","110","100","28940","25500"
"In post","2021","East Midlands (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Unknown","360","330","27120","27570"
"In post","2021","East Midlands (England)","White","Analysis","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","White","Commercial","130","120","41390","38550"
"In post","2021","East Midlands (England)","White","Communications","250","240","31560","27570"
"In post","2021","East Midlands (England)","White","Counter Fraud","360","340","34720","31810"
"In post","2021","East Midlands (England)","White","Debt","100","90","22670","20140"
"In post","2021","East Midlands (England)","White","Digital, Data & Technology","200","200","37520","35030"
"In post","2021","East Midlands (England)","White","Finance","170","160","35540","31810"
"In post","2021","East Midlands (England)","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","Human Resources","360","340","37720","33300"
"In post","2021","East Midlands (England)","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","Legal","410","370","38830","34480"
"In post","2021","East Midlands (England)","White","No function","7830","7270","30020","27130"
"In post","2021","East Midlands (England)","White","Project Delivery","530","510","38060","35630"
"In post","2021","East Midlands (England)","White","Property","350","330","34610","32100"
"In post","2021","East Midlands (England)","White","Security","130","130","29060","25680"
"In post","2021","East Midlands (England)","White","Unknown","4200","3780","26390","27570"
"In post","2021","East of England","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Finance","30","30","[c]","[c]"
"In post","2021","East of England","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Legal","40","30","[c]","[c]"
"In post","2021","East of England","Asian","No function","260","240","32930","27410"
"In post","2021","East of England","Asian","Project Delivery","30","30","[c]","[c]"
"In post","2021","East of England","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Unknown","690","610","27970","27570"
"In post","2021","East of England","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","No function","170","160","32220","29090"
"In post","2021","East of England","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Unknown","330","310","28450","29290"
"In post","2021","East of England","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","No function","160","150","29270","27850"
"In post","2021","East of England","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Unknown","190","170","28840","27570"
"In post","2021","East of England","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","No function","40","40","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Unknown","60","60","31860","29290"
"In post","2021","East of England","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","No function","320","300","32360","30340"
"In post","2021","East of England","Undeclared","Project Delivery","70","60","39000","35370"
"In post","2021","East of England","Undeclared","Property","40","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Security","30","30","[c]","[c]"
"In post","2021","East of England","Undeclared","Unknown","480","440","28930","27570"
"In post","2021","East of England","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Commercial","60","50","53800","52410"
"In post","2021","East of England","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Counter Fraud","90","90","27020","25560"
"In post","2021","East of England","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Digital, Data & Technology","90","90","34590","31810"
"In post","2021","East of England","Unknown","Finance","60","60","28640","25560"
"In post","2021","East of England","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Legal","60","60","39760","34480"
"In post","2021","East of England","Unknown","No function","990","930","27370","25850"
"In post","2021","East of England","Unknown","Project Delivery","70","60","38790","38630"
"In post","2021","East of England","Unknown","Property","70","70","27390","26000"
"In post","2021","East of England","Unknown","Security","60","60","30010","26510"
"In post","2021","East of England","Unknown","Unknown","450","420","26950","27570"
"In post","2021","East of England","White","Analysis","350","330","35040","30660"
"In post","2021","East of England","White","Commercial","300","290","39160","35900"
"In post","2021","East of England","White","Communications","80","70","33120","30670"
"In post","2021","East of England","White","Counter Fraud","320","290","28880","26980"
"In post","2021","East of England","White","Debt","100","80","24740","21440"
"In post","2021","East of England","White","Digital, Data & Technology","380","360","36640","33900"
"In post","2021","East of England","White","Finance","340","320","36020","31810"
"In post","2021","East of England","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","White","Human Resources","170","160","35240","31780"
"In post","2021","East of England","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","White","Legal","430","390","41010","36240"
"In post","2021","East of England","White","No function","6610","6150","30410","28200"
"In post","2021","East of England","White","Project Delivery","690","660","38160","35000"
"In post","2021","East of England","White","Property","420","400","32780","33280"
"In post","2021","East of England","White","Security","430","420","33740","31810"
"In post","2021","East of England","White","Unknown","6490","5930","28480","27570"
"In post","2021","London","Asian","Analysis","320","310","45280","41850"
"In post","2021","London","Asian","Commercial","150","150","45060","37640"
"In post","2021","London","Asian","Communications","200","200","37820","33560"
"In post","2021","London","Asian","Counter Fraud","270","260","35580","32520"
"In post","2021","London","Asian","Debt","140","120","27330","25630"
"In post","2021","London","Asian","Digital, Data & Technology","430","430","45590","41760"
"In post","2021","London","Asian","Finance","400","390","43070","39450"
"In post","2021","London","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Asian","Human Resources","270","260","40640","36160"
"In post","2021","London","Asian","Internal Audit","50","50","[c]","[c]"
"In post","2021","London","Asian","Legal","640","600","45700","50500"
"In post","2021","London","Asian","No function","3990","3810","37970","33740"
"In post","2021","London","Asian","Project Delivery","510","500","45550","40510"
"In post","2021","London","Asian","Property","170","160","36620","31820"
"In post","2021","London","Asian","Security","110","110","36280","34410"
"In post","2021","London","Asian","Unknown","5910","5470","33070","31060"
"In post","2021","London","Black","Analysis","130","130","40500","38360"
"In post","2021","London","Black","Commercial","120","120","42740","38180"
"In post","2021","London","Black","Communications","120","110","37130","34630"
"In post","2021","London","Black","Counter Fraud","180","170","32970","30060"
"In post","2021","London","Black","Debt","100","90","27610","25630"
"In post","2021","London","Black","Digital, Data & Technology","240","230","40990","36800"
"In post","2021","London","Black","Finance","250","250","41270","37990"
"In post","2021","London","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Black","Human Resources","220","220","38420","34550"
"In post","2021","London","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Black","Legal","470","460","42110","36160"
"In post","2021","London","Black","No function","3680","3580","33810","32090"
"In post","2021","London","Black","Project Delivery","340","330","42960","39530"
"In post","2021","London","Black","Property","80","80","37720","33740"
"In post","2021","London","Black","Security","70","70","33790","32120"
"In post","2021","London","Black","Unknown","3940","3740","32190","31060"
"In post","2021","London","Chinese","Analysis","50","50","48430","45970"
"In post","2021","London","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Legal","40","40","[c]","[c]"
"In post","2021","London","Chinese","No function","220","210","42810","39990"
"In post","2021","London","Chinese","Project Delivery","30","30","[c]","[c]"
"In post","2021","London","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Unknown","150","140","37910","31880"
"In post","2021","London","Mixed","Analysis","130","130","44960","41890"
"In post","2021","London","Mixed","Commercial","40","40","[c]","[c]"
"In post","2021","London","Mixed","Communications","80","80","42320","39280"
"In post","2021","London","Mixed","Counter Fraud","60","60","37950","36160"
"In post","2021","London","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Digital, Data & Technology","110","100","47570","44000"
"In post","2021","London","Mixed","Finance","80","80","44340","41760"
"In post","2021","London","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Human Resources","100","100","43550","37640"
"In post","2021","London","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Legal","210","200","50760","51830"
"In post","2021","London","Mixed","No function","1410","1380","40330","35590"
"In post","2021","London","Mixed","Project Delivery","170","160","48350","42030"
"In post","2021","London","Mixed","Property","30","30","[c]","[c]"
"In post","2021","London","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Mixed","Unknown","950","900","36070","31060"
"In post","2021","London","Other ethnicity","Analysis","30","30","[c]","[c]"
"In post","2021","London","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","London","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Human Resources","30","30","[c]","[c]"
"In post","2021","London","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Legal","120","110","54090","55000"
"In post","2021","London","Other ethnicity","No function","480","460","40540","35310"
"In post","2021","London","Other ethnicity","Project Delivery","60","60","51080","46470"
"In post","2021","London","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","London","Other ethnicity","Unknown","390","370","36930","31060"
"In post","2021","London","Undeclared","Analysis","110","110","50270","45800"
"In post","2021","London","Undeclared","Commercial","50","50","48660","42130"
"In post","2021","London","Undeclared","Communications","60","60","46010","42890"
"In post","2021","London","Undeclared","Counter Fraud","170","170","39990","36160"
"In post","2021","London","Undeclared","Debt","30","30","[c]","[c]"
"In post","2021","London","Undeclared","Digital, Data & Technology","130","130","51750","54700"
"In post","2021","London","Undeclared","Finance","100","100","50160","47280"
"In post","2021","London","Undeclared","Human Resources","90","80","46430","41190"
"In post","2021","London","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Legal","140","130","51660","54080"
"In post","2021","London","Undeclared","No function","1640","1580","43140","38720"
"In post","2021","London","Undeclared","Project Delivery","220","210","51890","53380"
"In post","2021","London","Undeclared","Property","90","90","45080","38430"
"In post","2021","London","Undeclared","Security","70","70","42750","40780"
"In post","2021","London","Undeclared","Unknown","1750","1630","36970","31700"
"In post","2021","London","Unknown","Analysis","530","510","45830","42280"
"In post","2021","London","Unknown","Commercial","660","640","70470","64500"
"In post","2021","London","Unknown","Communications","590","580","44580","41160"
"In post","2021","London","Unknown","Counter Fraud","440","430","38270","36160"
"In post","2021","London","Unknown","Debt","130","120","26310","24120"
"In post","2021","London","Unknown","Digital, Data & Technology","630","620","48290","44330"
"In post","2021","London","Unknown","Finance","360","350","45120","40650"
"In post","2021","London","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Human Resources","280","280","41810","36160"
"In post","2021","London","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Legal","800","760","51860","54810"
"In post","2021","London","Unknown","No function","7980","7810","39490","33570"
"In post","2021","London","Unknown","Project Delivery","870","850","50280","47780"
"In post","2021","London","Unknown","Property","220","220","38390","35030"
"In post","2021","London","Unknown","Security","150","150","38580","34650"
"In post","2021","London","Unknown","Unknown","1920","1870","39850","32480"
"In post","2021","London","White","Analysis","2140","2070","50890","47880"
"In post","2021","London","White","Commercial","840","820","56090","51730"
"In post","2021","London","White","Communications","1380","1340","46680","42390"
"In post","2021","London","White","Counter Fraud","1160","1120","41440","36160"
"In post","2021","London","White","Debt","150","130","31220","25630"
"In post","2021","London","White","Digital, Data & Technology","1790","1750","51380","52960"
"In post","2021","London","White","Finance","1310","1270","53260","53170"
"In post","2021","London","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","London","White","Human Resources","1660","1600","49860","46200"
"In post","2021","London","White","Internal Audit","110","110","58370","55040"
"In post","2021","London","White","Legal","2970","2770","55540","55000"
"In post","2021","London","White","No function","23170","22360","45890","40220"
"In post","2021","London","White","Project Delivery","2920","2820","55800","55060"
"In post","2021","London","White","Property","690","670","47590","44590"
"In post","2021","London","White","Security","660","650","43160","39290"
