"Status","Year","Function_of_post","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Analysis","Mixed","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Defence Science and Technology Laboratory","60","50","41460","46080"
"In post","2021","Analysis","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
