"Status","Year","Profession_of_post","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Knowledge and Information Management","Declared disabled","Female","140","130","33770","33300"
"In post","2021","Knowledge and Information Management","Declared disabled","Male","130","130","35540","32860"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Female","870","810","35520","32180"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Male","730","720","37790","36060"
"In post","2021","Knowledge and Information Management","Undeclared","Female","80","80","35580","33800"
"In post","2021","Knowledge and Information Management","Undeclared","Male","90","80","41170","36460"
"In post","2021","Knowledge and Information Management","Unknown","Female","200","170","37210","33790"
"In post","2021","Knowledge and Information Management","Unknown","Male","150","150","41080","38510"
"In post","2021","Legal","Declared disabled","Female","580","530","48450","50520"
"In post","2021","Legal","Declared disabled","Male","390","370","48630","50520"
"In post","2021","Legal","Declared non-disabled","Female","4810","4360","49970","51250"
"In post","2021","Legal","Declared non-disabled","Male","3340","3240","48850","50500"
"In post","2021","Legal","Undeclared","Female","250","220","47650","46210"
"In post","2021","Legal","Undeclared","Male","290","280","43730","36590"
"In post","2021","Legal","Unknown","Female","1400","1290","44650","43550"
"In post","2021","Legal","Unknown","Male","1090","1070","42630","38000"
"In post","2021","Medicine","Declared disabled","Female","80","70","50710","38640"
"In post","2021","Medicine","Declared disabled","Male","40","40","[c]","[c]"
"In post","2021","Medicine","Declared non-disabled","Female","1100","980","49860","37890"
"In post","2021","Medicine","Declared non-disabled","Male","450","420","64690","66570"
"In post","2021","Medicine","Undeclared","Female","80","70","59420","51200"
"In post","2021","Medicine","Undeclared","Male","50","40","[c]","[c]"
"In post","2021","Medicine","Unknown","Female","480","430","55510","39680"
"In post","2021","Medicine","Unknown","Male","220","210","69180","67170"
"In post","2021","Operational Delivery","Declared disabled","Female","10310","9120","27340","24940"
"In post","2021","Operational Delivery","Declared disabled","Male","7040","6610","29010","26780"
"In post","2021","Operational Delivery","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Declared non-disabled","Female","63610","56550","27990","25480"
"In post","2021","Operational Delivery","Declared non-disabled","Male","49470","47450","30320","27280"
"In post","2021","Operational Delivery","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Undeclared","Female","5680","5020","28150","25770"
"In post","2021","Operational Delivery","Undeclared","Male","7070","6630","30810","31650"
"In post","2021","Operational Delivery","Unknown","Female","17300","15600","26410","22920"
"In post","2021","Operational Delivery","Unknown","Male","15620","15030","28730","25790"
"In post","2021","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared disabled","Female","60","50","40910","38970"
"In post","2021","Operational Research","Declared disabled","Male","80","80","43130","38630"
"In post","2021","Operational Research","Declared non-disabled","Female","290","270","43700","40480"
"In post","2021","Operational Research","Declared non-disabled","Male","500","480","45470","46080"
"In post","2021","Operational Research","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Operational Research","Undeclared","Male","70","70","46160","46080"
"In post","2021","Operational Research","Unknown","Female","50","50","42410","37020"
"In post","2021","Operational Research","Unknown","Male","110","110","42940","40000"
"In post","2021","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Female","1000","920","27950","24620"
"In post","2021","Other","Declared disabled","Male","900","870","28960","26250"
"In post","2021","Other","Declared non-disabled","Female","7390","6960","29800","25440"
"In post","2021","Other","Declared non-disabled","Male","6690","6540","33410","28240"
"In post","2021","Other","Undeclared","Female","580","550","28260","23890"
"In post","2021","Other","Undeclared","Male","780","750","31230","27500"
"In post","2021","Other","Unknown","Female","1790","1690","32710","28650"
"In post","2021","Other","Unknown","Male","3550","3490","35320","32700"
"In post","2021","Planning","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Declared non-disabled","Female","80","70","45330","40720"
"In post","2021","Planning","Declared non-disabled","Male","80","80","49040","43360"
"In post","2021","Planning","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Declared non-disabled","Female","90","80","58080","58810"
"In post","2021","Planning Inspectors","Declared non-disabled","Male","160","140","58370","58810"
"In post","2021","Planning Inspectors","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Policy","Declared disabled","Female","1390","1340","43880","39330"
"In post","2021","Policy","Declared disabled","Male","1070","1050","46330","41760"
"In post","2021","Policy","Declared non-disabled","Female","10590","10110","46650","42170"
"In post","2021","Policy","Declared non-disabled","Male","9120","9020","49930","49860"
"In post","2021","Policy","Undeclared","Female","800","780","44030","39580"
"In post","2021","Policy","Undeclared","Male","850","840","47880","44170"
"In post","2021","Policy","Unknown","Female","2940","2850","44900","40220"
"In post","2021","Policy","Unknown","Male","2330","2310","47460","43350"
"In post","2021","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Female","850","810","39060","36160"
"In post","2021","Project Delivery","Declared disabled","Male","630","610","42280","40000"
"In post","2021","Project Delivery","Declared non-disabled","Female","5720","5470","40740","37730"
"In post","2021","Project Delivery","Declared non-disabled","Male","5740","5650","44730","40580"
"In post","2021","Project Delivery","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Female","420","400","40100","37890"
"In post","2021","Project Delivery","Undeclared","Male","510","500","43610","40580"
"In post","2021","Project Delivery","Unknown","Female","1060","1020","41030","38600"
"In post","2021","Project Delivery","Unknown","Male","1090","1070","43850","40000"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Declared disabled","Female","270","250","34870","33000"
"In post","2021","Property","Declared disabled","Male","300","290","35610","33300"
"In post","2021","Property","Declared non-disabled","Female","1910","1780","35070","33000"
"In post","2021","Property","Declared non-disabled","Male","2910","2840","38640","34770"
"In post","2021","Property","Undeclared","Female","200","180","34190","31100"
"In post","2021","Property","Undeclared","Male","330","320","38750","35480"
"In post","2021","Property","Unknown","Female","400","370","31130","28700"
"In post","2021","Property","Unknown","Male","640","630","33540","30270"
"In post","2021","Psychology","Declared disabled","Female","100","100","32800","29750"
"In post","2021","Psychology","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Declared non-disabled","Female","890","850","35970","31180"
"In post","2021","Psychology","Declared non-disabled","Male","120","120","36070","30450"
"In post","2021","Psychology","Undeclared","Female","110","110","37640","31180"
"In post","2021","Psychology","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Unknown","Female","130","130","32980","30930"
"In post","2021","Psychology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Declared disabled","Female","370","350","35310","32560"
"In post","2021","Science and Engineering","Declared disabled","Male","750","730","37500","37210"
"In post","2021","Science and Engineering","Declared non-disabled","Female","3040","2820","37970","36330"
"In post","2021","Science and Engineering","Declared non-disabled","Male","6530","6370","39060","37360"
"In post","2021","Science and Engineering","Undeclared","Female","260","240","39950","37910"
"In post","2021","Science and Engineering","Undeclared","Male","800","770","38760","37320"
"In post","2021","Science and Engineering","Unknown","Female","810","750","40610","38940"
"In post","2021","Science and Engineering","Unknown","Male","1530","1490","39360","37320"
"In post","2021","Security","Declared disabled","Female","150","150","30900","28200"
"In post","2021","Security","Declared disabled","Male","450","430","32240","28970"
"In post","2021","Security","Declared non-disabled","Female","1180","1130","32130","28950"
"In post","2021","Security","Declared non-disabled","Male","4060","3990","30900","26610"
"In post","2021","Security","Undeclared","Female","120","120","36150","32980"
"In post","2021","Security","Undeclared","Male","560","550","34030","35750"
"In post","2021","Security","Unknown","Female","290","280","31180","28080"
"In post","2021","Security","Unknown","Male","1510","1490","31160","28890"
"In post","2021","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Declared disabled","Female","80","70","42580","40200"
"In post","2021","Social Research","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Declared non-disabled","Female","530","500","44670","43760"
"In post","2021","Social Research","Declared non-disabled","Male","210","200","46330","47000"
"In post","2021","Social Research","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Social Research","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Unknown","Female","160","160","36270","36940"
"In post","2021","Social Research","Unknown","Male","100","100","36200","34800"
"In post","2021","Social Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Declared disabled","Female","80","80","42520","39090"
"In post","2021","Statistics","Declared disabled","Male","90","90","43580","38090"
"In post","2021","Statistics","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Declared non-disabled","Female","630","600","44090","40640"
"In post","2021","Statistics","Declared non-disabled","Male","720","710","44730","41540"
"In post","2021","Statistics","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Statistics","Undeclared","Male","60","60","42710","40920"
"In post","2021","Statistics","Unknown","Female","200","190","39280","37010"
"In post","2021","Statistics","Unknown","Male","200","200","40550","37020"
"In post","2021","Statistics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Declared disabled","Female","710","650","34180","31810"
"In post","2021","Tax","Declared disabled","Male","650","610","36370","31940"
"In post","2021","Tax","Declared non-disabled","Female","4670","4290","34400","31810"
"In post","2021","Tax","Declared non-disabled","Male","5090","4890","36870","31810"
"In post","2021","Tax","Undeclared","Female","340","310","36580","31980"
"In post","2021","Tax","Undeclared","Male","530","500","39050","35000"
"In post","2021","Tax","Unknown","Female","2710","2540","27030","25560"
"In post","2021","Tax","Unknown","Male","3110","3010","29340","25560"
"In post","2021","Unknown","Declared disabled","Female","11490","9870","28250","27570"
"In post","2021","Unknown","Declared disabled","Male","6000","5660","29240","27570"
"In post","2021","Unknown","Declared non-disabled","Female","53190","46450","29370","27570"
"In post","2021","Unknown","Declared non-disabled","Male","31230","30210","32140","27570"
"In post","2021","Unknown","Undeclared","Female","2810","2530","28670","27570"
"In post","2021","Unknown","Undeclared","Male","2060","2000","30700","27570"
"In post","2021","Unknown","Unknown","Female","7370","7000","36350","29250"
"In post","2021","Unknown","Unknown","Male","6510","6420","38550","31810"
"In post","2021","Veterinarian","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Declared non-disabled","Female","190","180","45840","45110"
"In post","2021","Veterinarian","Declared non-disabled","Male","150","140","46530","47550"
"In post","2021","Veterinarian","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Female","350","330","37610","36530"
"In post","2022","Commercial","Declared disabled","Male","250","240","39140","36500"
"In post","2022","Commercial","Declared non-disabled","Female","2210","2090","38590","36050"
"In post","2022","Commercial","Declared non-disabled","Male","1790","1760","42080","38800"
"In post","2022","Commercial","Undeclared","Female","170","160","40020","37100"
"In post","2022","Commercial","Undeclared","Male","180","170","44270","41500"
"In post","2022","Commercial","Unknown","Female","670","640","38390","36500"
"In post","2022","Commercial","Unknown","Male","590","580","40300","38260"
"In post","2022","Communications","Declared disabled","Female","200","190","39730","36960"
"In post","2022","Communications","Declared disabled","Male","120","120","37320","34360"
"In post","2022","Communications","Declared non-disabled","Female","1570","1490","42580","39580"
"In post","2022","Communications","Declared non-disabled","Male","1060","1040","43000","39580"
"In post","2022","Communications","Undeclared","Female","80","80","41460","38670"
"In post","2022","Communications","Undeclared","Male","80","80","40200","37800"
"In post","2022","Communications","Unknown","Female","640","620","42460","38620"
"In post","2022","Communications","Unknown","Male","430","420","43630","40000"
"In post","2022","Corporate Finance","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Declared non-disabled","Female","70","60","42490","38590"
"In post","2022","Corporate Finance","Declared non-disabled","Male","60","60","57180","48090"
"In post","2022","Corporate Finance","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Declared disabled","Female","620","540","28320","27570"
"In post","2022","Counter Fraud","Declared disabled","Male","370","340","28390","27570"
"In post","2022","Counter Fraud","Declared non-disabled","Female","2950","2570","28120","27570"
"In post","2022","Counter Fraud","Declared non-disabled","Male","1990","1870","30530","27570"
"In post","2022","Counter Fraud","Undeclared","Female","180","160","29400","27570"
"In post","2022","Counter Fraud","Undeclared","Male","150","140","30200","27570"
"In post","2022","Counter Fraud","Unknown","Female","150","140","31610","27570"
"In post","2022","Counter Fraud","Unknown","Male","170","160","35080","31000"
"In post","2022","Digital, Data and Technology","Declared disabled","Female","700","660","38870","35970"
"In post","2022","Digital, Data and Technology","Declared disabled","Male","1040","1010","40860","36970"
"In post","2022","Digital, Data and Technology","Declared non-disabled","Female","4660","4420","41120","37930"
"In post","2022","Digital, Data and Technology","Declared non-disabled","Male","8340","8220","43170","40060"
"In post","2022","Digital, Data and Technology","Undeclared","Female","290","280","39770","36760"
"In post","2022","Digital, Data and Technology","Undeclared","Male","800","790","41740","38460"
"In post","2022","Digital, Data and Technology","Unknown","Female","1350","1310","41610","37930"
"In post","2022","Digital, Data and Technology","Unknown","Male","2830","2800","42490","38550"
"In post","2022","Economics","Declared disabled","Female","50","40","[c]","[c]"
"In post","2022","Economics","Declared disabled","Male","70","70","47860","41840"
"In post","2022","Economics","Declared non-disabled","Female","540","520","48470","50810"
"In post","2022","Economics","Declared non-disabled","Male","850","840","49500","51210"
"In post","2022","Economics","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Undeclared","Male","70","70","45630","40370"
"In post","2022","Economics","Unknown","Female","160","150","41420","34710"
"In post","2022","Economics","Unknown","Male","330","320","44350","37930"
"In post","2022","Finance","Declared disabled","Female","660","620","37340","33300"
"In post","2022","Finance","Declared disabled","Male","460","440","40040","36050"
"In post","2022","Finance","Declared non-disabled","Female","4840","4560","38870","34520"
"In post","2022","Finance","Declared non-disabled","Male","3750","3700","43620","40000"
"In post","2022","Finance","Undeclared","Female","330","310","38350","34050"
"In post","2022","Finance","Undeclared","Male","340","330","41970","39740"
"In post","2022","Finance","Unknown","Female","1060","1010","38440","35000"
"In post","2022","Finance","Unknown","Male","890","880","40810","37000"
"In post","2022","Geography","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Declared non-disabled","Female","110","100","31280","33000"
"In post","2022","Geography","Declared non-disabled","Male","180","180","32140","33290"
"In post","2022","Geography","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Unknown","Female","30","30","[c]","[c]"
"In post","2022","Geography","Unknown","Male","100","100","31220","29290"
"In post","2022","Human Resources","Declared disabled","Female","900","840","39680","35070"
"In post","2022","Human Resources","Declared disabled","Male","370","360","40210","36190"
"In post","2022","Human Resources","Declared non-disabled","Female","4560","4260","38920","34290"
"In post","2022","Human Resources","Declared non-disabled","Male","1880","1840","40610","36740"
"In post","2022","Human Resources","Undeclared","Female","350","330","37600","34610"
"In post","2022","Human Resources","Undeclared","Male","150","140","39120","35590"
"In post","2022","Human Resources","Unknown","Female","980","930","35890","31970"
"In post","2022","Human Resources","Unknown","Male","440","430","37330","33300"
"In post","2022","Inspector of Education and Training","Declared disabled","Female","50","50","59630","51360"
"In post","2022","Inspector of Education and Training","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Declared non-disabled","Female","570","550","63570","64500"
"In post","2022","Inspector of Education and Training","Declared non-disabled","Male","230","230","73150","75500"
"In post","2022","Inspector of Education and Training","Unknown","Female","60","50","57510","51360"
"In post","2022","Inspector of Education and Training","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Declared disabled","Female","150","140","31410","28760"
"In post","2022","Intelligence Analysis","Declared disabled","Male","150","140","35260","33080"
"In post","2022","Intelligence Analysis","Declared non-disabled","Female","1090","1020","32010","29080"
"In post","2022","Intelligence Analysis","Declared non-disabled","Male","1220","1190","35090","31810"
"In post","2022","Intelligence Analysis","Undeclared","Female","110","110","32420","29310"
"In post","2022","Intelligence Analysis","Undeclared","Male","160","160","36100","33330"
"In post","2022","Intelligence Analysis","Unknown","Female","130","130","34640","30820"
"In post","2022","Intelligence Analysis","Unknown","Male","220","220","35780","33300"
"In post","2022","Internal Audit","Declared disabled","Female","50","50","44610","41230"
"In post","2022","Internal Audit","Declared disabled","Male","40","40","[c]","[c]"
"In post","2022","Internal Audit","Declared non-disabled","Female","310","290","44530","42230"
"In post","2022","Internal Audit","Declared non-disabled","Male","280","270","47750","45390"
"In post","2022","Internal Audit","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Male","30","30","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Declared disabled","Female","70","70","45290","39810"
"In post","2022","International Trade","Declared disabled","Male","60","60","49820","51710"
"In post","2022","International Trade","Declared non-disabled","Female","370","360","47970","48220"
"In post","2022","International Trade","Declared non-disabled","Male","510","500","48110","47070"
"In post","2022","International Trade","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","Unknown","Female","300","290","45080","39440"
"In post","2022","International Trade","Unknown","Male","290","290","47010","41280"
"In post","2022","Knowledge and Information Management","Declared disabled","Female","170","160","33750","31990"
"In post","2022","Knowledge and Information Management","Declared disabled","Male","130","130","36730","33220"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Female","930","870","34360","31880"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Male","730","720","36720","33570"
"In post","2022","Knowledge and Information Management","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","Undeclared","Female","80","70","33240","31090"
"In post","2022","Knowledge and Information Management","Undeclared","Male","80","80","38650","32750"
"In post","2022","Knowledge and Information Management","Unknown","Female","130","130","36180","33000"
"In post","2022","Knowledge and Information Management","Unknown","Male","130","120","37340","33300"
"In post","2022","Legal","Declared disabled","Female","640","570","49090","50500"
"In post","2022","Legal","Declared disabled","Male","410","390","49450","50510"
"In post","2022","Legal","Declared non-disabled","Female","5130","4670","50350","51250"
"In post","2022","Legal","Declared non-disabled","Male","3430","3330","49820","50500"
"In post","2022","Legal","Undeclared","Female","250","230","48620","47760"
"In post","2022","Legal","Undeclared","Male","300","290","45400","40180"
"In post","2022","Legal","Unknown","Female","1440","1340","45800","48080"
"In post","2022","Legal","Unknown","Male","1080","1060","43640","39540"
"In post","2022","Medicine","Declared disabled","Female","80","70","51840","40880"
"In post","2022","Medicine","Declared disabled","Male","40","40","[c]","[c]"
"In post","2022","Medicine","Declared non-disabled","Female","1120","980","49810","39630"
"In post","2022","Medicine","Declared non-disabled","Male","430","390","63590","61440"
