"Status","Year","Sexual_orientation","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","1250","1230","49660","51730"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Department for Education","4000","3840","44370","40510"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","3780","3650","42540","37910"
"In post","2021","Heterosexual / straight","Department for International Trade","Department for International Trade","1540","1520","46460","41180"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Department for Transport","2280","2220","49270","44480"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","58730","53040","27900","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1370","1320","48110","46000"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Scottish Government","180","170","29580","24910"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Department for Transport","3830","3440","26840","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Department for Transport","2780","2630","30260","27680"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Department for Education","1210","1170","41370","36960"
"In post","2021","Heterosexual / straight","Education Scotland","Scottish Government","180","170","58600","66290"
"In post","2021","Heterosexual / straight","ESTYN","ESTYN","100","90","58240","74730"
"In post","2021","Heterosexual / straight","FCDO Services","Foreign, Commonwealth and Development Office","820","780","40420","36010"
"In post","2021","Heterosexual / straight","Food Standards Agency","Food Standards Agency","860","840","38220","35730"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Scottish Government","140","130","35960","31690"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","5100","5000","48610","44110"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","Scottish Government","220","210","34730","34140"
"In post","2021","Heterosexual / straight","Government Actuary's Department","Chancellor's other departments","160","150","67310","62730"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","HM Treasury","390","370","48360","46350"
"In post","2021","Heterosexual / straight","Government Legal Department","Attorney General's Departments","1630","1520","53220","51350"
"In post","2021","Heterosexual / straight","Government Property Agency","Other Cabinet Office Agencies","160","160","50550","49700"
"In post","2021","Heterosexual / straight","Health and Safety Executive","Department for Work and Pensions","1830","1710","43250","40680"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","Ministry of Justice","11810","10590","24800","21180"
"In post","2021","Heterosexual / straight","HM Land Registry","HM Land Registry","3550","3210","32090","27130"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","Ministry of Justice","37480","35530","30450","28220"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","34620","31910","32740","31810"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","HM Treasury","1520","1490","47800","52500"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","Home Office","28190","26120","31830","27370"
"In post","2021","Heterosexual / straight","Insolvency Service","Department for Business, Energy and Industrial Strategy","910","870","34630","32060"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","Department for Education","140","140","50340","50470"
"In post","2021","Heterosexual / straight","Legal Aid Agency","Ministry of Justice","940","880","29070","22970"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","Department for Transport","900","860","37850","33830"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","790","780","46360","40850"
"In post","2021","Heterosexual / straight","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","Ministry of Defence","28630","27670","31910","27420"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","1960","1900","46030","41090"
"In post","2021","Heterosexual / straight","Ministry of Justice (excl. agencies)","Ministry of Justice","3670","3570","41970","37000"
"In post","2021","Heterosexual / straight","National Crime Agency","National Crime Agency","4100","4010","40070","37560"
"In post","2021","Heterosexual / straight","National Infrastructure Commission","HM Treasury","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","National Records of Scotland","Scottish Government","200","190","37510","35110"
"In post","2021","Heterosexual / straight","National Savings and Investments","Chancellor's other departments","140","130","50390","45620"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Northern Ireland Office","80","80","44880","38870"
"In post","2021","Heterosexual / straight","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","1430","1380","50180","51360"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","470","460","43010","37370"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","170","160","44970","40250"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Office of Rail and Road","170","160","51050","51310"
"In post","2021","Heterosexual / straight","Office of the Public Guardian","Ministry of Justice","1060","980","22190","19930"
"In post","2021","Heterosexual / straight","Office of the Scottish Charity Regulator","Scottish Government","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectorate","Ministry of Housing, Communities and Local Government","590","540","45500","47660"
"In post","2021","Heterosexual / straight","Public Health England","Department of Health and Social Care","4650","4250","42130","36690"
"In post","2021","Heterosexual / straight","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Registers of Scotland","Scottish Government","630","610","33590","30080"
"In post","2021","Heterosexual / straight","Revenue Scotland","Scottish Government","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Rural Payments Agency","Department for Environment, Food and Rural Affairs","960","860","28070","25600"
"In post","2021","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Courts and Tribunals Service","Scottish Government","110","100","33470","29350"
"In post","2021","Heterosexual / straight","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Forestry","Scottish Government","60","60","38950","35680"
"In post","2021","Heterosexual / straight","Scottish Government (excl. agencies)","Scottish Government","5100","4890","43750","39660"
"In post","2021","Heterosexual / straight","Scottish Housing Regulator","Scottish Government","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Prison Service","Scottish Government","1540","1440","33860","33650"
"In post","2021","Heterosexual / straight","Scottish Public Pensions Agency","Scottish Government","150","140","30150","26160"
"In post","2021","Heterosexual / straight","Serious Fraud Office","Attorney General's Departments","330","320","46470","41080"
"In post","2021","Heterosexual / straight","Social Security Scotland","Scottish Government","810","790","32110","27150"
"In post","2021","Heterosexual / straight","Standards and Testing Agency","Department for Education","100","100","42970","40570"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","Scottish Government","70","70","33150","29190"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","Ministry of Defence","1390","1360","41590","39860"
"In post","2021","Heterosexual / straight","Teaching Regulation Agency","Department for Education","60","60","32690","29360"
"In post","2021","Heterosexual / straight","The National Archives","The National Archives","220","210","36510","34220"
"In post","2021","Heterosexual / straight","Transport Scotland","Scottish Government","330","320","45090","42190"
"In post","2021","Heterosexual / straight","UK Export Finance","UK Export Finance","320","320","52510","47230"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","Ministry of Defence","550","530","34940","33290"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","830","780","38920","39040"
"In post","2021","Heterosexual / straight","UK Space Agency","Department for Business, Energy and Industrial Strategy","140","140","47050","40620"
"In post","2021","Heterosexual / straight","UK Supreme Court","UK Supreme Court","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","United Kingdom Statistics Authority","3520","3120","32840","29540"
"In post","2021","Heterosexual / straight","Valuation Office Agency","HM Revenue and Customs","2080","1920","34970","31450"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","Department for Transport","180","170","36350","34290"
"In post","2021","Heterosexual / straight","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","120","110","42240","38750"
"In post","2021","Heterosexual / straight","Wales Office","Wales Office","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","Water Services Regulation Authority","90","90","57820","52570"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","Welsh Government","4670","4400","40760","37410"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wilton Park","Foreign, Commonwealth and Development Office","70","60","33640","28640"
"In post","2021","LGBO","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2021","LGBO","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","130","130","27550","25010"
"In post","2021","LGBO","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","Cabinet Office","440","430","44900","40600"
"In post","2021","LGBO","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","Competition and Markets Authority","60","60","57440","55860"
"In post","2021","LGBO","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","Scottish Government","80","70","33390","27810"
"In post","2021","LGBO","Crown Prosecution Service","Attorney General's Departments","250","240","40640","30370"
"In post","2021","LGBO","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Equipment and Support","Ministry of Defence","280","270","32130","29500"
"In post","2021","LGBO","Defence Science and Technology Laboratory","Ministry of Defence","160","150","35140","33240"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","460","450","47790","45370"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","180","180","47100","44850"
"In post","2021","LGBO","Department for Education (excl. agencies)","Department for Education","330","320","43420","38990"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","300","290","42920","38750"
"In post","2021","LGBO","Department for International Trade","Department for International Trade","190","180","47150","42160"
"In post","2021","LGBO","Department for Transport (excl. agencies)","Department for Transport","230","230","46260","43130"
"In post","2021","LGBO","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","3640","3480","27830","27570"
"In post","2021","LGBO","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","160","150","45440","40650"
"In post","2021","LGBO","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Driver and Vehicle Licensing Agency","Department for Transport","170","160","24760","21590"
"In post","2021","LGBO","Driver and Vehicle Standards Agency","Department for Transport","140","130","29820","26780"
"In post","2021","LGBO","Education and Skills Funding Agency","Department for Education","70","70","40020","36960"
"In post","2021","LGBO","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","FCDO Services","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","LGBO","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","380","370","48830","49920"
"In post","2021","LGBO","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Government Legal Department","Attorney General's Departments","160","150","52780","51250"
"In post","2021","LGBO","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Health and Safety Executive","Department for Work and Pensions","100","90","40340","33100"
"In post","2021","LGBO","HM Courts and Tribunals Service","Ministry of Justice","550","520","24710","20690"
"In post","2021","LGBO","HM Land Registry","HM Land Registry","140","140","29310","27130"
"In post","2021","LGBO","HM Prison and Probation Service","Ministry of Justice","2600","2540","29990","28200"
"In post","2021","LGBO","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","2110","2020","32250","28130"
"In post","2021","LGBO","HM Treasury (excl. agencies)","HM Treasury","150","150","47650","52500"
"In post","2021","LGBO","Home Office (incl. agencies)","Home Office","1170","1130","32850","27370"
"In post","2021","LGBO","Insolvency Service","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2021","LGBO","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal Aid Agency","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","LGBO","Maritime and Coastguard Agency","Department for Transport","40","40","[c]","[c]"
"In post","2021","LGBO","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2021","LGBO","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Ministry of Defence (excl. agencies)","Ministry of Defence","900","890","32290","29200"
"In post","2021","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","210","210","45860","42900"
"In post","2021","LGBO","Ministry of Justice (excl. agencies)","Ministry of Justice","300","290","42390","36800"
"In post","2021","LGBO","National Crime Agency","National Crime Agency","190","190","37170","36410"
"In post","2021","LGBO","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","130","130","48150","41350"
"In post","2021","LGBO","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","60","60","39040","33200"
"In post","2021","LGBO","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of the Public Guardian","Ministry of Justice","50","50","22250","20810"
"In post","2021","LGBO","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectorate","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Public Health England","Department of Health and Social Care","280","270","40290","32650"
"In post","2021","LGBO","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Registers of Scotland","Scottish Government","40","40","[c]","[c]"
"In post","2021","LGBO","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Rural Payments Agency","Department for Environment, Food and Rural Affairs","60","60","27010","24920"
"In post","2021","LGBO","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scottish Government (excl. agencies)","Scottish Government","400","390","41320","35110"
"In post","2021","LGBO","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scottish Prison Service","Scottish Government","90","80","32020","33650"
"In post","2021","LGBO","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Security Scotland","Scottish Government","80","80","28490","26160"
"In post","2021","LGBO","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Submarine Delivery Agency","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","LGBO","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","The National Archives","The National Archives","30","30","[c]","[c]"
"In post","2021","LGBO","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","60","60","37000","30400"
"In post","2021","LGBO","UK Space Agency","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","LGBO","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","United Kingdom Statistics Authority","United Kingdom Statistics Authority","230","220","33700","29540"
"In post","2021","LGBO","Valuation Office Agency","HM Revenue and Customs","110","110","32210","30000"
"In post","2021","LGBO","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Welsh Government (excl. agencies)","Welsh Government","210","200","41760","37410"
"In post","2021","LGBO","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","130","120","35210","34500"
"In post","2021","Undeclared","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","340","320","33230","30230"
"In post","2021","Undeclared","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Cabinet Office (excl. agencies)","Cabinet Office","510","490","47740","40600"
"In post","2021","Undeclared","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","Undeclared","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Companies House","Department for Business, Energy and Industrial Strategy","90","80","30640","25100"
"In post","2021","Undeclared","Competition and Markets Authority","Competition and Markets Authority","60","60","61350","59020"
"In post","2021","Undeclared","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Crown Office and Procurator Fiscal Service","Scottish Government","100","90","39430","34150"
"In post","2021","Undeclared","Crown Prosecution Service","Attorney General's Departments","200","190","41080","39750"
"In post","2021","Undeclared","Defence Electronics and Components Agency","Ministry of Defence","290","280","28400","28750"
"In post","2021","Undeclared","Defence Equipment and Support","Ministry of Defence","1250","1200","38620","37580"
"In post","2021","Undeclared","Defence Science and Technology Laboratory","Ministry of Defence","320","310","42690","46080"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","500","490","50440","53380"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","110","110","48480","51730"
"In post","2021","Undeclared","Department for Education (excl. agencies)","Department for Education","410","400","44510","40940"
"In post","2021","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","380","360","40810","37410"
"In post","2021","Undeclared","Department for International Trade","Department for International Trade","140","140","45790","40050"
"In post","2021","Undeclared","Department for Transport (excl. agencies)","Department for Transport","280","270","50000","44700"
"In post","2021","Undeclared","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","7190","6390","27080","27570"
"In post","2021","Undeclared","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","90","90","46640","42480"
"In post","2021","Undeclared","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Driver and Vehicle Licensing Agency","Department for Transport","1550","1280","25030","21590"
"In post","2021","Undeclared","Driver and Vehicle Standards Agency","Department for Transport","910","820","29450","26780"
"In post","2021","Undeclared","Education and Skills Funding Agency","Department for Education","100","100","42180","37450"
"In post","2021","Undeclared","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","FCDO Services","Foreign, Commonwealth and Development Office","90","90","42380","39260"
"In post","2021","Undeclared","Food Standards Agency","Food Standards Agency","120","120","39740","37910"
"In post","2021","Undeclared","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","580","580","49200","44170"
"In post","2021","Undeclared","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Government Actuary's Department","Chancellor's other departments","30","30","[c]","[c]"
"In post","2021","Undeclared","Government Internal Audit Agency","HM Treasury","50","50","[c]","[c]"
"In post","2021","Undeclared","Government Legal Department","Attorney General's Departments","170","160","55340","52730"
"In post","2021","Undeclared","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Health and Safety Executive","Department for Work and Pensions","420","400","44290","43830"
"In post","2021","Undeclared","HM Courts and Tribunals Service","Ministry of Justice","1980","1780","25690","21180"
"In post","2021","Undeclared","HM Land Registry","HM Land Registry","700","610","32910","27130"
"In post","2021","Undeclared","HM Prison and Probation Service","Ministry of Justice","4060","3810","31760","31650"
"In post","2021","Undeclared","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4570","4140","33200","31810"
"In post","2021","Undeclared","HM Treasury (excl. agencies)","HM Treasury","270","260","43660","36800"
"In post","2021","Undeclared","Home Office (incl. agencies)","Home Office","4230","3880","32750","28650"
"In post","2021","Undeclared","Insolvency Service","Department for Business, Energy and Industrial Strategy","60","50","39060","36060"
"In post","2021","Undeclared","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal Aid Agency","Ministry of Justice","120","120","27130","21850"
"In post","2021","Undeclared","Maritime and Coastguard Agency","Department for Transport","160","160","37710","35550"
"In post","2021","Undeclared","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","140","140","50750","46460"
"In post","2021","Undeclared","Ministry of Defence (excl. agencies)","Ministry of Defence","4440","4280","33700","33300"
"In post","2021","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","190","190","45540","42870"
"In post","2021","Undeclared","Ministry of Justice (excl. agencies)","Ministry of Justice","460","440","43440","38700"
"In post","2021","Undeclared","National Crime Agency","National Crime Agency","340","330","38030","36410"
"In post","2021","Undeclared","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","National Savings and Investments","Chancellor's other departments","50","50","55790","48580"
"In post","2021","Undeclared","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","110","100","48020","41910"
"In post","2021","Undeclared","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","60","60","43420","36290"
"In post","2021","Undeclared","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
