"Status","Year","Region_ITL1","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","HM Revenue and Customs","50","50","31050","31810"
"In post","2021","East of England","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Home Office","60","50","26150","24890"
"In post","2021","East of England","LGBO","Ministry of Defence","80","80","30090","26670"
"In post","2021","East of England","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Ministry of Justice","270","260","28920","27380"
"In post","2021","East of England","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Department for Environment, Food and Rural Affairs","50","50","33640","30220"
"In post","2021","East of England","Undeclared","Department for Transport","70","60","29300","28550"
"In post","2021","East of England","Undeclared","Department for Work and Pensions","380","340","29010","27570"
"In post","2021","East of England","Undeclared","Department of Health and Social Care","80","80","45130","42020"
"In post","2021","East of England","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","HM Land Registry","50","50","31390","33840"
"In post","2021","East of England","Undeclared","HM Revenue and Customs","220","210","32740","31810"
"In post","2021","East of England","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Home Office","260","230","27040","26580"
"In post","2021","East of England","Undeclared","Ministry of Defence","460","440","32800","33300"
"In post","2021","East of England","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Ministry of Justice","530","490","29210","28400"
"In post","2021","East of England","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Attorney General's Departments","100","90","43520","37120"
"In post","2021","East of England","Unknown","Cabinet Office","50","50","[c]","[c]"
"In post","2021","East of England","Unknown","Department for Business, Energy and Industrial Strategy","100","90","30960","30930"
"In post","2021","East of England","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Department for Environment, Food and Rural Affairs","340","320","34330","30220"
"In post","2021","East of England","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Department for Transport","70","60","27090","26700"
"In post","2021","East of England","Unknown","Department for Work and Pensions","990","840","28000","27570"
"In post","2021","East of England","Unknown","Department of Health and Social Care","170","160","47840","41080"
"In post","2021","East of England","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","HM Land Registry","60","50","26050","22350"
"In post","2021","East of England","Unknown","HM Revenue and Customs","580","520","30680","28130"
"In post","2021","East of England","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Home Office","100","90","23380","21430"
"In post","2021","East of England","Unknown","Ministry of Defence","380","370","28970","26670"
"In post","2021","East of England","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Ministry of Justice","1000","930","27610","27070"
"In post","2021","East of England","Unknown","National Crime Agency","30","30","[c]","[c]"
"In post","2021","East of England","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Unknown","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","London","Heterosexual / straight","Attorney General's Departments","3120","2960","49120","51250"
"In post","2021","London","Heterosexual / straight","Cabinet Office","3220","3160","51980","54700"
"In post","2021","London","Heterosexual / straight","Chancellor's other departments","260","250","60720","50560"
"In post","2021","London","Heterosexual / straight","Charity Commission","40","40","[c]","[c]"
"In post","2021","London","Heterosexual / straight","Competition and Markets Authority","640","610","60050","56360"
"In post","2021","London","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","3840","3750","49430","52330"
"In post","2021","London","Heterosexual / straight","Department for Digital, Culture, Media and Sport","1210","1180","49960","51730"
"In post","2021","London","Heterosexual / straight","Department for Education","1690","1630","50400","53420"
"In post","2021","London","Heterosexual / straight","Department for Environment, Food and Rural Affairs","1690","1640","44910","39420"
"In post","2021","London","Heterosexual / straight","Department for International Trade","1290","1270","45990","39440"
"In post","2021","London","Heterosexual / straight","Department for Transport","2180","2130","48430","43670"
"In post","2021","London","Heterosexual / straight","Department for Work and Pensions","6420","6090","34040","31060"
"In post","2021","London","Heterosexual / straight","Department of Health and Social Care","3440","3240","46840","40850"
"In post","2021","London","Heterosexual / straight","Food Standards Agency","320","310","42530","40350"
"In post","2021","London","Heterosexual / straight","Foreign, Commonwealth and Development Office","2900","2830","49410","44230"
"In post","2021","London","Heterosexual / straight","HM Land Registry","210","200","42830","37290"
"In post","2021","London","Heterosexual / straight","HM Revenue and Customs","4900","4670","44320","38700"
"In post","2021","London","Heterosexual / straight","HM Treasury","1660","1620","48880","52500"
"In post","2021","London","Heterosexual / straight","Home Office","10450","9850","39720","35070"
"In post","2021","London","Heterosexual / straight","Ministry of Defence","2850","2790","41100","37640"
"In post","2021","London","Heterosexual / straight","Ministry of Housing, Communities and Local Government","1410","1380","48750","53130"
"In post","2021","London","Heterosexual / straight","Ministry of Justice","9630","9260","36300","32870"
"In post","2021","London","Heterosexual / straight","National Crime Agency","1220","1190","43960","40170"
"In post","2021","London","Heterosexual / straight","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","London","Heterosexual / straight","Office for Standards in Education","350","340","56610","51360"
"In post","2021","London","Heterosexual / straight","Office of Gas and Electricity Markets","260","250","48600","44430"
"In post","2021","London","Heterosexual / straight","Office of Rail and Road","100","100","52010","54890"
"In post","2021","London","Heterosexual / straight","Other Cabinet Office Agencies","110","110","51340","49300"
"In post","2021","London","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Heterosexual / straight","The National Archives","220","210","36510","34220"
"In post","2021","London","Heterosexual / straight","UK Export Finance","320","320","52510","47230"
"In post","2021","London","Heterosexual / straight","UK Supreme Court","50","50","[c]","[c]"
"In post","2021","London","Heterosexual / straight","United Kingdom Statistics Authority","220","220","43560","32540"
"In post","2021","London","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Heterosexual / straight","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Attorney General's Departments","260","250","49570","51250"
"In post","2021","London","LGBO","Cabinet Office","370","360","47280","41820"
"In post","2021","London","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Competition and Markets Authority","50","50","57990","56110"
"In post","2021","London","LGBO","Department for Business, Energy and Industrial Strategy","460","460","48170","45370"
"In post","2021","London","LGBO","Department for Digital, Culture, Media and Sport","170","170","47160","46110"
"In post","2021","London","LGBO","Department for Education","160","160","50440","53420"
"In post","2021","London","LGBO","Department for Environment, Food and Rural Affairs","180","180","45780","39510"
"In post","2021","London","LGBO","Department for International Trade","170","160","45070","38540"
"In post","2021","London","LGBO","Department for Transport","220","220","46230","42890"
"In post","2021","London","LGBO","Department for Work and Pensions","440","420","35250","31060"
"In post","2021","London","LGBO","Department of Health and Social Care","290","280","47140","40650"
"In post","2021","London","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Foreign, Commonwealth and Development Office","210","200","49980","47330"
"In post","2021","London","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","HM Revenue and Customs","330","320","45980","39800"
"In post","2021","London","LGBO","HM Treasury","160","160","49000","52500"
"In post","2021","London","LGBO","Home Office","400","390","43720","41950"
"In post","2021","London","LGBO","Ministry of Defence","140","140","41410","37640"
"In post","2021","London","LGBO","Ministry of Housing, Communities and Local Government","160","160","48130","53130"
"In post","2021","London","LGBO","Ministry of Justice","650","640","38090","33930"
"In post","2021","London","LGBO","National Crime Agency","70","70","41490","39840"
"In post","2021","London","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","London","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","The National Archives","30","30","[c]","[c]"
"In post","2021","London","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Attorney General's Departments","250","240","51550","51830"
"In post","2021","London","Undeclared","Cabinet Office","410","400","50850","54700"
"In post","2021","London","Undeclared","Chancellor's other departments","70","70","58630","48770"
"In post","2021","London","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Competition and Markets Authority","50","50","60970","58010"
"In post","2021","London","Undeclared","Department for Business, Energy and Industrial Strategy","560","550","49620","53380"
"In post","2021","London","Undeclared","Department for Digital, Culture, Media and Sport","100","100","48970","51730"
"In post","2021","London","Undeclared","Department for Education","190","180","49920","53420"
"In post","2021","London","Undeclared","Department for Environment, Food and Rural Affairs","190","180","42240","38750"
"In post","2021","London","Undeclared","Department for International Trade","120","120","45430","40030"
"In post","2021","London","Undeclared","Department for Transport","320","310","44940","42470"
"In post","2021","London","Undeclared","Department for Work and Pensions","790","720","32780","31060"
"In post","2021","London","Undeclared","Department of Health and Social Care","490","450","48600","41030"
"In post","2021","London","Undeclared","Food Standards Agency","70","70","42730","40960"
"In post","2021","London","Undeclared","Foreign, Commonwealth and Development Office","340","330","49520","44110"
"In post","2021","London","Undeclared","HM Land Registry","50","40","[c]","[c]"
"In post","2021","London","Undeclared","HM Revenue and Customs","810","760","43840","39490"
"In post","2021","London","Undeclared","HM Treasury","280","270","44910","40100"
"In post","2021","London","Undeclared","Home Office","1730","1620","39390","35070"
"In post","2021","London","Undeclared","Ministry of Defence","490","480","43100","39420"
"In post","2021","London","Undeclared","Ministry of Housing, Communities and Local Government","150","150","46650","46060"
"In post","2021","London","Undeclared","Ministry of Justice","1280","1220","37030","33180"
"In post","2021","London","Undeclared","National Crime Agency","100","100","41190","40170"
"In post","2021","London","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","London","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","The National Archives","50","50","[c]","[c]"
"In post","2021","London","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","London","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Attorney General's Departments","1050","960","52340","54770"
"In post","2021","London","Unknown","Cabinet Office","2510","2490","47150","34550"
"In post","2021","London","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Charity Commission","30","30","[c]","[c]"
"In post","2021","London","Unknown","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","London","Unknown","Department for Business, Energy and Industrial Strategy","760","740","43730","40050"
"In post","2021","London","Unknown","Department for Digital, Culture, Media and Sport","230","220","48640","51730"
"In post","2021","London","Unknown","Department for Education","590","570","50040","53420"
"In post","2021","London","Unknown","Department for Environment, Food and Rural Affairs","540","520","45640","40000"
"In post","2021","London","Unknown","Department for International Trade","740","730","43930","38540"
"In post","2021","London","Unknown","Department for Transport","720","700","41910","35430"
"In post","2021","London","Unknown","Department for Work and Pensions","2540","2300","33410","31060"
"In post","2021","London","Unknown","Department of Health and Social Care","2210","2130","49790","44460"
"In post","2021","London","Unknown","Food Standards Agency","50","50","41460","37340"
"In post","2021","London","Unknown","Foreign, Commonwealth and Development Office","820","790","48930","48840"
"In post","2021","London","Unknown","HM Land Registry","110","110","39190","30600"
"In post","2021","London","Unknown","HM Revenue and Customs","2680","2540","40490","36160"
"In post","2021","London","Unknown","HM Treasury","230","220","53850","50000"
"In post","2021","London","Unknown","Home Office","750","740","39770","35050"
"In post","2021","London","Unknown","Ministry of Defence","430","420","40550","37910"
"In post","2021","London","Unknown","Ministry of Housing, Communities and Local Government","150","150","45740","39600"
"In post","2021","London","Unknown","Ministry of Justice","3050","2930","33160","30720"
"In post","2021","London","Unknown","National Crime Agency","260","260","45080","42520"
"In post","2021","London","Unknown","Northern Ireland Office","40","40","[c]","[c]"
"In post","2021","London","Unknown","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","London","Unknown","Office of Gas and Electricity Markets","360","350","53650","48360"
"In post","2021","London","Unknown","Office of Rail and Road","90","80","60880","57910"
"In post","2021","London","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","The National Archives","240","230","35140","32560"
"In post","2021","London","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","United Kingdom Statistics Authority","110","110","42180","34050"
"In post","2021","London","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Water Services Regulation Authority","50","40","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Attorney General's Departments","240","220","38110","33310"
"In post","2021","North East (England)","Heterosexual / straight","Cabinet Office","310","290","28550","23850"
"In post","2021","North East (England)","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","110","110","32970","30950"
"In post","2021","North East (England)","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Department for Education","630","600","38230","36780"
"In post","2021","North East (England)","Heterosexual / straight","Department for Environment, Food and Rural Affairs","330","310","33290","29690"
"In post","2021","North East (England)","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Department for Transport","210","200","28430","26780"
"In post","2021","North East (England)","Heterosexual / straight","Department for Work and Pensions","6440","5750","27490","27570"
"In post","2021","North East (England)","Heterosexual / straight","Department of Health and Social Care","100","80","43420","36950"
"In post","2021","North East (England)","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","HM Land Registry","410","370","28820","27130"
"In post","2021","North East (England)","Heterosexual / straight","HM Revenue and Customs","6180","5530","29110","25560"
"In post","2021","North East (England)","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Heterosexual / straight","Home Office","1080","940","25180","21430"
"In post","2021","North East (England)","Heterosexual / straight","Ministry of Defence","180","170","23950","21130"
"In post","2021","North East (England)","Heterosexual / straight","Ministry of Housing, Communities and Local Government","60","50","40060","36340"
"In post","2021","North East (England)","Heterosexual / straight","Ministry of Justice","3220","2990","28200","25830"
"In post","2021","North East (England)","Heterosexual / straight","National Crime Agency","80","80","35330","36410"
"In post","2021","North East (England)","Heterosexual / straight","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
