"Status","Year","Ethnicity","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Female","Finance","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Human Resources","40","30","[c]","[c]"
"In post","2021","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Legal","100","90","50630","52730"
"In post","2021","Other ethnicity","Female","No function","540","500","35510","31810"
"In post","2021","Other ethnicity","Female","Project Delivery","70","70","43770","39100"
"In post","2021","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Female","Unknown","480","440","31050","28850"
"In post","2021","Other ethnicity","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Digital, Data & Technology","60","60","45840","40230"
"In post","2021","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Legal","60","60","54830","58460"
"In post","2021","Other ethnicity","Male","No function","440","430","37800","33590"
"In post","2021","Other ethnicity","Male","Project Delivery","80","70","44790","42940"
"In post","2021","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Male","Security","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Male","Unknown","370","360","33770","28670"
"In post","2021","Undeclared","Female","Analysis","60","60","44850","42220"
"In post","2021","Undeclared","Female","Commercial","120","110","36780","34090"
"In post","2021","Undeclared","Female","Communications","90","80","35730","31810"
"In post","2021","Undeclared","Female","Counter Fraud","200","180","33730","31810"
"In post","2021","Undeclared","Female","Debt","80","60","24390","24120"
"In post","2021","Undeclared","Female","Digital, Data & Technology","150","150","41060","38540"
"In post","2021","Undeclared","Female","Finance","160","140","36980","33300"
"In post","2021","Undeclared","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Human Resources","180","160","35680","32180"
"In post","2021","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Legal","190","170","45820","43460"
"In post","2021","Undeclared","Female","No function","2820","2560","32990","29190"
"In post","2021","Undeclared","Female","Project Delivery","460","440","39630","37320"
"In post","2021","Undeclared","Female","Property","150","130","34320","33250"
"In post","2021","Undeclared","Female","Security","70","70","33600","33300"
"In post","2021","Undeclared","Female","Unknown","3790","3270","29200","27570"
"In post","2021","Undeclared","Male","Analysis","180","180","44990","41790"
"In post","2021","Undeclared","Male","Commercial","160","160","43310","40580"
"In post","2021","Undeclared","Male","Communications","130","130","33590","31810"
"In post","2021","Undeclared","Male","Counter Fraud","380","360","37520","32520"
"In post","2021","Undeclared","Male","Debt","70","70","25100","21440"
"In post","2021","Undeclared","Male","Digital, Data & Technology","500","490","42090","39670"
"In post","2021","Undeclared","Male","Finance","220","210","41520","37570"
"In post","2021","Undeclared","Male","Grants Management","60","60","28010","26520"
"In post","2021","Undeclared","Male","Human Resources","100","100","37130","33150"
"In post","2021","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Male","Legal","160","160","46740","47100"
"In post","2021","Undeclared","Male","No function","4090","3920","36450","32860"
"In post","2021","Undeclared","Male","Project Delivery","1060","1030","43040","40580"
"In post","2021","Undeclared","Male","Property","320","310","38110","35540"
"In post","2021","Undeclared","Male","Security","380","380","34980","39010"
"In post","2021","Undeclared","Male","Unknown","4170","3970","31870","27570"
"In post","2021","Unknown","Female","Analysis","380","360","40660","36980"
"In post","2021","Unknown","Female","Commercial","770","750","56350","53320"
"In post","2021","Unknown","Female","Communications","1070","1030","33840","28500"
"In post","2021","Unknown","Female","Counter Fraud","730","680","30840","29570"
"In post","2021","Unknown","Female","Debt","810","730","21600","20140"
"In post","2021","Unknown","Female","Digital, Data & Technology","790","760","40470","36780"
"In post","2021","Unknown","Female","Finance","640","590","34580","31810"
"In post","2021","Unknown","Female","Grants Management","370","350","23980","21050"
"In post","2021","Unknown","Female","Human Resources","630","600","34910","31660"
"In post","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Legal","2110","1900","35430","29350"
"In post","2021","Unknown","Female","No function","15770","14560","29290","25560"
"In post","2021","Unknown","Female","Project Delivery","1310","1250","41740","38630"
"In post","2021","Unknown","Female","Property","650","590","28710","25860"
"In post","2021","Unknown","Female","Security","330","310","30490","26670"
"In post","2021","Unknown","Female","Unknown","6740","6150","31070","27570"
"In post","2021","Unknown","Male","Analysis","570","560","41030","36570"
"In post","2021","Unknown","Male","Commercial","840","830","61620","56340"
"In post","2021","Unknown","Male","Communications","1100","1090","32290","25560"
"In post","2021","Unknown","Male","Counter Fraud","960","930","33130","31810"
"In post","2021","Unknown","Male","Debt","740","720","21370","20140"
"In post","2021","Unknown","Male","Digital, Data & Technology","1700","1680","40390","37060"
"In post","2021","Unknown","Male","Finance","570","550","37270","32790"
"In post","2021","Unknown","Male","Grants Management","320","310","24590","21050"
"In post","2021","Unknown","Male","Human Resources","320","320","35280","31950"
"In post","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Legal","1060","1020","38550","29570"
"In post","2021","Unknown","Male","No function","15410","14910","31050","27690"
"In post","2021","Unknown","Male","Project Delivery","1510","1490","41640","38630"
"In post","2021","Unknown","Male","Property","860","830","32510","28870"
"In post","2021","Unknown","Male","Security","950","940","30540","27500"
"In post","2021","Unknown","Male","Unknown","7030","6920","33970","29250"
"In post","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Female","Analysis","2370","2200","42260","37320"
"In post","2021","White","Female","Commercial","2290","2170","39550","35570"
"In post","2021","White","Female","Communications","2650","2470","36250","31810"
"In post","2021","White","Female","Counter Fraud","3050","2760","32830","31810"
"In post","2021","White","Female","Debt","1400","1180","24040","21440"
"In post","2021","White","Female","Digital, Data & Technology","3420","3220","40170","37540"
"In post","2021","White","Female","Finance","3760","3440","37060","32780"
"In post","2021","White","Female","Grants Management","670","560","25670","24920"
"In post","2021","White","Female","Human Resources","5090","4730","37480","32960"
"In post","2021","White","Female","Internal Audit","290","270","44100","41550"
"In post","2021","White","Female","Legal","5790","5200","45160","46080"
"In post","2021","White","Female","No function","69400","62520","31850","27380"
"In post","2021","White","Female","Project Delivery","9560","9010","39770","36160"
"In post","2021","White","Female","Property","2760","2550","33050","30990"
"In post","2021","White","Female","Security","1510","1460","31950","28870"
"In post","2021","White","Female","Unknown","73670","64900","29680","27570"
"In post","2021","White","Male","Analysis","2710","2660","45000","39850"
"In post","2021","White","Male","Commercial","2200","2170","45430","40580"
"In post","2021","White","Male","Communications","2240","2200","35200","31810"
"In post","2021","White","Male","Counter Fraud","3250","3130","35660","31810"
"In post","2021","White","Male","Debt","1000","960","24300","21440"
"In post","2021","White","Male","Digital, Data & Technology","5480","5380","42950","39100"
"In post","2021","White","Male","Finance","2700","2650","43530","38980"
"In post","2021","White","Male","Grants Management","400","390","27090","25190"
"In post","2021","White","Male","Human Resources","2230","2180","39010","34550"
"In post","2021","White","Male","Internal Audit","280","270","48600","45820"
"In post","2021","White","Male","Legal","3180","3080","49470","51250"
"In post","2021","White","Male","No function","57590","55300","35200","31650"
"In post","2021","White","Male","Project Delivery","12050","11810","42240","39750"
"In post","2021","White","Male","Property","3980","3880","36410","33300"
"In post","2021","White","Male","Security","5040","4950","31400","27420"
"In post","2021","White","Male","Unknown","48380","46590","32100","27570"
"In post","2021","White","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Female","Analysis","320","300","42650","38200"
"In post","2022","Asian","Female","Commercial","150","140","40770","37900"
"In post","2022","Asian","Female","Communications","320","310","33600","28900"
"In post","2022","Asian","Female","Counter Fraud","730","640","30040","27570"
"In post","2022","Asian","Female","Debt","450","370","23540","21260"
"In post","2022","Asian","Female","Digital, Data & Technology","550","540","41220","37290"
"In post","2022","Asian","Female","Finance","570","540","37540","34620"
"In post","2022","Asian","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Female","Human Resources","480","450","37340","34260"
"In post","2022","Asian","Female","Internal Audit","50","40","[c]","[c]"
"In post","2022","Asian","Female","Legal","810","740","43390","48080"
"In post","2022","Asian","Female","No function","10190","9170","31230","27570"
"In post","2022","Asian","Female","Project Delivery","620","580","41570","37930"
"In post","2022","Asian","Female","Property","220","200","35560","31890"
"In post","2022","Asian","Female","Security","120","120","35030","32260"
"In post","2022","Asian","Female","Unknown","3120","2840","32270","28990"
"In post","2022","Asian","Male","Analysis","310","310","43110","39930"
"In post","2022","Asian","Male","Commercial","150","150","43880","40000"
"In post","2022","Asian","Male","Communications","390","380","31020","26820"
"In post","2022","Asian","Male","Counter Fraud","630","610","32110","31020"
"In post","2022","Asian","Male","Debt","310","290","23530","21260"
"In post","2022","Asian","Male","Digital, Data & Technology","850","840","42360","39000"
"In post","2022","Asian","Male","Finance","580","570","40200","36780"
"In post","2022","Asian","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Male","Human Resources","190","190","36040","32330"
"In post","2022","Asian","Male","Internal Audit","40","40","[c]","[c]"
"In post","2022","Asian","Male","Legal","370","360","44740","48080"
"In post","2022","Asian","Male","No function","7750","7510","31850","27570"
"In post","2022","Asian","Male","Project Delivery","640","630","42400","39920"
"In post","2022","Asian","Male","Property","250","240","36550","32280"
"In post","2022","Asian","Male","Security","200","200","32690","30320"
"In post","2022","Asian","Male","Unknown","2280","2210","32940","29030"
"In post","2022","Black","Female","Analysis","120","120","39080","37930"
"In post","2022","Black","Female","Commercial","110","110","38680","36190"
"In post","2022","Black","Female","Communications","170","160","33040","30430"
"In post","2022","Black","Female","Counter Fraud","410","380","31100","31020"
"In post","2022","Black","Female","Debt","140","130","25280","23600"
"In post","2022","Black","Female","Digital, Data & Technology","270","270","39310","36330"
"In post","2022","Black","Female","Finance","270","270","38320","35840"
"In post","2022","Black","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Black","Female","Human Resources","300","290","36810","34270"
"In post","2022","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Black","Female","Legal","470","440","40810","34160"
"In post","2022","Black","Female","No function","6620","6280","31340","30210"
"In post","2022","Black","Female","Project Delivery","400","390","39670","37930"
"In post","2022","Black","Female","Property","130","120","37280","34260"
"In post","2022","Black","Female","Security","40","40","[c]","[c]"
"In post","2022","Black","Female","Unknown","1440","1350","33230","29250"
"In post","2022","Black","Male","Analysis","100","100","39530","37610"
"In post","2022","Black","Male","Commercial","60","60","42800","39950"
"In post","2022","Black","Male","Communications","80","80","32100","27040"
"In post","2022","Black","Male","Counter Fraud","210","200","30880","31020"
"In post","2022","Black","Male","Debt","70","70","25110","25330"
"In post","2022","Black","Male","Digital, Data & Technology","370","370","39740","36700"
"In post","2022","Black","Male","Finance","170","170","40600","38610"
"In post","2022","Black","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Black","Male","Human Resources","80","70","35680","31990"
"In post","2022","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Black","Male","Legal","180","170","43020","37930"
"In post","2022","Black","Male","No function","3610","3530","32250","31060"
"In post","2022","Black","Male","Project Delivery","280","280","39700","37610"
"In post","2022","Black","Male","Property","80","70","38430","34550"
"In post","2022","Black","Male","Security","90","90","31930","28890"
"In post","2022","Black","Male","Unknown","780","760","33940","29080"
"In post","2022","Black","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Female","Analysis","110","100","44180","41250"
"In post","2022","Mixed","Female","Commercial","60","60","36030","34880"
"In post","2022","Mixed","Female","Communications","130","120","39000","33370"
"In post","2022","Mixed","Female","Counter Fraud","140","130","30560","27570"
"In post","2022","Mixed","Female","Debt","70","60","22770","21260"
"In post","2022","Mixed","Female","Digital, Data & Technology","160","160","41040","39320"
"In post","2022","Mixed","Female","Finance","120","110","38530","35030"
"In post","2022","Mixed","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Female","Human Resources","180","170","40300","35700"
"In post","2022","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Female","Legal","220","200","47940","51250"
"In post","2022","Mixed","Female","No function","3210","3000","32370","28990"
"In post","2022","Mixed","Female","Project Delivery","230","220","41610","37930"
"In post","2022","Mixed","Female","Property","60","60","36220","32890"
"In post","2022","Mixed","Female","Security","50","50","36830","34670"
"In post","2022","Mixed","Female","Unknown","660","620","36310","30830"
"In post","2022","Mixed","Male","Analysis","110","110","42160","38070"
"In post","2022","Mixed","Male","Commercial","30","30","[c]","[c]"
"In post","2022","Mixed","Male","Communications","70","70","36180","33080"
"In post","2022","Mixed","Male","Counter Fraud","120","120","35540","31990"
"In post","2022","Mixed","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Male","Digital, Data & Technology","190","190","42550","39780"
"In post","2022","Mixed","Male","Finance","90","80","43890","39960"
"In post","2022","Mixed","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Male","Human Resources","70","70","40440","36650"
"In post","2022","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Male","Legal","110","110","48730","50500"
"In post","2022","Mixed","Male","No function","2140","2090","34980","31060"
"In post","2022","Mixed","Male","Project Delivery","220","210","43140","40050"
"In post","2022","Mixed","Male","Property","50","50","37630","37610"
"In post","2022","Mixed","Male","Security","80","80","37390","34380"
"In post","2022","Mixed","Male","Unknown","470","460","35930","30830"
"In post","2022","Mixed","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Counter Fraud","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Digital, Data & Technology","50","50","42600","38570"
"In post","2022","Other ethnicity","Female","Finance","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Human Resources","40","40","[c]","[c]"
"In post","2022","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Legal","70","60","46580","50500"
"In post","2022","Other ethnicity","Female","No function","870","810","34120","30750"
"In post","2022","Other ethnicity","Female","Project Delivery","50","50","42410","40000"
"In post","2022","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Female","Unknown","150","140","34340","29430"
"In post","2022","Other ethnicity","Male","Analysis","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Counter Fraud","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Digital, Data & Technology","70","70","46670","39910"
"In post","2022","Other ethnicity","Male","Finance","30","30","[c]","[c]"
"In post","2022","Other ethnicity","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Legal","50","40","[c]","[c]"
"In post","2022","Other ethnicity","Male","No function","720","700","35930","31650"
"In post","2022","Other ethnicity","Male","Project Delivery","70","70","45740","45590"
"In post","2022","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Male","Unknown","130","130","33980","28670"
"In post","2022","Undeclared","Female","Analysis","70","60","42960","38540"
"In post","2022","Undeclared","Female","Commercial","90","80","38430","37680"
"In post","2022","Undeclared","Female","Communications","80","70","36890","33370"
"In post","2022","Undeclared","Female","Counter Fraud","380","340","31350","28920"
"In post","2022","Undeclared","Female","Debt","130","110","23640","22080"
"In post","2022","Undeclared","Female","Digital, Data & Technology","260","250","39700","37020"
"In post","2022","Undeclared","Female","Finance","200","190","36470","33320"
"In post","2022","Undeclared","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Human Resources","210","190","36140","33300"
"In post","2022","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Female","Legal","170","160","48730","51670"
"In post","2022","Undeclared","Female","No function","4600","4040","31040","27570"
"In post","2022","Undeclared","Female","Project Delivery","380","360","39540","38070"
"In post","2022","Undeclared","Female","Property","290","250","34730","31660"
"In post","2022","Undeclared","Female","Security","90","90","36860","34660"
"In post","2022","Undeclared","Female","Unknown","1300","1190","34010","29430"
"In post","2022","Undeclared","Male","Analysis","170","170","46810","47010"
"In post","2022","Undeclared","Male","Commercial","120","120","45900","41870"
"In post","2022","Undeclared","Male","Communications","120","120","34770","32000"
