"Status","Year","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Office","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Female","4980","4830","44360","35590"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Male","4370","4330","49330","40600"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Female","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Female","210","190","30970","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Male","270","260","35860","30660"
"In post","2021","Charity Commission","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Female","140","130","32370","29160"
"In post","2021","Charity Commission","Unknown","Male","80","80","33920","29160"
"In post","2021","Companies House","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","Female","80","70","36690","36440"
"In post","2021","Companies House","Digital, Data and Technology","Male","180","180","39770","38000"
"In post","2021","Companies House","Finance","Female","40","30","[c]","[c]"
"In post","2021","Companies House","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","Female","60","60","33220","30530"
"In post","2021","Companies House","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","Female","360","300","24210","22490"
"In post","2021","Companies House","Operational Delivery","Male","220","210","25230","22490"
"In post","2021","Companies House","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Male","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","Female","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","Male","50","50","64140","61650"
"In post","2021","Competition and Markets Authority","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Female","70","70","69330","71370"
"In post","2021","Competition and Markets Authority","Legal","Male","60","50","72010","74480"
"In post","2021","Competition and Markets Authority","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Female","200","190","58740","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Male","170","170","62970","59260"
"In post","2021","Competition and Markets Authority","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Female","160","140","25810","22570"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Male","130","130","25130","22710"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Female","190","180","33620","33340"
"In post","2021","Crown Commercial Service","Commercial","Male","180","180","34510","34800"
"In post","2021","Crown Commercial Service","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Female","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Male","80","70","40390","35470"
"In post","2021","Crown Commercial Service","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","Female","100","100","39290","36740"
"In post","2021","Crown Commercial Service","Operational Delivery","Male","90","80","43160","35420"
"In post","2021","Crown Commercial Service","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Male","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Female","430","390","54110","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Male","170","170","55850","55850"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Female","950","860","25870","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Male","320","310","27670","25410"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Female","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Female","60","60","39230","38180"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Male","60","60","40430","38180"
"In post","2021","Crown Prosecution Service","Finance","Female","50","50","30600","30110"
"In post","2021","Crown Prosecution Service","Finance","Male","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","Female","110","110","41450","38180"
"In post","2021","Crown Prosecution Service","Human Resources","Male","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Legal","Female","1950","1760","53930","54770"
"In post","2021","Crown Prosecution Service","Legal","Male","1240","1200","56630","55610"
"In post","2021","Crown Prosecution Service","Operational Delivery","Female","2220","2000","27040","25480"
"In post","2021","Crown Prosecution Service","Operational Delivery","Male","840","820","27910","25820"
"In post","2021","Crown Prosecution Service","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Operational Delivery","Male","40","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Other","Male","30","30","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Science and Engineering","Male","220","210","27030","28750"
"In post","2021","Defence Electronics and Components Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Female","480","450","37410","34100"
"In post","2021","Defence Equipment and Support","Commercial","Male","440","430","41740","37530"
"In post","2021","Defence Equipment and Support","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Female","100","90","36080","33200"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Male","270","270","42830","42950"
"In post","2021","Defence Equipment and Support","Finance","Female","240","230","38890","33250"
"In post","2021","Defence Equipment and Support","Finance","Male","220","210","38960","32490"
"In post","2021","Defence Equipment and Support","Human Resources","Female","150","140","36740","32650"
"In post","2021","Defence Equipment and Support","Human Resources","Male","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Female","50","50","34410","33910"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Male","130","130","35730","33010"
"In post","2021","Defence Equipment and Support","Other","Female","1420","1310","29890","27010"
"In post","2021","Defence Equipment and Support","Other","Male","2040","2000","32480","28780"
"In post","2021","Defence Equipment and Support","Policy","Female","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Policy","Male","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Female","870","820","36330","34240"
"In post","2021","Defence Equipment and Support","Project Delivery","Male","1400","1380","43000","40900"
"In post","2021","Defence Equipment and Support","Property","Female","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Male","80","80","36410","34170"
"In post","2021","Defence Equipment and Support","Science and Engineering","Female","240","230","36060","33140"
"In post","2021","Defence Equipment and Support","Science and Engineering","Male","2330","2290","37110","36700"
"In post","2021","Defence Equipment and Support","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Security","Male","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Female","40","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Male","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Communications","Female","[c]","[c]","[c]","[c]"
