"Status","Year","Function_of_post","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","West Yorkshire","70","70","43370","48350"
"In post","2021","Analysis","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Berkshire, Buckinghamshire and Oxfordshire","110","110","39260","35300"
"In post","2021","Commercial","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Derbyshire and Nottinghamshire","60","60","37500","37970"
"In post","2021","Commercial","Female","Devon","120","110","40890","38370"
"In post","2021","Commercial","Female","Dorset and Somerset","40","30","[c]","[c]"
"In post","2021","Commercial","Female","East Anglia","200","190","38740","35760"
"In post","2021","Commercial","Female","East Wales","90","90","36440","34030"
"In post","2021","Commercial","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Gloucestershire, Wiltshire and Bath/Bristol area","500","470","39590","34800"
"In post","2021","Commercial","Female","Greater Manchester","170","160","43050","38630"
"In post","2021","Commercial","Female","Hampshire and Isle of Wight","210","200","34880","33300"
"In post","2021","Commercial","Female","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Inner London - East","110","100","51000","50470"
"In post","2021","Commercial","Female","Inner London - West","670","650","56720","53360"
"In post","2021","Commercial","Female","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Lancashire","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Merseyside","170","170","39660","34800"
"In post","2021","Commercial","Female","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","North Yorkshire","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Outer London - South","70","70","46880","45070"
"In post","2021","Commercial","Female","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Shropshire and Staffordshire","110","100","36000","33300"
"In post","2021","Commercial","Female","South Yorkshire","60","60","44510","40780"
"In post","2021","Commercial","Female","Southern Scotland","60","60","46170","43320"
"In post","2021","Commercial","Female","Surrey, East and West Sussex","50","40","[c]","[c]"
"In post","2021","Commercial","Female","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","West Central Scotland","70","70","35540","33150"
"In post","2021","Commercial","Female","West Midlands","70","60","45560","38280"
"In post","2021","Commercial","Female","West Wales and The Valleys","100","80","31840","31040"
"In post","2021","Commercial","Female","West Yorkshire","160","150","45750","39290"
"In post","2021","Commercial","Male","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Berkshire, Buckinghamshire and Oxfordshire","100","100","42370","40330"
"In post","2021","Commercial","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Devon","110","110","44940","46750"
"In post","2021","Commercial","Male","Dorset and Somerset","30","30","[c]","[c]"
"In post","2021","Commercial","Male","East Anglia","150","150","44200","40130"
"In post","2021","Commercial","Male","East Wales","90","90","39270","35420"
"In post","2021","Commercial","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Eastern Scotland","70","60","36300","36620"
"In post","2021","Commercial","Male","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Gloucestershire, Wiltshire and Bath/Bristol area","560","550","44670","40580"
"In post","2021","Commercial","Male","Greater Manchester","170","170","43960","38630"
"In post","2021","Commercial","Male","Hampshire and Isle of Wight","160","160","41450","34800"
"In post","2021","Commercial","Male","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Inner London - East","90","90","55880","52250"
"In post","2021","Commercial","Male","Inner London - West","790","780","66330","59690"
"In post","2021","Commercial","Male","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Merseyside","150","150","44350","38990"
"In post","2021","Commercial","Male","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Northumberland and Tyne and Wear","30","30","[c]","[c]"
"In post","2021","Commercial","Male","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Outer London - South","50","50","[c]","[c]"
"In post","2021","Commercial","Male","Outer London - West and North West","50","50","[c]","[c]"
"In post","2021","Commercial","Male","Overseas","30","30","[c]","[c]"
"In post","2021","Commercial","Male","Shropshire and Staffordshire","80","80","36990","27010"
"In post","2021","Commercial","Male","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Southern Scotland","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","West Central Scotland","110","110","37990","34800"
"In post","2021","Commercial","Male","West Midlands","60","60","47840","40860"
"In post","2021","Commercial","Male","West Wales and The Valleys","80","80","35060","31210"
"In post","2021","Commercial","Male","West Yorkshire","110","100","47380","43570"
"In post","2021","Communications","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Berkshire, Buckinghamshire and Oxfordshire","40","40","[c]","[c]"
"In post","2021","Communications","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Cumbria","50","40","27920","26030"
"In post","2021","Communications","Female","Derbyshire and Nottinghamshire","230","220","30700","26700"
"In post","2021","Communications","Female","Devon","30","30","[c]","[c]"
"In post","2021","Communications","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Wales","440","410","29680","25560"
"In post","2021","Communications","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Eastern Scotland","80","80","34130","31810"
"In post","2021","Communications","Female","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Gloucestershire, Wiltshire and Bath/Bristol area","120","110","36550","33950"
"In post","2021","Communications","Female","Greater Manchester","210","200","30080","27510"
"In post","2021","Communications","Female","Hampshire and Isle of Wight","120","110","33500","33000"
"In post","2021","Communications","Female","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Inner London - East","140","130","44990","40810"
"In post","2021","Communications","Female","Inner London - West","1170","1130","45870","41890"
"In post","2021","Communications","Female","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Merseyside","60","50","39630","35410"
"In post","2021","Communications","Female","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Northumberland and Tyne and Wear","780","710","27920","25560"
"In post","2021","Communications","Female","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Outer London - West and North West","50","50","28950","27220"
"In post","2021","Communications","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","West Midlands","140","140","33830","31810"
"In post","2021","Communications","Female","West Wales and The Valleys","50","50","29740","26470"
"In post","2021","Communications","Female","West Yorkshire","250","250","31270","25560"
"In post","2021","Communications","Male","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Berkshire, Buckinghamshire and Oxfordshire","60","60","33400","31200"
"In post","2021","Communications","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Derbyshire and Nottinghamshire","260","250","28480","25560"
"In post","2021","Communications","Male","Devon","30","30","[c]","[c]"
"In post","2021","Communications","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","East Wales","430","430","29080","25560"
"In post","2021","Communications","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Eastern Scotland","70","60","32020","30160"
"In post","2021","Communications","Male","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Gloucestershire, Wiltshire and Bath/Bristol area","110","110","38400","35650"
"In post","2021","Communications","Male","Greater Manchester","290","290","29130","25560"
"In post","2021","Communications","Male","Hampshire and Isle of Wight","90","90","31170","29200"
"In post","2021","Communications","Male","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Inner London - East","90","90","49680","42630"
"In post","2021","Communications","Male","Inner London - West","810","800","47470","42800"
"In post","2021","Communications","Male","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Merseyside","40","40","[c]","[c]"
"In post","2021","Communications","Male","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Northumberland and Tyne and Wear","730","720","27940","25560"
"In post","2021","Communications","Male","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Outer London - West and North West","150","150","24730","21450"
"In post","2021","Communications","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","West Midlands","140","140","31700","31810"
"In post","2021","Communications","Male","West Wales and The Valleys","30","30","[c]","[c]"
"In post","2021","Communications","Male","West Yorkshire","300","300","29050","25560"
"In post","2021","Counter Fraud","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Berkshire, Buckinghamshire and Oxfordshire","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Derbyshire and Nottinghamshire","230","210","31980","31810"
"In post","2021","Counter Fraud","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","East Anglia","200","180","26780","25560"
"In post","2021","Counter Fraud","Female","East Wales","190","170","29800","27130"
"In post","2021","Counter Fraud","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Eastern Scotland","110","100","30060","28130"
"In post","2021","Counter Fraud","Female","Essex","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Female","Gloucestershire, Wiltshire and Bath/Bristol area","160","150","34140","31810"
"In post","2021","Counter Fraud","Female","Greater Manchester","490","450","32650","31810"
"In post","2021","Counter Fraud","Female","Hampshire and Isle of Wight","70","60","31840","31810"
"In post","2021","Counter Fraud","Female","Inner London - East","100","90","38350","36160"
"In post","2021","Counter Fraud","Female","Inner London - West","620","580","38150","36160"
"In post","2021","Counter Fraud","Female","Kent","80","80","29150","28130"
"In post","2021","Counter Fraud","Female","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Merseyside","300","270","30990","28130"
"In post","2021","Counter Fraud","Female","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Northern Ireland","190","170","30810","28130"
"In post","2021","Counter Fraud","Female","Northumberland and Tyne and Wear","260","240","31380","31810"
"In post","2021","Counter Fraud","Female","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Outer London - South","270","250","36090","32520"
"In post","2021","Counter Fraud","Female","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Southern Scotland","60","50","29060","28130"
"In post","2021","Counter Fraud","Female","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","West Central Scotland","270","240","29310","28130"
"In post","2021","Counter Fraud","Female","West Midlands","360","320","30710","28130"
"In post","2021","Counter Fraud","Female","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","West Yorkshire","380","340","31050","28130"
"In post","2021","Counter Fraud","Male","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Berkshire, Buckinghamshire and Oxfordshire","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Derbyshire and Nottinghamshire","280","280","34660","31810"
"In post","2021","Counter Fraud","Male","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","East Anglia","180","180","29460","28130"
"In post","2021","Counter Fraud","Male","East Wales","190","180","32900","31810"
"In post","2021","Counter Fraud","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Eastern Scotland","120","120","32690","31810"
"In post","2021","Counter Fraud","Male","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Gloucestershire, Wiltshire and Bath/Bristol area","230","220","36220","31810"
"In post","2021","Counter Fraud","Male","Greater Manchester","610","590","33500","31810"
"In post","2021","Counter Fraud","Male","Hampshire and Isle of Wight","60","60","34970","31810"
"In post","2021","Counter Fraud","Male","Inner London - East","90","80","43580","40780"
"In post","2021","Counter Fraud","Male","Inner London - West","870","850","40890","36160"
"In post","2021","Counter Fraud","Male","Kent","110","110","30710","28130"
"In post","2021","Counter Fraud","Male","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Merseyside","260","250","34730","31810"
"In post","2021","Counter Fraud","Male","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Northern Ireland","210","200","31510","31810"
"In post","2021","Counter Fraud","Male","Northumberland and Tyne and Wear","270","260","32800","31810"
"In post","2021","Counter Fraud","Male","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Outer London - South","360","350","39040","36160"
"In post","2021","Counter Fraud","Male","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","West Central Scotland","260","250","31760","31810"
"In post","2021","Counter Fraud","Male","West Midlands","370","350","33480","31810"
"In post","2021","Counter Fraud","Male","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","West Yorkshire","440","430","33070","31810"
"In post","2021","Debt","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Derbyshire and Nottinghamshire","130","110","21690","20140"
"In post","2021","Debt","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","East Wales","160","150","23090","20140"
"In post","2021","Debt","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Eastern Scotland","310","280","21420","20140"
"In post","2021","Debt","Female","Essex","40","30","[c]","[c]"
"In post","2021","Debt","Female","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Inner London - East","150","130","27070","25630"
"In post","2021","Debt","Female","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Merseyside","170","150","23270","21440"
"In post","2021","Debt","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Northumberland and Tyne and Wear","320","280","21310","20140"
"In post","2021","Debt","Female","Outer London - South","160","140","26640","25180"
"In post","2021","Debt","Female","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","South Yorkshire","[c]","[c]","[c]","[c]"
