"Status","Year","Parent_department","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Communications","70","70","43580","39750"
"In post","2021","Attorney General's Departments","White","Counter Fraud","150","140","46040","40270"
"In post","2021","Attorney General's Departments","White","Digital, Data & Technology","120","120","42280","38780"
"In post","2021","Attorney General's Departments","White","Finance","100","90","37520","31570"
"In post","2021","Attorney General's Departments","White","Human Resources","160","150","41520","36230"
"In post","2021","Attorney General's Departments","White","Legal","5860","5420","45670","49580"
"In post","2021","Attorney General's Departments","White","No function","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Unknown","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Digital, Data & Technology","100","100","48370","54700"
"In post","2021","Cabinet Office","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Human Resources","80","80","38270","35440"
"In post","2021","Cabinet Office","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","No function","160","160","44910","38580"
"In post","2021","Cabinet Office","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Digital, Data & Technology","60","60","45240","40600"
"In post","2021","Cabinet Office","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Human Resources","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","No function","90","90","38230","34550"
"In post","2021","Cabinet Office","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Human Resources","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","No function","90","80","44590","38580"
"In post","2021","Cabinet Office","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","No function","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Human Resources","40","30","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","No function","60","60","46030","41570"
"In post","2021","Cabinet Office","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Security","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Commercial","1020","1000","71010","64500"
"In post","2021","Cabinet Office","Unknown","Communications","120","120","46650","42280"
"In post","2021","Cabinet Office","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Digital, Data & Technology","130","130","50020","53600"
"In post","2021","Cabinet Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Human Resources","120","120","37500","34550"
"In post","2021","Cabinet Office","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","No function","2280","2280","35500","29250"
"In post","2021","Cabinet Office","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Security","310","290","29470","26670"
"In post","2021","Cabinet Office","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Commercial","320","320","71570","62730"
"In post","2021","Cabinet Office","White","Communications","170","170","48030","42210"
"In post","2021","Cabinet Office","White","Counter Fraud","70","70","48650","54700"
"In post","2021","Cabinet Office","White","Digital, Data & Technology","580","570","52710","54700"
"In post","2021","Cabinet Office","White","Finance","50","50","50510","54700"
"In post","2021","Cabinet Office","White","Human Resources","800","760","39000","35590"
"In post","2021","Cabinet Office","White","Legal","40","40","[c]","[c]"
"In post","2021","Cabinet Office","White","No function","1450","1430","48080","43890"
"In post","2021","Cabinet Office","White","Project Delivery","130","130","70420","64500"
"In post","2021","Cabinet Office","White","Property","70","70","52720","53830"
"In post","2021","Cabinet Office","White","Security","470","450","35190","33300"
"In post","2021","Cabinet Office","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Analysis","120","110","76630","72110"
"In post","2021","Chancellor's other departments","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","No function","80","80","55710","45080"
"In post","2021","Chancellor's other departments","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
