"Status","Year","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","West Midlands (England)","Male","14000","13530","32280","27570"
"In post","2022","Yorkshire and The Humber","Female","21580","19380","31310","27570"
"In post","2022","Yorkshire and The Humber","Male","17650","17030","32950","28200"
"Leaver CS","2021","East Midlands (England)","Female","880","750","25960","21580"
"Leaver CS","2021","East Midlands (England)","Male","720","670","28570","26890"
"Leaver CS","2021","East of England","Female","960","820","27830","25070"
"Leaver CS","2021","East of England","Male","820","760","32760","27570"
"Leaver CS","2021","East of England","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","2720","2400","39200","31620"
"Leaver CS","2021","London","Male","2520","2300","43200","35070"
"Leaver CS","2021","London","Unknown","80","80","46580","40340"
"Leaver CS","2021","North East (England)","Female","1000","780","25870","21010"
"Leaver CS","2021","North East (England)","Male","680","590","27740","21300"
"Leaver CS","2021","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","1550","1280","27280","22350"
"Leaver CS","2021","North West (England)","Male","1210","1090","29160","25670"
"Leaver CS","2021","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","110","90","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","90","80","[c]","[c]"
"Leaver CS","2021","Overseas","Female","70","60","38340","36960"
"Leaver CS","2021","Overseas","Male","70","50","[c]","[c]"
"Leaver CS","2021","Scotland","Female","1200","1000","30500","26140"
"Leaver CS","2021","Scotland","Male","1140","1030","33870","29190"
"Leaver CS","2021","South East (England)","Female","1300","1120","28220","24500"
"Leaver CS","2021","South East (England)","Male","1390","1270","31310","27670"
"Leaver CS","2021","South West (England)","Female","1110","970","29280","26230"
"Leaver CS","2021","South West (England)","Male","1350","1260","34590","31430"
"Leaver CS","2021","Unknown","Female","330","320","38110","28000"
"Leaver CS","2021","Unknown","Male","360","360","41480","32700"
"Leaver CS","2021","Wales","Female","1030","830","27570","21590"
"Leaver CS","2021","Wales","Male","940","850","30800","26120"
"Leaver CS","2021","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Female","1080","900","28760","24920"
"Leaver CS","2021","West Midlands (England)","Male","790","730","31520","26120"
"Leaver CS","2021","Yorkshire and The Humber","Female","1290","1040","28510","26060"
"Leaver CS","2021","Yorkshire and The Humber","Male","1040","930","32200","27530"
"Leaver CS","2021","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Female","1280","1110","27120","25830"
"Leaver CS","2022","East Midlands (England)","Male","1000","930","30130","26780"
"Leaver CS","2022","East of England","Female","1380","1220","30400","27570"
"Leaver CS","2022","East of England","Male","1290","1210","32220","27570"
"Leaver CS","2022","London","Female","5330","4690","39700","32690"
"Leaver CS","2022","London","Male","4310","3880","43790","36660"
"Leaver CS","2022","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","Female","1520","1230","27710","22160"
"Leaver CS","2022","North East (England)","Male","1030","930","28260","21720"
"Leaver CS","2022","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Female","2550","2160","28160","25040"
"Leaver CS","2022","North West (England)","Male","2080","1900","30160","26130"
"Leaver CS","2022","Northern Ireland","Female","110","100","27510","22580"
"Leaver CS","2022","Northern Ireland","Male","140","130","28300","23500"
"Leaver CS","2022","Overseas","Female","60","60","[c]","[c]"
"Leaver CS","2022","Overseas","Male","80","70","52240","46600"
"Leaver CS","2022","Scotland","Female","1900","1610","30180","27230"
"Leaver CS","2022","Scotland","Male","1850","1700","33640","27810"
"Leaver CS","2022","South East (England)","Female","2260","1970","29310","27370"
"Leaver CS","2022","South East (England)","Male","2310","2140","31540","27570"
"Leaver CS","2022","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Female","1900","1670","30650","27570"
"Leaver CS","2022","South West (England)","Male","2170","2060","33870","31500"
"Leaver CS","2022","Unknown","Female","620","470","27360","21840"
"Leaver CS","2022","Unknown","Male","610","540","34420","30730"
"Leaver CS","2022","Wales","Female","1130","950","28610","23830"
"Leaver CS","2022","Wales","Male","1080","990","33150","27570"
"Leaver CS","2022","West Midlands (England)","Female","1510","1310","30290","27570"
"Leaver CS","2022","West Midlands (England)","Male","1220","1150","31310","27570"
"Leaver CS","2022","Yorkshire and The Humber","Female","1870","1540","29100","27370"
"Leaver CS","2022","Yorkshire and The Humber","Male","1640","1470","31940","27570"
"Leaver Dept.","2021","East Midlands (England)","Female","150","150","25960","22190"
"Leaver Dept.","2021","East Midlands (England)","Male","120","120","27830","21820"
"Leaver Dept.","2021","East of England","Female","120","110","32440","29290"
"Leaver Dept.","2021","East of England","Male","80","80","32520","31660"
"Leaver Dept.","2021","London","Female","2930","2680","44060","38820"
"Leaver Dept.","2021","London","Male","2390","2210","44330","39100"
"Leaver Dept.","2021","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","Female","370","350","26940","24300"
"Leaver Dept.","2021","North East (England)","Male","230","230","28470","27570"
"Leaver Dept.","2021","North West (England)","Female","580","550","29260","26670"
"Leaver Dept.","2021","North West (England)","Male","490","480","29510","27570"
"Leaver Dept.","2021","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Female","50","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Male","70","40","[c]","[c]"
"Leaver Dept.","2021","Scotland","Female","360","340","30590","27570"
"Leaver Dept.","2021","Scotland","Male","260","250","30430","27570"
"Leaver Dept.","2021","South East (England)","Female","240","220","31290","28850"
"Leaver Dept.","2021","South East (England)","Male","190","180","33980","28970"
"Leaver Dept.","2021","South West (England)","Female","410","390","33840","30110"
"Leaver Dept.","2021","South West (England)","Male","410","400","35250","32410"
"Leaver Dept.","2021","Unknown","Female","390","380","34820","32000"
"Leaver Dept.","2021","Unknown","Male","320","320","36500","32000"
"Leaver Dept.","2021","Wales","Female","320","300","30240","27570"
"Leaver Dept.","2021","Wales","Male","270","260","34210","29550"
"Leaver Dept.","2021","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","Female","310","300","28160","24110"
"Leaver Dept.","2021","West Midlands (England)","Male","230","230","28650","24380"
"Leaver Dept.","2021","Yorkshire and The Humber","Female","360","330","33460","29860"
"Leaver Dept.","2021","Yorkshire and The Humber","Male","280","260","33900","30830"
"Leaver Dept.","2022","East Midlands (England)","Female","400","380","32130","27570"
"Leaver Dept.","2022","East Midlands (England)","Male","230","220","32280","27570"
"Leaver Dept.","2022","East of England","Female","410","370","36850","31060"
"Leaver Dept.","2022","East of England","Male","250","250","39260","29290"
"Leaver Dept.","2022","London","Female","6080","5260","42960","37190"
"Leaver Dept.","2022","London","Male","4190","3650","45510","40070"
"Leaver Dept.","2022","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","North East (England)","Female","600","560","31000","27570"
"Leaver Dept.","2022","North East (England)","Male","390","390","32820","27570"
"Leaver Dept.","2022","North West (England)","Female","1210","1140","31210","27570"
"Leaver Dept.","2022","North West (England)","Male","850","840","33560","27570"
"Leaver Dept.","2022","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Overseas","Male","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Scotland","Female","750","710","29810","27570"
"Leaver Dept.","2022","Scotland","Male","500","500","30110","27570"
"Leaver Dept.","2022","South East (England)","Female","630","570","38870","31990"
"Leaver Dept.","2022","South East (England)","Male","450","430","40200","35590"
"Leaver Dept.","2022","South West (England)","Female","1260","1180","35130","30220"
"Leaver Dept.","2022","South West (England)","Male","870","850","39220","35610"
"Leaver Dept.","2022","Unknown","Female","420","290","36370","32000"
"Leaver Dept.","2022","Unknown","Male","320","250","38570","32000"
"Leaver Dept.","2022","Wales","Female","410","400","32360","27570"
"Leaver Dept.","2022","Wales","Male","330","330","34870","29780"
"Leaver Dept.","2022","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","West Midlands (England)","Female","800","740","33220","27570"
"Leaver Dept.","2022","West Midlands (England)","Male","510","500","33140","27570"
"Leaver Dept.","2022","Yorkshire and The Humber","Female","930","700","35740","31370"
"Leaver Dept.","2022","Yorkshire and The Humber","Male","740","590","37540","31990"
"New entrant CS","2021","East Midlands (England)","Female","1400","1350","25820","25430"
"New entrant CS","2021","East Midlands (England)","Male","1070","1060","26900","25560"
"New entrant CS","2021","East of England","Female","1750","1670","26480","27570"
"New entrant CS","2021","East of England","Male","1270","1260","27810","27570"
"New entrant CS","2021","East of England","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Female","8690","8470","34490","31060"
"New entrant CS","2021","London","Male","6390","6320","37130","31460"
"New entrant CS","2021","London","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","North East (England)","Female","1740","1680","24390","21010"
"New entrant CS","2021","North East (England)","Male","1520","1510","24810","21010"
"New entrant CS","2021","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Female","3210","3110","25940","22920"
"New entrant CS","2021","North West (England)","Male","2820","2790","27430","24880"
"New entrant CS","2021","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Female","160","150","24540","20140"
"New entrant CS","2021","Northern Ireland","Male","200","200","23870","20140"
"New entrant CS","2021","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Female","2470","2380","27450","25410"
"New entrant CS","2021","Scotland","Male","2020","2000","27600","23540"
"New entrant CS","2021","South East (England)","Female","3110","2970","27240","27570"
"New entrant CS","2021","South East (England)","Male","2510","2470","28660","27570"
"New entrant CS","2021","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Female","2610","2450","27720","26350"
"New entrant CS","2021","South West (England)","Male","2360","2330","30130","27570"
"New entrant CS","2021","Unknown","Female","520","510","30920","27570"
"New entrant CS","2021","Unknown","Male","380","370","34750","27570"
"New entrant CS","2021","Wales","Female","1590","1510","25250","22350"
"New entrant CS","2021","Wales","Male","1350","1320","26610","22850"
"New entrant CS","2021","Wales","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Female","1980","1890","26920","24880"
"New entrant CS","2021","West Midlands (England)","Male","1470","1450","28330","25560"
"New entrant CS","2021","Yorkshire and The Humber","Female","2440","2350","27380","26370"
"New entrant CS","2021","Yorkshire and The Humber","Male","2070","2050","28070","25560"
"New entrant CS","2021","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East Midlands (England)","Female","2140","2020","26260","23390"
"New entrant CS","2022","East Midlands (England)","Male","1490","1470","26910","25000"
"New entrant CS","2022","East of England","Female","1890","1780","27210","24920"
"New entrant CS","2022","East of England","Male","1390","1350","28240","26140"
"New entrant CS","2022","London","Female","7980","7660","35460","31060"
"New entrant CS","2022","London","Male","5780","5630","37480","32560"
"New entrant CS","2022","North East (England)","Female","2520","2420","25880","23170"
"New entrant CS","2022","North East (England)","Male","1700","1680","27260","24880"
"New entrant CS","2022","North West (England)","Female","5100","4890","26580","24570"
"New entrant CS","2022","North West (England)","Male","3730","3660","28090","25000"
"New entrant CS","2022","Northern Ireland","Female","300","300","27850","26590"
"New entrant CS","2022","Northern Ireland","Male","300","300","28220","26590"
"New entrant CS","2022","Overseas","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Scotland","Female","4290","4150","28570","27230"
"New entrant CS","2022","Scotland","Male","3300","3250","29120","26590"
"New entrant CS","2022","South East (England)","Female","3110","2920","27810","25770"
"New entrant CS","2022","South East (England)","Male","2410","2310","29400","26350"
"New entrant CS","2022","South West (England)","Female","2940","2780","28340","24920"
"New entrant CS","2022","South West (England)","Male","2760","2730","30520","26740"
"New entrant CS","2022","Unknown","Female","470","410","29730","28000"
"New entrant CS","2022","Unknown","Male","400","370","29200","27270"
"New entrant CS","2022","Wales","Female","2310","2210","26500","23170"
"New entrant CS","2022","Wales","Male","1910","1870","28030","24570"
"New entrant CS","2022","Wales","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","West Midlands (England)","Female","3100","2950","27510","24880"
"New entrant CS","2022","West Midlands (England)","Male","2150","2090","29080","26590"
"New entrant CS","2022","Yorkshire and The Humber","Female","3250","3060","28280","25000"
"New entrant CS","2022","Yorkshire and The Humber","Male","2630","2530","29630","26590"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Region_ITL1","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Following the UK's withdrawal from the EU, a new UK-managed international statistical geography - International Territorial Levels (ITL) - was introduced from 1st January 2021, replacing the former NUTS classification. They align with international standards, enabling comparability both over time and internationally. To ensure continued alignment, the ITLs mirror the NUTS system. They also follow a similar review timetable - every three years.","","","","","",""
"","ITL 1 divides into Wales, Scotland, Northern Ireland, and the 9 statistical regions of England.","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
