"Status","Year","Sexual_orientation","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","G6/G7","350","330","65870","62890"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","SCS","90","90","107200","99920"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","SEO/HEO","160","160","38010","34870"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","AA/AO","680","620","21680","21140"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","EO","970","920","26850","26860"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","G6/G7","2140","2070","58870","57620"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","SCS","300","290","83320","75500"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","SEO/HEO","2920","2830","37940","38510"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","EO","130","130","27360","26180"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","G6/G7","560","550","58670","56040"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","SCS","100","90","86740","75950"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","SEO/HEO","450","450","37210","34020"
"In post","2021","Heterosexual / straight","Department for Education","AA/AO","70","60","21650","21000"
"In post","2021","Heterosexual / straight","Department for Education","EO","670","640","26600","26000"
"In post","2021","Heterosexual / straight","Department for Education","G6/G7","2000","1920","56470","54120"
"In post","2021","Heterosexual / straight","Department for Education","SCS","210","200","82720","74240"
"In post","2021","Heterosexual / straight","Department for Education","SEO/HEO","2550","2460","35560","36500"
"In post","2021","Heterosexual / straight","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","AA/AO","1070","970","21670","21050"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","EO","1250","1170","26380","25560"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","G6/G7","1590","1540","54470","53200"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","SCS","160","160","84270","77370"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","SEO/HEO","2890","2770","34930","35890"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","EO","140","140","27320","26510"
"In post","2021","Heterosexual / straight","Department for International Trade","G6/G7","640","630","55520","52660"
"In post","2021","Heterosexual / straight","Department for International Trade","SCS","110","110","86920","76810"
"In post","2021","Heterosexual / straight","Department for International Trade","SEO/HEO","630","620","35310","34940"
"In post","2021","Heterosexual / straight","Department for Transport","AA/AO","3250","2870","21860","21590"
"In post","2021","Heterosexual / straight","Department for Transport","EO","2520","2380","28080","26780"
"In post","2021","Heterosexual / straight","Department for Transport","G6/G7","1310","1280","60390","56280"
"In post","2021","Heterosexual / straight","Department for Transport","SCS","180","180","89330","80590"
"In post","2021","Heterosexual / straight","Department for Transport","SEO/HEO","2700","2620","37900","36180"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","AA/AO","17900","15530","21210","21010"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","EO","32360","29490","28120","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","G6/G7","2230","2140","57140","54070"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","SCS","200","190","90460","81310"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","SEO/HEO","7880","7400","35890","34290"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","AA/AO","710","630","21260","20900"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","EO","950","890","26230","26880"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","G6/G7","1950","1850","57770","54230"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","SCS","500","450","96870","93000"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","SEO/HEO","2700","2530","36120","36330"
"In post","2021","Heterosexual / straight","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","G6/G7","60","50","73750","74730"
"In post","2021","Heterosexual / straight","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","EO","210","210","27130","26750"
"In post","2021","Heterosexual / straight","Food Standards Agency","G6/G7","150","150","56480","56130"
"In post","2021","Heterosexual / straight","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","SEO/HEO","470","460","35920","37350"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","AA/AO","430","420","25540","24750"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","EO","740","710","29580","29300"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","G6/G7","2140","2080","60180","58470"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","SCS","420","410","86850","78010"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","SEO/HEO","2220","2180","38010","37560"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","HM Land Registry","AA/AO","850","790","22450","22350"
"In post","2021","Heterosexual / straight","HM Land Registry","EO","1220","1070","27490","27130"
"In post","2021","Heterosexual / straight","HM Land Registry","G6/G7","190","180","62350","60520"
"In post","2021","Heterosexual / straight","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","HM Land Registry","SEO/HEO","1280","1150","37560","37290"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","AA/AO","9570","8270","20790","20140"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","EO","8580","7880","26460","25560"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","G6/G7","5150","4960","56990","52770"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","SCS","360","350","84380","78760"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","SEO/HEO","13040","12380","35010","32110"
"In post","2021","Heterosexual / straight","HM Treasury","AA/AO","50","50","22430","22500"
"In post","2021","Heterosexual / straight","HM Treasury","EO","160","160","26770","26750"
"In post","2021","Heterosexual / straight","HM Treasury","G6/G7","820","790","58340","56090"
"In post","2021","Heterosexual / straight","HM Treasury","SCS","150","140","85300","77720"
"In post","2021","Heterosexual / straight","HM Treasury","SEO/HEO","770","760","36170","34090"
"In post","2021","Heterosexual / straight","Home Office","AA/AO","6760","5960","21980","21430"
"In post","2021","Heterosexual / straight","Home Office","EO","11420","10470","26910","25900"
"In post","2021","Heterosexual / straight","Home Office","G6/G7","2600","2540","60900","57680"
"In post","2021","Heterosexual / straight","Home Office","SCS","240","240","91940","83880"
"In post","2021","Heterosexual / straight","Home Office","SEO/HEO","6980","6740","36530","35200"
"In post","2021","Heterosexual / straight","Home Office","Unknown","190","190","[c]","[c]"
"In post","2021","Heterosexual / straight","Ministry of Defence","AA/AO","11990","11510","22480","20920"
"In post","2021","Heterosexual / straight","Ministry of Defence","EO","8080","7810","26750","26670"
"In post","2021","Heterosexual / straight","Ministry of Defence","G6/G7","4720","4550","57650","55710"
"In post","2021","Heterosexual / straight","Ministry of Defence","SCS","340","330","92810","85720"
"In post","2021","Heterosexual / straight","Ministry of Defence","SEO/HEO","15380","14920","36850","36460"
"In post","2021","Heterosexual / straight","Ministry of Defence","Unknown","1740","1700","41170","39860"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","AA/AO","130","120","22780","22560"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","EO","270","260","28030","27850"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","G6/G7","1100","1050","57180","54250"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","SCS","120","110","85710","77060"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","SEO/HEO","930","910","36200","35760"
"In post","2021","Heterosexual / straight","Ministry of Justice","AA/AO","26640","24700","24160","22850"
"In post","2021","Heterosexual / straight","Ministry of Justice","EO","7410","7070","27990","27380"
"In post","2021","Heterosexual / straight","Ministry of Justice","G6/G7","2180","2120","61980","59900"
"In post","2021","Heterosexual / straight","Ministry of Justice","SCS","260","250","90540","86800"
"In post","2021","Heterosexual / straight","Ministry of Justice","SEO/HEO","9020","8650","38110","36800"
"In post","2021","Heterosexual / straight","Ministry of Justice","Unknown","9650","8930","30160","30210"
"In post","2021","Heterosexual / straight","National Crime Agency","AA/AO","240","230","23540","22980"
"In post","2021","Heterosexual / straight","National Crime Agency","EO","1840","1800","33320","32770"
"In post","2021","Heterosexual / straight","National Crime Agency","G6/G7","280","270","65170","64410"
"In post","2021","Heterosexual / straight","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Crime Agency","SEO/HEO","1720","1680","44590","43710"
"In post","2021","Heterosexual / straight","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Standards in Education","AA/AO","170","160","21280","21160"
"In post","2021","Heterosexual / straight","Office for Standards in Education","EO","150","140","26320","25880"
"In post","2021","Heterosexual / straight","Office for Standards in Education","G6/G7","490","480","73210","75500"
"In post","2021","Heterosexual / straight","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Standards in Education","SEO/HEO","600","580","43410","42850"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","EO","110","110","25430","25600"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","G6/G7","160","160","59280","57980"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","SEO/HEO","160","150","36480","36000"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","G6/G7","50","50","53060","49420"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","SEO/HEO","80","70","36510","37270"
"In post","2021","Heterosexual / straight","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","G6/G7","80","80","60530","59100"
"In post","2021","Heterosexual / straight","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","SEO/HEO","50","50","39660","39430"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","EO","90","90","24140","23050"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","G6/G7","220","220","54390","54700"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","SCS","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","SEO/HEO","350","340","34020","34800"
"In post","2021","Heterosexual / straight","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Government","AA/AO","2340","2170","22980","22230"
"In post","2021","Heterosexual / straight","Scottish Government","EO","2590","2480","29700","29190"
"In post","2021","Heterosexual / straight","Scottish Government","G6/G7","2190","2100","62710","61010"
"In post","2021","Heterosexual / straight","Scottish Government","SCS","170","160","89000","83230"
"In post","2021","Heterosexual / straight","Scottish Government","SEO/HEO","4370","4170","39450","38540"
"In post","2021","Heterosexual / straight","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","EO","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","G6/G7","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","SEO/HEO","120","120","35490","34770"
"In post","2021","Heterosexual / straight","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Export Finance","EO","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Export Finance","G6/G7","100","90","66770","65330"
"In post","2021","Heterosexual / straight","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Export Finance","SEO/HEO","160","160","42600","42280"
"In post","2021","Heterosexual / straight","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","AA/AO","910","620","19590","19520"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","EO","480","450","24020","23050"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","G6/G7","640","610","52630","50090"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","SCS","50","50","82990","76510"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","SEO/HEO","1440","1380","33580","32780"
"In post","2021","Heterosexual / straight","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","G6/G7","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Government","AA/AO","790","720","23410","23830"
"In post","2021","Heterosexual / straight","Welsh Government","EO","840","780","28730","28850"
"In post","2021","Heterosexual / straight","Welsh Government","G6/G7","810","780","61620","60830"
"In post","2021","Heterosexual / straight","Welsh Government","SCS","130","130","90220","81980"
"In post","2021","Heterosexual / straight","Welsh Government","SEO/HEO","2090","1980","40840","37410"
"In post","2021","LGBO","Attorney General's Departments","AA/AO","60","60","22080","21950"
"In post","2021","LGBO","Attorney General's Departments","EO","100","90","28370","27500"
"In post","2021","LGBO","Attorney General's Departments","G6/G7","200","190","59600","56300"
"In post","2021","LGBO","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Attorney General's Departments","SEO/HEO","60","60","36900","38000"
"In post","2021","LGBO","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office","EO","60","60","26950","27500"
"In post","2021","LGBO","Cabinet Office","G6/G7","170","160","58020","56340"
"In post","2021","LGBO","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office","SEO/HEO","160","160","36180","34640"
"In post","2021","LGBO","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","AA/AO","50","50","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","EO","100","90","26550","26860"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","G6/G7","220","220","57870","56280"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","SCS","30","30","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","SEO/HEO","280","280","37360","36740"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","G6/G7","80","80","58660","58750"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","SEO/HEO","80","80","35420","34020"
"In post","2021","LGBO","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Education","EO","50","50","26300","26000"
"In post","2021","LGBO","Department for Education","G6/G7","140","130","56360","54160"
"In post","2021","LGBO","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Education","SEO/HEO","200","200","35620","36500"
"In post","2021","LGBO","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","AA/AO","80","70","21680","21050"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","EO","110","110","26100","25190"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","G6/G7","110","100","53850","53200"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","SEO/HEO","200","190","34790","33690"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for International Trade","G6/G7","80","80","54630","51970"
"In post","2021","LGBO","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for International Trade","SEO/HEO","70","70","34620","32240"
"In post","2021","LGBO","Department for Transport","AA/AO","160","150","21580","21590"
"In post","2021","LGBO","Department for Transport","EO","130","130","28040","26780"
"In post","2021","LGBO","Department for Transport","G6/G7","100","100","57600","54760"
"In post","2021","LGBO","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Transport","SEO/HEO","170","170","37260","35430"
"In post","2021","LGBO","Department for Work and Pensions","AA/AO","1080","1020","21290","21010"
"In post","2021","LGBO","Department for Work and Pensions","EO","2080","2000","28160","27570"
"In post","2021","LGBO","Department for Work and Pensions","G6/G7","130","120","57290","54770"
"In post","2021","LGBO","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Work and Pensions","SEO/HEO","440","420","35310","34290"
"In post","2021","LGBO","Department of Health and Social Care","AA/AO","50","40","[c]","[c]"
"In post","2021","LGBO","Department of Health and Social Care","EO","70","70","25970","26880"
"In post","2021","LGBO","Department of Health and Social Care","G6/G7","140","130","58930","54410"
"In post","2021","LGBO","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department of Health and Social Care","SEO/HEO","190","180","35550","35750"
"In post","2021","LGBO","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","SEO/HEO","30","30","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","EO","30","30","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","G6/G7","170","170","58840","57340"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","SEO/HEO","150","150","37020","36010"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Land Registry","AA/AO","60","60","22350","22350"
"In post","2021","LGBO","HM Land Registry","EO","30","30","[c]","[c]"
"In post","2021","LGBO","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Land Registry","SEO/HEO","40","40","[c]","[c]"
"In post","2021","LGBO","HM Revenue and Customs","AA/AO","620","570","20620","20140"
"In post","2021","LGBO","HM Revenue and Customs","EO","530","510","26270","25560"
"In post","2021","LGBO","HM Revenue and Customs","G6/G7","290","280","57440","53450"
"In post","2021","LGBO","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Revenue and Customs","SEO/HEO","770","750","34450","31810"
"In post","2021","LGBO","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Treasury","G6/G7","80","80","56640","53630"
"In post","2021","LGBO","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Treasury","SEO/HEO","60","60","34710","32320"
"In post","2021","LGBO","Home Office","AA/AO","250","230","21550","21430"
"In post","2021","LGBO","Home Office","EO","450","430","26410","25310"
"In post","2021","LGBO","Home Office","G6/G7","140","140","60280","57680"
"In post","2021","LGBO","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Home Office","SEO/HEO","310","310","36320","35200"
"In post","2021","LGBO","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Ministry of Defence","AA/AO","370","360","22990","20920"
"In post","2021","LGBO","Ministry of Defence","EO","290","290","26530","26670"
"In post","2021","LGBO","Ministry of Defence","G6/G7","130","130","56800","55320"
