"Status","Year","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Education","50-59","1710","1660","46550","42400"
"In post","2021","Department for Education","60-64","270","260","45940","43320"
"In post","2021","Department for Education","65+","70","60","41330","37100"
"In post","2021","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","20-29","1940","1920","30590","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","30-39","2490","2350","36390","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","40-49","3060","2850","38190","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","50-59","2680","2570","37870","33160"
"In post","2021","Department for Environment, Food and Rural Affairs","60-64","650","580","33990","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","65+","210","180","33750","28980"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","20-29","950","950","37340","33000"
"In post","2021","Department for International Trade","30-39","740","740","49740","51970"
"In post","2021","Department for International Trade","40-49","450","440","53370","51970"
"In post","2021","Department for International Trade","50-59","450","440","48930","42160"
"In post","2021","Department for International Trade","60-64","80","80","48390","43080"
"In post","2021","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","16-19","50","40","20770","20900"
"In post","2021","Department for Transport","20-29","2230","2180","30280","27680"
"In post","2021","Department for Transport","30-39","3690","3440","32960","26780"
"In post","2021","Department for Transport","40-49","3870","3660","35150","29970"
"In post","2021","Department for Transport","50-59","4200","3960","33790","27680"
"In post","2021","Department for Transport","60-64","1460","1180","29900","26780"
"In post","2021","Department for Transport","65+","480","350","29480","26780"
"In post","2021","Department for Work and Pensions","16-19","200","200","22650","21010"
"In post","2021","Department for Work and Pensions","20-29","10540","10350","26690","27570"
"In post","2021","Department for Work and Pensions","30-39","15160","13900","27880","27570"
"In post","2021","Department for Work and Pensions","40-49","22340","20130","28650","27570"
"In post","2021","Department for Work and Pensions","50-59","33180","30030","28630","27570"
"In post","2021","Department for Work and Pensions","60-64","9460","7330","27230","27570"
"In post","2021","Department for Work and Pensions","65+","2620","1880","26450","26120"
"In post","2021","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","16-19","30","30","[c]","[c]"
"In post","2021","Department of Health and Social Care","20-29","2690","2610","32710","31390"
"In post","2021","Department of Health and Social Care","30-39","2790","2630","43390","40470"
"In post","2021","Department of Health and Social Care","40-49","2850","2650","49920","48860"
"In post","2021","Department of Health and Social Care","50-59","2540","2390","52630","46950"
"In post","2021","Department of Health and Social Care","60-64","610","520","54400","44950"
"In post","2021","Department of Health and Social Care","65+","250","200","51660","39200"
"In post","2021","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","50-59","50","40","[c]","[c]"
"In post","2021","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","65+","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","20-29","110","110","32770","32350"
"In post","2021","Food Standards Agency","30-39","260","250","38280","37910"
"In post","2021","Food Standards Agency","40-49","360","350","40490","37910"
"In post","2021","Food Standards Agency","50-59","430","430","36820","30810"
"In post","2021","Food Standards Agency","60-64","110","100","32800","28800"
"In post","2021","Food Standards Agency","65+","40","30","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","20-29","1480","1480","34620","33930"
"In post","2021","Foreign, Commonwealth and Development Office","30-39","2330","2300","46760","48500"
"In post","2021","Foreign, Commonwealth and Development Office","40-49","2230","2170","52460","54470"
"In post","2021","Foreign, Commonwealth and Development Office","50-59","2060","2010","51670","48440"
"In post","2021","Foreign, Commonwealth and Development Office","60-64","380","360","49850","44770"
"In post","2021","Foreign, Commonwealth and Development Office","65+","130","110","47860","47540"
"In post","2021","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","20-29","1110","1090","25370","22350"
"In post","2021","HM Land Registry","30-39","900","850","29860","27130"
"In post","2021","HM Land Registry","40-49","1270","1180","33640","27130"
"In post","2021","HM Land Registry","50-59","2440","2200","32470","27130"
"In post","2021","HM Land Registry","60-64","500","350","32510","30600"
"In post","2021","HM Land Registry","65+","130","80","33450","30600"
"In post","2021","HM Revenue and Customs","16-19","240","230","20670","20140"
"In post","2021","HM Revenue and Customs","20-29","10330","10100","26860","25560"
"In post","2021","HM Revenue and Customs","30-39","13980","13270","31230","26980"
"In post","2021","HM Revenue and Customs","40-49","14660","13660","32620","29570"
"In post","2021","HM Revenue and Customs","50-59","20070","18440","33220","29570"
"In post","2021","HM Revenue and Customs","60-64","5650","4290","30280","27570"
"In post","2021","HM Revenue and Customs","65+","1540","1100","30080","26240"
"In post","2021","HM Treasury","16-19","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","20-29","1050","1040","38510","32960"
"In post","2021","HM Treasury","30-39","740","720","55190","56840"
"In post","2021","HM Treasury","40-49","390","370","57100","55090"
"In post","2021","HM Treasury","50-59","370","360","52920","49750"
"In post","2021","HM Treasury","60-64","80","70","49710","44670"
"In post","2021","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","16-19","80","70","22340","21430"
"In post","2021","Home Office","20-29","5280","5150","28310","24890"
"In post","2021","Home Office","30-39","8580","8090","32030","26910"
"In post","2021","Home Office","40-49","9040","8470","33870","28850"
"In post","2021","Home Office","50-59","9440","8760","32950","28650"
"In post","2021","Home Office","60-64","2200","1770","30300","27080"
"In post","2021","Home Office","65+","750","560","28140","25630"
"In post","2021","Ministry of Defence","16-19","250","250","18760","17780"
"In post","2021","Ministry of Defence","20-29","7590","7540","28520","27540"
"In post","2021","Ministry of Defence","30-39","10510","10140","35100","33300"
"In post","2021","Ministry of Defence","40-49","12140","11730","36870","33300"
"In post","2021","Ministry of Defence","50-59","19410","19000","34980","33130"
"In post","2021","Ministry of Defence","60-64","5810","5390","32370","29200"
"In post","2021","Ministry of Defence","65+","1980","1750","31010","26930"
"In post","2021","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government","20-29","720","720","36300","33210"
"In post","2021","Ministry of Housing, Communities and Local Government","30-39","870","830","45910","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","40-49","810","780","49080","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","50-59","750","720","47710","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","60-64","160","140","47600","46120"
"In post","2021","Ministry of Housing, Communities and Local Government","65+","90","60","52880","58810"
"In post","2021","Ministry of Justice","16-19","150","150","21800","20600"
"In post","2021","Ministry of Justice","20-29","14040","13850","25830","24620"
"In post","2021","Ministry of Justice","30-39","18280","17290","29240","26810"
"In post","2021","Ministry of Justice","40-49","17280","16240","31940","30210"
"In post","2021","Ministry of Justice","50-59","21380","20170","31460","29660"
"In post","2021","Ministry of Justice","60-64","5860","4830","28350","24870"
"In post","2021","Ministry of Justice","65+","1910","1430","26370","22680"
"In post","2021","National Crime Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","20-29","940","940","31970","32260"
"In post","2021","National Crime Agency","30-39","1280","1250","38210","36740"
"In post","2021","National Crime Agency","40-49","1380","1340","42580","40210"
"In post","2021","National Crime Agency","50-59","1550","1520","44060","40570"
"In post","2021","National Crime Agency","60-64","290","270","41250","39040"
"In post","2021","National Crime Agency","65+","50","40","[c]","[c]"
"In post","2021","Northern Ireland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","30-39","50","50","47050","40500"
"In post","2021","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","50-59","40","40","[c]","[c]"
"In post","2021","Northern Ireland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","20-29","160","150","28760","25880"
"In post","2021","Office for Standards in Education","30-39","400","390","41570","39070"
"In post","2021","Office for Standards in Education","40-49","510","490","52240","51360"
"In post","2021","Office for Standards in Education","50-59","550","530","56920","51360"
"In post","2021","Office for Standards in Education","60-64","130","120","53710","51360"
"In post","2021","Office for Standards in Education","65+","30","30","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","20-29","350","340","31040","29160"
"In post","2021","Office of Gas and Electricity Markets","30-39","410","400","45380","41910"
"In post","2021","Office of Gas and Electricity Markets","40-49","250","240","55590","52850"
"In post","2021","Office of Gas and Electricity Markets","50-59","140","140","54810","50810"
"In post","2021","Office of Gas and Electricity Markets","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","30-39","90","80","43030","38760"
"In post","2021","Office of Qualifications and Examinations Regulation","40-49","80","80","48220","46660"
"In post","2021","Office of Qualifications and Examinations Regulation","50-59","50","50","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","65+","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","30-39","90","90","50380","51310"
"In post","2021","Office of Rail and Road","40-49","90","80","55050","55430"
"In post","2021","Office of Rail and Road","50-59","90","90","62300","60080"
"In post","2021","Office of Rail and Road","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","65+","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","20-29","170","170","30100","27770"
"In post","2021","Other Cabinet Office Agencies","30-39","280","270","36970","34800"
"In post","2021","Other Cabinet Office Agencies","40-49","260","250","44260","39700"
"In post","2021","Other Cabinet Office Agencies","50-59","250","250","45220","40210"
"In post","2021","Other Cabinet Office Agencies","60-64","30","30","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","30-39","40","40","[c]","[c]"
"In post","2021","Scotland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","16-19","100","100","21190","21150"
"In post","2021","Scottish Government","20-29","3470","3410","27520","26160"
"In post","2021","Scottish Government","30-39","5350","5130","35480","32930"
"In post","2021","Scottish Government","40-49","5260","5000","40760","35110"
"In post","2021","Scottish Government","50-59","6140","5850","39620","33650"
"In post","2021","Scottish Government","60-64","1500","1230","36200","33650"
"In post","2021","Scottish Government","65+","420","320","33690","29190"
"In post","2021","The National Archives","16-19","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","20-29","80","70","26800","23960"
"In post","2021","The National Archives","30-39","110","110","34520","34260"
"In post","2021","The National Archives","40-49","150","140","39640","36710"
"In post","2021","The National Archives","50-59","140","140","38410","34770"
"In post","2021","The National Archives","60-64","40","40","[c]","[c]"
"In post","2021","The National Archives","65+","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","20-29","70","70","35960","33000"
"In post","2021","UK Export Finance","30-39","90","90","52590","50120"
"In post","2021","UK Export Finance","40-49","110","110","58520","53950"
"In post","2021","UK Export Finance","50-59","100","100","60160","51030"
"In post","2021","UK Export Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","20-29","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","30-39","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","40-49","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","50-59","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","60-64","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","65+","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","16-19","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","20-29","1220","1190","29860","29540"
"In post","2021","United Kingdom Statistics Authority","30-39","1310","1230","35070","36030"
"In post","2021","United Kingdom Statistics Authority","40-49","1070","980","37910","36030"
"In post","2021","United Kingdom Statistics Authority","50-59","1250","1070","32000","27160"
"In post","2021","United Kingdom Statistics Authority","60-64","430","320","25960","19520"
"In post","2021","United Kingdom Statistics Authority","65+","250","160","24020","19520"
"In post","2021","Wales Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","30-39","70","60","51520","48000"
"In post","2021","Water Services Regulation Authority","40-49","100","100","62260","56230"
"In post","2021","Water Services Regulation Authority","50-59","50","40","[c]","[c]"
"In post","2021","Water Services Regulation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","20-29","560","550","26990","23830"
"In post","2021","Welsh Government","30-39","1280","1220","37680","37410"
"In post","2021","Welsh Government","40-49","1680","1600","43950","37410"
"In post","2021","Welsh Government","50-59","1670","1610","44820","41560"
"In post","2021","Welsh Government","60-64","410","350","43970","37410"
"In post","2021","Welsh Government","65+","170","130","40080","34490"
"In post","2021","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","16-19","40","40","[c]","[c]"
"In post","2022","Attorney General's Departments","20-29","1480","1460","30170","26950"
"In post","2022","Attorney General's Departments","30-39","2170","2050","44800","48830"
"In post","2022","Attorney General's Departments","40-49","2840","2600","48650","51470"
"In post","2022","Attorney General's Departments","50-59","2930","2750","48870","51470"
"In post","2022","Attorney General's Departments","60-64","590","500","47670","51830"
"In post","2022","Attorney General's Departments","65+","160","130","48020","55610"
"In post","2022","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","20-29","3570","3560","34230","31250"
"In post","2022","Cabinet Office","30-39","2840","2780","48450","49700"
"In post","2022","Cabinet Office","40-49","2290","2230","56400","54700"
"In post","2022","Cabinet Office","50-59","1900","1860","55940","51580"
"In post","2022","Cabinet Office","60-64","350","310","50000","38580"
"In post","2022","Cabinet Office","65+","90","80","48880","36440"
"In post","2022","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","20-29","80","80","37300","35710"
"In post","2022","Chancellor's other departments","30-39","120","110","55160","48900"
"In post","2022","Chancellor's other departments","40-49","120","110","67050","62220"
"In post","2022","Chancellor's other departments","50-59","80","80","67640","55300"
"In post","2022","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","20-29","70","70","26180","24440"
"In post","2022","Charity Commission","30-39","110","110","34010","29160"
"In post","2022","Charity Commission","40-49","140","130","38200","29550"
"In post","2022","Charity Commission","50-59","110","100","33710","29230"
"In post","2022","Charity Commission","60-64","30","30","[c]","[c]"
"In post","2022","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","20-29","150","150","39120","33610"
"In post","2022","Competition and Markets Authority","30-39","300","290","60250","57060"
"In post","2022","Competition and Markets Authority","40-49","220","210","72590","72430"
"In post","2022","Competition and Markets Authority","50-59","160","150","69040","59940"
"In post","2022","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","20-29","3180","3160","36360","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","30-39","3690","3570","42630","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","40-49","3270","3090","45170","41150"
"In post","2022","Department for Business, Energy and Industrial Strategy","50-59","3000","2890","42910","39650"
"In post","2022","Department for Business, Energy and Industrial Strategy","60-64","670","580","37910","34500"
"In post","2022","Department for Business, Energy and Industrial Strategy","65+","240","190","39110","36080"
"In post","2022","Department for Digital, Culture, Media and Sport","20-29","770","760","38740","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","30-39","720","700","50270","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","40-49","310","300","57760","56810"
"In post","2022","Department for Digital, Culture, Media and Sport","50-59","180","180","50090","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","60-64","40","30","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","20-29","1790","1780","35290","32940"
"In post","2022","Department for Education","30-39","2400","2310","43720","40780"
"In post","2022","Department for Education","40-49","2300","2180","47730","49860"
"In post","2022","Department for Education","50-59","1810","1750","46220","42570"
"In post","2022","Department for Education","60-64","310","290","45350","41150"
"In post","2022","Department for Education","65+","80","70","40190","36780"
"In post","2022","Department for Environment, Food and Rural Affairs","16-19","40","40","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","20-29","2530","2500","30500","29180"
"In post","2022","Department for Environment, Food and Rural Affairs","30-39","2900","2770","36450","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","40-49","3410","3190","38290","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","50-59","2930","2810","37630","33510"
"In post","2022","Department for Environment, Food and Rural Affairs","60-64","710","630","34600","29270"
"In post","2022","Department for Environment, Food and Rural Affairs","65+","260","220","31950","26600"
"In post","2022","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","20-29","1030","1030","38120","38160"
"In post","2022","Department for International Trade","30-39","830","820","50340","51970"
"In post","2022","Department for International Trade","40-49","470","460","54650","52110"
"In post","2022","Department for International Trade","50-59","440","430","50110","47980"
"In post","2022","Department for International Trade","60-64","90","90","46870","40290"
"In post","2022","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","20-29","1040","1030","36980","33210"
"In post","2022","Department for Levelling Up, Housing and Communities","30-39","1110","1070","46700","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","40-49","960","910","49390","48200"
"In post","2022","Department for Levelling Up, Housing and Communities","50-59","780","750","47240","46120"
"In post","2022","Department for Levelling Up, Housing and Communities","60-64","180","160","48980","47660"
"In post","2022","Department for Levelling Up, Housing and Communities","65+","90","70","51740","57360"
"In post","2022","Department for Transport","16-19","100","80","19970","18310"
"In post","2022","Department for Transport","20-29","2260","2210","30720","27770"
"In post","2022","Department for Transport","30-39","3780","3550","33630","26840"
"In post","2022","Department for Transport","40-49","3970","3740","35220","29730"
"In post","2022","Department for Transport","50-59","4250","4030","34080","27930"
"In post","2022","Department for Transport","60-64","1490","1230","30430","26780"
"In post","2022","Department for Transport","65+","550","400","29650","26780"
"In post","2022","Department for Work and Pensions","16-19","150","150","23040","21260"
"In post","2022","Department for Work and Pensions","20-29","11040","10840","26980","27570"
"In post","2022","Department for Work and Pensions","30-39","15410","14240","28510","27570"
"In post","2022","Department for Work and Pensions","40-49","21860","19760","29240","27570"
"In post","2022","Department for Work and Pensions","50-59","32600","29590","29010","27570"
"In post","2022","Department for Work and Pensions","60-64","10300","8050","27530","27570"
"In post","2022","Department for Work and Pensions","65+","2790","2020","26810","27570"
"In post","2022","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","20-29","2870","2790","33960","32330"
"In post","2022","Department of Health and Social Care","30-39","2950","2800","43880","40650"
"In post","2022","Department of Health and Social Care","40-49","2830","2660","50160","49530"
"In post","2022","Department of Health and Social Care","50-59","2370","2260","51960","47210"
"In post","2022","Department of Health and Social Care","60-64","570","500","54380","46000"
"In post","2022","Department of Health and Social Care","65+","210","170","51590","40560"
"In post","2022","Estyn","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","40-49","30","30","[c]","[c]"
"In post","2022","Estyn","50-59","40","40","[c]","[c]"
"In post","2022","Estyn","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","65+","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","20-29","130","130","32380","30350"
"In post","2022","Food Standards Agency","30-39","320","320","37650","37350"
"In post","2022","Food Standards Agency","40-49","370","370","41500","37910"
"In post","2022","Food Standards Agency","50-59","470","460","37500","31460"
"In post","2022","Food Standards Agency","60-64","110","100","33220","28800"
"In post","2022","Food Standards Agency","65+","50","40","32740","29090"
"In post","2022","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","20-29","1260","1260","34480","33930"
"In post","2022","Foreign, Commonwealth and Development Office","30-39","2180","2140","47000","49840"
"In post","2022","Foreign, Commonwealth and Development Office","40-49","2180","2120","52590","54470"
"In post","2022","Foreign, Commonwealth and Development Office","50-59","2060","2020","52160","49240"
"In post","2022","Foreign, Commonwealth and Development Office","60-64","400","380","49490","43160"
"In post","2022","Foreign, Commonwealth and Development Office","65+","130","110","47610","45690"
"In post","2022","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","20-29","1130","1100","26130","25850"
"In post","2022","HM Land Registry","30-39","1060","1010","29690","27130"
"In post","2022","HM Land Registry","40-49","1270","1180","34010","30600"
"In post","2022","HM Land Registry","50-59","2490","2250","32770","30600"
"In post","2022","HM Land Registry","60-64","550","400","32110","27130"
"In post","2022","HM Land Registry","65+","130","90","32770","31740"
"In post","2022","HM Revenue and Customs","16-19","210","210","22170","21250"
"In post","2022","HM Revenue and Customs","20-29","12160","11930","28800","26590"
"In post","2022","HM Revenue and Customs","30-39","16280","15600","33540","33080"
"In post","2022","HM Revenue and Customs","40-49","15450","14530","35100","33080"
"In post","2022","HM Revenue and Customs","50-59","19980","18500","35480","33080"
"In post","2022","HM Revenue and Customs","60-64","5710","4440","31960","28920"
"In post","2022","HM Revenue and Customs","65+","1570","1130","31220","28570"
"In post","2022","HM Treasury","16-19","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","20-29","1060","1050","38520","32960"
"In post","2022","HM Treasury","30-39","790","770","54350","55100"
"In post","2022","HM Treasury","40-49","410","390","58030","55910"
"In post","2022","HM Treasury","50-59","390","380","52960","49750"
"In post","2022","HM Treasury","60-64","90","80","48830","43320"
