"Status","Year","Profession_of_post","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","HM Land Registry","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","White","50","50","40610","38630"
"In post","2021","Commercial","HM Treasury","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","White","60","50","40980","42100"
"In post","2021","Commercial","Ministry of Defence","Asian","50","50","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Black","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Undeclared","110","100","39570","37940"
"In post","2021","Commercial","Ministry of Defence","Unknown","110","110","36580","33300"
"In post","2021","Commercial","Ministry of Defence","White","1700","1640","38140","34800"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Asian","50","50","39700","36260"
"In post","2021","Commercial","Ministry of Justice","Black","70","70","39380","35350"
"In post","2021","Commercial","Ministry of Justice","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Undeclared","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","White","670","650","48530","46550"
"In post","2021","Commercial","National Crime Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Unknown","70","70","30040","27770"
"In post","2021","Commercial","Other Cabinet Office Agencies","White","270","260","34860","34800"
"In post","2021","Commercial","Scottish Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Unknown","50","50","27550","25870"
"In post","2021","Commercial","Scottish Government","White","40","40","[c]","[c]"
"In post","2021","Commercial","The National Archives","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","White","60","60","43110","39750"
"In post","2021","Communications","Cabinet Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Unknown","50","40","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","White","170","160","43820","40040"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","White","40","30","[c]","[c]"
"In post","2021","Communications","Department for Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Unknown","60","50","35990","31570"
"In post","2021","Communications","Department for Education","White","230","220","40380","36960"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Unknown","60","60","44160","40860"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","White","190","180","40920","37360"
"In post","2021","Communications","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Unknown","60","60","43990","38410"
"In post","2021","Communications","Department for International Trade","White","60","60","41820","38540"
"In post","2021","Communications","Department for Transport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Unknown","70","70","41520","38100"
"In post","2021","Communications","Department for Transport","White","200","190","37040","32180"
"In post","2021","Communications","Department for Work and Pensions","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","Mixed","[c]","[c]","[c]","[c]"
