"Status","Year","Region_ITL3","Sexual_orientation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Ards and North Down","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Heterosexual / straight","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","20-29","70","70","30060","31060"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","30-39","70","60","29970","31060"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","40-49","80","70","30490","31060"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","50-59","150","130","31020","31060"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","40-49","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Heterosexual / straight","20-29","260","250","30200","30860"
"In post","2021","Barnet","Heterosexual / straight","30-39","270","260","38320","33330"
"In post","2021","Barnet","Heterosexual / straight","40-49","220","210","42040","39480"
"In post","2021","Barnet","Heterosexual / straight","50-59","270","250","40440","35300"
"In post","2021","Barnet","Heterosexual / straight","60-64","80","80","40680","32090"
"In post","2021","Barnet","Heterosexual / straight","65+","30","30","[c]","[c]"
"In post","2021","Barnet","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","20-29","30","30","[c]","[c]"
"In post","2021","Barnet","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","50-59","50","40","[c]","[c]"
"In post","2021","Barnet","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","30-39","40","30","[c]","[c]"
"In post","2021","Barnet","Unknown","40-49","110","100","48370","44950"
"In post","2021","Barnet","Unknown","50-59","120","120","44190","38490"
"In post","2021","Barnet","Unknown","60-64","40","30","[c]","[c]"
"In post","2021","Barnet","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","20-29","280","270","24690","25300"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","30-39","380","340","27000","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","40-49","460","410","28010","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","50-59","670","600","28660","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","60-64","190","150","26260","26680"
"In post","2021","Barnsley, Doncaster and Rotherham","Heterosexual / straight","65+","40","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","20-29","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","30-39","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","40-49","60","50","30510","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","50-59","110","100","27930","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","20-29","80","80","24160","22920"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","30-39","110","100","25460","24440"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","40-49","140","120","26180","26580"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","50-59","190","170","26570","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","60-64","60","40","25590","26580"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","16-19","70","70","18660","19040"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","20-29","2130","2110","27690","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","30-39","2490","2370","36500","34850"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","40-49","2250","2160","41820","40200"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","50-59","2560","2500","43680","40980"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","60-64","630","560","41900","40440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","65+","170","140","37590","36310"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","20-29","160","160","26790","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","30-39","130","120","33900","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","40-49","70","70","38650","36050"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","50-59","60","60","40270","38510"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","20-29","190","180","29010","28840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","30-39","260","250","36460","36520"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","40-49","360","350","43420","40850"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","50-59","530","510","43580","41740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","60-64","150","130","41140","41190"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","65+","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","16-19","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","20-29","340","330","27710","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","30-39","280","260","36850","35630"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","40-49","200","190","40670","37690"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","50-59","220","200","42520","36570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","60-64","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","20-29","110","110","28170","29650"
"In post","2021","Bedford","Heterosexual / straight","30-39","110","110","29070","27570"
"In post","2021","Bedford","Heterosexual / straight","40-49","130","120","31050","29750"
"In post","2021","Bedford","Heterosexual / straight","50-59","180","170","33780","29140"
"In post","2021","Bedford","Heterosexual / straight","60-64","30","30","[c]","[c]"
"In post","2021","Bedford","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","20-29","30","30","[c]","[c]"
"In post","2021","Bedford","Unknown","30-39","30","30","[c]","[c]"
"In post","2021","Bedford","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","Bedford","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Heterosexual / straight","20-29","180","170","24500","21430"
"In post","2021","Belfast","Heterosexual / straight","30-39","460","440","29510","25560"
"In post","2021","Belfast","Heterosexual / straight","40-49","480","450","30230","25560"
"In post","2021","Belfast","Heterosexual / straight","50-59","530","500","32790","30980"
"In post","2021","Belfast","Heterosexual / straight","60-64","110","90","28770","26740"
"In post","2021","Belfast","Heterosexual / straight","65+","40","30","[c]","[c]"
"In post","2021","Belfast","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","30-39","40","30","[c]","[c]"
"In post","2021","Belfast","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","30-39","30","30","[c]","[c]"
"In post","2021","Belfast","Undeclared","40-49","50","40","[c]","[c]"
"In post","2021","Belfast","Undeclared","50-59","50","50","31470","28130"
"In post","2021","Belfast","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","20-29","180","180","22260","20140"
"In post","2021","Belfast","Unknown","30-39","210","200","26090","25560"
"In post","2021","Belfast","Unknown","40-49","180","170","26840","25560"
"In post","2021","Belfast","Unknown","50-59","160","140","30680","27240"
"In post","2021","Belfast","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Heterosexual / straight","20-29","260","260","29410","27680"
"In post","2021","Berkshire","Heterosexual / straight","30-39","420","410","34680","31670"
"In post","2021","Berkshire","Heterosexual / straight","40-49","460","430","36210","32570"
"In post","2021","Berkshire","Heterosexual / straight","50-59","590","570","36110","33230"
"In post","2021","Berkshire","Heterosexual / straight","60-64","160","150","33250","30200"
"In post","2021","Berkshire","Heterosexual / straight","65+","60","50","31540","27910"
"In post","2021","Berkshire","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","LGBO","30-39","30","30","[c]","[c]"
"In post","2021","Berkshire","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Undeclared","30-39","40","40","[c]","[c]"
"In post","2021","Berkshire","Undeclared","40-49","60","60","37820","39830"
"In post","2021","Berkshire","Undeclared","50-59","110","110","34220","31890"
"In post","2021","Berkshire","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Unknown","20-29","110","110","27440","26610"
"In post","2021","Berkshire","Unknown","30-39","120","110","35030","33120"
"In post","2021","Berkshire","Unknown","40-49","140","130","34550","30890"
"In post","2021","Berkshire","Unknown","50-59","190","170","36220","33090"
"In post","2021","Berkshire","Unknown","60-64","50","40","[c]","[c]"
"In post","2021","Berkshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Heterosexual / straight","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Heterosexual / straight","20-29","210","210","29670","31060"
"In post","2021","Bexley and Greenwich","Heterosexual / straight","30-39","270","260","32440","32600"
"In post","2021","Bexley and Greenwich","Heterosexual / straight","40-49","240","230","32660","31380"
"In post","2021","Bexley and Greenwich","Heterosexual / straight","50-59","310","300","33020","31880"
"In post","2021","Bexley and Greenwich","Heterosexual / straight","60-64","80","70","32020","31060"
"In post","2021","Bexley and Greenwich","Heterosexual / straight","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","LGBO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","LGBO","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","LGBO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","LGBO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","LGBO","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","LGBO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","LGBO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","50-59","70","60","32310","31880"
"In post","2021","Bexley and Greenwich","Undeclared","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Undeclared","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Unknown","16-19","[c]","[c]","[c]","[c]"
