"Status","Year","Parent_department","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Legal","70","70","58150","54050"
"In post","2021","Attorney General's Departments","Serious Fraud Office","No function","80","80","41860","40000"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Serious Fraud Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Commercial","1420","1390","70640","64500"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Communications","340","340","47060","42150"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Counter Fraud","90","90","47100","49700"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Digital, Data & Technology","970","960","51340","54700"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Finance","90","90","46340","41820"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Human Resources","1120","1070","39180","35590"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Legal","60","50","79760","79760"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","No function","4170","4130","40710","32000"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Project Delivery","190","190","69400","62550"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Property","100","100","50780","52720"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Security","870","840","33080","33300"
"In post","2021","Cabinet Office","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Analysis","170","160","69960","65470"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Government Actuary's Department","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Government Actuary's Department","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","Finance","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","No function","110","110","54140","45330"
"In post","2021","Chancellor's other departments","National Savings and Investments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","National Savings and Investments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Communications","30","30","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Unknown","250","230","32470","29160"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Analysis","130","130","60200","56360"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Communications","40","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Digital, Data & Technology","70","60","56530","54550"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Human Resources","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Legal","160","160","69080","72430"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","380","360","60880","56360"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","60","60","45550","43750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","No function","850","790","30810","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","Project Delivery","80","70","42220","39580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Digital, Data & Technology","260","250","38840","38000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Finance","60","50","30930","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Human Resources","90","80","33040","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","No function","620","560","25600","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","290","290","43370","36630"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","110","110","48940","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","140","140","46550","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","130","130","53060","53860"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","120","110","46810","47520"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","4390","4290","49220","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","110","110","51390","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Counter Fraud","260","250","39230","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Digital, Data & Technology","50","50","42440","41060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Finance","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Human Resources","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Legal","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","No function","1280","1210","28870","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Insolvency Service","Project Delivery","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Commercial","190","180","42990","40140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Communications","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Digital, Data & Technology","870","830","40280","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Finance","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Human Resources","70","70","38220","33350"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","No function","420","410","37560","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Project Delivery","420","400","40830","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Digital, Data & Technology","210","200","44100","41600"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Human Resources","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Legal","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","No function","1050","990","35890","29950"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Project Delivery","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Property","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","UK Space Agency","Project Delivery","220","210","47130","49080"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Analysis","140","140","52490","49720"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Communications","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance","70","70","57470","61730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Human Resources","60","60","49570","38540"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","No function","1190","1170","47990","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Project Delivery","210","210","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Analysis","410","390","44380","43020"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Commercial","190","180","39780","38000"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Communications","240","230","37820","33510"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Digital, Data & Technology","410","400","39140","36500"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Finance","400","380","42620","40400"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Human Resources","130","130","34720","29730"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Legal","60","60","54720","57570"
"In post","2021","Department for Education","Department for Education (excl. agencies)","No function","2530","2430","43820","40230"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Project Delivery","470","450","49300","50630"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Property","270","260","49590","50630"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Security","30","30","[c]","[c]"
"In post","2021","Department for Education","Department for Education (excl. agencies)","Unknown","570","550","51130","46030"
"In post","2021","Department for Education","Education and Skills Funding Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Education and Skills Funding Agency","Communications","90","90","43280","40300"
"In post","2021","Department for Education","Education and Skills Funding Agency","Digital, Data & Technology","220","220","39740","36780"
"In post","2021","Department for Education","Education and Skills Funding Agency","Finance","130","130","44530","43250"
"In post","2021","Department for Education","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Education and Skills Funding Agency","No function","1270","1230","41620","37100"
"In post","2021","Department for Education","Education and Skills Funding Agency","Project Delivery","60","60","34310","30200"
"In post","2021","Department for Education","Education and Skills Funding Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","No function","160","160","48670","50210"
"In post","2021","Department for Education","Institute for Apprenticeships and Technical Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Standards and Testing Agency","No function","130","120","42910","40940"
"In post","2021","Department for Education","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Teaching Regulation Agency","No function","70","70","30690","29360"
"In post","2021","Department for Education","Teaching Regulation Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Commercial","50","50","32690","29640"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","No function","2540","2410","30640","27680"
"In post","2021","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","Project Delivery","70","60","29310","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Analysis","480","460","33750","29750"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","60","60","33860","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Analysis","70","70","38190","32840"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","140","140","39210","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","260","250","41570","37790"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","670","650","43890","47550"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","400","390","43210","38060"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","260","250","42830","38710"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","2970","2870","43120","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","230","230","42220","37110"
"In post","2021","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","390","370","36760","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Analysis","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Communications","110","90","28870","26030"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Grants Management","1890","1730","25510","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Project Delivery","150","140","37900","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinary Medicines Directorate","Unknown","150","150","43500","40060"
"In post","2021","Department for International Trade","Department for International Trade","Analysis","250","250","43170","38540"
"In post","2021","Department for International Trade","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Communications","100","100","42660","38540"
"In post","2021","Department for International Trade","Department for International Trade","Digital, Data & Technology","120","120","46700","43500"
"In post","2021","Department for International Trade","Department for International Trade","Finance","90","90","47730","44030"
"In post","2021","Department for International Trade","Department for International Trade","Human Resources","130","130","43250","38540"
"In post","2021","Department for International Trade","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","No function","1880","1860","46340","39960"
"In post","2021","Department for International Trade","Department for International Trade","Project Delivery","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Analysis","400","390","46700","43360"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Communications","120","120","47130","43360"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Digital, Data & Technology","130","120","41280","39040"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Finance","150","150","47760","46710"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Human Resources","110","110","44410","42470"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","No function","2130","2070","47280","42890"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Project Delivery","450","440","53950","54380"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Commercial","160","140","32760","31040"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Communications","70","60","29810","26740"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Digital, Data & Technology","710","690","40340","39040"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Finance","140","130","32910","30730"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Human Resources","170","160","32650","31380"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","No function","4690","4020","22790","21590"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Project Delivery","90","80","39900","39040"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Property","60","50","30360","30540"
"In post","2021","Department for Transport","Driver and Vehicle Licensing Agency","Security","120","110","30490","26350"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Analysis","60","60","31040","31860"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Commercial","40","40","[c]","[c]"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Communications","90","80","31290","30730"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Digital, Data & Technology","220","220","36270","33350"
