"Status","Year","Profession_of_post","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Heterosexual / straight","No function","80","80","42340","40050"
"In post","2021","Communications","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Unknown","270","260","44250","41730"
"In post","2021","Communications","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Communications","180","170","42070","40310"
"In post","2021","Communications","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Communications","260","240","37910","35270"
"In post","2021","Communications","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Communications","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Communications","810","790","42470","38650"
"In post","2021","Communications","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","No function","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","Finance","90","90","47570","46080"
"In post","2021","Corporate Finance","Heterosexual / straight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Finance","40","30","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Counter Fraud","420","400","41080","38510"
"In post","2021","Counter Fraud","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Unknown","160","140","27010","25310"
"In post","2021","Counter Fraud","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Counter Fraud","180","180","40950","39170"
"In post","2021","Counter Fraud","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Analysis","170","160","41960","42000"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Digital, Data & Technology","6500","6310","41430","38450"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","No function","130","120","37300","33100"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Project Delivery","330","320","43200","43000"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Property","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Heterosexual / straight","Unknown","1090","1070","48040","44470"
"In post","2021","Digital, Data and Technology","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Digital, Data & Technology","400","390","40460","36800"
"In post","2021","Digital, Data and Technology","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","LGBO","Unknown","60","50","47880","40460"
"In post","2021","Digital, Data and Technology","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Digital, Data & Technology","1060","1020","39890","37940"
"In post","2021","Digital, Data and Technology","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Project Delivery","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Unknown","170","170","48360","46980"
"In post","2021","Digital, Data and Technology","Unknown","Analysis","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Digital, Data & Technology","2900","2830","40300","37100"
"In post","2021","Digital, Data and Technology","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","No function","70","70","41180","37100"
"In post","2021","Digital, Data and Technology","Unknown","Project Delivery","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","130","130","49250","46000"
"In post","2021","Economics","Heterosexual / straight","Analysis","850","830","47460","42280"
"In post","2021","Economics","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Heterosexual / straight","Finance","40","40","[c]","[c]"
"In post","2021","Economics","Heterosexual / straight","No function","330","320","47680","50780"
"In post","2021","Economics","Heterosexual / straight","Project Delivery","60","60","55740","55990"
"In post","2021","Economics","Heterosexual / straight","Unknown","120","120","47630","41760"
"In post","2021","Economics","LGBO","Analysis","80","80","43700","35640"
"In post","2021","Economics","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","No function","30","30","[c]","[c]"
"In post","2021","Economics","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Analysis","90","90","48660","50150"
"In post","2021","Economics","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","No function","40","40","[c]","[c]"
"In post","2021","Economics","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Analysis","260","260","43290","35840"
"In post","2021","Economics","Unknown","Finance","50","50","[c]","[c]"
"In post","2021","Economics","Unknown","No function","70","70","50850","52480"
"In post","2021","Economics","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","60","60","44460","35610"
"In post","2021","Finance","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Commercial","60","50","34310","30850"
"In post","2021","Finance","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Finance","5360","5100","40390","36740"
"In post","2021","Finance","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","No function","270","250","41990","36980"
"In post","2021","Finance","Heterosexual / straight","Project Delivery","310","300","42720","39860"
"In post","2021","Finance","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Unknown","530","510","43560","37430"
"In post","2021","Finance","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Finance","200","200","42540","38630"
"In post","2021","Finance","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Finance","740","690","39510","36160"
"In post","2021","Finance","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","No function","40","40","[c]","[c]"
"In post","2021","Finance","Undeclared","Project Delivery","50","50","[c]","[c]"
"In post","2021","Finance","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Unknown","70","60","44790","42070"
"In post","2021","Finance","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Finance","1260","1180","36870","32790"
"In post","2021","Finance","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","No function","90","90","44960","40300"
"In post","2021","Finance","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Human Resources","5260","4980","38700","33700"
"In post","2021","Human Resources","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","No function","50","50","40910","36330"
"In post","2021","Human Resources","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Heterosexual / straight","Unknown","630","600","41400","37410"
"In post","2021","Human Resources","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Human Resources","310","300","41190","36640"
"In post","2021","Human Resources","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Human Resources","520","490","35880","32690"
"In post","2021","Human Resources","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Unknown","80","70","40800","37410"
"In post","2021","Human Resources","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Human Resources","840","800","36140","32560"
"In post","2021","Human Resources","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","Heterosexual / straight","No function","720","700","66390","74730"
"In post","2021","Inspector of Education and Training","LGBO","No function","50","50","69920","75500"
"In post","2021","Inspector of Education and Training","Undeclared","No function","50","40","[c]","[c]"
"In post","2021","Inspector of Education and Training","Unknown","No function","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Heterosexual / straight","Analysis","140","130","49290","51420"
"In post","2021","Intelligence Analysis","Heterosexual / straight","Counter Fraud","120","120","38640","36160"
"In post","2021","Intelligence Analysis","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Heterosexual / straight","No function","350","340","31350","28080"
"In post","2021","Intelligence Analysis","Heterosexual / straight","Security","140","140","44680","38860"
"In post","2021","Intelligence Analysis","Heterosexual / straight","Unknown","1720","1640","32430","29490"
"In post","2021","Intelligence Analysis","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","LGBO","Unknown","70","70","31560","29250"
"In post","2021","Intelligence Analysis","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","No function","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Unknown","330","310","32880","30780"
"In post","2021","Intelligence Analysis","Unknown","Analysis","130","130","54140","53360"
"In post","2021","Intelligence Analysis","Unknown","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","No function","70","60","32340","31050"
"In post","2021","Intelligence Analysis","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Unknown","120","110","34130","33000"
"In post","2021","Internal Audit","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Internal Audit","570","550","46170","43450"
"In post","2021","Internal Audit","Heterosexual / straight","No function","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Internal Audit","30","30","[c]","[c]"
"In post","2021","Internal Audit","LGBO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Internal Audit","80","80","45890","42520"
"In post","2021","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Internal Audit","60","50","42260","39890"
"In post","2021","International Trade","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Heterosexual / straight","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Heterosexual / straight","No function","830","820","47820","44030"
"In post","2021","International Trade","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","LGBO","No function","80","80","51070","51970"
"In post","2021","International Trade","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","No function","90","90","44800","38780"
"In post","2021","International Trade","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","No function","460","460","45080","38810"
"In post","2021","International Trade","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Analysis","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Commercial","510","490","32790","30200"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Digital, Data & Technology","110","100","37610","35510"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","No function","620","580","39040","36330"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Project Delivery","140","140","36790","35790"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Heterosexual / straight","Unknown","150","150","38330","37410"
"In post","2021","Knowledge and Information Management","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","No function","50","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Commercial","120","110","37160","33300"
"In post","2021","Knowledge and Information Management","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","No function","100","100","37750","35410"
"In post","2021","Knowledge and Information Management","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Property","[c]","[c]","[c]","[c]"
