"Status","Year","Parent_department","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Counter Fraud","80","80","64080","63000"
"In post","2021","Attorney General's Departments","G6/G7","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Human Resources","60","60","58040","54760"
"In post","2021","Attorney General's Departments","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Legal","4340","3990","58350","55610"
"In post","2021","Attorney General's Departments","G6/G7","Operational Delivery","90","90","60220","58590"
"In post","2021","Attorney General's Departments","G6/G7","Other","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Policy","50","50","59460","56580"
"In post","2021","Attorney General's Departments","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Legal","270","250","86530","82500"
"In post","2021","Attorney General's Departments","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Communications","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Counter Fraud","150","150","37560","40000"
"In post","2021","Attorney General's Departments","SEO/HEO","Digital, Data and Technology","100","100","37050","38180"
"In post","2021","Attorney General's Departments","SEO/HEO","Finance","50","50","34310","32540"
"In post","2021","Attorney General's Departments","SEO/HEO","Human Resources","110","100","34720","33420"
"In post","2021","Attorney General's Departments","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Legal","470","450","38970","38760"
"In post","2021","Attorney General's Departments","SEO/HEO","Operational Delivery","350","340","34550","33310"
"In post","2021","Attorney General's Departments","SEO/HEO","Other","120","110","33870","31710"
"In post","2021","Attorney General's Departments","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Unknown","550","510","21780","20920"
"In post","2021","Cabinet Office","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Unknown","870","850","27210","27500"
"In post","2021","Cabinet Office","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Unknown","2990","2930","59600","56340"
"In post","2021","Cabinet Office","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Unknown","970","950","92190","78290"
"In post","2021","Cabinet Office","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Unknown","3970","3930","33610","33300"
"In post","2021","Chancellor's other departments","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Other","140","130","80990","75420"
"In post","2021","Chancellor's other departments","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Other","90","90","41320","40290"
"In post","2021","Chancellor's other departments","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Unknown","70","70","24760","24440"
"In post","2021","Charity Commission","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Unknown","110","110","32060","29550"
"In post","2021","Competition and Markets Authority","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Project Delivery","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Economics","60","60","66000","62890"
"In post","2021","Competition and Markets Authority","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Legal","90","90","68210","72430"
"In post","2021","Competition and Markets Authority","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Project Delivery","180","170","66220","62890"
"In post","2021","Competition and Markets Authority","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Project Delivery","60","60","110090","102030"
"In post","2021","Competition and Markets Authority","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Project Delivery","80","70","36250","34870"
"In post","2021","Competition and Markets Authority","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Finance","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Operational Delivery","1250","1140","21300","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Policy","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Science and Engineering","70","70","24590","24660"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Digital, Data and Technology","220","220","28780","26920"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Economics","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Finance","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Human Resources","80","80","25950","25460"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Operational Delivery","1080","1020","25410","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Policy","250","250","27790","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Science and Engineering","110","110","28850","29890"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Commercial","110","110","53340","48540"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Communications","70","60","59080","58430"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Digital, Data and Technology","200","190","58780","59170"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Economics","120","110","62220","58490"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Finance","120","120","59650","58100"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Human Resources","120","110","56880","55600"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Legal","50","50","59250","57120"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Operational Delivery","390","380","56960","54310"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Policy","1840","1790","58330","55460"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Project Delivery","150","140","54410","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Science and Engineering","380","350","56010","58370"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Economics","[c]","[c]","[c]","[c]"
