"Status","Year","Function_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","AA/AO","90","90","21710","20890"
"In post","2021","Commercial","Ministry of Justice","EO","140","130","26580","26430"
"In post","2021","Commercial","Ministry of Justice","G6/G7","190","180","69300","69570"
"In post","2021","Commercial","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","SEO/HEO","580","570","42650","42550"
"In post","2021","Commercial","Ministry of Justice","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","EO","60","50","23490","22400"
"In post","2021","Commercial","Other Cabinet Office Agencies","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","SEO/HEO","270","260","33250","34800"
"In post","2021","Commercial","Scottish Government","AA/AO","60","50","23570","24450"
"In post","2021","Commercial","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","G6/G7","60","60","67590","65320"
"In post","2021","Commercial","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","SEO/HEO","100","100","42940","43700"
"In post","2021","Commercial","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","SEO/HEO","50","50","37490","38590"
"In post","2021","Communications","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","EO","40","40","[c]","[c]"
"In post","2021","Communications","Cabinet Office","G6/G7","120","120","59330","56610"
"In post","2021","Communications","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","SEO/HEO","150","150","38750","39370"
"In post","2021","Communications","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","G6/G7","60","50","59510","58650"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","SEO/HEO","130","130","39360","38690"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","EO","80","80","27360","26000"
"In post","2021","Communications","Department for Education","G6/G7","80","80","56630","54400"
"In post","2021","Communications","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","SEO/HEO","150","150","37540","36960"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","EO","60","50","25980","25450"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","G6/G7","90","90","53670","53200"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","SEO/HEO","200","180","35190","36210"
"In post","2021","Communications","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","G6/G7","30","30","[c]","[c]"
"In post","2021","Communications","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","SEO/HEO","60","50","35110","33560"
"In post","2021","Communications","Department for Transport","AA/AO","40","30","[c]","[c]"
"In post","2021","Communications","Department for Transport","EO","60","60","26580","26470"
"In post","2021","Communications","Department for Transport","G6/G7","60","60","57950","54760"
"In post","2021","Communications","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","SEO/HEO","140","130","37500","37310"
"In post","2021","Communications","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","EO","70","70","27490","27270"
"In post","2021","Communications","Department of Health and Social Care","G6/G7","100","100","58730","55150"
"In post","2021","Communications","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
