"Status","Year","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","West Midlands (England)","65+","790","600","29230","26820"
"In post","2022","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Yorkshire and The Humber","16-19","110","100","22060","21260"
"In post","2022","Yorkshire and The Humber","20-29","6640","6530","27230","26350"
"In post","2022","Yorkshire and The Humber","30-39","8410","7910","32050","27570"
"In post","2022","Yorkshire and The Humber","40-49","9080","8450","34610","30820"
"In post","2022","Yorkshire and The Humber","50-59","11340","10550","33640","28430"
"In post","2022","Yorkshire and The Humber","60-64","2930","2330","30000","27570"
"In post","2022","Yorkshire and The Humber","65+","730","540","28830","26870"
"In post","2022","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","20-29","270","260","22490","21010"
"Leaver CS","2021","East Midlands (England)","30-39","210","190","25990","23740"
"Leaver CS","2021","East Midlands (England)","40-49","230","210","30120","27570"
"Leaver CS","2021","East Midlands (England)","50-59","430","390","29100","27030"
"Leaver CS","2021","East Midlands (England)","60-64","250","210","29170","26750"
"Leaver CS","2021","East Midlands (England)","65+","200","150","24430","21370"
"Leaver CS","2021","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East of England","20-29","270","260","23970","22400"
"Leaver CS","2021","East of England","30-39","250","240","28370","27570"
"Leaver CS","2021","East of England","40-49","240","210","30820","27570"
"Leaver CS","2021","East of England","50-59","490","440","33020","27570"
"Leaver CS","2021","East of England","60-64","300","260","33760","28570"
"Leaver CS","2021","East of England","65+","250","180","29110","26220"
"Leaver CS","2021","East of England","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","London","20-29","1510","1420","29370","27520"
"Leaver CS","2021","London","30-39","1040","970","43290","40220"
"Leaver CS","2021","London","40-49","670","610","49480","42850"
"Leaver CS","2021","London","50-59","950","870","50470","41420"
"Leaver CS","2021","London","60-64","620","530","49000","41600"
"Leaver CS","2021","London","65+","470","350","37780","30280"
"Leaver CS","2021","London","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","20-29","250","230","22390","21010"
"Leaver CS","2021","North East (England)","30-39","190","170","25360","21010"
"Leaver CS","2021","North East (England)","40-49","190","160","29010","24130"
"Leaver CS","2021","North East (England)","50-59","380","330","28980","26350"
"Leaver CS","2021","North East (England)","60-64","380","280","29950","26780"
"Leaver CS","2021","North East (England)","65+","290","190","23850","21010"
"Leaver CS","2021","North West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","20-29","490","460","23320","21010"
"Leaver CS","2021","North West (England)","30-39","340","310","26590","24110"
"Leaver CS","2021","North West (England)","40-49","290","260","27970","23470"
"Leaver CS","2021","North West (England)","50-59","660","590","31330","26890"
"Leaver CS","2021","North West (England)","60-64","530","420","30910","27400"
"Leaver CS","2021","North West (England)","65+","460","310","25640","21270"
"Leaver CS","2021","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","40-49","30","30","[c]","[c]"
"Leaver CS","2021","Northern Ireland","50-59","70","60","[c]","[c]"
"Leaver CS","2021","Northern Ireland","60-64","40","40","[c]","[c]"
"Leaver CS","2021","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","40-49","40","30","[c]","[c]"
"Leaver CS","2021","Overseas","50-59","30","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","20-29","290","270","24310","22230"
"Leaver CS","2021","Scotland","30-39","350","320","30330","27570"
"Leaver CS","2021","Scotland","40-49","280","250","32300","27150"
"Leaver CS","2021","Scotland","50-59","550","500","35680","33650"
"Leaver CS","2021","Scotland","60-64","480","400","36860","31930"
"Leaver CS","2021","Scotland","65+","360","260","30210","26700"
"Leaver CS","2021","South East (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","20-29","500","490","23000","21430"
"Leaver CS","2021","South East (England)","30-39","390","360","30470","27570"
"Leaver CS","2021","South East (England)","40-49","360","330","32250","28650"
"Leaver CS","2021","South East (England)","50-59","580","520","32400","27760"
"Leaver CS","2021","South East (England)","60-64","440","380","32400","28340"
"Leaver CS","2021","South East (England)","65+","410","300","28630","24750"
"Leaver CS","2021","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","20-29","520","500","24110","21550"
"Leaver CS","2021","South West (England)","30-39","340","320","31130","28660"
"Leaver CS","2021","South West (England)","40-49","280","260","34550","29200"
"Leaver CS","2021","South West (England)","50-59","530","490","35780","30540"
"Leaver CS","2021","South West (England)","60-64","420","360","37460","33300"
"Leaver CS","2021","South West (England)","65+","350","280","31230","27570"
"Leaver CS","2021","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","20-29","200","200","28450","28000"
"Leaver CS","2021","Unknown","30-39","130","130","39400","32000"
"Leaver CS","2021","Unknown","40-49","90","90","[c]","[c]"
"Leaver CS","2021","Unknown","50-59","150","140","54550","39180"
"Leaver CS","2021","Unknown","60-64","80","80","42080","36580"
"Leaver CS","2021","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","20-29","360","350","22470","21170"
"Leaver CS","2021","Wales","30-39","280","260","28780","23470"
"Leaver CS","2021","Wales","40-49","210","190","31220","26470"
"Leaver CS","2021","Wales","50-59","490","420","30810","26710"
"Leaver CS","2021","Wales","60-64","350","270","34520","27570"
"Leaver CS","2021","Wales","65+","260","180","28510","22350"
"Leaver CS","2021","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","20-29","340","330","23090","21010"
"Leaver CS","2021","West Midlands (England)","30-39","260","230","30020","26710"
"Leaver CS","2021","West Midlands (England)","40-49","240","210","34380","26570"
"Leaver CS","2021","West Midlands (England)","50-59","440","390","33260","27570"
"Leaver CS","2021","West Midlands (England)","60-64","340","280","31830","27130"
"Leaver CS","2021","West Midlands (England)","65+","240","170","27550","22080"
"Leaver CS","2021","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","20-29","390","370","24370","21050"
"Leaver CS","2021","Yorkshire and The Humber","30-39","260","230","30590","27570"
"Leaver CS","2021","Yorkshire and The Humber","40-49","280","240","32400","27570"
"Leaver CS","2021","Yorkshire and The Humber","50-59","670","590","32730","27570"
"Leaver CS","2021","Yorkshire and The Humber","60-64","430","340","32220","27570"
"Leaver CS","2021","Yorkshire and The Humber","65+","270","190","27700","26120"
"Leaver CS","2021","Yorkshire and The Humber","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","20-29","510","500","23300","21260"
"Leaver CS","2022","East Midlands (England)","30-39","390","360","28300","27130"
"Leaver CS","2022","East Midlands (England)","40-49","300","280","29110","27570"
"Leaver CS","2022","East Midlands (England)","50-59","480","430","31500","27570"
"Leaver CS","2022","East Midlands (England)","60-64","340","280","31490","27570"
"Leaver CS","2022","East Midlands (England)","65+","240","180","26830","21300"
"Leaver CS","2022","East of England","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East of England","20-29","550","540","25830","24920"
"Leaver CS","2022","East of England","30-39","480","450","30420","27570"
"Leaver CS","2022","East of England","40-49","380","350","32200","27570"
"Leaver CS","2022","East of England","50-59","590","550","33910","27900"
"Leaver CS","2022","East of England","60-64","370","310","33600","29290"
"Leaver CS","2022","East of England","65+","290","230","29950","27130"
"Leaver CS","2022","London","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","London","20-29","3080","2780","31110","30310"
"Leaver CS","2022","London","30-39","2180","1980","42620","39840"
"Leaver CS","2022","London","40-49","1400","1250","49490","45200"
"Leaver CS","2022","London","50-59","1380","1230","48880","41030"
"Leaver CS","2022","London","60-64","920","790","47860","39950"
"Leaver CS","2022","London","65+","650","510","39010","31060"
"Leaver CS","2022","North East (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North East (England)","20-29","510","490","23360","21260"
"Leaver CS","2022","North East (England)","30-39","390","360","29190","24250"
"Leaver CS","2022","North East (England)","40-49","310","280","29070","24500"
"Leaver CS","2022","North East (England)","50-59","480","420","31480","26770"
"Leaver CS","2022","North East (England)","60-64","480","350","30320","27570"
"Leaver CS","2022","North East (England)","65+","370","250","25260","21260"
"Leaver CS","2022","North West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","20-29","990","960","24100","21260"
"Leaver CS","2022","North West (England)","30-39","740","700","28430","26420"
"Leaver CS","2022","North West (England)","40-49","550","510","31710","27570"
"Leaver CS","2022","North West (England)","50-59","950","840","32430","27570"
"Leaver CS","2022","North West (England)","60-64","730","580","31300","27570"
"Leaver CS","2022","North West (England)","65+","650","450","27010","23840"
"Leaver CS","2022","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","20-29","40","40","[c]","[c]"
"Leaver CS","2022","Northern Ireland","30-39","40","40","[c]","[c]"
"Leaver CS","2022","Northern Ireland","40-49","30","30","[c]","[c]"
"Leaver CS","2022","Northern Ireland","50-59","50","50","[c]","[c]"
"Leaver CS","2022","Northern Ireland","60-64","50","40","[c]","[c]"
"Leaver CS","2022","Northern Ireland","65+","40","30","[c]","[c]"
"Leaver CS","2022","Overseas","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","30-39","30","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","40-49","30","30","[c]","[c]"
"Leaver CS","2022","Overseas","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","60-64","30","30","[c]","[c]"
"Leaver CS","2022","Overseas","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","20-29","680","650","25540","23780"
"Leaver CS","2022","Scotland","30-39","570","530","29930","27570"
"Leaver CS","2022","Scotland","40-49","460","420","33880","27570"
"Leaver CS","2022","Scotland","50-59","800","730","34170","27570"
"Leaver CS","2022","Scotland","60-64","710","590","36930","31990"
"Leaver CS","2022","Scotland","65+","510","370","30370","26790"
"Leaver CS","2022","South East (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","20-29","980","950","24880","24370"
"Leaver CS","2022","South East (England)","30-39","750","700","30240","27570"
"Leaver CS","2022","South East (England)","40-49","630","580","33080","29120"
"Leaver CS","2022","South East (England)","50-59","950","860","32200","27570"
"Leaver CS","2022","South East (England)","60-64","660","560","33300","28350"
"Leaver CS","2022","South East (England)","65+","580","440","28930","26670"
"Leaver CS","2022","South West (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","20-29","1020","1010","24850","23140"
"Leaver CS","2022","South West (England)","30-39","720","670","32700","30590"
"Leaver CS","2022","South West (England)","40-49","550","510","36510","33000"
"Leaver CS","2022","South West (England)","50-59","720","660","36240","32800"
"Leaver CS","2022","South West (England)","60-64","570","490","36580","33630"
"Leaver CS","2022","South West (England)","65+","470","370","32770","27570"
"Leaver CS","2022","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","300","260","25130","21840"
"Leaver CS","2022","Unknown","30-39","290","240","31130","27780"
"Leaver CS","2022","Unknown","40-49","180","150","33960","27570"
"Leaver CS","2022","Unknown","50-59","180","150","39640","32700"
"Leaver CS","2022","Unknown","60-64","140","120","35210","30780"
"Leaver CS","2022","Unknown","65+","90","70","28680","22690"
"Leaver CS","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","20-29","550","540","24220","21300"
"Leaver CS","2022","Wales","30-39","380","360","29640","27570"
"Leaver CS","2022","Wales","40-49","260","240","32970","26700"
"Leaver CS","2022","Wales","50-59","400","340","34140","27570"
"Leaver CS","2022","Wales","60-64","330","260","36330","27570"
"Leaver CS","2022","Wales","65+","280","190","30980","26780"
"Leaver CS","2022","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","20-29","670","650","24480","21300"
"Leaver CS","2022","West Midlands (England)","30-39","480","460","30340","27570"
"Leaver CS","2022","West Midlands (England)","40-49","390","350","34010","27570"
"Leaver CS","2022","West Midlands (England)","50-59","500","460","35680","27570"
"Leaver CS","2022","West Midlands (England)","60-64","390","320","31860","27570"
"Leaver CS","2022","West Midlands (England)","65+","290","220","28600","26440"
"Leaver CS","2022","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","20-29","790","740","24340","21680"
"Leaver CS","2022","Yorkshire and The Humber","30-39","630","570","30940","27570"
"Leaver CS","2022","Yorkshire and The Humber","40-49","450","390","34910","27570"
"Leaver CS","2022","Yorkshire and The Humber","50-59","690","600","32740","27570"
"Leaver CS","2022","Yorkshire and The Humber","60-64","530","420","32370","27570"
"Leaver CS","2022","Yorkshire and The Humber","65+","390","280","27660","26670"
"Leaver CS","2022","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","20-29","70","70","22010","21010"
"Leaver Dept.","2021","East Midlands (England)","30-39","90","80","27030","23020"
"Leaver Dept.","2021","East Midlands (England)","40-49","50","50","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","50-59","60","50","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","20-29","40","40","[c]","[c]"
"Leaver Dept.","2021","East of England","30-39","60","60","[c]","[c]"
"Leaver Dept.","2021","East of England","40-49","50","50","[c]","[c]"
"Leaver Dept.","2021","East of England","50-59","40","40","[c]","[c]"
"Leaver Dept.","2021","East of England","60-64","[c]","[c]","[c]","[c]"
