"Status","Year","Profession_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Department for Transport","London","90","90","51000","54110"
"In post","2021","Commercial","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Wales","160","150","33180","31040"
"In post","2021","Commercial","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","London","130","130","53670","45010"
"In post","2021","Commercial","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Yorkshire and The Humber","90","80","41630","36820"
"In post","2021","Commercial","ESTYN","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Scotland","70","70","40370","39630"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","South East (England)","70","70","43400","40590"
"In post","2021","Commercial","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","North West (England)","50","50","38610","38630"
"In post","2021","Commercial","HM Revenue and Customs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","London","60","60","42660","43180"
"In post","2021","Commercial","Home Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","East of England","70","70","35910","34610"
"In post","2021","Commercial","Ministry of Defence","London","40","40","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Overseas","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Scotland","100","100","35360","33960"
"In post","2021","Commercial","Ministry of Defence","South East (England)","280","270","35060","34800"
"In post","2021","Commercial","Ministry of Defence","South West (England)","1390","1330","38810","35140"
"In post","2021","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Wales","30","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","West Midlands (England)","50","50","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","East Midlands (England)","60","60","44680","43640"
"In post","2021","Commercial","Ministry of Justice","East of England","60","60","47520","46050"
"In post","2021","Commercial","Ministry of Justice","London","320","310","48190","45200"
"In post","2021","Commercial","Ministry of Justice","North East (England)","40","30","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","North West (England)","90","90","47680","44760"
"In post","2021","Commercial","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","South East (England)","60","60","46000","46550"
"In post","2021","Commercial","Ministry of Justice","South West (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","West Midlands (England)","80","80","43970","42520"
"In post","2021","Commercial","Ministry of Justice","Yorkshire and The Humber","110","110","41250","37690"
"In post","2021","Commercial","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","East of England","90","80","34770","34800"
"In post","2021","Commercial","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","North West (England)","190","180","33650","34800"
"In post","2021","Commercial","Other Cabinet Office Agencies","Wales","70","60","31160","28540"
"In post","2021","Commercial","Other Cabinet Office Agencies","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Scotland","100","100","31960","25870"
"In post","2021","Commercial","The National Archives","London","40","40","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","London","60","60","43790","39750"
"In post","2021","Communications","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","London","30","30","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","London","160","150","47520","45100"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","South West (England)","40","30","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Wales","50","40","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","London","40","40","[c]","[c]"
"In post","2021","Communications","Department for Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","London","160","150","43380","40940"
"In post","2021","Communications","Department for Education","North East (England)","40","40","[c]","[c]"
"In post","2021","Communications","Department for Education","North West (England)","50","50","30690","29360"
"In post","2021","Communications","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","London","130","130","44540","39910"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","South West (England)","30","30","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","London","140","130","43380","38540"
"In post","2021","Communications","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Communications","Department for Transport","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","London","110","110","47780","43360"
"In post","2021","Communications","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","South West (England)","30","30","[c]","[c]"
"In post","2021","Communications","Department for Transport","Wales","70","60","29840","26780"
"In post","2021","Communications","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","North West (England)","30","30","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","London","270","260","43190","36690"
"In post","2021","Communications","Department of Health and Social Care","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","ESTYN","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","London","130","130","48720","45840"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","London","110","110","50070","43180"
"In post","2021","Communications","HM Revenue and Customs","North East (England)","40","40","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","London","50","50","[c]","[c]"
"In post","2021","Communications","HM Treasury","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","London","160","160","49610","44220"
"In post","2021","Communications","Home Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","East of England","40","40","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","London","110","110","48720","45200"
"In post","2021","Communications","Ministry of Defence","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","South East (England)","190","180","31920","29200"
"In post","2021","Communications","Ministry of Defence","South West (England)","170","160","33250","33130"
"In post","2021","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","London","90","90","42620","39600"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","London","120","120","45110","41790"
"In post","2021","Communications","Ministry of Justice","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","Scotland","40","30","[c]","[c]"
"In post","2021","Communications","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","South East (England)","30","30","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Wales","40","40","[c]","[c]"
"In post","2021","Communications","Wales Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","Wales","160","150","39290","37410"
"In post","2021","Corporate Finance","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
