"Status","Year","Organisation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","30-39","90","90","38290","37240"
"In post","2021","Animal and Plant Health Agency","Veterinarian","40-49","130","130","42810","37910"
"In post","2021","Animal and Plant Health Agency","Veterinarian","50-59","80","80","51450","51760"
"In post","2021","Animal and Plant Health Agency","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","20-29","3370","3360","33940","29250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","30-39","2330","2280","49130","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","40-49","1820","1770","58250","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","50-59","1490","1460","56990","52920"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","60-64","260","230","50230","38420"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","65+","50","50","50180","35100"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","20-29","60","60","25270","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","30-39","150","140","31340","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","40-49","130","120","35610","30860"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","50-59","110","100","38530","37280"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","20-29","30","30","[c]","[c]"
"In post","2021","Charity Commission","Unknown","30-39","50","50","[c]","[c]"
"In post","2021","Charity Commission","Unknown","40-49","60","60","33890","29160"
"In post","2021","Charity Commission","Unknown","50-59","60","60","34700","29160"
"In post","2021","Charity Commission","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","20-29","40","40","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","30-39","70","60","37760","38000"
"In post","2021","Companies House","Digital, Data and Technology","40-49","80","80","41570","38000"
"In post","2021","Companies House","Digital, Data and Technology","50-59","50","50","40080","38000"
"In post","2021","Companies House","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","20-29","60","60","21320","19850"
"In post","2021","Companies House","Operational Delivery","30-39","110","100","23900","22490"
"In post","2021","Companies House","Operational Delivery","40-49","110","100","25930","22490"
"In post","2021","Companies House","Operational Delivery","50-59","200","180","25940","22490"
"In post","2021","Companies House","Operational Delivery","60-64","60","50","23670","22490"
"In post","2021","Companies House","Operational Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Other","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","50-59","[c]","[c]","[c]","[c]"
