"Status","Year","Disability","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Undeclared","Department for Work and Pensions","1650","1430","26860","27570"
"In post","2021","Declared disabled","Undeclared","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Foreign, Commonwealth and Development Office","60","60","44770","38910"
"In post","2021","Declared disabled","Undeclared","HM Land Registry","70","60","31130","27130"
"In post","2021","Declared disabled","Undeclared","HM Revenue and Customs","500","450","31530","28130"
"In post","2021","Declared disabled","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Home Office","420","380","31840","28650"
"In post","2021","Declared disabled","Undeclared","Ministry of Defence","690","660","34600","33300"
"In post","2021","Declared disabled","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Ministry of Justice","830","770","30230","27730"
"In post","2021","Declared disabled","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scottish Government","100","100","36820","33600"
"In post","2021","Declared disabled","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Welsh Government","40","40","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Attorney General's Departments","100","90","43320","42770"
"In post","2021","Declared disabled","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Department for Business, Energy and Industrial Strategy","190","170","34340","32730"
"In post","2021","Declared disabled","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Department for Education","60","50","44600","40940"
"In post","2021","Declared disabled","Unknown","Department for Environment, Food and Rural Affairs","100","90","29190","25190"
"In post","2021","Declared disabled","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Department for Transport","40","40","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Department for Work and Pensions","1520","1280","26260","27570"
"In post","2021","Declared disabled","Unknown","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Declared disabled","Unknown","HM Land Registry","50","40","[c]","[c]"
"In post","2021","Declared disabled","Unknown","HM Revenue and Customs","730","630","27970","25560"
"In post","2021","Declared disabled","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Ministry of Defence","180","170","33010","31600"
"In post","2021","Declared disabled","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Ministry of Justice","270","240","28690","28980"
"In post","2021","Declared disabled","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Scottish Government","340","310","33120","33650"
"In post","2021","Declared disabled","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","United Kingdom Statistics Authority","70","60","31320","29540"
"In post","2021","Declared disabled","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Heterosexual / straight","Attorney General's Departments","5070","4740","45480","48830"
"In post","2021","Declared non-disabled","Heterosexual / straight","Cabinet Office","3690","3590","48720","41820"
"In post","2021","Declared non-disabled","Heterosexual / straight","Chancellor's other departments","260","260","59940","49040"
"In post","2021","Declared non-disabled","Heterosexual / straight","Charity Commission","180","170","35150","29160"
"In post","2021","Declared non-disabled","Heterosexual / straight","Competition and Markets Authority","610","590","59400","56190"
"In post","2021","Declared non-disabled","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","5340","5140","44140","40050"
"In post","2021","Declared non-disabled","Heterosexual / straight","Department for Digital, Culture, Media and Sport","1110","1090","49900","51730"
"In post","2021","Declared non-disabled","Heterosexual / straight","Department for Education","4180","4020","44810","40780"
"In post","2021","Declared non-disabled","Heterosexual / straight","Department for Environment, Food and Rural Affairs","5850","5560","37250","33120"
"In post","2021","Declared non-disabled","Heterosexual / straight","Department for International Trade","1100","1090","46840","42230"
"In post","2021","Declared non-disabled","Heterosexual / straight","Department for Transport","8430","7920","34600","29730"
"In post","2021","Declared non-disabled","Heterosexual / straight","Department for Work and Pensions","46660","42410","28610","27570"
"In post","2021","Declared non-disabled","Heterosexual / straight","Department of Health and Social Care","4870","4500","43290","38200"
"In post","2021","Declared non-disabled","Heterosexual / straight","ESTYN","90","80","58230","74730"
"In post","2021","Declared non-disabled","Heterosexual / straight","Food Standards Agency","480","460","38230","32940"
"In post","2021","Declared non-disabled","Heterosexual / straight","Foreign, Commonwealth and Development Office","4980","4870","47520","42510"
"In post","2021","Declared non-disabled","Heterosexual / straight","HM Land Registry","2590","2320","33380","30600"
"In post","2021","Declared non-disabled","Heterosexual / straight","HM Revenue and Customs","29630","27500","33340","31810"
"In post","2021","Declared non-disabled","Heterosexual / straight","HM Treasury","1550","1500","48610","49940"
"In post","2021","Declared non-disabled","Heterosexual / straight","Home Office","24950","23130","31910","27370"
"In post","2021","Declared non-disabled","Heterosexual / straight","Ministry of Defence","33230","32140","33990","31950"
"In post","2021","Declared non-disabled","Heterosexual / straight","Ministry of Housing, Communities and Local Government","2130","2040","46540","43780"
"In post","2021","Declared non-disabled","Heterosexual / straight","Ministry of Justice","43720","41090","29820","26810"
"In post","2021","Declared non-disabled","Heterosexual / straight","National Crime Agency","1510","1460","43520","40210"
"In post","2021","Declared non-disabled","Heterosexual / straight","Northern Ireland Office","70","70","46150","39080"
"In post","2021","Declared non-disabled","Heterosexual / straight","Office for Standards in Education","1250","1210","50920","51360"
"In post","2021","Declared non-disabled","Heterosexual / straight","Office of Gas and Electricity Markets","420","410","43310","37240"
"In post","2021","Declared non-disabled","Heterosexual / straight","Office of Qualifications and Examinations Regulation","140","130","45520","40250"
"In post","2021","Declared non-disabled","Heterosexual / straight","Office of Rail and Road","160","150","51450","51310"
"In post","2021","Declared non-disabled","Heterosexual / straight","Other Cabinet Office Agencies","320","310","45310","39000"
"In post","2021","Declared non-disabled","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Heterosexual / straight","Scottish Government","7310","6970","39730","34650"
"In post","2021","Declared non-disabled","Heterosexual / straight","The National Archives","180","170","36840","34220"
"In post","2021","Declared non-disabled","Heterosexual / straight","UK Export Finance","310","310","52910","47750"
"In post","2021","Declared non-disabled","Heterosexual / straight","UK Supreme Court","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Heterosexual / straight","United Kingdom Statistics Authority","2000","1770","34220","30130"
"In post","2021","Declared non-disabled","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Heterosexual / straight","Water Services Regulation Authority","90","80","58680","53600"
"In post","2021","Declared non-disabled","Heterosexual / straight","Welsh Government","4230","3990","41140","37410"
"In post","2021","Declared non-disabled","LGBO","Attorney General's Departments","300","290","47300","50500"
"In post","2021","Declared non-disabled","LGBO","Cabinet Office","320","320","44850","40600"
"In post","2021","Declared non-disabled","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Competition and Markets Authority","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Department for Business, Energy and Industrial Strategy","440","430","44880","40050"
"In post","2021","Declared non-disabled","LGBO","Department for Digital, Culture, Media and Sport","140","140","47720","44770"
"In post","2021","Declared non-disabled","LGBO","Department for Education","290","280","45020","40510"
"In post","2021","Declared non-disabled","LGBO","Department for Environment, Food and Rural Affairs","370","360","36860","32560"
"In post","2021","Declared non-disabled","LGBO","Department for International Trade","120","120","48990","49370"
"In post","2021","Declared non-disabled","LGBO","Department for Transport","430","410","36070","31100"
"In post","2021","Declared non-disabled","LGBO","Department for Work and Pensions","2410","2320","28340","27570"
"In post","2021","Declared non-disabled","LGBO","Department of Health and Social Care","280","260","43340","38020"
"In post","2021","Declared non-disabled","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Foreign, Commonwealth and Development Office","300","300","48200","44670"
"In post","2021","Declared non-disabled","LGBO","HM Land Registry","60","60","32690","33840"
"In post","2021","Declared non-disabled","LGBO","HM Revenue and Customs","1560","1510","32780","29570"
"In post","2021","Declared non-disabled","LGBO","HM Treasury","120","110","49570","52500"
"In post","2021","Declared non-disabled","LGBO","Home Office","890","860","32770","27020"
"In post","2021","Declared non-disabled","LGBO","Ministry of Defence","930","920","32840","29550"
"In post","2021","Declared non-disabled","LGBO","Ministry of Housing, Communities and Local Government","160","160","47140","47660"
"In post","2021","Declared non-disabled","LGBO","Ministry of Justice","2450","2390","30240","26990"
"In post","2021","Declared non-disabled","LGBO","National Crime Agency","60","60","42100","40210"
"In post","2021","Declared non-disabled","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Office for Standards in Education","110","110","49670","44610"
"In post","2021","Declared non-disabled","LGBO","Office of Gas and Electricity Markets","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Scottish Government","420","410","37650","32140"
"In post","2021","Declared non-disabled","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","United Kingdom Statistics Authority","80","80","35690","34600"
"In post","2021","Declared non-disabled","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","LGBO","Welsh Government","170","170","41060","37410"
"In post","2021","Declared non-disabled","Undeclared","Attorney General's Departments","200","190","49010","51250"
"In post","2021","Declared non-disabled","Undeclared","Cabinet Office","300","290","49150","41820"
"In post","2021","Declared non-disabled","Undeclared","Chancellor's other departments","60","50","60390","50480"
"In post","2021","Declared non-disabled","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Department for Business, Energy and Industrial Strategy","410","390","47390","46880"
"In post","2021","Declared non-disabled","Undeclared","Department for Digital, Culture, Media and Sport","60","60","49820","51730"
"In post","2021","Declared non-disabled","Undeclared","Department for Education","330","310","45360","43250"
"In post","2021","Declared non-disabled","Undeclared","Department for Environment, Food and Rural Affairs","520","500","36540","33510"
"In post","2021","Declared non-disabled","Undeclared","Department for International Trade","70","70","43770","38540"
"In post","2021","Declared non-disabled","Undeclared","Department for Transport","1960","1700","29420","26780"
"In post","2021","Declared non-disabled","Undeclared","Department for Work and Pensions","4980","4420","28090","27570"
"In post","2021","Declared non-disabled","Undeclared","Department of Health and Social Care","490","440","44550","38200"
"In post","2021","Declared non-disabled","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Foreign, Commonwealth and Development Office","380","380","47850","41200"
"In post","2021","Declared non-disabled","Undeclared","HM Land Registry","440","380","33480","27130"
"In post","2021","Declared non-disabled","Undeclared","HM Revenue and Customs","2200","1990","33130","30000"
"In post","2021","Declared non-disabled","Undeclared","HM Treasury","130","130","45770","43300"
"In post","2021","Declared non-disabled","Undeclared","Home Office","2600","2380","32610","28350"
"In post","2021","Declared non-disabled","Undeclared","Ministry of Defence","3030","2900","35090","33300"
"In post","2021","Declared non-disabled","Undeclared","Ministry of Housing, Communities and Local Government","110","100","44720","41980"
"In post","2021","Declared non-disabled","Undeclared","Ministry of Justice","3580","3290","30350","27100"
"In post","2021","Declared non-disabled","Undeclared","National Crime Agency","100","100","41070","39840"
"In post","2021","Declared non-disabled","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Office for Standards in Education","80","80","48190","46360"
"In post","2021","Declared non-disabled","Undeclared","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Scottish Government","380","360","39290","35110"
"In post","2021","Declared non-disabled","Undeclared","The National Archives","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","United Kingdom Statistics Authority","80","70","33720","30700"
"In post","2021","Declared non-disabled","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Welsh Government","480","450","42470","37410"
"In post","2021","Declared non-disabled","Unknown","Attorney General's Departments","1180","1060","47090","52040"
"In post","2021","Declared non-disabled","Unknown","Cabinet Office","200","190","60750","55520"
"In post","2021","Declared non-disabled","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Department for Business, Energy and Industrial Strategy","2630","2490","39480","39650"
"In post","2021","Declared non-disabled","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Department for Education","790","760","46050","42930"
"In post","2021","Declared non-disabled","Unknown","Department for Environment, Food and Rural Affairs","1490","1390","28500","24920"
"In post","2021","Declared non-disabled","Unknown","Department for International Trade","120","120","44950","38960"
"In post","2021","Declared non-disabled","Unknown","Department for Transport","220","190","28550","26580"
"In post","2021","Declared non-disabled","Unknown","Department for Work and Pensions","16490","14040","27100","27570"
"In post","2021","Declared non-disabled","Unknown","Department of Health and Social Care","240","220","53290","49530"
"In post","2021","Declared non-disabled","Unknown","Food Standards Agency","270","250","33210","28660"
"In post","2021","Declared non-disabled","Unknown","Foreign, Commonwealth and Development Office","240","230","46200","42890"
"In post","2021","Declared non-disabled","Unknown","HM Land Registry","600","500","31620","27130"
"In post","2021","Declared non-disabled","Unknown","HM Revenue and Customs","4020","3480","29290","25560"
"In post","2021","Declared non-disabled","Unknown","HM Treasury","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Home Office","60","50","31790","27370"
"In post","2021","Declared non-disabled","Unknown","Ministry of Defence","960","930","33120","31950"
"In post","2021","Declared non-disabled","Unknown","Ministry of Housing, Communities and Local Government","120","110","35760","30410"
"In post","2021","Declared non-disabled","Unknown","Ministry of Justice","3450","3050","30880","31650"
"In post","2021","Declared non-disabled","Unknown","National Crime Agency","90","80","42600","40210"
"In post","2021","Declared non-disabled","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Office of Gas and Electricity Markets","520","510","46710","41000"
"In post","2021","Declared non-disabled","Unknown","Office of Rail and Road","110","100","60440","60020"
"In post","2021","Declared non-disabled","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Scottish Government","1730","1620","37370","33620"
"In post","2021","Declared non-disabled","Unknown","The National Archives","100","90","35550","34770"
"In post","2021","Declared non-disabled","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","United Kingdom Statistics Authority","430","380","34780","31270"
"In post","2021","Declared non-disabled","Unknown","Water Services Regulation Authority","70","70","56710","49660"
"In post","2021","Declared non-disabled","Unknown","Welsh Government","50","50","[c]","[c]"
"In post","2021","Undeclared","Heterosexual / straight","Attorney General's Departments","70","70","50490","51250"
"In post","2021","Undeclared","Heterosexual / straight","Cabinet Office","140","140","44260","38580"
"In post","2021","Undeclared","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","160","150","43350","40050"
"In post","2021","Undeclared","Heterosexual / straight","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","Undeclared","Heterosexual / straight","Department for Education","220","210","43600","37100"
"In post","2021","Undeclared","Heterosexual / straight","Department for Environment, Food and Rural Affairs","190","180","36870","33570"
"In post","2021","Undeclared","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
