"Status","Year","Function_of_post","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","EO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Monmouthshire and Newport","140","130","24100","23050"
"In post","2021","Analysis","EO","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","South Hampshire","50","40","[c]","[c]"
"In post","2021","Analysis","EO","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Suffolk","50","50","25050","24920"
"In post","2021","Analysis","EO","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Tower Hamlets","50","50","27990","28100"
"In post","2021","Analysis","EO","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Westminster","190","190","28910","29000"
"In post","2021","Analysis","EO","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Analysis","G6/G7","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Camden and City of London","130","120","85090","80750"
"In post","2021","Analysis","G6/G7","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Central Hampshire","160","150","49330","46130"
"In post","2021","Analysis","G6/G7","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Leeds","60","60","53300","51420"
"In post","2021","Analysis","G6/G7","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Manchester","50","50","53060","52580"
"In post","2021","Analysis","G6/G7","Monmouthshire and Newport","210","210","52320","50090"
"In post","2021","Analysis","G6/G7","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Sheffield","50","50","[c]","[c]"
"In post","2021","Analysis","G6/G7","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","South Hampshire","110","100","52390","50090"
"In post","2021","Analysis","G6/G7","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Suffolk","70","70","51320","48080"
"In post","2021","Analysis","G6/G7","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Tower Hamlets","300","280","62150","59160"
"In post","2021","Analysis","G6/G7","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Westminster","1000","960","59180","57990"
"In post","2021","Analysis","G6/G7","Wiltshire","30","30","[c]","[c]"
"In post","2021","Analysis","G6/G7","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Tower Hamlets","30","30","[c]","[c]"
"In post","2021","Analysis","SCS","Westminster","80","70","84460","78540"
"In post","2021","Analysis","SCS","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Bath and North East Somerset, North Somerset and South Gloucestershire","30","30","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Bristol, City of","100","90","35970","33250"
"In post","2021","Analysis","SEO/HEO","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Camden and City of London","70","70","41350","41210"
"In post","2021","Analysis","SEO/HEO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Central Hampshire","180","170","33990","37320"
"In post","2021","Analysis","SEO/HEO","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Dorset CC","60","50","32360","30220"
"In post","2021","Analysis","SEO/HEO","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Leeds","50","40","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Liverpool","40","40","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Manchester","150","140","35050","32040"
"In post","2021","Analysis","SEO/HEO","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Monmouthshire and Newport","620","590","33550","33330"
"In post","2021","Analysis","SEO/HEO","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Sheffield","70","60","38570","41990"
"In post","2021","Analysis","SEO/HEO","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","South Hampshire","280","270","33250","32020"
"In post","2021","Analysis","SEO/HEO","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Suffolk","200","190","33050","30660"
"In post","2021","Analysis","SEO/HEO","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Tower Hamlets","290","290","38350","37530"
"In post","2021","Analysis","SEO/HEO","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Westminster","1180","1160","37540","36160"
"In post","2021","Analysis","SEO/HEO","Wiltshire","80","80","33400","37320"
"In post","2021","Analysis","SEO/HEO","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","York","30","30","[c]","[c]"
"In post","2021","Analysis","Unknown","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Staffordshire CC","30","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Swansea","40","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Westminster","50","50","[c]","[c]"
"In post","2021","Commercial","AA/AO","Wiltshire","60","50","21620","20920"
"In post","2021","Commercial","AA/AO","York","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","60","50","25940","26670"
"In post","2021","Commercial","EO","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Central Hampshire","60","50","26440","26670"
"In post","2021","Commercial","EO","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
