"Status","Year","Sexual_orientation","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education","Declared disabled","530","500","41480","37100"
"In post","2021","Heterosexual / straight","Department for Education","Declared non-disabled","4180","4020","44810","40780"
"In post","2021","Heterosexual / straight","Department for Education","Undeclared","220","210","43600","37100"
"In post","2021","Heterosexual / straight","Department for Education","Unknown","570","560","37820","36500"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Declared disabled","840","790","34700","30730"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Declared non-disabled","5850","5560","37250","33120"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Undeclared","190","180","36870","33570"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs","Unknown","80","80","41860","37360"
"In post","2021","Heterosexual / straight","Department for International Trade","Declared disabled","120","120","45620","41640"
"In post","2021","Heterosexual / straight","Department for International Trade","Declared non-disabled","1100","1090","46840","42230"
"In post","2021","Heterosexual / straight","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Unknown","290","290","45250","38540"
"In post","2021","Heterosexual / straight","Department for Transport","Declared disabled","880","790","30420","26780"
"In post","2021","Heterosexual / straight","Department for Transport","Declared non-disabled","8430","7920","34600","29730"
"In post","2021","Heterosexual / straight","Department for Transport","Undeclared","350","330","29410","26590"
"In post","2021","Heterosexual / straight","Department for Transport","Unknown","300","280","36050","31350"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Declared disabled","11260","9890","27450","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Declared non-disabled","46660","42410","28610","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Undeclared","2260","2090","27760","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions","Unknown","390","360","28350","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Declared disabled","360","340","40750","36330"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Declared non-disabled","4870","4500","43290","38200"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Undeclared","200","170","45360","40070"
"In post","2021","Heterosexual / straight","Department of Health and Social Care","Unknown","1390","1340","46260","40650"
"In post","2021","Heterosexual / straight","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Declared non-disabled","90","80","58230","74730"
"In post","2021","Heterosexual / straight","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Declared disabled","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Declared non-disabled","480","460","38230","32940"
"In post","2021","Heterosexual / straight","Food Standards Agency","Undeclared","340","330","38470","37350"
"In post","2021","Heterosexual / straight","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Declared disabled","620","610","43530","38600"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Declared non-disabled","4980","4870","47520","42510"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Undeclared","120","120","47490","41600"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office","Unknown","260","250","52720","53630"
"In post","2021","Heterosexual / straight","HM Land Registry","Declared disabled","350","300","30630","27130"
"In post","2021","Heterosexual / straight","HM Land Registry","Declared non-disabled","2590","2320","33380","30600"
"In post","2021","Heterosexual / straight","HM Land Registry","Undeclared","50","50","29700","27130"
"In post","2021","Heterosexual / straight","HM Land Registry","Unknown","560","540","27210","22350"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","Declared disabled","4080","3660","31450","28130"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","Declared non-disabled","29630","27500","33340","31810"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","Undeclared","910","850","31420","28130"
"In post","2021","Heterosexual / straight","HM Revenue and Customs","Unknown","2080","1830","29580","25560"
"In post","2021","Heterosexual / straight","HM Treasury","Declared disabled","180","180","45430","41840"
"In post","2021","Heterosexual / straight","HM Treasury","Declared non-disabled","1550","1500","48610","49940"
"In post","2021","Heterosexual / straight","HM Treasury","Undeclared","190","190","45260","39260"
"In post","2021","Heterosexual / straight","HM Treasury","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Home Office","Declared disabled","2400","2200","31020","27370"
"In post","2021","Heterosexual / straight","Home Office","Declared non-disabled","24950","23130","31910","27370"
"In post","2021","Heterosexual / straight","Home Office","Undeclared","570","530","31080","28650"
"In post","2021","Heterosexual / straight","Home Office","Unknown","270","270","33700","28650"
"In post","2021","Heterosexual / straight","Ministry of Defence","Declared disabled","4140","3980","33160","31170"
"In post","2021","Heterosexual / straight","Ministry of Defence","Declared non-disabled","33230","32140","33990","31950"
"In post","2021","Heterosexual / straight","Ministry of Defence","Undeclared","1690","1640","32490","29200"
"In post","2021","Heterosexual / straight","Ministry of Defence","Unknown","3190","3070","33240","29750"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","Declared disabled","260","250","41430","36340"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","Declared non-disabled","2130","2040","46540","43780"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","Undeclared","70","70","43640","39790"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government","Unknown","90","90","45550","47660"
"In post","2021","Heterosexual / straight","Ministry of Justice","Declared disabled","7070","6570","29290","26640"
"In post","2021","Heterosexual / straight","Ministry of Justice","Declared non-disabled","43720","41090","29820","26810"
"In post","2021","Heterosexual / straight","Ministry of Justice","Undeclared","3960","3670","30770","30810"
"In post","2021","Heterosexual / straight","Ministry of Justice","Unknown","400","380","27530","25790"
"In post","2021","Heterosexual / straight","National Crime Agency","Declared disabled","160","150","38240","36630"
"In post","2021","Heterosexual / straight","National Crime Agency","Declared non-disabled","1510","1460","43520","40210"
"In post","2021","Heterosexual / straight","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Crime Agency","Unknown","2420","2380","38010","36410"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Declared non-disabled","70","70","46150","39080"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Standards in Education","Declared disabled","110","110","45660","51360"
"In post","2021","Heterosexual / straight","Office for Standards in Education","Declared non-disabled","1250","1210","50920","51360"
"In post","2021","Heterosexual / straight","Office for Standards in Education","Unknown","70","70","43880","51360"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Declared non-disabled","420","410","43310","37240"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Declared non-disabled","140","130","45520","40250"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Declared non-disabled","160","150","51450","51310"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","Declared disabled","60","50","43070","38010"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","Declared non-disabled","320","310","45310","39000"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other Cabinet Office Agencies","Unknown","340","340","37500","34800"
"In post","2021","Heterosexual / straight","Scotland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Government","Declared disabled","1100","1050","36880","33650"
"In post","2021","Heterosexual / straight","Scottish Government","Declared non-disabled","7310","6970","39730","34650"
"In post","2021","Heterosexual / straight","Scottish Government","Undeclared","190","180","38120","33650"
"In post","2021","Heterosexual / straight","Scottish Government","Unknown","3050","2880","38240","33650"
"In post","2021","Heterosexual / straight","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","Declared non-disabled","180","170","36840","34220"
"In post","2021","Heterosexual / straight","The National Archives","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Export Finance","Declared non-disabled","310","310","52910","47750"
"In post","2021","Heterosexual / straight","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Declared disabled","380","330","31410","29540"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Declared non-disabled","2000","1770","34220","30130"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Undeclared","80","60","26750","23050"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Unknown","1070","970","31200","29540"
"In post","2021","Heterosexual / straight","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","Declared non-disabled","90","80","58680","53600"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Government","Declared disabled","260","240","38070","37410"
"In post","2021","Heterosexual / straight","Welsh Government","Declared non-disabled","4230","3990","41140","37410"
"In post","2021","Heterosexual / straight","Welsh Government","Undeclared","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Government","Unknown","130","130","35800","28850"
"In post","2021","LGBO","Attorney General's Departments","Declared disabled","70","70","47040","51050"
"In post","2021","LGBO","Attorney General's Departments","Declared non-disabled","300","290","47300","50500"
"In post","2021","LGBO","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Attorney General's Departments","Unknown","60","50","30900","26950"
"In post","2021","LGBO","Cabinet Office","Declared disabled","90","90","44810","40600"
"In post","2021","LGBO","Cabinet Office","Declared non-disabled","320","320","44850","40600"
"In post","2021","LGBO","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","Declared disabled","120","120","40070","33640"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","Declared non-disabled","440","430","44880","40050"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","Undeclared","40","40","[c]","[c]"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy","Unknown","80","80","40680","39580"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Declared non-disabled","140","140","47720","44770"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Education","Declared disabled","70","70","39650","33510"
"In post","2021","LGBO","Department for Education","Declared non-disabled","290","280","45020","40510"
"In post","2021","LGBO","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Education","Unknown","50","50","37110","32940"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","Declared disabled","120","110","35110","31740"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","Declared non-disabled","370","360","36860","32560"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for International Trade","Declared disabled","30","30","[c]","[c]"
"In post","2021","LGBO","Department for International Trade","Declared non-disabled","120","120","48990","49370"
"In post","2021","LGBO","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department for International Trade","Unknown","30","30","[c]","[c]"
"In post","2021","LGBO","Department for Transport","Declared disabled","80","80","35530","30420"
"In post","2021","LGBO","Department for Transport","Declared non-disabled","430","410","36070","31100"
"In post","2021","LGBO","Department for Transport","Undeclared","40","40","[c]","[c]"
"In post","2021","LGBO","Department for Transport","Unknown","30","30","[c]","[c]"
"In post","2021","LGBO","Department for Work and Pensions","Declared disabled","1120","1050","27830","27570"
"In post","2021","LGBO","Department for Work and Pensions","Declared non-disabled","2410","2320","28340","27570"
"In post","2021","LGBO","Department for Work and Pensions","Undeclared","190","180","28060","27570"
"In post","2021","LGBO","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department of Health and Social Care","Declared disabled","70","70","38600","32480"
"In post","2021","LGBO","Department of Health and Social Care","Declared non-disabled","280","260","43340","38020"
"In post","2021","LGBO","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Department of Health and Social Care","Unknown","110","110","44180","40650"
"In post","2021","LGBO","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","Declared disabled","80","80","44120","41810"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","Declared non-disabled","300","300","48200","44670"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Land Registry","Declared non-disabled","60","60","32690","33840"
"In post","2021","LGBO","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Land Registry","Unknown","60","60","25430","22350"
"In post","2021","LGBO","HM Revenue and Customs","Declared disabled","430","400","31630","31810"
"In post","2021","LGBO","HM Revenue and Customs","Declared non-disabled","1560","1510","32780","29570"
"In post","2021","LGBO","HM Revenue and Customs","Undeclared","120","110","30350","25600"
"In post","2021","LGBO","HM Revenue and Customs","Unknown","120","110","29310","25560"
"In post","2021","LGBO","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Treasury","Declared non-disabled","120","110","49570","52500"
"In post","2021","LGBO","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Home Office","Declared disabled","230","220","33680","30010"
"In post","2021","LGBO","Home Office","Declared non-disabled","890","860","32770","27020"
"In post","2021","LGBO","Home Office","Undeclared","40","40","[c]","[c]"
"In post","2021","LGBO","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Ministry of Defence","Declared disabled","270","260","32770","30060"
"In post","2021","LGBO","Ministry of Defence","Declared non-disabled","930","920","32840","29550"
"In post","2021","LGBO","Ministry of Defence","Undeclared","110","110","32570","30130"
"In post","2021","LGBO","Ministry of Defence","Unknown","90","90","29960","26640"
"In post","2021","LGBO","Ministry of Housing, Communities and Local Government","Declared disabled","50","50","41400","34860"
"In post","2021","LGBO","Ministry of Housing, Communities and Local Government","Declared non-disabled","160","160","47140","47660"
"In post","2021","LGBO","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Ministry of Justice","Declared disabled","790","760","29220","26810"
"In post","2021","LGBO","Ministry of Justice","Declared non-disabled","2450","2390","30240","26990"
"In post","2021","LGBO","Ministry of Justice","Undeclared","290","280","31240","30880"
"In post","2021","LGBO","Ministry of Justice","Unknown","30","30","[c]","[c]"
"In post","2021","LGBO","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","National Crime Agency","Declared non-disabled","60","60","42100","40210"
"In post","2021","LGBO","National Crime Agency","Unknown","130","120","35020","34140"
"In post","2021","LGBO","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office for Standards in Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office for Standards in Education","Declared non-disabled","110","110","49670","44610"
"In post","2021","LGBO","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Gas and Electricity Markets","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","LGBO","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other Cabinet Office Agencies","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other Cabinet Office Agencies","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scotland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scotland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scottish Government","Declared disabled","190","190","35600","32140"
"In post","2021","LGBO","Scottish Government","Declared non-disabled","420","410","37650","32140"
"In post","2021","LGBO","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Scottish Government","Unknown","160","160","36210","33650"
"In post","2021","LGBO","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","The National Archives","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","United Kingdom Statistics Authority","Declared disabled","50","50","33800","30130"
"In post","2021","LGBO","United Kingdom Statistics Authority","Declared non-disabled","80","80","35690","34600"
"In post","2021","LGBO","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","United Kingdom Statistics Authority","Unknown","80","80","31790","29540"
"In post","2021","LGBO","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Welsh Government","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Welsh Government","Declared non-disabled","170","170","41060","37410"
"In post","2021","LGBO","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Attorney General's Departments","Declared disabled","50","50","48080","50680"
"In post","2021","Undeclared","Attorney General's Departments","Declared non-disabled","200","190","49010","51250"
"In post","2021","Undeclared","Attorney General's Departments","Undeclared","50","40","[c]","[c]"
"In post","2021","Undeclared","Attorney General's Departments","Unknown","80","80","36760","31560"
"In post","2021","Undeclared","Cabinet Office","Declared disabled","80","80","44900","40580"
"In post","2021","Undeclared","Cabinet Office","Declared non-disabled","300","290","49150","41820"
"In post","2021","Undeclared","Cabinet Office","Undeclared","120","110","45200","40600"
"In post","2021","Undeclared","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chancellor's other departments","Declared non-disabled","60","50","60390","50480"
"In post","2021","Undeclared","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy","Declared disabled","70","60","40430","35840"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy","Declared non-disabled","410","390","47390","46880"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy","Undeclared","210","210","46500","44750"
"In post","2021","Undeclared","Department for Business, Energy and Industrial Strategy","Unknown","240","220","39920","38670"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Declared non-disabled","60","60","49820","51730"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Undeclared","30","30","[c]","[c]"
"In post","2021","Undeclared","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Department for Education","Declared disabled","60","60","41770","37100"
