"Status","Year","Parent_department","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","G6/G7","Human Resources","60","60","57890","54760"
"In post","2021","Attorney General's Departments","G6/G7","Legal","4470","4120","58390","55610"
"In post","2021","Attorney General's Departments","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Legal","280","270","86920","82500"
"In post","2021","Attorney General's Departments","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Communications","50","50","37490","38590"
"In post","2021","Attorney General's Departments","SEO/HEO","Counter Fraud","130","130","37120","36050"
"In post","2021","Attorney General's Departments","SEO/HEO","Digital, Data & Technology","90","90","37000","38180"
"In post","2021","Attorney General's Departments","SEO/HEO","Finance","60","60","34350","32520"
"In post","2021","Attorney General's Departments","SEO/HEO","Human Resources","110","100","34720","33420"
"In post","2021","Attorney General's Departments","SEO/HEO","Legal","920","890","36770","38000"
"In post","2021","Attorney General's Departments","SEO/HEO","No function","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Human Resources","170","150","21010","20800"
"In post","2021","Cabinet Office","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","No function","110","110","24160","24490"
"In post","2021","Cabinet Office","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Security","240","220","20930","20920"
"In post","2021","Cabinet Office","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Communications","40","40","[c]","[c]"
"In post","2021","Cabinet Office","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Digital, Data & Technology","60","60","27450","27500"
"In post","2021","Cabinet Office","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Human Resources","220","210","26240","25760"
"In post","2021","Cabinet Office","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","No function","340","330","27940","27500"
"In post","2021","Cabinet Office","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Security","140","140","26580","26670"
"In post","2021","Cabinet Office","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Commercial","800","780","63320","56920"
"In post","2021","Cabinet Office","G6/G7","Communications","120","120","59330","56610"
"In post","2021","Cabinet Office","G6/G7","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Digital, Data & Technology","600","590","58330","56340"
"In post","2021","Cabinet Office","G6/G7","Finance","30","30","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Human Resources","270","260","57550","56520"
"In post","2021","Cabinet Office","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","No function","950","930","58240","54700"
"In post","2021","Cabinet Office","G6/G7","Project Delivery","70","70","60190","58940"
"In post","2021","Cabinet Office","G6/G7","Property","50","50","56400","54700"
"In post","2021","Cabinet Office","G6/G7","Security","90","80","58620","54700"
"In post","2021","Cabinet Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Commercial","480","470","93150","74000"
"In post","2021","Cabinet Office","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Human Resources","40","40","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Legal","50","50","[c]","[c]"
"In post","2021","Cabinet Office","SCS","No function","250","250","86750","77000"
"In post","2021","Cabinet Office","SCS","Project Delivery","70","70","109830","108390"
"In post","2021","Cabinet Office","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Commercial","110","110","38140","38420"
"In post","2021","Cabinet Office","SEO/HEO","Communications","150","150","38750","39370"
"In post","2021","Cabinet Office","SEO/HEO","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Digital, Data & Technology","270","270","37100","35590"
"In post","2021","Cabinet Office","SEO/HEO","Finance","30","30","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Human Resources","420","410","36270","36310"
"In post","2021","Cabinet Office","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","No function","2530","2520","31970","32000"
"In post","2021","Cabinet Office","SEO/HEO","Project Delivery","30","30","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Property","30","30","[c]","[c]"
"In post","2021","Cabinet Office","SEO/HEO","Security","390","370","35290","33630"
"In post","2021","Cabinet Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Analysis","110","100","87640","82910"
"In post","2021","Chancellor's other departments","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","No function","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SCS","No function","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Analysis","60","50","41480","41210"
"In post","2021","Chancellor's other departments","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","No function","50","50","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Unknown","80","70","24740","24440"
"In post","2021","Charity Commission","G6/G7","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Unknown","130","120","31960","29400"
"In post","2021","Competition and Markets Authority","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Project Delivery","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Analysis","80","70","65500","61590"
"In post","2021","Competition and Markets Authority","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Legal","110","110","67860","72430"
"In post","2021","Competition and Markets Authority","G6/G7","Project Delivery","180","170","66220","62890"
"In post","2021","Competition and Markets Authority","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Project Delivery","60","60","110090","102030"
"In post","2021","Competition and Markets Authority","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Analysis","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Project Delivery","80","70","36250","34870"
"In post","2021","Competition and Markets Authority","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Finance","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","No function","1340","1230","21570","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Analysis","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Digital, Data & Technology","250","250","28480","27010"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Finance","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Human Resources","90","80","25940","25460"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","No function","1390","1310","26100","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Project Delivery","60","60","26480","25660"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Analysis","90","90","61870","57990"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Commercial","110","100","53050","48540"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Communications","60","50","59510","58650"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Digital, Data & Technology","370","350","55890","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Finance","100","100","60140","58930"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Human Resources","110","110","55860","54130"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Legal","50","50","59250","57120"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","No function","2340","2270","58500","56830"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Project Delivery","330","320","55070","53480"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","No function","300","290","82790","74860"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Analysis","190","190","37380","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Commercial","120","110","37260","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Communications","130","130","39360","38690"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Counter Fraud","250","240","38680","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Digital, Data & Technology","920","880","38840","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Finance","130","120","39270","39730"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Human Resources","180","170","37040","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Legal","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","No function","3250","3140","37450","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Project Delivery","480","460","37750","39380"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","No function","120","120","27680","26180"
