"Status","Year","Parent_department","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Heterosexual / straight","60","50","24590","24440"
"In post","2021","Charity Commission","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Unknown","40","40","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Heterosexual / straight","130","120","32710","29300"
"In post","2021","Charity Commission","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Unknown","100","90","33600","31500"
"In post","2021","Competition and Markets Authority","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Heterosexual / straight","60","60","28520","28160"
"In post","2021","Competition and Markets Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Heterosexual / straight","350","330","65870","62890"
"In post","2021","Competition and Markets Authority","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Heterosexual / straight","90","90","107200","99920"
"In post","2021","Competition and Markets Authority","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Heterosexual / straight","160","160","38010","34870"
"In post","2021","Competition and Markets Authority","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Heterosexual / straight","680","620","21680","21140"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","LGBO","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Undeclared","60","60","22150","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","700","650","21560","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","970","920","26850","26860"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","LGBO","100","90","26550","26860"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Undeclared","110","100","27620","27460"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Unknown","780","740","25830","25270"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Heterosexual / straight","2140","2070","58870","57620"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","LGBO","220","220","57870","56280"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Undeclared","340","330","59300","57620"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","920","880","54760","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Heterosexual / straight","300","290","83320","75500"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","LGBO","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Heterosexual / straight","2920","2830","37940","38510"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","LGBO","280","280","37360","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Undeclared","390","380","38390","38670"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Unknown","2110","2030","37620","38230"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","130","130","27360","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Heterosexual / straight","560","550","58670","56040"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","LGBO","80","80","58660","58750"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Undeclared","50","50","58050","56750"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Unknown","100","100","58890","57730"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Heterosexual / straight","100","90","86740","75950"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Heterosexual / straight","450","450","37210","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","LGBO","80","80","35420","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","100","100","37070","34020"
"In post","2021","Department for Education","AA/AO","Heterosexual / straight","70","60","21650","21000"
"In post","2021","Department for Education","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","EO","Heterosexual / straight","670","640","26600","26000"
"In post","2021","Department for Education","EO","LGBO","50","50","26300","26000"
"In post","2021","Department for Education","EO","Undeclared","60","50","27450","26000"
"In post","2021","Department for Education","EO","Unknown","190","180","26820","26000"
"In post","2021","Department for Education","G6/G7","Heterosexual / straight","2000","1920","56470","54120"
"In post","2021","Department for Education","G6/G7","LGBO","140","130","56360","54160"
"In post","2021","Department for Education","G6/G7","Undeclared","210","210","56610","53760"
"In post","2021","Department for Education","G6/G7","Unknown","540","520","56580","54160"
"In post","2021","Department for Education","SCS","Heterosexual / straight","210","200","82720","74240"
"In post","2021","Department for Education","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","SCS","Unknown","60","50","88870","81790"
"In post","2021","Department for Education","SEO/HEO","Heterosexual / straight","2550","2460","35560","36500"
"In post","2021","Department for Education","SEO/HEO","LGBO","200","200","35620","36500"
"In post","2021","Department for Education","SEO/HEO","Undeclared","250","240","36030","36660"
"In post","2021","Department for Education","SEO/HEO","Unknown","660","640","35930","36500"
"In post","2021","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Heterosexual / straight","1070","970","21670","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","LGBO","80","70","21680","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Undeclared","110","100","21520","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Unknown","780","710","21280","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","1250","1170","26380","25560"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","LGBO","110","110","26100","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Undeclared","160","150","26420","25670"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Unknown","550","510","25860","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Heterosexual / straight","1590","1540","54470","53200"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","LGBO","110","100","53850","53200"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Undeclared","190","180","54620","53870"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Unknown","450","440","54780","53370"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Heterosexual / straight","160","160","84270","77370"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Heterosexual / straight","2890","2770","34930","35890"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","LGBO","200","190","34790","33690"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Undeclared","380","360","35500","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Unknown","910","860","34710","35890"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","EO","Heterosexual / straight","140","140","27320","26510"
"In post","2021","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","EO","Unknown","90","90","27370","26510"
"In post","2021","Department for International Trade","G6/G7","Heterosexual / straight","640","630","55520","52660"
"In post","2021","Department for International Trade","G6/G7","LGBO","80","80","54630","51970"
"In post","2021","Department for International Trade","G6/G7","Undeclared","60","60","54900","51970"
"In post","2021","Department for International Trade","G6/G7","Unknown","300","300","55570","53080"
"In post","2021","Department for International Trade","SCS","Heterosexual / straight","110","110","86920","76810"
"In post","2021","Department for International Trade","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Department for International Trade","SEO/HEO","Heterosexual / straight","630","620","35310","34940"
"In post","2021","Department for International Trade","SEO/HEO","LGBO","70","70","34620","32240"
"In post","2021","Department for International Trade","SEO/HEO","Undeclared","70","70","36440","37440"
"In post","2021","Department for International Trade","SEO/HEO","Unknown","380","370","35350","34430"
"In post","2021","Department for Transport","AA/AO","Heterosexual / straight","3250","2870","21860","21590"
"In post","2021","Department for Transport","AA/AO","LGBO","160","150","21580","21590"
"In post","2021","Department for Transport","AA/AO","Undeclared","1280","1030","20920","21590"
"In post","2021","Department for Transport","AA/AO","Unknown","1010","910","22730","21590"
"In post","2021","Department for Transport","EO","Heterosexual / straight","2520","2380","28080","26780"
"In post","2021","Department for Transport","EO","LGBO","130","130","28040","26780"
"In post","2021","Department for Transport","EO","Undeclared","840","750","28000","26780"
"In post","2021","Department for Transport","EO","Unknown","680","670","27810","26700"
"In post","2021","Department for Transport","G6/G7","Heterosexual / straight","1310","1280","60390","56280"
"In post","2021","Department for Transport","G6/G7","LGBO","100","100","57600","54760"
"In post","2021","Department for Transport","G6/G7","Undeclared","220","210","61520","57960"
"In post","2021","Department for Transport","G6/G7","Unknown","250","240","60290","54850"
"In post","2021","Department for Transport","SCS","Heterosexual / straight","180","180","89330","80590"
"In post","2021","Department for Transport","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","SEO/HEO","Heterosexual / straight","2700","2620","37900","36180"
"In post","2021","Department for Transport","SEO/HEO","LGBO","170","170","37260","35430"
"In post","2021","Department for Transport","SEO/HEO","Undeclared","570","550","37820","36880"
"In post","2021","Department for Transport","SEO/HEO","Unknown","550","540","37220","35430"
"In post","2021","Department for Work and Pensions","AA/AO","Heterosexual / straight","17900","15530","21210","21010"
"In post","2021","Department for Work and Pensions","AA/AO","LGBO","1080","1020","21290","21010"
"In post","2021","Department for Work and Pensions","AA/AO","Undeclared","2610","2230","21180","21010"
"In post","2021","Department for Work and Pensions","AA/AO","Unknown","8010","6570","21100","21010"
"In post","2021","Department for Work and Pensions","EO","Heterosexual / straight","32360","29490","28120","27570"
"In post","2021","Department for Work and Pensions","EO","LGBO","2080","2000","28160","27570"
"In post","2021","Department for Work and Pensions","EO","Undeclared","3790","3390","28060","27570"
"In post","2021","Department for Work and Pensions","EO","Unknown","10790","9490","28100","27570"
"In post","2021","Department for Work and Pensions","G6/G7","Heterosexual / straight","2230","2140","57140","54070"
"In post","2021","Department for Work and Pensions","G6/G7","LGBO","130","120","57290","54770"
"In post","2021","Department for Work and Pensions","G6/G7","Undeclared","270","250","59470","57510"
"In post","2021","Department for Work and Pensions","G6/G7","Unknown","660","630","57350","55000"
"In post","2021","Department for Work and Pensions","SCS","Heterosexual / straight","200","190","90460","81310"
"In post","2021","Department for Work and Pensions","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","SCS","Unknown","50","50","90290","84420"
"In post","2021","Department for Work and Pensions","SEO/HEO","Heterosexual / straight","7880","7400","35890","34290"
"In post","2021","Department for Work and Pensions","SEO/HEO","LGBO","440","420","35310","34290"
"In post","2021","Department for Work and Pensions","SEO/HEO","Undeclared","940","890","37200","35120"
"In post","2021","Department for Work and Pensions","SEO/HEO","Unknown","2090","1970","35730","34290"
"In post","2021","Department of Health and Social Care","AA/AO","Heterosexual / straight","710","630","21260","20900"
"In post","2021","Department of Health and Social Care","AA/AO","LGBO","50","40","[c]","[c]"
"In post","2021","Department of Health and Social Care","AA/AO","Undeclared","90","70","20780","19630"
"In post","2021","Department of Health and Social Care","AA/AO","Unknown","140","120","22070","22130"
"In post","2021","Department of Health and Social Care","EO","Heterosexual / straight","950","890","26230","26880"
"In post","2021","Department of Health and Social Care","EO","LGBO","70","70","25970","26880"
"In post","2021","Department of Health and Social Care","EO","Undeclared","130","120","26280","26880"
"In post","2021","Department of Health and Social Care","EO","Unknown","420","400","27150","27270"
"In post","2021","Department of Health and Social Care","G6/G7","Heterosexual / straight","1950","1850","57770","54230"
"In post","2021","Department of Health and Social Care","G6/G7","LGBO","140","130","58930","54410"
"In post","2021","Department of Health and Social Care","G6/G7","Undeclared","300","280","59390","55210"
"In post","2021","Department of Health and Social Care","G6/G7","Unknown","1290","1250","58330","53910"
"In post","2021","Department of Health and Social Care","SCS","Heterosexual / straight","500","450","96870","93000"
"In post","2021","Department of Health and Social Care","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","SCS","Undeclared","90","70","99930","94530"
"In post","2021","Department of Health and Social Care","SCS","Unknown","280","260","101810","93000"
"In post","2021","Department of Health and Social Care","SEO/HEO","Heterosexual / straight","2700","2530","36120","36330"
"In post","2021","Department of Health and Social Care","SEO/HEO","LGBO","190","180","35550","35750"
"In post","2021","Department of Health and Social Care","SEO/HEO","Undeclared","390","360","36680","37190"
"In post","2021","Department of Health and Social Care","SEO/HEO","Unknown","1360","1310","36380","36330"
"In post","2021","ESTYN","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","G6/G7","Heterosexual / straight","60","50","73750","74730"
"In post","2021","ESTYN","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","EO","Heterosexual / straight","210","210","27130","26750"
"In post","2021","Food Standards Agency","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","EO","Undeclared","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","EO","Unknown","180","170","27310","26750"
"In post","2021","Food Standards Agency","G6/G7","Heterosexual / straight","150","150","56480","56130"
"In post","2021","Food Standards Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","SEO/HEO","Heterosexual / straight","470","460","35920","37350"
"In post","2021","Food Standards Agency","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2021","Food Standards Agency","SEO/HEO","Undeclared","60","50","36980","37910"
"In post","2021","Food Standards Agency","SEO/HEO","Unknown","70","70","35310","33310"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","Heterosexual / straight","430","420","25540","24750"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","Undeclared","40","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","Unknown","100","100","25390","23520"
"In post","2021","Foreign, Commonwealth and Development Office","EO","Heterosexual / straight","740","710","29580","29300"
"In post","2021","Foreign, Commonwealth and Development Office","EO","LGBO","30","30","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","EO","Undeclared","70","70","30720","30300"
"In post","2021","Foreign, Commonwealth and Development Office","EO","Unknown","130","130","28400","27860"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","Heterosexual / straight","2140","2080","60180","58470"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","LGBO","170","170","58840","57340"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","Undeclared","250","240","61440","60720"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","Unknown","720","700","57350","55620"
"In post","2021","Foreign, Commonwealth and Development Office","SCS","Heterosexual / straight","420","410","86850","78010"
"In post","2021","Foreign, Commonwealth and Development Office","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","SCS","Undeclared","50","40","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","SCS","Unknown","70","70","85690","78010"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","Heterosexual / straight","2220","2180","38010","37560"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","LGBO","150","150","37020","36010"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","Undeclared","280","270","37950","37560"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","Unknown","540","530","38020","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","40","40","[c]","[c]"
