"Status","Year","Ethnicity","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Mixed","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","LGBO","Female","430","420","34610","30970"
"In post","2022","Mixed","LGBO","Male","380","380","37370","33140"
"In post","2022","Mixed","Undeclared","Female","380","350","33830","30200"
"In post","2022","Mixed","Undeclared","Male","280","260","37060","31880"
"In post","2022","Mixed","Unknown","Female","320","280","34970","29230"
"In post","2022","Mixed","Unknown","Male","250","250","36670","32140"
"In post","2022","Other ethnicity","Heterosexual / straight","Female","1070","1010","35140","31060"
"In post","2022","Other ethnicity","Heterosexual / straight","Male","850","830","36900","32790"
"In post","2022","Other ethnicity","LGBO","Female","100","90","35830","32790"
"In post","2022","Other ethnicity","LGBO","Male","120","110","42230","35200"
"In post","2022","Other ethnicity","Undeclared","Female","130","120","39010","31520"
"In post","2022","Other ethnicity","Undeclared","Male","150","150","42270","36980"
"In post","2022","Other ethnicity","Unknown","Female","130","110","36490","31060"
"In post","2022","Other ethnicity","Unknown","Male","120","110","37510","31650"
"In post","2022","Undeclared","Heterosexual / straight","Female","1430","1310","32190","28310"
"In post","2022","Undeclared","Heterosexual / straight","Male","1630","1570","34900","31060"
"In post","2022","Undeclared","LGBO","Female","100","90","31700","29750"
"In post","2022","Undeclared","LGBO","Male","200","190","35150","31600"
"In post","2022","Undeclared","Undeclared","Female","4900","4440","34160","30410"
"In post","2022","Undeclared","Undeclared","Male","8170","7880","37560","33370"
"In post","2022","Undeclared","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Unknown","Female","1870","1570","31260","27570"
"In post","2022","Undeclared","Unknown","Male","1910","1790","35910","32640"
"In post","2022","Unknown","Heterosexual / straight","Female","1850","1650","33720","28920"
"In post","2022","Unknown","Heterosexual / straight","Male","1520","1470","35520","31400"
"In post","2022","Unknown","LGBO","Female","110","100","35170","29290"
"In post","2022","Unknown","LGBO","Male","140","140","38060","32710"
"In post","2022","Unknown","Undeclared","Female","1400","1310","40170","35510"
"In post","2022","Unknown","Undeclared","Male","1190","1150","42470","38200"
"In post","2022","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Female","33270","30990","32110","27570"
"In post","2022","Unknown","Unknown","Male","33020","32190","34230","29490"
"In post","2022","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","Heterosexual / straight","Female","156410","142140","33600","28280"
"In post","2022","White","Heterosexual / straight","Male","124880","121190","36540","32000"
"In post","2022","White","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","LGBO","Female","9750","9420","33260","29230"
"In post","2022","White","LGBO","Male","9650","9460","36430","31650"
"In post","2022","White","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","Undeclared","Female","13750","12220","32490","27570"
"In post","2022","White","Undeclared","Male","10240","9780","35800","31650"
"In post","2022","White","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","White","Unknown","Female","16800","14170","31340","27570"
"In post","2022","White","Unknown","Male","13330","12580","35930","31650"
"Leaver CS","2021","Asian","Heterosexual / straight","Female","410","370","30180","26410"
"Leaver CS","2021","Asian","Heterosexual / straight","Male","350","330","30520","27570"
"Leaver CS","2021","Asian","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Female","40","30","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Female","210","160","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Male","130","110","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Heterosexual / straight","Female","260","240","30970","26410"
"Leaver CS","2021","Black","Heterosexual / straight","Male","190","180","32940","27570"
"Leaver CS","2021","Black","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Female","70","50","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Male","40","40","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Heterosexual / straight","Female","140","130","29280","25110"
"Leaver CS","2021","Mixed","Heterosexual / straight","Male","110","100","33870","29290"
"Leaver CS","2021","Mixed","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Female","40","30","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Male","30","30","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Female","40","40","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Male","30","30","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Female","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","Heterosexual / straight","Male","50","50","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","Female","170","150","31790","27080"
"Leaver CS","2021","Undeclared","Undeclared","Male","340","300","36580","33300"
"Leaver CS","2021","Undeclared","Unknown","Female","370","290","26920","21720"
"Leaver CS","2021","Undeclared","Unknown","Male","340","300","30720","26890"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Female","80","70","31030","26560"
"Leaver CS","2021","Unknown","Heterosexual / straight","Male","120","110","39930","31310"
"Leaver CS","2021","Unknown","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Female","100","80","30120","22820"
"Leaver CS","2021","Unknown","Undeclared","Male","90","90","32280","29320"
"Leaver CS","2021","Unknown","Unknown","Female","3120","2750","30780","26550"
"Leaver CS","2021","Unknown","Unknown","Male","3030","2810","33610","27760"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Heterosexual / straight","Female","5320","4550","30990","26670"
"Leaver CS","2021","White","Heterosexual / straight","Male","5190","4810","35080","29200"
"Leaver CS","2021","White","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","LGBO","Female","340","320","30870","25850"
"Leaver CS","2021","White","LGBO","Male","310","290","34130","27570"
"Leaver CS","2021","White","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Undeclared","Female","640","520","30790","26670"
"Leaver CS","2021","White","Undeclared","Male","510","440","35460","28880"
"Leaver CS","2021","White","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Female","3120","2400","30120","26890"
"Leaver CS","2021","White","Unknown","Male","2110","1800","35170","27570"
"Leaver CS","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Heterosexual / straight","Female","930","850","32090","28080"
"Leaver CS","2022","Asian","Heterosexual / straight","Male","840","790","34020","29260"
"Leaver CS","2022","Asian","LGBO","Female","40","30","[c]","[c]"
"Leaver CS","2022","Asian","LGBO","Male","30","30","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Female","80","60","31250","27570"
"Leaver CS","2022","Asian","Undeclared","Male","40","40","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Female","260","210","36620","29010"
"Leaver CS","2022","Asian","Unknown","Male","190","160","[c]","[c]"
"Leaver CS","2022","Black","Heterosexual / straight","Female","740","700","31770","30350"
"Leaver CS","2022","Black","Heterosexual / straight","Male","430","410","33050","30300"
"Leaver CS","2022","Black","LGBO","Female","40","40","[c]","[c]"
"Leaver CS","2022","Black","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Undeclared","Female","50","40","[c]","[c]"
"Leaver CS","2022","Black","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","Female","100","90","[c]","[c]"
"Leaver CS","2022","Black","Unknown","Male","60","50","[c]","[c]"
"Leaver CS","2022","Mixed","Heterosexual / straight","Female","400","370","31500","27570"
"Leaver CS","2022","Mixed","Heterosexual / straight","Male","250","230","33500","28040"
"Leaver CS","2022","Mixed","LGBO","Female","50","40","[c]","[c]"
"Leaver CS","2022","Mixed","LGBO","Male","40","40","[c]","[c]"
"Leaver CS","2022","Mixed","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Undeclared","Female","30","30","[c]","[c]"
"Leaver CS","2022","Mixed","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Female","50","40","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Male","50","40","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Heterosexual / straight","Female","110","100","34320","31060"
"Leaver CS","2022","Other ethnicity","Heterosexual / straight","Male","70","60","34870","31060"
"Leaver CS","2022","Other ethnicity","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Undeclared","Male","30","30","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Heterosexual / straight","Female","100","90","32660","27570"
"Leaver CS","2022","Undeclared","Heterosexual / straight","Male","130","120","33050","28180"
"Leaver CS","2022","Undeclared","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Female","370","320","31420","27570"
"Leaver CS","2022","Undeclared","Undeclared","Male","570","520","36730","33410"
"Leaver CS","2022","Undeclared","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Female","270","210","31460","27570"
"Leaver CS","2022","Undeclared","Unknown","Male","330","300","34870","29540"
"Leaver CS","2022","Unknown","Heterosexual / straight","Female","130","100","33710","29290"
"Leaver CS","2022","Unknown","Heterosexual / straight","Male","130","120","40460","31060"
"Leaver CS","2022","Unknown","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Female","290","60","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Male","250","80","39270","39070"
"Leaver CS","2022","Unknown","Unknown","Female","4220","3830","30610","25930"
"Leaver CS","2022","Unknown","Unknown","Male","4250","4040","33340","27570"
"Leaver CS","2022","White","Heterosexual / straight","Female","10490","9090","32070","27570"
"Leaver CS","2022","White","Heterosexual / straight","Male","9390","8770","34840","28970"
"Leaver CS","2022","White","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","LGBO","Female","850","800","30360","27570"
"Leaver CS","2022","White","LGBO","Male","740","720","33270","27570"
"Leaver CS","2022","White","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Female","1050","870","31410","27570"
"Leaver CS","2022","White","Undeclared","Male","760","690","35600","29280"
"Leaver CS","2022","White","Unknown","Female","2730","2070","32510","27570"
"Leaver CS","2022","White","Unknown","Male","2100","1770","39180","32670"
"Leaver Dept.","2021","Asian","Heterosexual / straight","Female","400","380","34650","31060"
"Leaver Dept.","2021","Asian","Heterosexual / straight","Male","300","290","34040","31060"
"Leaver Dept.","2021","Asian","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Female","100","90","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Male","110","100","[c]","[c]"
"Leaver Dept.","2021","Black","Heterosexual / straight","Female","250","240","33880","31070"
"Leaver Dept.","2021","Black","Heterosexual / straight","Male","130","130","33750","31060"
"Leaver Dept.","2021","Black","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","Female","50","40","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","Male","40","30","[c]","[c]"
"Leaver Dept.","2021","Chinese","Heterosexual / straight","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Heterosexual / straight","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Female","130","120","38860","33210"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Male","90","90","39700","33930"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Female","80","70","37630","33540"
"Leaver Dept.","2021","Undeclared","Undeclared","Male","130","130","38960","34390"
"Leaver Dept.","2021","Undeclared","Unknown","Female","60","60","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Male","90","90","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Female","70","60","38440","34240"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Female","1580","1410","37120","32290"
"Leaver Dept.","2021","Unknown","Unknown","Male","1420","1300","37990","33120"
"Leaver Dept.","2021","White","Heterosexual / straight","Female","2550","2440","37630","32110"
"Leaver Dept.","2021","White","Heterosexual / straight","Male","1910","1870","39390","33810"
"Leaver Dept.","2021","White","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","LGBO","Female","230","220","35740","32430"
"Leaver Dept.","2021","White","LGBO","Male","270","260","37750","32040"
"Leaver Dept.","2021","White","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Undeclared","Female","200","190","41140","35830"
"Leaver Dept.","2021","White","Undeclared","Male","140","140","38940","34210"
"Leaver Dept.","2021","White","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Female","680","580","35840","30110"
"Leaver Dept.","2021","White","Unknown","Male","500","430","36590","31210"
"Leaver Dept.","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Female","1150","1060","35530","30850"
"Leaver Dept.","2022","Asian","Heterosexual / straight","Male","820","790","35290","30450"
"Leaver Dept.","2022","Asian","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","LGBO","Male","40","40","[c]","[c]"
"Leaver Dept.","2022","Asian","Undeclared","Female","80","70","38530","31990"
"Leaver Dept.","2022","Asian","Undeclared","Male","60","50","39700","34550"
"Leaver Dept.","2022","Asian","Unknown","Female","150","130","48090","35830"
"Leaver Dept.","2022","Asian","Unknown","Male","110","100","[c]","[c]"
"Leaver Dept.","2022","Black","Heterosexual / straight","Female","740","690","34960","31060"
"Leaver Dept.","2022","Black","Heterosexual / straight","Male","300","290","36750","31520"
"Leaver Dept.","2022","Black","LGBO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","LGBO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Undeclared","Female","40","30","[c]","[c]"
