"Status","Year","Parent_department","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","No function","Female","60","60","48230","42600"
"In post","2021","Chancellor's other departments","No function","Male","50","50","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Female","150","140","31930","29160"
"In post","2021","Charity Commission","Unknown","Male","100","100","33290","29160"
"In post","2021","Competition and Markets Authority","Analysis","Female","60","50","57500","56360"
"In post","2021","Competition and Markets Authority","Analysis","Male","80","80","62080","56630"
"In post","2021","Competition and Markets Authority","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","Male","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Female","90","80","67170","71370"
"In post","2021","Competition and Markets Authority","Legal","Male","80","70","71290","72430"
"In post","2021","Competition and Markets Authority","Project Delivery","Female","200","190","58920","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Male","170","170","63200","59360"
"In post","2021","Competition and Markets Authority","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Female","120","120","43070","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Analysis","Male","210","210","44140","38570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Female","130","130","40940","39270"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Male","120","120","45590","47400"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Female","130","120","43980","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Male","100","90","43380","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Female","120","110","38130","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Male","170","160","39980","38510"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Female","480","450","39580","39420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","Male","1110","1080","42130","39750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Female","180","160","42340","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Male","140","140","47520","42700"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Female","300","280","39290","36100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Male","100","100","42230","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Female","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Male","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Female","4500","4210","38110","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","No function","Male","4120","4040","43050","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Female","410","390","42750","39840"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Male","490","490","45270","41900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Female","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Male","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Female","50","50","53780","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Analysis","Male","90","90","51690","43280"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Male","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Female","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Female","670","650","47170","47060"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Male","520","510","48960","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Female","110","110","46160","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Male","100","100","51290","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Analysis","Female","220","200","43850","42580"
"In post","2021","Department for Education","Analysis","Male","190","190","44950","44430"
"In post","2021","Department for Education","Commercial","Female","110","100","40350","38000"
"In post","2021","Department for Education","Commercial","Male","100","90","40840","38000"
"In post","2021","Department for Education","Communications","Female","210","200","38660","36720"
"In post","2021","Department for Education","Communications","Male","120","120","40630","36780"
"In post","2021","Department for Education","Digital, Data & Technology","Female","270","260","40760","36870"
"In post","2021","Department for Education","Digital, Data & Technology","Male","380","370","38920","36500"
"In post","2021","Department for Education","Finance","Female","280","270","42340","40670"
"In post","2021","Department for Education","Finance","Male","260","250","44250","42520"
"In post","2021","Department for Education","Human Resources","Female","120","110","35030","30070"
"In post","2021","Department for Education","Human Resources","Male","30","30","[c]","[c]"
"In post","2021","Department for Education","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","Female","40","40","[c]","[c]"
"In post","2021","Department for Education","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","No function","Female","2610","2470","42670","37100"
"In post","2021","Department for Education","No function","Male","1540","1530","43770","40230"
"In post","2021","Department for Education","Project Delivery","Female","310","290","45590","49860"
"In post","2021","Department for Education","Project Delivery","Male","230","230","50030","50630"
"In post","2021","Department for Education","Property","Female","110","110","44820","49860"
"In post","2021","Department for Education","Property","Male","160","150","52910","54400"
"In post","2021","Department for Education","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Female","360","340","50760","42580"
"In post","2021","Department for Education","Unknown","Male","240","240","54220","50130"
"In post","2021","Department for Environment, Food and Rural Affairs","Analysis","Female","260","240","32170","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Analysis","Male","330","320","35700","30400"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Female","130","120","35650","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Male","80","80","41060","37240"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","Female","250","230","37400","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","Male","130","130","38640","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","Female","290","270","42020","39050"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","Male","420","420","43960","44760"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","Female","220","200","39750","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","Male","200","200","45930","42470"
"In post","2021","Department for Environment, Food and Rural Affairs","Grants Management","Female","1090","950","25070","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Grants Management","Male","800","780","26120","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","Female","200","190","42870","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","Male","70","70","42350","38420"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","No function","Female","3170","2980","36430","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","No function","Male","2360","2310","38650","34650"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","Female","290","260","37730","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","Male","220","210","39050","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","Female","210","200","34030","30040"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","Male","180","180","40020","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Female","90","90","39520","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Male","60","60","49250","53200"
"In post","2021","Department for International Trade","Analysis","Female","100","100","41910","38160"
"In post","2021","Department for International Trade","Analysis","Male","150","150","44020","40330"
"In post","2021","Department for International Trade","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","Female","60","60","39600","38470"
"In post","2021","Department for International Trade","Communications","Male","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Digital, Data & Technology","Female","70","70","44510","43000"
"In post","2021","Department for International Trade","Digital, Data & Technology","Male","60","60","49280","44500"
"In post","2021","Department for International Trade","Finance","Female","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Finance","Male","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Human Resources","Female","90","80","43770","38540"
"In post","2021","Department for International Trade","Human Resources","Male","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","No function","Female","850","840","45180","39280"
"In post","2021","Department for International Trade","No function","Male","1030","1030","47300","41020"
"In post","2021","Department for International Trade","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Analysis","Female","210","190","44920","42890"
"In post","2021","Department for Transport","Analysis","Male","280","270","42850","39770"
"In post","2021","Department for Transport","Commercial","Female","110","100","32720","31040"
"In post","2021","Department for Transport","Commercial","Male","100","90","34980","32020"
"In post","2021","Department for Transport","Communications","Female","180","170","36550","33350"
"In post","2021","Department for Transport","Communications","Male","120","120","39530","36410"
"In post","2021","Department for Transport","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Counter Fraud","Male","40","40","[c]","[c]"
"In post","2021","Department for Transport","Digital, Data & Technology","Female","360","340","35740","32180"
"In post","2021","Department for Transport","Digital, Data & Technology","Male","820","810","41110","39040"
"In post","2021","Department for Transport","Finance","Female","220","200","37200","32430"
"In post","2021","Department for Transport","Finance","Male","200","200","42720","41650"
"In post","2021","Department for Transport","Human Resources","Female","300","270","36590","32730"
"In post","2021","Department for Transport","Human Resources","Male","130","120","36440","32930"
"In post","2021","Department for Transport","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","No function","Female","5470","4710","27670","21590"
"In post","2021","Department for Transport","No function","Male","6500","6240","32810","27680"
"In post","2021","Department for Transport","Project Delivery","Female","290","280","46590","42470"
"In post","2021","Department for Transport","Project Delivery","Male","330","330","52670","49940"
"In post","2021","Department for Transport","Property","Female","70","70","31330","26780"
"In post","2021","Department for Transport","Property","Male","80","80","35570","31990"
"In post","2021","Department for Transport","Security","Female","40","30","[c]","[c]"
"In post","2021","Department for Transport","Security","Male","90","90","30540","25390"
"In post","2021","Department for Transport","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Debt","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Digital, Data & Technology","Male","40","40","[c]","[c]"
"In post","2021","Department for Work and Pensions","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Human Resources","Female","60","60","36990","31710"
"In post","2021","Department for Work and Pensions","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","No function","Female","1090","990","38350","35910"
"In post","2021","Department for Work and Pensions","No function","Male","1110","1080","48760","46320"
"In post","2021","Department for Work and Pensions","Project Delivery","Female","30","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Unknown","Female","59540","51290","27230","27570"
"In post","2021","Department for Work and Pensions","Unknown","Male","31410","30130","28440","27570"
"In post","2021","Department of Health and Social Care","Analysis","Female","150","130","52140","53360"
"In post","2021","Department of Health and Social Care","Analysis","Male","140","140","51970","53360"
"In post","2021","Department of Health and Social Care","Commercial","Female","130","130","45300","40650"
"In post","2021","Department of Health and Social Care","Commercial","Male","110","100","50240","40650"
"In post","2021","Department of Health and Social Care","Communications","Female","180","180","43410","36200"
"In post","2021","Department of Health and Social Care","Communications","Male","130","130","44880","40850"
"In post","2021","Department of Health and Social Care","Digital, Data & Technology","Female","150","140","43480","39400"
"In post","2021","Department of Health and Social Care","Digital, Data & Technology","Male","210","210","45750","41310"
"In post","2021","Department of Health and Social Care","Finance","Female","340","330","39190","34350"
"In post","2021","Department of Health and Social Care","Finance","Male","270","270","43850","40070"
"In post","2021","Department of Health and Social Care","Human Resources","Female","220","210","42640","36820"
"In post","2021","Department of Health and Social Care","Human Resources","Male","70","70","43870","38790"
"In post","2021","Department of Health and Social Care","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","No function","Female","5760","5240","42840","37490"
"In post","2021","Department of Health and Social Care","No function","Male","2640","2530","49110","41780"
"In post","2021","Department of Health and Social Care","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Unknown","Female","720","690","47520","41040"
"In post","2021","Department of Health and Social Care","Unknown","Male","480","470","50950","49780"
"In post","2021","ESTYN","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","No function","Female","50","50","56620","74730"
"In post","2021","ESTYN","No function","Male","40","30","[c]","[c]"
"In post","2021","ESTYN","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Counter Fraud","Male","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Digital, Data & Technology","Female","[c]","[c]","[c]","[c]"
