"Status","Year","Parent_department","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for International Trade","Unknown","Male","500","500","46570","40000"
"In post","2021","Department for Transport","Declared disabled","Female","760","630","27300","21590"
"In post","2021","Department for Transport","Declared disabled","Male","630","590","31850","26780"
"In post","2021","Department for Transport","Declared non-disabled","Female","5020","4410","30870","26470"
"In post","2021","Department for Transport","Declared non-disabled","Male","6010","5810","35920","30780"
"In post","2021","Department for Transport","Undeclared","Female","640","590","33790","30540"
"In post","2021","Department for Transport","Undeclared","Male","910","880","36700","32740"
"In post","2021","Department for Transport","Unknown","Female","860","780","27110","21590"
"In post","2021","Department for Transport","Unknown","Male","1150","1130","31210","26700"
"In post","2021","Department for Work and Pensions","Declared disabled","Female","10440","8860","27160","27570"
"In post","2021","Department for Work and Pensions","Declared disabled","Male","5110","4790","27580","27570"
"In post","2021","Department for Work and Pensions","Declared non-disabled","Female","46050","39630","27510","27570"
"In post","2021","Department for Work and Pensions","Declared non-disabled","Male","24500","23560","29530","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Female","2480","2220","27430","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Male","1720","1670","29110","27570"
"In post","2021","Department for Work and Pensions","Unknown","Female","1880","1750","28230","27570"
"In post","2021","Department for Work and Pensions","Unknown","Male","1370","1350","29770","27570"
"In post","2021","Department of Health and Social Care","Declared disabled","Female","350","320","39000","35380"
"In post","2021","Department of Health and Social Care","Declared disabled","Male","180","170","45120","37380"
"In post","2021","Department of Health and Social Care","Declared non-disabled","Female","4010","3660","42190","37450"
"In post","2021","Department of Health and Social Care","Declared non-disabled","Male","1860","1770","47290","41030"
"In post","2021","Department of Health and Social Care","Undeclared","Female","380","320","44050","40070"
"In post","2021","Department of Health and Social Care","Undeclared","Male","170","160","53570","48320"
"In post","2021","Department of Health and Social Care","Unknown","Female","2950","2790","45400","40650"
"In post","2021","Department of Health and Social Care","Unknown","Male","1860","1830","50010","44950"
"In post","2021","ESTYN","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Declared non-disabled","Female","60","50","54760","69690"
"In post","2021","ESTYN","Declared non-disabled","Male","40","40","[c]","[c]"
"In post","2021","ESTYN","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Declared disabled","Male","40","40","[c]","[c]"
"In post","2021","Food Standards Agency","Declared non-disabled","Female","280","260","40230","37910"
"In post","2021","Food Standards Agency","Declared non-disabled","Male","530","520","34930","29090"
"In post","2021","Food Standards Agency","Undeclared","Female","220","220","38340","37350"
"In post","2021","Food Standards Agency","Undeclared","Male","210","200","39040","37350"
"In post","2021","Food Standards Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","Female","420","400","42850","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Declared disabled","Male","380","380","44460","38600"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Female","2850","2760","46180","39880"
"In post","2021","Foreign, Commonwealth and Development Office","Declared non-disabled","Male","3050","3020","48780","44880"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Female","140","130","45250","39170"
"In post","2021","Foreign, Commonwealth and Development Office","Undeclared","Male","210","210","50710","46650"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Female","810","790","48000","47340"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Male","770","760","49370","51500"
"In post","2021","HM Land Registry","Declared disabled","Female","290","240","29870","27130"
"In post","2021","HM Land Registry","Declared disabled","Male","200","180","31490","27130"
"In post","2021","HM Land Registry","Declared non-disabled","Female","2270","1940","31900","27130"
"In post","2021","HM Land Registry","Declared non-disabled","Male","1420","1320","35020","33840"
"In post","2021","HM Land Registry","Undeclared","Female","120","100","31200","27130"
"In post","2021","HM Land Registry","Undeclared","Male","120","100","33670","33840"
"In post","2021","HM Land Registry","Unknown","Female","1130","1070","26560","22350"
"In post","2021","HM Land Registry","Unknown","Male","820","800","28240","22350"
"In post","2021","HM Revenue and Customs","Declared disabled","Female","3270","2830","30230","25820"
"In post","2021","HM Revenue and Customs","Declared disabled","Male","2470","2310","32080","28130"
"In post","2021","HM Revenue and Customs","Declared non-disabled","Female","20100","17800","31680","28130"
"In post","2021","HM Revenue and Customs","Declared non-disabled","Male","17310","16670","34250","31810"
"In post","2021","HM Revenue and Customs","Undeclared","Female","1440","1260","31680","28130"
"In post","2021","HM Revenue and Customs","Undeclared","Male","1840","1750","34870","31810"
"In post","2021","HM Revenue and Customs","Unknown","Female","10250","9020","27010","24120"
"In post","2021","HM Revenue and Customs","Unknown","Male","9820","9460","29320","25560"
"In post","2021","HM Treasury","Declared disabled","Female","140","130","43200","39280"
"In post","2021","HM Treasury","Declared disabled","Male","110","110","49600","52500"
"In post","2021","HM Treasury","Declared non-disabled","Female","910","870","47080","44020"
"In post","2021","HM Treasury","Declared non-disabled","Male","920","910","49770","52500"
"In post","2021","HM Treasury","Undeclared","Female","170","170","41480","36060"
"In post","2021","HM Treasury","Undeclared","Male","210","210","46750","43250"
"In post","2021","HM Treasury","Unknown","Female","80","70","48440","43100"
"In post","2021","HM Treasury","Unknown","Male","130","130","58590","55630"
"In post","2021","Home Office","Declared disabled","Female","1670","1490","30990","27370"
"In post","2021","Home Office","Declared disabled","Male","1400","1320","31720","27370"
"In post","2021","Home Office","Declared non-disabled","Female","14910","13420","31340","27240"
"In post","2021","Home Office","Declared non-disabled","Male","13580","13000","32720","28350"
"In post","2021","Home Office","Undeclared","Female","810","720","32230","28670"
"In post","2021","Home Office","Undeclared","Male","1000","950","32940","29080"
"In post","2021","Home Office","Unknown","Female","930","900","31720","27370"
"In post","2021","Home Office","Unknown","Male","1080","1070","32300","25770"
"In post","2021","Ministry of Defence","Declared disabled","Female","2410","2270","32140","28960"
"In post","2021","Ministry of Defence","Declared disabled","Male","2870","2800","34320","33040"
"In post","2021","Ministry of Defence","Declared non-disabled","Female","16020","15120","32050","28650"
"In post","2021","Ministry of Defence","Declared non-disabled","Male","22120","21760","35450","33300"
"In post","2021","Ministry of Defence","Undeclared","Female","1390","1320","32290","29290"
"In post","2021","Ministry of Defence","Undeclared","Male","2810","2750","35380","33300"
"In post","2021","Ministry of Defence","Unknown","Female","3000","2800","33260","29920"
"In post","2021","Ministry of Defence","Unknown","Male","7070","6970","35130","33200"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Female","180","170","41070","38160"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared disabled","Male","160","160","41910","36340"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Female","1260","1190","44580","40600"
"In post","2021","Ministry of Housing, Communities and Local Government","Declared non-disabled","Male","1250","1220","47430","47660"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Female","80","70","44890","42980"
"In post","2021","Ministry of Housing, Communities and Local Government","Undeclared","Male","90","90","45300","43500"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Female","180","160","43450","40010"
"In post","2021","Ministry of Housing, Communities and Local Government","Unknown","Male","210","200","44480","42870"
"In post","2021","Ministry of Justice","Declared disabled","Female","5490","5050","28490","25400"
"In post","2021","Ministry of Justice","Declared disabled","Male","3470","3300","30710","28860"
"In post","2021","Ministry of Justice","Declared non-disabled","Female","30000","27410","28950","25780"
"In post","2021","Ministry of Justice","Declared non-disabled","Male","23190","22420","31230","28960"
"In post","2021","Ministry of Justice","Undeclared","Female","3940","3550","29290","26560"
"In post","2021","Ministry of Justice","Undeclared","Male","5150","4820","32050","31650"
"In post","2021","Ministry of Justice","Unknown","Female","3990","3820","26360","22920"
"In post","2021","Ministry of Justice","Unknown","Male","3660","3600","27240","24920"
"In post","2021","National Crime Agency","Declared disabled","Female","100","100","37000","36310"
"In post","2021","National Crime Agency","Declared disabled","Male","100","100","39050","36630"
"In post","2021","National Crime Agency","Declared non-disabled","Female","740","700","40990","39840"
"In post","2021","National Crime Agency","Declared non-disabled","Male","1010","1000","44990","43510"
"In post","2021","National Crime Agency","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","Female","1600","1550","35840","34140"
"In post","2021","National Crime Agency","Unknown","Male","1920","1900","40840","38540"
"In post","2021","Northern Ireland Office","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Female","50","50","[c]","[c]"
"In post","2021","Northern Ireland Office","Declared non-disabled","Male","30","30","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Female","30","30","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","Male","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education","Declared disabled","Female","100","90","44830","51360"
"In post","2021","Office for Standards in Education","Declared disabled","Male","40","40","[c]","[c]"
"In post","2021","Office for Standards in Education","Declared non-disabled","Female","970","930","49500","51360"
"In post","2021","Office for Standards in Education","Declared non-disabled","Male","500","500","52340","51360"
"In post","2021","Office for Standards in Education","Unknown","Female","120","110","43910","51360"
"In post","2021","Office for Standards in Education","Unknown","Male","50","50","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Female","470","460","43580","37620"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Male","550","550","45950","39380"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Female","50","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Male","60","60","51220","48040"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared non-disabled","Female","100","90","41270","38000"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared non-disabled","Male","60","60","49450","45440"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","Male","30","30","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Declared non-disabled","Female","120","110","50290","49580"
"In post","2021","Office of Rail and Road","Declared non-disabled","Male","170","170","57750","58900"
"In post","2021","Office of Rail and Road","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Declared disabled","Female","40","30","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Declared disabled","Male","30","30","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Declared non-disabled","Female","190","190","41120","37300"
"In post","2021","Other Cabinet Office Agencies","Declared non-disabled","Male","170","170","49670","41700"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Female","250","240","35690","34800"
"In post","2021","Other Cabinet Office Agencies","Unknown","Male","280","280","37310","34800"
"In post","2021","Scotland Office","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Scotland Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Declared disabled","Female","900","850","35720","32140"
"In post","2021","Scottish Government","Declared disabled","Male","830","800","36310","33650"
"In post","2021","Scottish Government","Declared non-disabled","Female","5530","5160","38510","33620"
"In post","2021","Scottish Government","Declared non-disabled","Male","4300","4210","40110","35110"
"In post","2021","Scottish Government","Undeclared","Female","180","170","37530","33620"
"In post","2021","Scottish Government","Undeclared","Male","130","130","41220","36780"
"In post","2021","Scottish Government","Unknown","Female","4950","4580","33620","29350"
"In post","2021","Scottish Government","Unknown","Male","5400","5150","34560","33650"
"In post","2021","The National Archives","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","Declared non-disabled","Female","190","180","35270","33930"
"In post","2021","The National Archives","Declared non-disabled","Male","150","140","36700","34770"
"In post","2021","The National Archives","Unknown","Female","80","80","35950","31410"
"In post","2021","The National Archives","Unknown","Male","80","80","36520","33820"
"In post","2021","UK Export Finance","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Declared non-disabled","Female","150","140","49280","43000"
"In post","2021","UK Export Finance","Declared non-disabled","Male","230","230","57080","51250"
"In post","2021","UK Export Finance","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Declared disabled","Female","330","290","31190","29540"
"In post","2021","United Kingdom Statistics Authority","Declared disabled","Male","190","170","32070","30130"
"In post","2021","United Kingdom Statistics Authority","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Declared non-disabled","Female","1510","1310","32970","29540"
"In post","2021","United Kingdom Statistics Authority","Declared non-disabled","Male","1080","980","36270","33020"
"In post","2021","United Kingdom Statistics Authority","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Undeclared","Female","80","60","27770","23050"
"In post","2021","United Kingdom Statistics Authority","Undeclared","Male","50","40","30930","29540"
"In post","2021","United Kingdom Statistics Authority","Unknown","Female","1200","1070","29610","29540"
"In post","2021","United Kingdom Statistics Authority","Unknown","Male","1060","980","32150","29540"
"In post","2021","United Kingdom Statistics Authority","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Wales Office","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Declared non-disabled","Female","90","80","56760","49710"
"In post","2021","Water Services Regulation Authority","Declared non-disabled","Male","80","80","57460","52060"
"In post","2021","Water Services Regulation Authority","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Unknown","Female","30","30","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Welsh Government","Declared disabled","Female","190","170","38370","37410"
"In post","2021","Welsh Government","Declared disabled","Male","140","130","39050","37410"
"In post","2021","Welsh Government","Declared non-disabled","Female","2960","2730","40000","37410"
"In post","2021","Welsh Government","Declared non-disabled","Male","1970","1930","43220","37410"
"In post","2021","Welsh Government","Undeclared","Female","90","80","41130","37410"
"In post","2021","Welsh Government","Undeclared","Male","90","90","43350","45380"
"In post","2021","Welsh Government","Unknown","Female","190","180","37690","34490"
"In post","2021","Welsh Government","Unknown","Male","160","150","41100","32540"
"In post","2022","Attorney General's Departments","Declared disabled","Female","700","630","43030","39750"
"In post","2022","Attorney General's Departments","Declared disabled","Male","370","360","45530","48830"
"In post","2022","Attorney General's Departments","Declared non-disabled","Female","4540","4120","44190","48080"
"In post","2022","Attorney General's Departments","Declared non-disabled","Male","2440","2390","48340","50850"
"In post","2022","Attorney General's Departments","Undeclared","Female","100","90","49960","51810"
"In post","2022","Attorney General's Departments","Undeclared","Male","60","60","55260","64700"
"In post","2022","Attorney General's Departments","Unknown","Female","1340","1260","41740","38640"
"In post","2022","Attorney General's Departments","Unknown","Male","650","640","45760","48080"
"In post","2022","Cabinet Office","Declared disabled","Female","510","490","42640","38580"
"In post","2022","Cabinet Office","Declared disabled","Male","400","390","46240","40590"
"In post","2022","Cabinet Office","Declared non-disabled","Female","2790","2690","45640","40600"
"In post","2022","Cabinet Office","Declared non-disabled","Male","2420","2400","51500","49700"
"In post","2022","Cabinet Office","Undeclared","Female","160","150","42140","37300"
"In post","2022","Cabinet Office","Undeclared","Male","160","160","46780","40600"
"In post","2022","Cabinet Office","Unknown","Female","2440","2400","43490","32830"
"In post","2022","Cabinet Office","Unknown","Male","2170","2160","48220","38330"
"In post","2022","Chancellor's other departments","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Declared non-disabled","Female","150","140","53830","46180"
"In post","2022","Chancellor's other departments","Declared non-disabled","Male","190","190","64340","57120"
"In post","2022","Chancellor's other departments","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Unknown","Male","30","30","[c]","[c]"
"In post","2022","Charity Commission","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Declared non-disabled","Female","130","130","36410","29160"
"In post","2022","Charity Commission","Declared non-disabled","Male","90","90","34540","29160"
"In post","2022","Charity Commission","Unknown","Female","130","120","31630","29160"
"In post","2022","Charity Commission","Unknown","Male","80","80","33320","29160"
"In post","2022","Competition and Markets Authority","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Declared non-disabled","Female","360","340","57740","55860"
"In post","2022","Competition and Markets Authority","Declared non-disabled","Male","370","360","62990","58280"
"In post","2022","Competition and Markets Authority","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","Female","40","30","[c]","[c]"
"In post","2022","Competition and Markets Authority","Unknown","Male","40","40","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Declared disabled","Female","740","690","38930","34500"
"In post","2022","Department for Business, Energy and Industrial Strategy","Declared disabled","Male","530","520","41320","39490"
"In post","2022","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Female","4930","4630","40750","38790"
"In post","2022","Department for Business, Energy and Industrial Strategy","Declared non-disabled","Male","5050","4930","44920","41150"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","Female","210","200","42670","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","Male","270","260","45810","40220"
