"Status","Year","Function_of_post","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","LGBO","Operational Research","50","40","[c]","[c]"
"In post","2021","Analysis","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Social Research","60","60","40440","37020"
"In post","2021","Analysis","LGBO","Statistics","130","130","40940","37020"
"In post","2021","Analysis","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Economics","90","90","48660","50150"
"In post","2021","Analysis","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Operational Research","70","70","46190","42660"
"In post","2021","Analysis","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Analysis","Undeclared","Social Research","40","30","[c]","[c]"
"In post","2021","Analysis","Undeclared","Statistics","120","110","41550","38430"
"In post","2021","Analysis","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Analysis","Unknown","Economics","260","260","43290","35840"
"In post","2021","Analysis","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Intelligence Analysis","130","130","54140","53360"
"In post","2021","Analysis","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Operational Delivery","180","170","32270","29540"
"In post","2021","Analysis","Unknown","Operational Research","90","90","42640","40480"
"In post","2021","Analysis","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Policy","60","60","53760","49930"
"In post","2021","Analysis","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Science and Engineering","310","300","36020","30660"
"In post","2021","Analysis","Unknown","Social Research","160","150","38130","37020"
"In post","2021","Analysis","Unknown","Statistics","320","300","40390","37020"
"In post","2021","Analysis","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Commercial","2810","2720","40840","37540"
"In post","2021","Commercial","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Finance","60","50","34310","30850"
"In post","2021","Commercial","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Knowledge and Information Management","510","490","32790","30200"
"In post","2021","Commercial","Heterosexual / straight","Operational Delivery","300","290","43830","39000"
"In post","2021","Commercial","Heterosexual / straight","Other","50","50","42550","40840"
"In post","2021","Commercial","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Project Delivery","50","50","47630","43950"
"In post","2021","Commercial","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Science and Engineering","80","80","40190","40010"
"In post","2021","Commercial","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Unknown","310","310","70250","64500"
"In post","2021","Commercial","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Commercial","130","120","38090","34490"
"In post","2021","Commercial","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Commercial","360","340","38760","36460"
"In post","2021","Commercial","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Knowledge and Information Management","120","110","37160","33300"
"In post","2021","Commercial","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Commercial","800","770","40350","38480"
"In post","2021","Commercial","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","Commercial","Unknown","Operational Delivery","60","60","42720","36800"
"In post","2021","Commercial","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","1080","1060","70240","64500"
"In post","2021","Communications","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Communications","2180","2100","41220","37560"
"In post","2021","Communications","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Operational Delivery","950","890","30540","28130"
"In post","2021","Communications","Heterosexual / straight","Other","190","190","25360","21700"
"In post","2021","Communications","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Tax","1020","980","27910","25560"
"In post","2021","Communications","Heterosexual / straight","Unknown","380","380","39240","34550"
"In post","2021","Communications","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Communications","180","170","42070","40310"
"In post","2021","Communications","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Operational Delivery","50","50","29260","31810"
"In post","2021","Communications","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Tax","90","80","27750","25560"
"In post","2021","Communications","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","Communications","Undeclared","Communications","260","240","37910","35270"
"In post","2021","Communications","Undeclared","Operational Delivery","90","90","29680","25560"
"In post","2021","Communications","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Tax","90","80","28380","25560"
"In post","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Communications","810","790","42470","38650"
"In post","2021","Communications","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Operational Delivery","430","410","28630","25560"
"In post","2021","Communications","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Tax","950","930","26720","25560"
"In post","2021","Communications","Unknown","Unknown","340","330","36570","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","Counter Fraud","420","400","41080","38510"
"In post","2021","Counter Fraud","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Intelligence Analysis","120","120","38640","36160"
"In post","2021","Counter Fraud","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Legal","1940","1860","31410","29570"
"In post","2021","Counter Fraud","Heterosexual / straight","Operational Delivery","1830","1690","31130","29570"
"In post","2021","Counter Fraud","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Other","190","170","40360","36160"
"In post","2021","Counter Fraud","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Heterosexual / straight","Tax","1180","1110","39800","36160"
"In post","2021","Counter Fraud","Heterosexual / straight","Unknown","140","140","40750","35790"
"In post","2021","Counter Fraud","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Legal","100","100","31020","29570"
"In post","2021","Counter Fraud","LGBO","Operational Delivery","70","70","28610","25560"
"In post","2021","Counter Fraud","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","LGBO","Tax","60","60","42290","36160"
"In post","2021","Counter Fraud","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Legal","340","320","33360","31810"
"In post","2021","Counter Fraud","Undeclared","Operational Delivery","260","240","30230","28130"
"In post","2021","Counter Fraud","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Other","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Tax","210","190","43330","38630"
"In post","2021","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Counter Fraud","180","180","40950","39170"
"In post","2021","Counter Fraud","Unknown","Intelligence Analysis","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Legal","950","910","30660","29570"
"In post","2021","Counter Fraud","Unknown","Operational Delivery","720","660","27780","25560"
"In post","2021","Counter Fraud","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Other","90","80","34090","29570"
"In post","2021","Counter Fraud","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Tax","460","430","35710","31810"
"In post","2021","Counter Fraud","Unknown","Unknown","50","50","[c]","[c]"
"In post","2021","Debt","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Heterosexual / straight","Operational Delivery","1850","1630","24380","21440"
"In post","2021","Debt","Heterosexual / straight","Tax","270","260","21100","20140"
"In post","2021","Debt","Heterosexual / straight","Unknown","40","30","[c]","[c]"
"In post","2021","Debt","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","LGBO","Operational Delivery","110","100","24110","21440"
"In post","2021","Debt","LGBO","Tax","40","40","[c]","[c]"
"In post","2021","Debt","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Operational Delivery","300","250","24170","21440"
"In post","2021","Debt","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Operational Delivery","1320","1170","23270","21440"
"In post","2021","Debt","Unknown","Tax","670","650","20580","20140"
"In post","2021","Debt","Unknown","Unknown","50","50","23000","20140"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Digital, Data and Technology","6500","6310","41430","38450"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Knowledge and Information Management","110","100","37610","35510"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Operational Delivery","300","290","36200","31810"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Project Delivery","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Security","40","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Tax","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Unknown","830","810","50360","54700"
"In post","2021","Digital, Data & Technology","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Digital, Data and Technology","400","390","40460","36800"
"In post","2021","Digital, Data & Technology","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Unknown","90","90","49030","54700"
"In post","2021","Digital, Data & Technology","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Digital, Data and Technology","1060","1020","39890","37940"
"In post","2021","Digital, Data & Technology","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Unknown","100","100","52280","54700"
"In post","2021","Digital, Data & Technology","Unknown","Digital, Data and Technology","2900","2830","40300","37100"
"In post","2021","Digital, Data & Technology","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Operational Delivery","120","110","32330","31810"
"In post","2021","Digital, Data & Technology","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Science and Engineering","530","490","42260","39750"
"In post","2021","Digital, Data & Technology","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","310","310","44350","40410"
"In post","2021","Finance","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Corporate Finance","90","90","47570","46080"
"In post","2021","Finance","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Economics","40","40","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Finance","5360","5100","40390","36740"
"In post","2021","Finance","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Operational Delivery","460","430","30750","28130"
"In post","2021","Finance","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Other","130","120","44990","35910"
"In post","2021","Finance","Heterosexual / straight","Policy","30","30","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Project Delivery","60","60","43790","39940"
"In post","2021","Finance","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Heterosexual / straight","Unknown","180","170","47030","40600"
"In post","2021","Finance","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Finance","200","200","42540","38630"
"In post","2021","Finance","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Finance","LGBO","Statistics","[c]","[c]","[c]","[c]"
