"Status","Year","Ethnicity","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","South East (England)","Digital, Data & Technology","150","150","38240","36030"
"In post","2021","Unknown","South East (England)","Finance","70","60","33470","31200"
"In post","2021","Unknown","South East (England)","Grants Management","50","50","26500","21050"
"In post","2021","Unknown","South East (England)","Human Resources","40","40","[c]","[c]"
"In post","2021","Unknown","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South East (England)","Legal","90","80","36420","30110"
"In post","2021","Unknown","South East (England)","No function","2160","1980","27860","26680"
"In post","2021","Unknown","South East (England)","Project Delivery","120","120","37780","35830"
"In post","2021","Unknown","South East (England)","Property","80","70","32180","26530"
"In post","2021","Unknown","South East (England)","Security","280","280","31520","28750"
"In post","2021","Unknown","South East (England)","Unknown","850","800","29030","27570"
"In post","2021","Unknown","South West (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South West (England)","Commercial","160","160","55210","49700"
"In post","2021","Unknown","South West (England)","Communications","40","30","[c]","[c]"
"In post","2021","Unknown","South West (England)","Counter Fraud","70","60","32520","28130"
"In post","2021","Unknown","South West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South West (England)","Digital, Data & Technology","360","350","36990","35780"
"In post","2021","Unknown","South West (England)","Finance","70","70","36570","32730"
"In post","2021","Unknown","South West (England)","Grants Management","50","50","[c]","[c]"
"In post","2021","Unknown","South West (England)","Human Resources","70","60","31060","26670"
"In post","2021","Unknown","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South West (England)","Legal","70","60","46210","51910"
"In post","2021","Unknown","South West (England)","No function","1460","1390","28850","26320"
"In post","2021","Unknown","South West (England)","Project Delivery","720","700","35380","33000"
"In post","2021","Unknown","South West (England)","Property","200","180","27990","24500"
"In post","2021","Unknown","South West (England)","Security","130","130","25710","20920"
"In post","2021","Unknown","South West (England)","Unknown","770","680","27640","27570"
"In post","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","420","420","33560","31420"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","1960","1950","37480","34160"
"In post","2021","Unknown","Wales","Analysis","210","210","33040","29540"
"In post","2021","Unknown","Wales","Commercial","40","40","[c]","[c]"
"In post","2021","Unknown","Wales","Communications","250","240","27890","25560"
"In post","2021","Unknown","Wales","Counter Fraud","60","50","30350","30630"
"In post","2021","Unknown","Wales","Debt","110","100","21700","20140"
"In post","2021","Unknown","Wales","Digital, Data & Technology","370","360","37750","34750"
"In post","2021","Unknown","Wales","Finance","50","40","[c]","[c]"
"In post","2021","Unknown","Wales","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales","Human Resources","60","60","36150","30430"
"In post","2021","Unknown","Wales","Legal","70","70","45070","50120"
"In post","2021","Unknown","Wales","No function","2500","2320","25380","21590"
"In post","2021","Unknown","Wales","Project Delivery","70","70","37080","36070"
"In post","2021","Unknown","Wales","Property","80","80","29070","25860"
"In post","2021","Unknown","Wales","Security","40","30","[c]","[c]"
"In post","2021","Unknown","Wales","Unknown","570","530","29120","27570"
"In post","2021","Unknown","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","West Midlands (England)","Commercial","60","60","48010","46200"
"In post","2021","Unknown","West Midlands (England)","Communications","120","110","29820","25560"
"In post","2021","Unknown","West Midlands (England)","Counter Fraud","120","110","30870","28130"
"In post","2021","Unknown","West Midlands (England)","Debt","170","160","20710","20140"
"In post","2021","Unknown","West Midlands (England)","Digital, Data & Technology","160","160","40120","36780"
"In post","2021","Unknown","West Midlands (England)","Finance","50","50","[c]","[c]"
"In post","2021","Unknown","West Midlands (England)","Grants Management","90","80","24870","21050"
"In post","2021","Unknown","West Midlands (England)","Human Resources","30","30","[c]","[c]"
"In post","2021","Unknown","West Midlands (England)","Legal","90","80","39540","34480"
"In post","2021","Unknown","West Midlands (England)","No function","1900","1800","26670","23970"
"In post","2021","Unknown","West Midlands (England)","Project Delivery","100","90","37980","36120"
"In post","2021","Unknown","West Midlands (England)","Property","80","70","34250","31100"
"In post","2021","Unknown","West Midlands (England)","Security","50","50","[c]","[c]"
"In post","2021","Unknown","West Midlands (England)","Unknown","600","550","27040","27570"
"In post","2021","Unknown","Yorkshire and The Humber","Analysis","40","30","[c]","[c]"
"In post","2021","Unknown","Yorkshire and The Humber","Commercial","160","160","52840","50550"
"In post","2021","Unknown","Yorkshire and The Humber","Communications","290","280","29030","25560"
"In post","2021","Unknown","Yorkshire and The Humber","Counter Fraud","130","130","30230","25560"
"In post","2021","Unknown","Yorkshire and The Humber","Debt","140","140","20840","20140"
"In post","2021","Unknown","Yorkshire and The Humber","Digital, Data & Technology","160","160","39850","36820"
"In post","2021","Unknown","Yorkshire and The Humber","Finance","180","170","31250","28610"
"In post","2021","Unknown","Yorkshire and The Humber","Grants Management","100","100","23650","21050"
"In post","2021","Unknown","Yorkshire and The Humber","Human Resources","40","40","[c]","[c]"
"In post","2021","Unknown","Yorkshire and The Humber","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Yorkshire and The Humber","Legal","140","130","37090","28430"
"In post","2021","Unknown","Yorkshire and The Humber","No function","2120","2030","27920","24920"
"In post","2021","Unknown","Yorkshire and The Humber","Project Delivery","80","80","36740","34600"
"In post","2021","Unknown","Yorkshire and The Humber","Property","140","130","30180","26210"
"In post","2021","Unknown","Yorkshire and The Humber","Security","240","230","28830","26670"
"In post","2021","Unknown","Yorkshire and The Humber","Unknown","880","820","28630","27570"
"In post","2021","White","East Midlands (England)","Analysis","40","40","[c]","[c]"
"In post","2021","White","East Midlands (England)","Commercial","130","120","41390","38550"
"In post","2021","White","East Midlands (England)","Communications","250","240","31560","27570"
"In post","2021","White","East Midlands (England)","Counter Fraud","360","340","34720","31810"
"In post","2021","White","East Midlands (England)","Debt","100","90","22670","20140"
"In post","2021","White","East Midlands (England)","Digital, Data & Technology","200","200","37520","35030"
"In post","2021","White","East Midlands (England)","Finance","170","160","35540","31810"
"In post","2021","White","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","White","East Midlands (England)","Human Resources","360","340","37720","33300"
"In post","2021","White","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","East Midlands (England)","Legal","410","370","38830","34480"
"In post","2021","White","East Midlands (England)","No function","7830","7270","30020","27130"
"In post","2021","White","East Midlands (England)","Project Delivery","530","510","38060","35630"
"In post","2021","White","East Midlands (England)","Property","350","330","34610","32100"
"In post","2021","White","East Midlands (England)","Security","130","130","29060","25680"
"In post","2021","White","East Midlands (England)","Unknown","4200","3780","26390","27570"
"In post","2021","White","East of England","Analysis","350","330","35040","30660"
"In post","2021","White","East of England","Commercial","300","290","39160","35900"
"In post","2021","White","East of England","Communications","80","70","33120","30670"
"In post","2021","White","East of England","Counter Fraud","320","290","28880","26980"
"In post","2021","White","East of England","Debt","100","80","24740","21440"
"In post","2021","White","East of England","Digital, Data & Technology","380","360","36640","33900"
"In post","2021","White","East of England","Finance","340","320","36020","31810"
"In post","2021","White","East of England","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","White","East of England","Human Resources","170","160","35240","31780"
"In post","2021","White","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","East of England","Legal","430","390","41010","36240"
"In post","2021","White","East of England","No function","6610","6150","30410","28200"
"In post","2021","White","East of England","Project Delivery","690","660","38160","35000"
"In post","2021","White","East of England","Property","420","400","32780","33280"
"In post","2021","White","East of England","Security","430","420","33740","31810"
"In post","2021","White","East of England","Unknown","6490","5930","28480","27570"
"In post","2021","White","London","Analysis","2140","2070","50890","47880"
"In post","2021","White","London","Commercial","840","820","56090","51730"
"In post","2021","White","London","Communications","1380","1340","46680","42390"
"In post","2021","White","London","Counter Fraud","1160","1120","41440","36160"
"In post","2021","White","London","Debt","150","130","31220","25630"
"In post","2021","White","London","Digital, Data & Technology","1790","1750","51380","52960"
"In post","2021","White","London","Finance","1310","1270","53260","53170"
"In post","2021","White","London","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","White","London","Human Resources","1660","1600","49860","46200"
"In post","2021","White","London","Internal Audit","110","110","58370","55040"
"In post","2021","White","London","Legal","2970","2770","55540","55000"
"In post","2021","White","London","No function","23170","22360","45890","40220"
"In post","2021","White","London","Project Delivery","2920","2820","55800","55060"
"In post","2021","White","London","Property","690","670","47590","44590"
"In post","2021","White","London","Security","660","650","43160","39290"
"In post","2021","White","London","Unknown","11950","11350","43080","36650"
"In post","2021","White","North East (England)","Analysis","50","50","42460","42220"
"In post","2021","White","North East (England)","Commercial","90","80","44620","41100"
"In post","2021","White","North East (England)","Communications","1060","990","28510","25560"
"In post","2021","White","North East (England)","Counter Fraud","420","400","32420","31810"
"In post","2021","White","North East (England)","Debt","280","250","22580","20140"
"In post","2021","White","North East (England)","Digital, Data & Technology","560","530","39810","38630"
"In post","2021","White","North East (England)","Finance","340","320","37300","35000"
"In post","2021","White","North East (England)","Grants Management","160","140","25680","24920"
"In post","2021","White","North East (England)","Human Resources","510","470","29190","25560"
"In post","2021","White","North East (England)","Internal Audit","40","40","[c]","[c]"
"In post","2021","White","North East (England)","Legal","430","390","38910","37420"
"In post","2021","White","North East (England)","No function","9570","8460","27300","24250"
"In post","2021","White","North East (England)","Project Delivery","880","830","40170","38630"
"In post","2021","White","North East (England)","Property","350","330","31120","26500"
"In post","2021","White","North East (England)","Security","80","80","32500","31410"
"In post","2021","White","North East (England)","Unknown","9540","8420","26810","26120"
"In post","2021","White","North West (England)","Analysis","260","250","39380","38630"
"In post","2021","White","North West (England)","Commercial","490","470","40190","35760"
"In post","2021","White","North West (England)","Communications","340","320","33180","31810"
"In post","2021","White","North West (England)","Counter Fraud","1180","1100","33860","31810"
"In post","2021","White","North West (England)","Debt","250","230","24240","21440"
"In post","2021","White","North West (England)","Digital, Data & Technology","630","610","39070","36520"
"In post","2021","White","North West (England)","Finance","530","510","37950","33530"
"In post","2021","White","North West (England)","Grants Management","480","410","24610","21050"
"In post","2021","White","North West (England)","Human Resources","1040","980","33870","31180"
"In post","2021","White","North West (England)","Internal Audit","60","50","44810","42100"
"In post","2021","White","North West (England)","Legal","1110","1030","39910","37070"
"In post","2021","White","North West (England)","No function","15810","14570","29980","26810"
"In post","2021","White","North West (England)","Project Delivery","1570","1500","39070","37870"
"In post","2021","White","North West (England)","Property","390","360","35280","32100"
"In post","2021","White","North West (England)","Security","220","220","29320","25000"
"In post","2021","White","North West (England)","Unknown","21130","19170","27150","27290"
"In post","2021","White","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","White","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","White","Northern Ireland","Counter Fraud","320","300","31530","31810"
"In post","2021","White","Northern Ireland","Debt","[c]","[c]","[c]","[c]"
"In post","2021","White","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","White","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","White","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","Northern Ireland","No function","1250","1150","30470","28130"
"In post","2021","White","Northern Ireland","Project Delivery","70","60","37500","34050"
"In post","2021","White","Northern Ireland","Property","100","100","28850","27420"
"In post","2021","White","Northern Ireland","Security","350","350","21380","20310"
"In post","2021","White","Northern Ireland","Unknown","830","760","25350","22330"
"In post","2021","White","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Overseas","Commercial","30","30","[c]","[c]"
"In post","2021","White","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","White","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","White","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","White","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","Overseas","No function","1350","1350","53600","54470"
"In post","2021","White","Overseas","Project Delivery","410","410","55680","55620"
"In post","2021","White","Overseas","Property","160","160","39670","39260"
"In post","2021","White","Overseas","Security","100","100","40380","34450"
"In post","2021","White","Overseas","Unknown","500","490","42060","37640"
"In post","2021","White","Scotland","Analysis","50","50","[c]","[c]"
"In post","2021","White","Scotland","Commercial","250","240","36500","33930"
"In post","2021","White","Scotland","Communications","180","170","32820","31810"
"In post","2021","White","Scotland","Counter Fraud","660","600","30740","28130"
"In post","2021","White","Scotland","Debt","880","780","22500","20140"
"In post","2021","White","Scotland","Digital, Data & Technology","420","410","38690","35660"
"In post","2021","White","Scotland","Finance","690","600","29220","25560"
"In post","2021","White","Scotland","Human Resources","890","840","29450","25560"
"In post","2021","White","Scotland","Internal Audit","50","50","[c]","[c]"
"In post","2021","White","Scotland","Legal","740","690","50170","52490"
"In post","2021","White","Scotland","No function","7750","7140","30630","28130"
"In post","2021","White","Scotland","Project Delivery","1460","1400","37040","33930"
"In post","2021","White","Scotland","Property","1050","1020","31040","29140"
"In post","2021","White","Scotland","Security","1110","1080","30620","26750"
"In post","2021","White","Scotland","Unknown","18500","17090","33410","27570"
"In post","2021","White","South East (England)","Analysis","700","660","39550","37320"
"In post","2021","White","South East (England)","Commercial","500","480","36750","33630"
"In post","2021","White","South East (England)","Communications","250","240","32910","31270"
"In post","2021","White","South East (England)","Counter Fraud","300","280","31220","28130"
"In post","2021","White","South East (England)","Debt","70","60","28240","28130"
"In post","2021","White","South East (England)","Digital, Data & Technology","640","620","38290","35300"
"In post","2021","White","South East (England)","Finance","820","780","36520","33300"
"In post","2021","White","South East (England)","Grants Management","90","90","31240","26520"
"In post","2021","White","South East (England)","Human Resources","500","470","35540","31180"
"In post","2021","White","South East (England)","Internal Audit","60","50","35850","33300"
"In post","2021","White","South East (England)","Legal","690","620","43810","42950"
"In post","2021","White","South East (England)","No function","12150","11160","31160","29540"
"In post","2021","White","South East (England)","Project Delivery","1920","1860","37920","35300"
"In post","2021","White","South East (England)","Property","860","830","35060","33300"
"In post","2021","White","South East (England)","Security","1420","1400","31970","28750"
"In post","2021","White","South East (England)","Unknown","11100","10200","28310","27570"
"In post","2021","White","South West (England)","Analysis","390","370","37220","35720"
"In post","2021","White","South West (England)","Commercial","1060","1020","40480","38300"
"In post","2021","White","South West (England)","Communications","290","270","35680","33300"
"In post","2021","White","South West (England)","Counter Fraud","280","260","35400","31810"
"In post","2021","White","South West (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","White","South West (England)","Digital, Data & Technology","1730","1660","39620","38450"
"In post","2021","White","South West (England)","Finance","1030","980","39810","35880"
"In post","2021","White","South West (England)","Grants Management","160","150","26650","25880"
"In post","2021","White","South West (England)","Human Resources","940","870","36780","32980"
"In post","2021","White","South West (England)","Internal Audit","80","80","44750","42510"
"In post","2021","White","South West (England)","Legal","450","420","42570","41980"
"In post","2021","White","South West (England)","No function","10430","9690","33450","29750"
"In post","2021","White","South West (England)","Project Delivery","9170","8840","38970","37320"
"In post","2021","White","South West (England)","Property","1050","1010","33820","33180"
"In post","2021","White","South West (England)","Security","900","880","27430","20920"
"In post","2021","White","South West (England)","Unknown","8410","7620","28290","27570"
"In post","2021","White","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","No function","140","130","43310","43670"
"In post","2021","White","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Unknown","Security","30","30","[c]","[c]"
"In post","2021","White","Unknown","Unknown","700","660","30680","27570"
"In post","2021","White","Wales","Analysis","800","760","37140","36030"
"In post","2021","White","Wales","Commercial","300","280","34750","31150"
"In post","2021","White","Wales","Communications","630","600","30270","25560"
"In post","2021","White","Wales","Counter Fraud","310","280","31890","31810"
"In post","2021","White","Wales","Debt","200","190","24040","21410"
"In post","2021","White","Wales","Digital, Data & Technology","1320","1290","40250","38000"
"In post","2021","White","Wales","Finance","310","290","34580","30730"
"In post","2021","White","Wales","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","White","Wales","Human Resources","560","530","34990","31380"
"In post","2021","White","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Wales","Legal","450","410","41240","38970"
"In post","2021","White","Wales","No function","11920","10700","27220","22850"
"In post","2021","White","Wales","Project Delivery","690","660","35140","30950"
"In post","2021","White","Wales","Property","380","360","33330","31100"
"In post","2021","White","Wales","Security","260","250","27570","25390"
"In post","2021","White","Wales","Unknown","11050","10170","33090","27570"
"In post","2021","White","West Midlands (England)","Analysis","40","30","[c]","[c]"
"In post","2021","White","West Midlands (England)","Commercial","220","220","38950","34800"
"In post","2021","White","West Midlands (England)","Communications","160","160","36040","31940"
"In post","2021","White","West Midlands (England)","Counter Fraud","400","370","33420","31810"
"In post","2021","White","West Midlands (England)","Debt","160","140","25160","21440"
"In post","2021","White","West Midlands (England)","Digital, Data & Technology","630","610","41190","38630"
"In post","2021","White","West Midlands (England)","Finance","290","270","41730","38630"
"In post","2021","White","West Midlands (England)","Grants Management","50","40","25650","25880"
"In post","2021","White","West Midlands (England)","Human Resources","260","250","39320","36770"
"In post","2021","White","West Midlands (England)","Internal Audit","40","40","[c]","[c]"
"In post","2021","White","West Midlands (England)","Legal","480","450","41660","39400"
"In post","2021","White","West Midlands (England)","No function","8880","8320","31180","27230"
"In post","2021","White","West Midlands (England)","Project Delivery","770","750","36860","33300"
"In post","2021","White","West Midlands (England)","Property","390","370","35070","33250"
"In post","2021","White","West Midlands (England)","Security","280","270","30170","26960"
"In post","2021","White","West Midlands (England)","Unknown","6590","5850","27090","27570"
"In post","2021","White","Yorkshire and The Humber","Analysis","280","260","41960","41990"
"In post","2021","White","Yorkshire and The Humber","Commercial","270","260","42020","37940"
"In post","2021","White","Yorkshire and The Humber","Communications","250","240","32960","30470"
"In post","2021","White","Yorkshire and The Humber","Counter Fraud","600","550","33300","31810"
"In post","2021","White","Yorkshire and The Humber","Debt","190","160","26310","25560"
"In post","2021","White","Yorkshire and The Humber","Digital, Data & Technology","560","540","40060","36740"
"In post","2021","White","Yorkshire and The Humber","Finance","580","530","35050","29730"
"In post","2021","White","Yorkshire and The Humber","Grants Management","80","80","29740","26520"
"In post","2021","White","Yorkshire and The Humber","Human Resources","380","360","40120","37910"
"In post","2021","White","Yorkshire and The Humber","Internal Audit","50","40","[c]","[c]"
"In post","2021","White","Yorkshire and The Humber","Legal","790","720","42570","43460"
"In post","2021","White","Yorkshire and The Humber","No function","10130","9360","31580","28800"
"In post","2021","White","Yorkshire and The Humber","Project Delivery","510","490","39240","36460"
"In post","2021","White","Yorkshire and The Humber","Property","550","510","34210","32110"
"In post","2021","White","Yorkshire and The Humber","Security","580","560","31950","33200"
"In post","2021","White","Yorkshire and The Humber","Unknown","11070","9980","29220","27570"
"In post","2022","Asian","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Communications","90","90","28850","26820"
"In post","2022","Asian","East Midlands (England)","Counter Fraud","70","70","32390","32530"
"In post","2022","Asian","East Midlands (England)","Debt","50","50","24310","25580"
"In post","2022","Asian","East Midlands (England)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Finance","40","40","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Human Resources","50","50","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Legal","70","60","36670","33310"
"In post","2022","Asian","East Midlands (England)","No function","1430","1280","26880","25710"
"In post","2022","Asian","East Midlands (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Midlands (England)","Unknown","50","40","[c]","[c]"
"In post","2022","Asian","East of England","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2022","Asian","East of England","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Legal","40","40","[c]","[c]"
"In post","2022","Asian","East of England","No function","660","610","31120","28140"
"In post","2022","Asian","East of England","Project Delivery","30","30","[c]","[c]"
"In post","2022","Asian","East of England","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East of England","Unknown","290","250","27420","24880"
"In post","2022","Asian","London","Analysis","440","430","45670","42010"
"In post","2022","Asian","London","Commercial","160","160","47290","40860"
"In post","2022","Asian","London","Communications","150","150","43390","40450"
"In post","2022","Asian","London","Counter Fraud","650","590","32580","31060"
"In post","2022","Asian","London","Debt","120","100","28440","26400"
"In post","2022","Asian","London","Digital, Data & Technology","620","620","45840","41480"
"In post","2022","Asian","London","Finance","540","530","44110","40940"
"In post","2022","Asian","London","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","Human Resources","350","340","40700","36650"
"In post","2022","Asian","London","Internal Audit","50","50","48500","49750"
"In post","2022","Asian","London","Legal","700","650","46420","50500"
"In post","2022","Asian","London","No function","6740","6380","37010","31880"
"In post","2022","Asian","London","Project Delivery","550","530","46280","42050"
"In post","2022","Asian","London","Property","250","240","36230","32320"
"In post","2022","Asian","London","Security","170","160","37980","34590"
"In post","2022","Asian","London","Unknown","3310","3110","34760","29450"
"In post","2022","Asian","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Communications","40","40","[c]","[c]"
"In post","2022","Asian","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Digital, Data & Technology","80","80","42730","40520"
"In post","2022","Asian","North East (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","No function","310","280","26400","22080"
"In post","2022","Asian","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North East (England)","Unknown","50","40","[c]","[c]"
"In post","2022","Asian","North West (England)","Analysis","40","40","[c]","[c]"
"In post","2022","Asian","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North West (England)","Communications","110","110","30340","26820"
"In post","2022","Asian","North West (England)","Counter Fraud","120","120","30940","27570"
"In post","2022","Asian","North West (England)","Debt","40","40","[c]","[c]"
"In post","2022","Asian","North West (England)","Digital, Data & Technology","150","150","39460","36000"
"In post","2022","Asian","North West (England)","Finance","80","80","36340","32000"
"In post","2022","Asian","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North West (England)","Human Resources","80","80","32350","27630"
"In post","2022","Asian","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North West (England)","Legal","90","80","39030","33370"
"In post","2022","Asian","North West (England)","No function","2140","1960","26850","25120"
"In post","2022","Asian","North West (England)","Project Delivery","70","70","39110","35840"
"In post","2022","Asian","North West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","North West (England)","Unknown","250","240","27910","24920"
"In post","2022","Asian","Northern Ireland","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","No function","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
