"Status","Year","Ethnicity","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Black","G6/G7","Unknown","140","140","57470","55000"
"In post","2021","Black","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Declared non-disabled","70","70","90310","82100"
"In post","2021","Black","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","SEO/HEO","Declared disabled","380","370","37580","36620"
"In post","2021","Black","SEO/HEO","Declared non-disabled","3030","2980","37300","36230"
"In post","2021","Black","SEO/HEO","Undeclared","170","160","37270","36160"
"In post","2021","Black","SEO/HEO","Unknown","330","320","37410","37570"
"In post","2021","Black","Unknown","Declared disabled","170","170","32410","30210"
"In post","2021","Black","Unknown","Declared non-disabled","610","590","30860","28200"
"In post","2021","Black","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Declared non-disabled","210","200","22130","21050"
"In post","2021","Chinese","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Declared non-disabled","240","220","27730","27570"
"In post","2021","Chinese","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","Declared non-disabled","200","200","58160","55820"
"In post","2021","Chinese","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","G6/G7","Unknown","40","30","[c]","[c]"
"In post","2021","Chinese","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Declared non-disabled","320","310","37660","36650"
"In post","2021","Chinese","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","SEO/HEO","Unknown","40","40","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","AA/AO","Declared disabled","290","270","22370","21010"
"In post","2021","Mixed","AA/AO","Declared non-disabled","1390","1290","23180","21430"
"In post","2021","Mixed","AA/AO","Undeclared","130","120","24460","22680"
"In post","2021","Mixed","AA/AO","Unknown","120","110","22360","21950"
"In post","2021","Mixed","EO","Declared disabled","370","340","28200","27570"
"In post","2021","Mixed","EO","Declared non-disabled","1600","1520","28020","27570"
"In post","2021","Mixed","EO","Undeclared","100","100","28460","27570"
"In post","2021","Mixed","EO","Unknown","140","140","28720","27570"
"In post","2021","Mixed","G6/G7","Declared disabled","140","130","58700","57330"
"In post","2021","Mixed","G6/G7","Declared non-disabled","970","940","58400","56710"
"In post","2021","Mixed","G6/G7","Undeclared","60","60","58440","56480"
"In post","2021","Mixed","G6/G7","Unknown","130","130","56630","54290"
"In post","2021","Mixed","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","Declared non-disabled","110","110","84990","79800"
"In post","2021","Mixed","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","SEO/HEO","Declared disabled","280","270","36610","35630"
"In post","2021","Mixed","SEO/HEO","Declared non-disabled","1710","1670","36790","36160"
"In post","2021","Mixed","SEO/HEO","Undeclared","110","100","37490","36740"
"In post","2021","Mixed","SEO/HEO","Unknown","210","200","36760","37000"
"In post","2021","Mixed","Unknown","Declared disabled","100","100","32860","32100"
"In post","2021","Mixed","Unknown","Declared non-disabled","270","250","30090","30210"
"In post","2021","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","Declared disabled","70","70","22350","21010"
"In post","2021","Other ethnicity","AA/AO","Declared non-disabled","420","390","23410","21590"
"In post","2021","Other ethnicity","AA/AO","Undeclared","50","40","[c]","[c]"
"In post","2021","Other ethnicity","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2021","Other ethnicity","EO","Declared disabled","120","110","28500","27570"
"In post","2021","Other ethnicity","EO","Declared non-disabled","530","500","28290","27580"
"In post","2021","Other ethnicity","EO","Undeclared","40","40","[c]","[c]"
"In post","2021","Other ethnicity","EO","Unknown","50","50","[c]","[c]"
"In post","2021","Other ethnicity","G6/G7","Declared disabled","50","50","59040","54700"
"In post","2021","Other ethnicity","G6/G7","Declared non-disabled","300","280","59460","57810"
"In post","2021","Other ethnicity","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","Other ethnicity","G6/G7","Unknown","60","50","61670","57730"
"In post","2021","Other ethnicity","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","SCS","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Other ethnicity","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","SEO/HEO","Declared disabled","100","90","37520","37000"
"In post","2021","Other ethnicity","SEO/HEO","Declared non-disabled","490","470","38010","36720"
"In post","2021","Other ethnicity","SEO/HEO","Undeclared","40","40","[c]","[c]"
"In post","2021","Other ethnicity","SEO/HEO","Unknown","80","80","38560","38160"
"In post","2021","Other ethnicity","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Declared disabled","600","530","22270","21010"
"In post","2021","Undeclared","AA/AO","Declared non-disabled","2440","2150","22230","21010"
"In post","2021","Undeclared","AA/AO","Undeclared","1550","1440","22970","21440"
"In post","2021","Undeclared","AA/AO","Unknown","420","380","23460","21590"
"In post","2021","Undeclared","EO","Declared disabled","690","620","28240","27570"
"In post","2021","Undeclared","EO","Declared non-disabled","2860","2590","28150","27570"
"In post","2021","Undeclared","EO","Undeclared","1780","1660","27870","27500"
"In post","2021","Undeclared","EO","Unknown","540","510","30350","30650"
"In post","2021","Undeclared","G6/G7","Declared disabled","170","160","57830","56450"
"In post","2021","Undeclared","G6/G7","Declared non-disabled","1020","980","59640","57760"
"In post","2021","Undeclared","G6/G7","Undeclared","1210","1180","58180","56890"
"In post","2021","Undeclared","G6/G7","Unknown","440","430","57950","55930"
"In post","2021","Undeclared","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Declared non-disabled","60","60","89660","82360"
"In post","2021","Undeclared","SCS","Undeclared","80","80","87800","80930"
"In post","2021","Undeclared","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Declared disabled","470","450","37100","36340"
"In post","2021","Undeclared","SEO/HEO","Declared non-disabled","2330","2230","37490","36650"
"In post","2021","Undeclared","SEO/HEO","Undeclared","2560","2460","37160","36480"
"In post","2021","Undeclared","SEO/HEO","Unknown","740","700","37870","37470"
"In post","2021","Undeclared","Unknown","Declared disabled","110","100","34370","33360"
"In post","2021","Undeclared","Unknown","Declared non-disabled","230","210","34910","34340"
"In post","2021","Undeclared","Unknown","Undeclared","190","180","35570","33110"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Declared disabled","420","360","22240","21140"
"In post","2021","Unknown","AA/AO","Declared non-disabled","3320","2920","22210","21010"
"In post","2021","Unknown","AA/AO","Undeclared","640","560","25200","22850"
"In post","2021","Unknown","AA/AO","Unknown","19300","18040","22080","20920"
"In post","2021","Unknown","EO","Declared disabled","380","350","29190","27570"
"In post","2021","Unknown","EO","Declared non-disabled","2590","2390","27890","27570"
"In post","2021","Unknown","EO","Undeclared","400","380","28580","28130"
"In post","2021","Unknown","EO","Unknown","11380","10950","27440","27130"
"In post","2021","Unknown","G6/G7","Declared disabled","110","100","58470","57410"
"In post","2021","Unknown","G6/G7","Declared non-disabled","1050","1010","58710","56930"
"In post","2021","Unknown","G6/G7","Undeclared","310","300","58720","54960"
"In post","2021","Unknown","G6/G7","Unknown","6470","6280","58720","56120"
"In post","2021","Unknown","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Declared non-disabled","120","110","96190","91970"
"In post","2021","Unknown","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Unknown","1010","990","90260","78740"
"In post","2021","Unknown","SEO/HEO","Declared disabled","300","280","37360","36320"
"In post","2021","Unknown","SEO/HEO","Declared non-disabled","2120","2000","37520","36570"
"In post","2021","Unknown","SEO/HEO","Undeclared","630","610","37640","35980"
"In post","2021","Unknown","SEO/HEO","Unknown","13420","13100","35270","33840"
"In post","2021","Unknown","Unknown","Declared disabled","40","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Declared non-disabled","410","370","33400","33890"
"In post","2021","Unknown","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2620","2550","34160","32400"
"In post","2021","White","AA/AO","Declared disabled","12880","11280","21860","21010"
"In post","2021","White","AA/AO","Declared non-disabled","71260","63940","22350","21010"
"In post","2021","White","AA/AO","Undeclared","6550","5850","24610","21590"
"In post","2021","White","AA/AO","Unknown","6420","5770","22600","21440"
"In post","2021","White","EO","Declared disabled","12420","11210","27560","27570"
"In post","2021","White","EO","Declared non-disabled","67530","62070","27410","27570"
"In post","2021","White","EO","Undeclared","4200","3930","28540","27570"
"In post","2021","White","EO","Unknown","5660","5370","29000","28130"
"In post","2021","White","G6/G7","Declared disabled","3810","3660","58350","56440"
"In post","2021","White","G6/G7","Declared non-disabled","36360","34980","58920","57390"
"In post","2021","White","G6/G7","Undeclared","1370","1330","59070","57130"
"In post","2021","White","G6/G7","Unknown","3830","3670","58800","56350"
"In post","2021","White","SCS","Declared disabled","370","360","89110","81000"
"In post","2021","White","SCS","Declared non-disabled","4400","4250","90030","82390"
"In post","2021","White","SCS","Undeclared","160","150","89930","82080"
"In post","2021","White","SCS","Unknown","400","380","96860","87940"
"In post","2021","White","SEO/HEO","Declared disabled","9640","9160","36480","35310"
"In post","2021","White","SEO/HEO","Declared non-disabled","70430","67410","36820","35980"
"In post","2021","White","SEO/HEO","Undeclared","4000","3850","37530","36710"
"In post","2021","White","SEO/HEO","Unknown","7700","7370","37830","37360"
"In post","2021","White","Unknown","Declared disabled","1940","1800","30990","30210"
"In post","2021","White","Unknown","Declared non-disabled","8450","7890","32100","30680"
"In post","2021","White","Unknown","Undeclared","410","380","32240","31920"
"In post","2021","White","Unknown","Unknown","210","200","40900","38180"
"In post","2022","Asian","AA/AO","Declared disabled","810","690","22700","21410"
"In post","2022","Asian","AA/AO","Declared non-disabled","6810","6030","22610","21260"
"In post","2022","Asian","AA/AO","Undeclared","380","330","23060","21380"
"In post","2022","Asian","AA/AO","Unknown","520","470","22930","22020"
"In post","2022","Asian","EO","Declared disabled","1110","1010","28600","27570"
"In post","2022","Asian","EO","Declared non-disabled","8560","8030","28310","27570"
"In post","2022","Asian","EO","Undeclared","420","390","28630","27570"
"In post","2022","Asian","EO","Unknown","730","700","28240","27270"
"In post","2022","Asian","G6/G7","Declared disabled","290","280","58820","57440"
"In post","2022","Asian","G6/G7","Declared non-disabled","2910","2830","58970","57430"
"In post","2022","Asian","G6/G7","Undeclared","160","160","58870","57440"
"In post","2022","Asian","G6/G7","Unknown","480","460","58000","55210"
"In post","2022","Asian","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS","Declared non-disabled","250","240","88760","81970"
"In post","2022","Asian","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","SCS","Unknown","60","50","104870","99750"
"In post","2022","Asian","SEO/HEO","Declared disabled","790","760","37470","36650"
"In post","2022","Asian","SEO/HEO","Declared non-disabled","7170","6990","37310","36500"
"In post","2022","Asian","SEO/HEO","Undeclared","360","350","36960","35750"
"In post","2022","Asian","SEO/HEO","Unknown","1000","980","37290","36960"
"In post","2022","Asian","Unknown","Declared disabled","130","120","29910","28200"
"In post","2022","Asian","Unknown","Declared non-disabled","620","570","29840","27980"
"In post","2022","Asian","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","50","50","[c]","[c]"
"In post","2022","Black","AA/AO","Declared disabled","470","420","24080","23720"
"In post","2022","Black","AA/AO","Declared non-disabled","3200","2990","24460","23770"
"In post","2022","Black","AA/AO","Undeclared","260","240","26990","25630"
"In post","2022","Black","AA/AO","Unknown","220","200","24110","23770"
"In post","2022","Black","EO","Declared disabled","730","680","29530","29870"
"In post","2022","Black","EO","Declared non-disabled","4430","4250","29210","29290"
"In post","2022","Black","EO","Undeclared","220","210","30340","30330"
"In post","2022","Black","EO","Unknown","290","280","28760","28310"
"In post","2022","Black","G6/G7","Declared disabled","160","160","58210","56470"
"In post","2022","Black","G6/G7","Declared non-disabled","1100","1090","58070","56130"
"In post","2022","Black","G6/G7","Undeclared","50","50","[c]","[c]"
"In post","2022","Black","G6/G7","Unknown","180","180","57490","54700"
"In post","2022","Black","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Black","SCS","Declared non-disabled","70","70","87890","80470"
"In post","2022","Black","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Black","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","SEO/HEO","Declared disabled","440","430","37840","37170"
"In post","2022","Black","SEO/HEO","Declared non-disabled","3480","3420","37690","36960"
"In post","2022","Black","SEO/HEO","Undeclared","180","180","38210","37610"
"In post","2022","Black","SEO/HEO","Unknown","400","390","37520","37860"
"In post","2022","Black","Unknown","Declared disabled","260","250","32840","31420"
"In post","2022","Black","Unknown","Declared non-disabled","860","830","31100","28200"
"In post","2022","Black","Unknown","Undeclared","60","50","33350","32040"
"In post","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","AA/AO","Declared disabled","320","290","22830","21260"
"In post","2022","Mixed","AA/AO","Declared non-disabled","1480","1370","23640","21810"
"In post","2022","Mixed","AA/AO","Undeclared","120","110","24480","21860"
"In post","2022","Mixed","AA/AO","Unknown","100","100","23070","22200"
"In post","2022","Mixed","EO","Declared disabled","400","370","28430","27570"
"In post","2022","Mixed","EO","Declared non-disabled","1630","1550","28120","27570"
"In post","2022","Mixed","EO","Undeclared","110","100","28330","27570"
"In post","2022","Mixed","EO","Unknown","180","180","29260","27570"
"In post","2022","Mixed","G6/G7","Declared disabled","170","160","58010","56160"
"In post","2022","Mixed","G6/G7","Declared non-disabled","1090","1050","58540","56780"
"In post","2022","Mixed","G6/G7","Undeclared","70","60","58780","57190"
"In post","2022","Mixed","G6/G7","Unknown","160","150","58630","56640"
"In post","2022","Mixed","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","SCS","Declared non-disabled","110","110","86330","79850"
"In post","2022","Mixed","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","SEO/HEO","Declared disabled","350","340","37070","35700"
"In post","2022","Mixed","SEO/HEO","Declared non-disabled","1920","1880","37170","36520"
"In post","2022","Mixed","SEO/HEO","Undeclared","120","120","37350","36560"
"In post","2022","Mixed","SEO/HEO","Unknown","260","250","37090","36680"
"In post","2022","Mixed","Unknown","Declared disabled","140","130","32220","30210"
"In post","2022","Mixed","Unknown","Declared non-disabled","380","360","30450","28200"
"In post","2022","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","AA/AO","Declared disabled","70","60","23260","21340"
"In post","2022","Other ethnicity","AA/AO","Declared non-disabled","430","390","23990","22520"
"In post","2022","Other ethnicity","AA/AO","Undeclared","40","30","[c]","[c]"
"In post","2022","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","EO","Declared disabled","120","110","28750","27570"
"In post","2022","Other ethnicity","EO","Declared non-disabled","510","480","28570","27980"
"In post","2022","Other ethnicity","EO","Undeclared","30","30","[c]","[c]"
"In post","2022","Other ethnicity","EO","Unknown","60","60","29030","28410"
"In post","2022","Other ethnicity","G6/G7","Declared disabled","60","50","59500","55410"
"In post","2022","Other ethnicity","G6/G7","Declared non-disabled","310","290","59360","57740"
"In post","2022","Other ethnicity","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","G6/G7","Unknown","60","60","61590","56700"
"In post","2022","Other ethnicity","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","SCS","Declared non-disabled","40","40","[c]","[c]"
"In post","2022","Other ethnicity","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","SEO/HEO","Declared disabled","110","110","36610","36270"
"In post","2022","Other ethnicity","SEO/HEO","Declared non-disabled","540","530","38230","37450"
"In post","2022","Other ethnicity","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","SEO/HEO","Unknown","80","80","38970","39630"
"In post","2022","Other ethnicity","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Declared non-disabled","70","70","30750","28730"
"In post","2022","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","AA/AO","Declared disabled","580","510","22660","21260"
"In post","2022","Undeclared","AA/AO","Declared non-disabled","2260","1980","22600","21260"
"In post","2022","Undeclared","AA/AO","Undeclared","1440","1320","23510","21830"
"In post","2022","Undeclared","AA/AO","Unknown","360","330","24040","22130"
"In post","2022","Undeclared","EO","Declared disabled","680","620","28400","27570"
"In post","2022","Undeclared","EO","Declared non-disabled","2720","2470","28320","27570"
"In post","2022","Undeclared","EO","Undeclared","1710","1590","28250","27570"
"In post","2022","Undeclared","EO","Unknown","500","470","31230","32170"
"In post","2022","Undeclared","G6/G7","Declared disabled","190","180","58750","56600"
"In post","2022","Undeclared","G6/G7","Declared non-disabled","1240","1200","58620","57480"
"In post","2022","Undeclared","G6/G7","Undeclared","1110","1080","59990","57540"
"In post","2022","Undeclared","G6/G7","Unknown","350","330","60170","58000"
"In post","2022","Undeclared","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","SCS","Declared non-disabled","60","60","89000","80180"
"In post","2022","Undeclared","SCS","Undeclared","90","80","81680","78000"
"In post","2022","Undeclared","SCS","Unknown","50","50","[c]","[c]"
"In post","2022","Undeclared","SEO/HEO","Declared disabled","510","480","37260","36300"
"In post","2022","Undeclared","SEO/HEO","Declared non-disabled","2540","2430","37910","37410"
"In post","2022","Undeclared","SEO/HEO","Undeclared","2530","2430","37890","37240"
"In post","2022","Undeclared","SEO/HEO","Unknown","680","650","38350","38300"
"In post","2022","Undeclared","Unknown","Declared disabled","120","120","33760","33700"
"In post","2022","Undeclared","Unknown","Declared non-disabled","240","220","33930","34340"
"In post","2022","Undeclared","Unknown","Undeclared","200","190","35100","32690"
"In post","2022","Undeclared","Unknown","Unknown","40","40","[c]","[c]"
"In post","2022","Unknown","AA/AO","Declared disabled","420","360","22790","21840"
"In post","2022","Unknown","AA/AO","Declared non-disabled","3150","2800","22320","21300"
"In post","2022","Unknown","AA/AO","Undeclared","460","410","25150","22600"
"In post","2022","Unknown","AA/AO","Unknown","18760","17570","22850","21640"
"In post","2022","Unknown","EO","Declared disabled","360","330","29530","27760"
"In post","2022","Unknown","EO","Declared non-disabled","2330","2160","27870","27570"
"In post","2022","Unknown","EO","Undeclared","220","210","29330","28310"
"In post","2022","Unknown","EO","Unknown","13030","12510","27970","27130"
"In post","2022","Unknown","G6/G7","Declared disabled","130","130","58860","55640"
"In post","2022","Unknown","G6/G7","Declared non-disabled","1080","1040","58520","57110"
"In post","2022","Unknown","G6/G7","Undeclared","110","110","58920","57860"
"In post","2022","Unknown","G6/G7","Unknown","7780","7590","59730","57430"
"In post","2022","Unknown","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS","Declared non-disabled","100","100","96570","88930"
"In post","2022","Unknown","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SCS","Unknown","820","800","95980","87750"
"In post","2022","Unknown","SEO/HEO","Declared disabled","310","290","37600","36340"
"In post","2022","Unknown","SEO/HEO","Declared non-disabled","2150","2050","36890","36060"
"In post","2022","Unknown","SEO/HEO","Undeclared","270","260","38150","37690"
"In post","2022","Unknown","SEO/HEO","Unknown","15400","15060","36050","34550"
"In post","2022","Unknown","Unknown","Declared disabled","60","50","34540","34340"
"In post","2022","Unknown","Unknown","Declared non-disabled","350","320","32900","34340"
"In post","2022","Unknown","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","5140","4810","31270","28650"
"In post","2022","White","AA/AO","Declared disabled","13070","11470","22320","21260"
"In post","2022","White","AA/AO","Declared non-disabled","69580","62690","22790","21270"
"In post","2022","White","AA/AO","Undeclared","6100","5440","24730","21860"
"In post","2022","White","AA/AO","Unknown","5750","5160","23200","22080"
"In post","2022","White","EO","Declared disabled","12880","11650","27750","27570"
"In post","2022","White","EO","Declared non-disabled","67050","61840","27620","27570"
"In post","2022","White","EO","Undeclared","4170","3880","28600","27570"
"In post","2022","White","EO","Unknown","6100","5820","29460","28270"
"In post","2022","White","G6/G7","Declared disabled","4390","4220","58580","56120"
"In post","2022","White","G6/G7","Declared non-disabled","39980","38490","59130","57400"
"In post","2022","White","G6/G7","Undeclared","1450","1400","59540","57230"
"In post","2022","White","G6/G7","Unknown","4400","4230","58940","55740"
"In post","2022","White","SCS","Declared disabled","420","410","88880","80000"
"In post","2022","White","SCS","Declared non-disabled","4460","4320","89530","82140"
"In post","2022","White","SCS","Undeclared","150","140","89040","81960"
"In post","2022","White","SCS","Unknown","420","410","97330","90390"
"In post","2022","White","SEO/HEO","Declared disabled","10710","10200","36830","35900"
"In post","2022","White","SEO/HEO","Declared non-disabled","76630","73510","37190","36330"
"In post","2022","White","SEO/HEO","Undeclared","4200","4040","37840","36840"
"In post","2022","White","SEO/HEO","Unknown","8360","8030","38190","37920"
"In post","2022","White","Unknown","Declared disabled","2780","2590","30930","28200"
"In post","2022","White","Unknown","Declared non-disabled","10820","10130","31800","29760"
"In post","2022","White","Unknown","Undeclared","560","520","32200","30210"
"In post","2022","White","Unknown","Unknown","400","390","34290","29750"
"Leaver CS","2021","Asian","AA/AO","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","Asian","AA/AO","Declared non-disabled","420","370","21780","21010"
"Leaver CS","2021","Asian","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","AA/AO","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Asian","EO","Declared disabled","30","30","[c]","[c]"
"Leaver CS","2021","Asian","EO","Declared non-disabled","240","220","27790","27570"
"Leaver CS","2021","Asian","EO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","EO","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Asian","G6/G7","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","G6/G7","Declared non-disabled","70","60","58670","55900"
"Leaver CS","2021","Asian","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SCS","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SCS","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SEO/HEO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SEO/HEO","Declared non-disabled","150","140","37420","37080"
"Leaver CS","2021","Asian","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
