"Status","Year","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","EO","Grants Management","50","40","[c]","[c]"
"Leaver CS","2022","EO","Human Resources","170","150","26720","27500"
"Leaver CS","2022","EO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Legal","100","90","28160","27350"
"Leaver CS","2022","EO","No function","6230","5560","27890","27570"
"Leaver CS","2022","EO","Project Delivery","230","220","23250","23220"
"Leaver CS","2022","EO","Property","100","80","25850","26030"
"Leaver CS","2022","EO","Security","120","110","32710","29200"
"Leaver CS","2022","EO","Unknown","2880","2520","27900","27570"
"Leaver CS","2022","G6/G7","Analysis","110","70","60900","57390"
"Leaver CS","2022","G6/G7","Commercial","180","160","66280","64500"
"Leaver CS","2022","G6/G7","Communications","80","60","59870","58080"
"Leaver CS","2022","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Digital, Data & Technology","390","370","58740","56670"
"Leaver CS","2022","G6/G7","Finance","100","90","58460","57210"
"Leaver CS","2022","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Human Resources","100","90","57820","56340"
"Leaver CS","2022","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Legal","350","300","59020","55610"
"Leaver CS","2022","G6/G7","No function","1770","1600","59060","55830"
"Leaver CS","2022","G6/G7","Project Delivery","260","240","59630","58150"
"Leaver CS","2022","G6/G7","Property","70","60","59170","58240"
"Leaver CS","2022","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","840","720","63900","62170"
"Leaver CS","2022","SCS","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Commercial","40","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Digital, Data & Technology","30","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Legal","40","30","[c]","[c]"
"Leaver CS","2022","SCS","No function","370","320","96570","93370"
"Leaver CS","2022","SCS","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","140","110","97710","93350"
"Leaver CS","2022","SEO/HEO","Analysis","230","200","35890","35900"
"Leaver CS","2022","SEO/HEO","Commercial","210","160","37500","36820"
"Leaver CS","2022","SEO/HEO","Communications","200","190","38240","37740"
"Leaver CS","2022","SEO/HEO","Counter Fraud","80","60","37060","36020"
"Leaver CS","2022","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Digital, Data & Technology","630","580","38000","37260"
"Leaver CS","2022","SEO/HEO","Finance","210","170","38700","37900"
"Leaver CS","2022","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Human Resources","240","220","37410","36780"
"Leaver CS","2022","SEO/HEO","Internal Audit","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Legal","120","110","40440","38310"
"Leaver CS","2022","SEO/HEO","No function","3770","3390","36920","36330"
"Leaver CS","2022","SEO/HEO","Project Delivery","600","560","36310","36530"
"Leaver CS","2022","SEO/HEO","Property","190","180","38880","38770"
"Leaver CS","2022","SEO/HEO","Security","140","130","39830","36740"
"Leaver CS","2022","SEO/HEO","Unknown","2200","1920","38470","37460"
"Leaver CS","2022","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","No function","1820","1610","34570","29600"
"Leaver CS","2022","Unknown","Project Delivery","120","120","37180","35650"
"Leaver CS","2022","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","360","270","36620","33270"
"Leaver Dept.","2021","AA/AO","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Human Resources","60","60","21040","20800"
"Leaver Dept.","2021","AA/AO","Legal","40","40","[c]","[c]"
"Leaver Dept.","2021","AA/AO","No function","680","650","20580","20100"
"Leaver Dept.","2021","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","1260","1180","21360","21010"
"Leaver Dept.","2021","EO","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Communications","30","30","[c]","[c]"
"Leaver Dept.","2021","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver Dept.","2021","EO","Finance","30","30","[c]","[c]"
"Leaver Dept.","2021","EO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Human Resources","80","80","26460","26380"
"Leaver Dept.","2021","EO","Legal","40","40","[c]","[c]"
"Leaver Dept.","2021","EO","No function","510","500","26080","26410"
"Leaver Dept.","2021","EO","Project Delivery","80","80","24110","24500"
"Leaver Dept.","2021","EO","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","1490","1380","27490","27570"
"Leaver Dept.","2021","G6/G7","Analysis","90","80","58260","57600"
"Leaver Dept.","2021","G6/G7","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Communications","50","50","57520","54700"
"Leaver Dept.","2021","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Digital, Data & Technology","90","90","59470","56020"
"Leaver Dept.","2021","G6/G7","Finance","70","70","59540","58130"
"Leaver Dept.","2021","G6/G7","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Human Resources","100","100","57060","56850"
"Leaver Dept.","2021","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Legal","90","80","59020","58010"
"Leaver Dept.","2021","G6/G7","No function","840","810","55930","54230"
"Leaver Dept.","2021","G6/G7","Project Delivery","140","140","57070","54730"
"Leaver Dept.","2021","G6/G7","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Unknown","760","620","57910","56150"
"Leaver Dept.","2021","SCS","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","No function","140","130","88340","77730"
"Leaver Dept.","2021","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","120","90","88510","79680"
"Leaver Dept.","2021","SEO/HEO","Analysis","150","150","35230","33990"
"Leaver Dept.","2021","SEO/HEO","Commercial","70","70","37700","37410"
"Leaver Dept.","2021","SEO/HEO","Communications","120","110","37420","36660"
"Leaver Dept.","2021","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Digital, Data & Technology","100","90","36710","36030"
"Leaver Dept.","2021","SEO/HEO","Finance","90","80","38920","38070"
"Leaver Dept.","2021","SEO/HEO","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Human Resources","210","210","35680","34400"
"Leaver Dept.","2021","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Legal","50","50","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","No function","1760","1740","33990","32750"
"Leaver Dept.","2021","SEO/HEO","Project Delivery","270","260","34420","33460"
"Leaver Dept.","2021","SEO/HEO","Property","50","40","[c]","[c]"
