"Status","Year","Sex","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","60-64","290","250","33040","27880"
"In post","2021","Female","Department for Business, Energy and Industrial Strategy","65+","100","80","32010","26680"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","20-29","380","380","39990","34020"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","30-39","340","330","52100","52130"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","40-49","150","140","57440","55650"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","50-59","80","80","53910","52130"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Education","20-29","980","970","35730","32940"
"In post","2021","Female","Department for Education","30-39","1280","1200","44330","40940"
"In post","2021","Female","Department for Education","40-49","1230","1130","47140","46170"
"In post","2021","Female","Department for Education","50-59","990","940","44030","39080"
"In post","2021","Female","Department for Education","60-64","130","130","44200","40300"
"In post","2021","Female","Department for Education","65+","40","30","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","20-29","1130","1120","30480","29180"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","30-39","1470","1350","36180","35900"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","40-49","1750","1550","37240","34080"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","50-59","1400","1310","35770","30580"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","60-64","340","300","29930","25920"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","65+","90","80","30310","26520"
"In post","2021","Female","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for International Trade","20-29","480","480","37560","33360"
"In post","2021","Female","Department for International Trade","30-39","350","340","49230","51970"
"In post","2021","Female","Department for International Trade","40-49","210","200","51320","51970"
"In post","2021","Female","Department for International Trade","50-59","190","190","47420","40840"
"In post","2021","Female","Department for International Trade","60-64","30","30","[c]","[c]"
"In post","2021","Female","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department for Transport","16-19","40","30","[c]","[c]"
"In post","2021","Female","Department for Transport","20-29","1120","1080","29240","26470"
"In post","2021","Female","Department for Transport","30-39","1830","1600","30910","26350"
"In post","2021","Female","Department for Transport","40-49","1730","1540","32600","26780"
"In post","2021","Female","Department for Transport","50-59","1790","1600","30520","26700"
"In post","2021","Female","Department for Transport","60-64","620","450","25290","21590"
"In post","2021","Female","Department for Transport","65+","150","100","25090","21590"
"In post","2021","Female","Department for Work and Pensions","16-19","120","120","22680","21010"
"In post","2021","Female","Department for Work and Pensions","20-29","6070","5900","26810","27570"
"In post","2021","Female","Department for Work and Pensions","30-39","9110","7930","27450","27570"
"In post","2021","Female","Department for Work and Pensions","40-49","14590","12540","27930","27570"
"In post","2021","Female","Department for Work and Pensions","50-59","22700","19900","27780","27570"
"In post","2021","Female","Department for Work and Pensions","60-64","6520","4880","26500","27570"
"In post","2021","Female","Department for Work and Pensions","65+","1710","1180","25860","26120"
"In post","2021","Female","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care","20-29","1790","1740","32310","31610"
"In post","2021","Female","Department of Health and Social Care","30-39","1840","1710","42460","40070"
"In post","2021","Female","Department of Health and Social Care","40-49","1860","1680","48120","45150"
"In post","2021","Female","Department of Health and Social Care","50-59","1640","1510","49730","42760"
"In post","2021","Female","Department of Health and Social Care","60-64","380","320","49260","39540"
"In post","2021","Female","Department of Health and Social Care","65+","150","110","46190","35350"
"In post","2021","Female","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","20-29","80","70","32780","32350"
"In post","2021","Female","Food Standards Agency","30-39","150","150","37600","37350"
"In post","2021","Female","Food Standards Agency","40-49","160","150","42680","39300"
"In post","2021","Female","Food Standards Agency","50-59","120","120","41470","37910"
"In post","2021","Female","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office","20-29","830","830","35050","34300"
"In post","2021","Female","Foreign, Commonwealth and Development Office","30-39","1180","1150","46900","49920"
"In post","2021","Female","Foreign, Commonwealth and Development Office","40-49","1090","1040","52250","54470"
"In post","2021","Female","Foreign, Commonwealth and Development Office","50-59","920","880","48690","43320"
"In post","2021","Female","Foreign, Commonwealth and Development Office","60-64","140","140","46460","36290"
"In post","2021","Female","Foreign, Commonwealth and Development Office","65+","40","40","[c]","[c]"
"In post","2021","Female","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Land Registry","20-29","630","620","24920","22350"
"In post","2021","Female","HM Land Registry","30-39","510","460","29310","26490"
"In post","2021","Female","HM Land Registry","40-49","790","710","32160","27130"
"In post","2021","Female","HM Land Registry","50-59","1520","1320","31360","27130"
"In post","2021","Female","HM Land Registry","60-64","280","190","30860","27130"
"In post","2021","Female","HM Land Registry","65+","70","40","32100","27130"
"In post","2021","Female","HM Revenue and Customs","16-19","130","120","20530","20140"
"In post","2021","Female","HM Revenue and Customs","20-29","4800","4640","26620","25560"
"In post","2021","Female","HM Revenue and Customs","30-39","6640","6010","30530","25560"
"In post","2021","Female","HM Revenue and Customs","40-49","7760","6870","31520","27230"
"In post","2021","Female","HM Revenue and Customs","50-59","11620","10270","31590","28130"
"In post","2021","Female","HM Revenue and Customs","60-64","3360","2470","27800","25560"
"In post","2021","Female","HM Revenue and Customs","65+","740","520","26290","21440"
"In post","2021","Female","HM Treasury","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","20-29","500","500","37750","32750"
"In post","2021","Female","HM Treasury","30-39","360","340","54050","55840"
"In post","2021","Female","HM Treasury","40-49","210","190","53100","49750"
"In post","2021","Female","HM Treasury","50-59","180","170","47280","42830"
"In post","2021","Female","HM Treasury","60-64","30","30","[c]","[c]"
"In post","2021","Female","HM Treasury","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Home Office","16-19","40","40","[c]","[c]"
"In post","2021","Female","Home Office","20-29","2830","2740","28450","25040"
"In post","2021","Female","Home Office","30-39","4450","4010","31750","26200"
"In post","2021","Female","Home Office","40-49","4750","4250","33590","28850"
"In post","2021","Female","Home Office","50-59","4750","4320","31740","27370"
"In post","2021","Female","Home Office","60-64","1130","900","28330","25630"
"In post","2021","Female","Home Office","65+","370","270","26430","25630"
"In post","2021","Female","Ministry of Defence","16-19","50","50","19070","19040"
"In post","2021","Female","Ministry of Defence","20-29","3020","2980","28390","26670"
"In post","2021","Female","Ministry of Defence","30-39","4780","4430","33710","33040"
"In post","2021","Female","Ministry of Defence","40-49","5490","5120","35060","33300"
"In post","2021","Female","Ministry of Defence","50-59","7240","6930","32110","27560"
"In post","2021","Female","Ministry of Defence","60-64","1730","1560","28400","23580"
"In post","2021","Female","Ministry of Defence","65+","500","430","26730","21630"
"In post","2021","Female","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","20-29","380","380","36010","33210"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","30-39","430","410","44980","47660"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","40-49","420","380","47960","47660"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","50-59","370","350","46730","43670"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","60-64","70","60","46030","43340"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Justice","16-19","100","100","21610","20880"
"In post","2021","Female","Ministry of Justice","20-29","8380","8220","25610","24020"
"In post","2021","Female","Ministry of Justice","30-39","10120","9200","28970","26550"
"In post","2021","Female","Ministry of Justice","40-49","9790","8860","31320","27700"
"In post","2021","Female","Ministry of Justice","50-59","11110","10260","29340","24800"
"In post","2021","Female","Ministry of Justice","60-64","3010","2510","26630","23130"
"In post","2021","Female","Ministry of Justice","65+","930","690","25130","22260"
"In post","2021","Female","National Crime Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Crime Agency","20-29","570","560","31690","32260"
"In post","2021","Female","National Crime Agency","30-39","640","610","37310","36410"
"In post","2021","Female","National Crime Agency","40-49","690","650","40330","38440"
"In post","2021","Female","National Crime Agency","50-59","460","440","40870","38880"
"In post","2021","Female","National Crime Agency","60-64","70","70","35830","34050"
"In post","2021","Female","National Crime Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office for Standards in Education","20-29","100","100","28590","25880"
"In post","2021","Female","Office for Standards in Education","30-39","250","240","41150","39460"
"In post","2021","Female","Office for Standards in Education","40-49","330","310","51110","51360"
"In post","2021","Female","Office for Standards in Education","50-59","390","380","55790","51360"
"In post","2021","Female","Office for Standards in Education","60-64","90","90","50250","51360"
"In post","2021","Female","Office for Standards in Education","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","20-29","170","170","30080","27000"
"In post","2021","Female","Office of Gas and Electricity Markets","30-39","180","170","45710","44520"
"In post","2021","Female","Office of Gas and Electricity Markets","40-49","120","110","53830","51320"
"In post","2021","Female","Office of Gas and Electricity Markets","50-59","70","60","48280","40720"
"In post","2021","Female","Office of Gas and Electricity Markets","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Gas and Electricity Markets","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","30-39","50","50","41860","38760"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","40-49","50","40","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","50-59","30","30","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Qualifications and Examinations Regulation","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","30-39","40","40","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","40-49","50","40","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Office of Rail and Road","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","20-29","70","70","30930","27770"
"In post","2021","Female","Other Cabinet Office Agencies","30-39","160","150","37180","34800"
"In post","2021","Female","Other Cabinet Office Agencies","40-49","120","110","42230","38470"
"In post","2021","Female","Other Cabinet Office Agencies","50-59","130","120","40130","35760"
"In post","2021","Female","Other Cabinet Office Agencies","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other Cabinet Office Agencies","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scotland Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Scottish Government","16-19","60","60","21400","21150"
"In post","2021","Female","Scottish Government","20-29","2040","1990","27540","26160"
"In post","2021","Female","Scottish Government","30-39","3000","2790","35720","33550"
"In post","2021","Female","Scottish Government","40-49","2900","2660","40570","35110"
"In post","2021","Female","Scottish Government","50-59","2840","2640","39370","33650"
"In post","2021","Female","Scottish Government","60-64","600","500","34310","28170"
"In post","2021","Female","Scottish Government","65+","140","100","30970","24910"
"In post","2021","Female","The National Archives","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","20-29","50","50","[c]","[c]"
"In post","2021","Female","The National Archives","30-39","70","70","34860","34260"
"In post","2021","Female","The National Archives","40-49","80","70","40480","37770"
"In post","2021","Female","The National Archives","50-59","60","50","35370","33940"
"In post","2021","Female","The National Archives","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","The National Archives","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","20-29","30","30","[c]","[c]"
"In post","2021","Female","UK Export Finance","30-39","40","40","[c]","[c]"
"In post","2021","Female","UK Export Finance","40-49","40","40","[c]","[c]"
"In post","2021","Female","UK Export Finance","50-59","40","40","[c]","[c]"
"In post","2021","Female","UK Export Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Export Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","UK Supreme Court","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","United Kingdom Statistics Authority","20-29","700","680","29930","29540"
"In post","2021","Female","United Kingdom Statistics Authority","30-39","720","640","33960","31090"
"In post","2021","Female","United Kingdom Statistics Authority","40-49","620","550","35280","32240"
"In post","2021","Female","United Kingdom Statistics Authority","50-59","720","610","30070","23520"
"In post","2021","Female","United Kingdom Statistics Authority","60-64","240","170","25440","19520"
"In post","2021","Female","United Kingdom Statistics Authority","65+","120","70","24180","19520"
"In post","2021","Female","Wales Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Wales Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","30-39","40","40","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","40-49","60","50","60090","50580"
"In post","2021","Female","Water Services Regulation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Water Services Regulation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Welsh Government","20-29","310","300","26930","23830"
"In post","2021","Female","Welsh Government","30-39","800","730","37230","37410"
"In post","2021","Female","Welsh Government","40-49","1020","950","43180","37410"
"In post","2021","Female","Welsh Government","50-59","980","920","42840","37410"
"In post","2021","Female","Welsh Government","60-64","220","180","40120","37410"
"In post","2021","Female","Welsh Government","65+","90","70","35190","28850"
"In post","2021","Female","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Male","Attorney General's Departments","20-29","430","420","30850","26970"
"In post","2021","Male","Attorney General's Departments","30-39","730","730","45760","50500"
"In post","2021","Male","Attorney General's Departments","40-49","910","900","49230","51250"
"In post","2021","Male","Attorney General's Departments","50-59","1090","1070","52650","55610"
"In post","2021","Male","Attorney General's Departments","60-64","230","200","54330","55610"
"In post","2021","Male","Attorney General's Departments","65+","70","60","49660","55610"
"In post","2021","Male","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Male","Cabinet Office","20-29","1470","1470","34410","32000"
"In post","2021","Male","Cabinet Office","30-39","1130","1130","50090","54700"
"In post","2021","Male","Cabinet Office","40-49","870","870","61030","56670"
"In post","2021","Male","Cabinet Office","50-59","760","750","61890","56190"
"In post","2021","Male","Cabinet Office","60-64","150","140","57280","49700"
"In post","2021","Male","Cabinet Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","20-29","50","50","37210","36500"
"In post","2021","Male","Chancellor's other departments","30-39","50","50","60270","53750"
"In post","2021","Male","Chancellor's other departments","40-49","60","60","72590","65110"
"In post","2021","Male","Chancellor's other departments","50-59","50","50","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chancellor's other departments","65+","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","30-39","50","50","34960","31810"
"In post","2021","Male","Charity Commission","40-49","50","50","38510","29520"
"In post","2021","Male","Charity Commission","50-59","50","40","[c]","[c]"
"In post","2021","Male","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Male","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","20-29","70","70","37320","33610"
"In post","2021","Male","Competition and Markets Authority","30-39","140","130","63520","59990"
"In post","2021","Male","Competition and Markets Authority","40-49","100","100","71540","72430"
"In post","2021","Male","Competition and Markets Authority","50-59","90","80","70920","59940"
"In post","2021","Male","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Male","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","20-29","1400","1400","36840","33860"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","30-39","1760","1740","43410","40220"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","40-49","1520","1490","46790","43700"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","50-59","1550","1530","45700","42290"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","60-64","310","270","41870","39280"
"In post","2021","Male","Department for Business, Energy and Industrial Strategy","65+","130","100","42270","41840"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","20-29","300","300","42400","39020"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","30-39","270","270","52820","51730"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","40-49","130","130","58560","58760"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","50-59","90","90","54260","52250"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Education","20-29","640","640","35110","32940"
"In post","2021","Male","Department for Education","30-39","860","850","43640","40510"
"In post","2021","Male","Department for Education","40-49","890","880","48280","49860"
"In post","2021","Male","Department for Education","50-59","720","720","49970","50190"
"In post","2021","Male","Department for Education","60-64","140","130","47630","49860"
"In post","2021","Male","Department for Education","65+","30","30","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","20-29","810","800","30740","29180"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","30-39","1010","1010","36710","35900"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","40-49","1310","1300","39460","36520"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","50-59","1280","1260","40170","36970"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","60-64","310","280","38520","32160"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","65+","120","100","36540","32150"
"In post","2021","Male","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for International Trade","20-29","470","470","37100","32130"
"In post","2021","Male","Department for International Trade","30-39","390","390","50200","51970"
"In post","2021","Male","Department for International Trade","40-49","240","240","55140","53030"
"In post","2021","Male","Department for International Trade","50-59","260","250","50050","43560"
"In post","2021","Male","Department for International Trade","60-64","50","50","51920","43930"
"In post","2021","Male","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Transport","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department for Transport","20-29","1100","1100","31330","29970"
"In post","2021","Male","Department for Transport","30-39","1860","1840","34980","30730"
"In post","2021","Male","Department for Transport","40-49","2140","2120","37200","31380"
"In post","2021","Male","Department for Transport","50-59","2410","2360","36210","30720"
"In post","2021","Male","Department for Transport","60-64","840","740","33290","27680"
"In post","2021","Male","Department for Transport","65+","330","250","31470","26780"
"In post","2021","Male","Department for Work and Pensions","16-19","80","80","22610","21010"
"In post","2021","Male","Department for Work and Pensions","20-29","4480","4450","26520","27570"
"In post","2021","Male","Department for Work and Pensions","30-39","6050","5970","28530","27570"
"In post","2021","Male","Department for Work and Pensions","40-49","7750","7590","30010","27570"
"In post","2021","Male","Department for Work and Pensions","50-59","10480","10120","30470","27570"
"In post","2021","Male","Department for Work and Pensions","60-64","2940","2450","28840","27570"
"In post","2021","Male","Department for Work and Pensions","65+","910","690","27550","27570"
"In post","2021","Male","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department of Health and Social Care","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Male","Department of Health and Social Care","20-29","900","870","33510","31300"
"In post","2021","Male","Department of Health and Social Care","30-39","940","920","45190","41010"
"In post","2021","Male","Department of Health and Social Care","40-49","990","970","53310","51200"
"In post","2021","Male","Department of Health and Social Care","50-59","910","880","57860","53100"
"In post","2021","Male","Department of Health and Social Care","60-64","220","210","63250","52610"
"In post","2021","Male","Department of Health and Social Care","65+","100","80","59370","54840"
"In post","2021","Male","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Male","ESTYN","65+","[c]","[c]","[c]","[c]"
"In post","2021","Male","Food Standards Agency","20-29","40","40","[c]","[c]"
"In post","2021","Male","Food Standards Agency","30-39","100","100","39310","37910"
"In post","2021","Male","Food Standards Agency","40-49","200","200","38730","36990"
"In post","2021","Male","Food Standards Agency","50-59","320","310","35080","29090"
"In post","2021","Male","Food Standards Agency","60-64","90","90","31410","28770"
