"Status","Year","Sex","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Counter Fraud","Counter Fraud","270","260","38820","36030"
"In post","2021","Female","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Intelligence Analysis","90","80","36840","31960"
"In post","2021","Female","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Legal","1400","1310","30010","28130"
"In post","2021","Female","Counter Fraud","Operational Delivery","1630","1440","29530","28130"
"In post","2021","Female","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Other","180","150","36950","31810"
"In post","2021","Female","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Counter Fraud","Tax","820","750","37430","32100"
"In post","2021","Female","Counter Fraud","Unknown","100","100","39130","34550"
"In post","2021","Female","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Debt","Operational Delivery","2080","1740","23890","21440"
"In post","2021","Female","Debt","Tax","520","500","20810","20140"
"In post","2021","Female","Debt","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Digital, Data and Technology","3840","3660","39970","36780"
"In post","2021","Female","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Knowledge and Information Management","70","60","35040","33640"
"In post","2021","Female","Digital, Data & Technology","Operational Delivery","250","240","33760","31810"
"In post","2021","Female","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Science and Engineering","160","150","39320","39650"
"In post","2021","Female","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Tax","40","30","[c]","[c]"
"In post","2021","Female","Digital, Data & Technology","Unknown","550","530","47440","47720"
"In post","2021","Female","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Corporate Finance","80","70","43860","40800"
"In post","2021","Female","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Economics","50","50","44150","36820"
"In post","2021","Female","Finance","Finance","4270","3940","37290","33300"
"In post","2021","Female","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Operational Delivery","490","430","28080","25560"
"In post","2021","Female","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Other","110","100","39790","33110"
"In post","2021","Female","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Project Delivery","40","30","[c]","[c]"
"In post","2021","Female","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Tax","30","30","[c]","[c]"
"In post","2021","Female","Finance","Unknown","160","150","41220","37530"
"In post","2021","Female","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Operational Delivery","1090","950","25060","21050"
"In post","2021","Female","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Human Resources","4940","4620","37860","33300"
"In post","2021","Female","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Operational Delivery","650","590","29380","25560"
"In post","2021","Female","Human Resources","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Policy","60","60","36150","36030"
"In post","2021","Female","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Tax","90","90","36330","31810"
"In post","2021","Female","Human Resources","Unknown","860","820","39560","35590"
"In post","2021","Female","Internal Audit","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Internal Audit","380","360","43830","41340"
"In post","2021","Female","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Legal","5520","4990","53330","52490"
"In post","2021","Female","Legal","Operational Delivery","3610","3240","26990","25480"
"In post","2021","Female","Legal","Other","240","230","31110","27580"
"In post","2021","Female","Legal","Policy","40","40","[c]","[c]"
"In post","2021","Female","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Tax","170","160","37570","33680"
"In post","2021","Female","Legal","Unknown","110","100","55110","59160"
"In post","2021","Female","No function","Commercial","140","130","41800","36780"
"In post","2021","Female","No function","Communications","70","70","42640","39200"
"In post","2021","Female","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","Digital, Data and Technology","100","90","37500","32140"
"In post","2021","Female","No function","Economics","190","180","47630","51610"
"In post","2021","Female","No function","Finance","210","200","41040","37100"
"In post","2021","Female","No function","Human Resources","50","50","42190","38390"
"In post","2021","Female","No function","Inspector of Education and Training","600","590","63550","64500"
"In post","2021","Female","No function","Intelligence Analysis","310","290","29880","27380"
"In post","2021","Female","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","International Trade","640","630","45850","39590"
"In post","2021","Female","No function","Knowledge and Information Management","640","580","37380","34010"
"In post","2021","Female","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","Medicine","280","240","96970","96860"
"In post","2021","Female","No function","Operational Delivery","69120","61620","27500","24360"
"In post","2021","Female","No function","Operational Research","130","120","42950","46080"
"In post","2021","Female","No function","Other","1260","1190","35760","30850"
"In post","2021","Female","No function","Planning","80","70","46620","42140"
"In post","2021","Female","No function","Planning Inspectors","130","110","57850","58810"
"In post","2021","Female","No function","Policy","11040","10630","45570","40220"
"In post","2021","Female","No function","Project Delivery","110","110","41030","36770"
"In post","2021","Female","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","Psychology","1220","1160","35420","31180"
"In post","2021","Female","No function","Science and Engineering","3160","2910","38220","36730"
"In post","2021","Female","No function","Security","80","70","45830","42890"
"In post","2021","Female","No function","Social Research","30","30","[c]","[c]"
"In post","2021","Female","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","Tax","5690","5210","32760","31810"
"In post","2021","Female","No function","Unknown","3780","3650","35910","30880"
"In post","2021","Female","No function","Veterinarian","240","230","44110","38390"
"In post","2021","Female","Project Delivery","Commercial","410","380","36930","34090"
"In post","2021","Female","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Digital, Data and Technology","110","100","37820","37320"
"In post","2021","Female","Project Delivery","Economics","40","40","[c]","[c]"
"In post","2021","Female","Project Delivery","Finance","230","210","42330","39860"
"In post","2021","Female","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Knowledge and Information Management","70","60","37270","37320"
"In post","2021","Female","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Operational Delivery","1120","1030","33650","30630"
"In post","2021","Female","Project Delivery","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Other","1350","1260","33570","28520"
"In post","2021","Female","Project Delivery","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Policy","1320","1250","50600","52580"
"In post","2021","Female","Project Delivery","Project Delivery","7020","6700","40120","37320"
"In post","2021","Female","Project Delivery","Property","120","120","49760","50630"
"In post","2021","Female","Project Delivery","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Science and Engineering","350","340","36600","33000"
"In post","2021","Female","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Tax","80","80","40410","32520"
"In post","2021","Female","Project Delivery","Unknown","280","260","45740","35680"
"In post","2021","Female","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Operational Delivery","870","790","27390","21250"
"In post","2021","Female","Property","Other","80","70","32840","25900"
"In post","2021","Female","Property","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Project Delivery","30","30","[c]","[c]"
"In post","2021","Female","Property","Property","2570","2390","33560","31810"
"In post","2021","Female","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Unknown","260","240","33580","29190"
"In post","2021","Female","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Intelligence Analysis","100","100","43680","38860"
"In post","2021","Female","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Security","1480","1440","31160","27700"
"In post","2021","Female","Security","Unknown","460","430","32190","33000"
"In post","2021","Female","Unknown","Commercial","60","60","39490","39190"
"In post","2021","Female","Unknown","Communications","200","190","44220","42710"
"In post","2021","Female","Unknown","Counter Fraud","110","100","25620","25310"
"In post","2021","Female","Unknown","Digital, Data and Technology","450","430","47490","44100"
"In post","2021","Female","Unknown","Economics","80","70","45870","40870"
"In post","2021","Female","Unknown","Finance","350","330","42040","37410"
"In post","2021","Female","Unknown","Human Resources","510","470","40730","37180"
"In post","2021","Female","Unknown","Intelligence Analysis","930","860","30970","29080"
"In post","2021","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Knowledge and Information Management","110","100","36590","34490"
"In post","2021","Female","Unknown","Legal","100","90","56140","60830"
"In post","2021","Female","Unknown","Medicine","1430","1270","42870","37890"
"In post","2021","Female","Unknown","Operational Delivery","14720","13080","28100","25630"
"In post","2021","Female","Unknown","Operational Research","50","50","[c]","[c]"
"In post","2021","Female","Unknown","Other","7300","6900","27600","22080"
"In post","2021","Female","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Policy","3010","2870","45460","41970"
"In post","2021","Female","Unknown","Project Delivery","800","770","44020","41140"
"In post","2021","Female","Unknown","Property","70","60","40800","34600"
"In post","2021","Female","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Science and Engineering","510","490","43140","40580"
"In post","2021","Female","Unknown","Security","120","110","33630","29370"
"In post","2021","Female","Unknown","Social Research","200","190","45630","47000"
"In post","2021","Female","Unknown","Statistics","100","90","41560","38360"
"In post","2021","Female","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Unknown","67120","58420","28650","27570"
"In post","2021","Female","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Digital, Data and Technology","140","130","42370","42220"
"In post","2021","Male","Analysis","Economics","840","830","46560","40480"
"In post","2021","Male","Analysis","Finance","30","30","[c]","[c]"
"In post","2021","Male","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Intelligence Analysis","150","150","52390","53360"
"In post","2021","Male","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Operational Delivery","260","260","33270","30130"
"In post","2021","Male","Analysis","Operational Research","430","420","44750","46080"
"In post","2021","Male","Analysis","Other","140","130","66740","57250"
"In post","2021","Male","Analysis","Policy","170","160","47630","45540"
"In post","2021","Male","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Science and Engineering","400","390","38070","35900"
"In post","2021","Male","Analysis","Social Research","290","280","41240","37020"
"In post","2021","Male","Analysis","Statistics","950","930","43630","39850"
"In post","2021","Male","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Unknown","60","60","44470","41760"
"In post","2021","Male","Commercial","Commercial","1880","1850","42360","40000"
"In post","2021","Male","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Knowledge and Information Management","360","350","36140","33300"
"In post","2021","Male","Commercial","Operational Delivery","230","220","48070","41100"
"In post","2021","Male","Commercial","Other","30","30","[c]","[c]"
"In post","2021","Male","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Project Delivery","50","50","47750","43600"
"In post","2021","Male","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Science and Engineering","90","90","41890","41970"
"In post","2021","Male","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Unknown","770","760","73540","65000"
"In post","2021","Male","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Communications","1420","1400","41630","37920"
"In post","2021","Male","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Operational Delivery","760","750","29870","25980"
"In post","2021","Male","Communications","Other","170","170","23790","20410"
"In post","2021","Male","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Tax","1170","1150","27390","25560"
"In post","2021","Male","Communications","Unknown","350","350","36880","31810"
"In post","2021","Male","Counter Fraud","Counter Fraud","400","390","42080","39490"
"In post","2021","Male","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Intelligence Analysis","110","110","38700","36160"
"In post","2021","Male","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Legal","1930","1880","32370","31810"
"In post","2021","Male","Counter Fraud","Operational Delivery","1260","1220","30940","28130"
"In post","2021","Male","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Other","160","150","40580","35000"
"In post","2021","Male","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Tax","1090","1040","40690","36160"
"In post","2021","Male","Counter Fraud","Unknown","120","120","38380","32210"
"In post","2021","Male","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Debt","Operational Delivery","1500","1420","24020","21440"
"In post","2021","Male","Debt","Tax","470","470","20670","20140"
"In post","2021","Male","Debt","Unknown","50","50","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Digital, Data and Technology","7000","6900","41480","38450"
"In post","2021","Male","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Knowledge and Information Management","80","80","40350","39120"
"In post","2021","Male","Digital, Data & Technology","Operational Delivery","220","220","36820","31810"
"In post","2021","Male","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Science and Engineering","370","350","44190","40880"
"In post","2021","Male","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Tax","40","40","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Unknown","790","780","50080","54700"
"In post","2021","Male","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Corporate Finance","60","60","49560","46080"
"In post","2021","Male","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Economics","50","50","[c]","[c]"
"In post","2021","Male","Finance","Finance","3290","3220","43000","39000"
"In post","2021","Male","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Operational Delivery","370","360","29810","25560"
"In post","2021","Male","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Other","50","40","[c]","[c]"
"In post","2021","Male","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Project Delivery","40","40","[c]","[c]"
"In post","2021","Male","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Tax","30","30","[c]","[c]"
"In post","2021","Male","Finance","Unknown","180","170","46630","40290"
"In post","2021","Male","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Grants Management","Operational Delivery","800","780","25980","24920"
"In post","2021","Male","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Human Resources","1990","1950","39350","35000"
"In post","2021","Male","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Operational Delivery","290","280","30260","25560"
"In post","2021","Male","Human Resources","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Tax","80","80","35670","31810"
"In post","2021","Male","Human Resources","Unknown","460","450","38940","34550"
"In post","2021","Male","Internal Audit","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Internal Audit","360","350","48160","45390"
"In post","2021","Male","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
