"Status","Year","Age","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Undeclared","Undeclared","520","510","31520","28900"
"In post","2021","20-29","Undeclared","Unknown","240","230","31970","30930"
"In post","2021","20-29","Unknown","Declared disabled","110","110","29130","27570"
"In post","2021","20-29","Unknown","Declared non-disabled","1110","1090","27730","26670"
"In post","2021","20-29","Unknown","Undeclared","410","400","34120","33990"
"In post","2021","20-29","Unknown","Unknown","18120","17870","28100","26370"
"In post","2021","20-29","White","Declared disabled","3920","3850","28800","27570"
"In post","2021","20-29","White","Declared non-disabled","36180","35690","29120","27500"
"In post","2021","20-29","White","Undeclared","1450","1420","29210","27570"
"In post","2021","20-29","White","Unknown","3920","3870","29990","28500"
"In post","2021","30-39","Asian","Declared disabled","540","500","32360","29170"
"In post","2021","30-39","Asian","Declared non-disabled","6540","6150","32840","29080"
"In post","2021","30-39","Asian","Undeclared","360","330","32450","27570"
"In post","2021","30-39","Asian","Unknown","530","510","36460","32960"
"In post","2021","30-39","Black","Declared disabled","270","260","33730","31060"
"In post","2021","30-39","Black","Declared non-disabled","2520","2430","32390","30880"
"In post","2021","30-39","Black","Undeclared","120","120","32000","31060"
"In post","2021","30-39","Black","Unknown","200","190","35480","32560"
"In post","2021","30-39","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Declared non-disabled","280","270","39040","36160"
"In post","2021","30-39","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Unknown","40","40","[c]","[c]"
"In post","2021","30-39","Mixed","Declared disabled","270","250","33950","30860"
"In post","2021","30-39","Mixed","Declared non-disabled","1740","1670","36780","32050"
"In post","2021","30-39","Mixed","Undeclared","110","100","35090","31180"
"In post","2021","30-39","Mixed","Unknown","210","200","38600","36410"
"In post","2021","30-39","Other ethnicity","Declared disabled","60","60","36370","32790"
"In post","2021","30-39","Other ethnicity","Declared non-disabled","450","430","36730","31810"
"In post","2021","30-39","Other ethnicity","Undeclared","40","30","[c]","[c]"
"In post","2021","30-39","Other ethnicity","Unknown","70","60","39690","36410"
"In post","2021","30-39","Undeclared","Declared disabled","240","230","32670","27570"
"In post","2021","30-39","Undeclared","Declared non-disabled","1530","1450","34770","31060"
"In post","2021","30-39","Undeclared","Undeclared","1300","1270","36780","32940"
"In post","2021","30-39","Undeclared","Unknown","470","450","37390","34140"
"In post","2021","30-39","Unknown","Declared disabled","220","210","32840","28630"
"In post","2021","30-39","Unknown","Declared non-disabled","2330","2150","31970","27570"
"In post","2021","30-39","Unknown","Undeclared","460","440","38350","34710"
"In post","2021","30-39","Unknown","Unknown","13940","13390","34000","29920"
"In post","2021","30-39","White","Declared disabled","6540","6180","32500","28200"
"In post","2021","30-39","White","Declared non-disabled","53850","50870","34650","30830"
"In post","2021","30-39","White","Undeclared","3050","2870","33010","30180"
"In post","2021","30-39","White","Unknown","5140","4920","36300","33650"
"In post","2021","40-49","Asian","Declared disabled","810","730","32070","28750"
"In post","2021","40-49","Asian","Declared non-disabled","6130","5600","34540","29550"
"In post","2021","40-49","Asian","Undeclared","340","310","33430","29550"
"In post","2021","40-49","Asian","Unknown","570","540","39810","35110"
"In post","2021","40-49","Black","Declared disabled","360","330","32760","30940"
"In post","2021","40-49","Black","Declared non-disabled","2870","2740","33870","31060"
"In post","2021","40-49","Black","Undeclared","180","170","33650","31060"
"In post","2021","40-49","Black","Unknown","220","210","39450","36160"
"In post","2021","40-49","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Declared non-disabled","270","260","37720","33050"
"In post","2021","40-49","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Unknown","30","30","[c]","[c]"
"In post","2021","40-49","Mixed","Declared disabled","300","280","35650","30900"
"In post","2021","40-49","Mixed","Declared non-disabled","1280","1200","39000","33310"
"In post","2021","40-49","Mixed","Undeclared","100","90","37270","33300"
"In post","2021","40-49","Mixed","Unknown","90","90","43070","40450"
"In post","2021","40-49","Other ethnicity","Declared disabled","90","80","35510","31450"
"In post","2021","40-49","Other ethnicity","Declared non-disabled","460","440","37930","31650"
"In post","2021","40-49","Other ethnicity","Undeclared","50","40","[c]","[c]"
"In post","2021","40-49","Other ethnicity","Unknown","50","50","[c]","[c]"
"In post","2021","40-49","Undeclared","Declared disabled","480","450","31720","27700"
"In post","2021","40-49","Undeclared","Declared non-disabled","2120","1990","34120","29570"
"In post","2021","40-49","Undeclared","Undeclared","1830","1760","37080","32400"
"In post","2021","40-49","Undeclared","Unknown","570","540","40710","37410"
"In post","2021","40-49","Unknown","Declared disabled","240","220","32260","29290"
"In post","2021","40-49","Unknown","Declared non-disabled","2440","2230","34280","29170"
"In post","2021","40-49","Unknown","Undeclared","440","410","37790","32750"
"In post","2021","40-49","Unknown","Unknown","9590","9110","37400","31220"
"In post","2021","40-49","White","Declared disabled","9510","8790","32840","27570"
"In post","2021","40-49","White","Declared non-disabled","61290","57300","36930","31810"
"In post","2021","40-49","White","Undeclared","3880","3660","33570","31650"
"In post","2021","40-49","White","Unknown","5690","5370","38930","35950"
"In post","2021","50-59","Asian","Declared disabled","800","730","31950","29250"
"In post","2021","50-59","Asian","Declared non-disabled","4090","3820","33330","29370"
"In post","2021","50-59","Asian","Undeclared","220","200","33050","29470"
"In post","2021","50-59","Asian","Unknown","410","390","39210","32520"
"In post","2021","50-59","Black","Declared disabled","760","720","32400","30350"
"In post","2021","50-59","Black","Declared non-disabled","3930","3810","33670","30840"
"In post","2021","50-59","Black","Undeclared","290","280","32130","31060"
"In post","2021","50-59","Black","Unknown","260","250","38230","32520"
"In post","2021","50-59","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chinese","Declared non-disabled","180","170","36120","29870"
"In post","2021","50-59","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Mixed","Declared disabled","300","290","34240","30260"
"In post","2021","50-59","Mixed","Declared non-disabled","1060","1000","36850","31810"
"In post","2021","50-59","Mixed","Undeclared","100","90","34780","31650"
"In post","2021","50-59","Mixed","Unknown","90","90","42160","38100"
"In post","2021","50-59","Other ethnicity","Declared disabled","120","120","35630","31060"
"In post","2021","50-59","Other ethnicity","Declared non-disabled","420","400","38010","31880"
"In post","2021","50-59","Other ethnicity","Undeclared","60","50","39210","32790"
"In post","2021","50-59","Other ethnicity","Unknown","40","40","[c]","[c]"
"In post","2021","50-59","Undeclared","Declared disabled","900","840","32170","28770"
"In post","2021","50-59","Undeclared","Declared non-disabled","3370","3140","33000","28350"
"In post","2021","50-59","Undeclared","Undeclared","2900","2770","36030","32520"
"In post","2021","50-59","Undeclared","Unknown","690","650","39430","33650"
"In post","2021","50-59","Unknown","Declared disabled","470","430","32200","28970"
"In post","2021","50-59","Unknown","Declared non-disabled","2620","2430","34160","28200"
"In post","2021","50-59","Unknown","Undeclared","540","500","34930","31650"
"In post","2021","50-59","Unknown","Unknown","9140","8650","35900","30430"
"In post","2021","50-59","White","Declared disabled","15070","13880","31760","27570"
"In post","2021","50-59","White","Declared non-disabled","79110","74050","35180","29710"
"In post","2021","50-59","White","Undeclared","6110","5770","32870","31650"
"In post","2021","50-59","White","Unknown","6940","6530","37730","33650"
"In post","2021","60-64","Asian","Declared disabled","200","170","30670","28180"
"In post","2021","60-64","Asian","Declared non-disabled","1020","870","31190","28120"
"In post","2021","60-64","Asian","Undeclared","70","60","31520","27570"
"In post","2021","60-64","Asian","Unknown","90","80","35750","29290"
"In post","2021","60-64","Black","Declared disabled","190","170","30560","28200"
"In post","2021","60-64","Black","Declared non-disabled","810","740","31190","29250"
"In post","2021","60-64","Black","Undeclared","70","70","29820","27570"
"In post","2021","60-64","Black","Unknown","60","60","34290","29370"
"In post","2021","60-64","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Chinese","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","60-64","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Mixed","Declared disabled","90","70","30760","27570"
"In post","2021","60-64","Mixed","Declared non-disabled","210","190","33910","28200"
"In post","2021","60-64","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Other ethnicity","Declared disabled","40","30","[c]","[c]"
"In post","2021","60-64","Other ethnicity","Declared non-disabled","120","100","35810","31060"
"In post","2021","60-64","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Undeclared","Declared disabled","230","190","30230","27570"
"In post","2021","60-64","Undeclared","Declared non-disabled","960","780","31450","27570"
"In post","2021","60-64","Undeclared","Undeclared","650","540","34320","30620"
"In post","2021","60-64","Undeclared","Unknown","180","150","36000","33650"
"In post","2021","60-64","Unknown","Declared disabled","150","120","28760","26590"
"In post","2021","60-64","Unknown","Declared non-disabled","790","660","30520","27130"
"In post","2021","60-64","Unknown","Undeclared","130","110","30180","28130"
"In post","2021","60-64","Unknown","Unknown","2250","1890","31600","26580"
"In post","2021","60-64","White","Declared disabled","4620","3720","29320","27570"
"In post","2021","60-64","White","Declared non-disabled","21130","17280","32000","27570"
"In post","2021","60-64","White","Undeclared","1650","1350","30230","27570"
"In post","2021","60-64","White","Unknown","1860","1530","33790","28130"
"In post","2021","65+","Asian","Declared disabled","80","60","29930","28200"
"In post","2021","65+","Asian","Declared non-disabled","500","380","29770","25930"
"In post","2021","65+","Asian","Undeclared","40","30","[c]","[c]"
"In post","2021","65+","Asian","Unknown","50","40","39340","32090"
"In post","2021","65+","Black","Declared disabled","50","40","[c]","[c]"
"In post","2021","65+","Black","Declared non-disabled","230","200","29530","26280"
"In post","2021","65+","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","65+","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","65+","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","65+","Mixed","Declared non-disabled","60","50","30040","26780"
"In post","2021","65+","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","65+","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","65+","Other ethnicity","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","65+","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Undeclared","Declared disabled","90","60","28820","27570"
"In post","2021","65+","Undeclared","Declared non-disabled","330","250","31660","27570"
"In post","2021","65+","Undeclared","Undeclared","190","150","33940","28130"
"In post","2021","65+","Undeclared","Unknown","60","40","36320","29250"
"In post","2021","65+","Unknown","Declared disabled","60","40","32180","27130"
"In post","2021","65+","Unknown","Declared non-disabled","300","230","30690","25590"
"In post","2021","65+","Unknown","Undeclared","50","40","29210","26870"
"In post","2021","65+","Unknown","Unknown","650","510","31540","25560"
"In post","2021","65+","White","Declared disabled","1360","1020","28070","26120"
"In post","2021","65+","White","Declared non-disabled","6260","4750","30630","26780"
"In post","2021","65+","White","Undeclared","540","410","28780","26140"
"In post","2021","65+","White","Unknown","610","480","34520","28130"
"In post","2021","Unknown","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Declared non-disabled","90","80","23020","21260"
"In post","2022","16-19","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","480","460","21520","21250"
"In post","2022","16-19","White","Declared disabled","40","40","[c]","[c]"
"In post","2022","16-19","White","Declared non-disabled","530","510","21840","21260"
"In post","2022","16-19","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","Unknown","60","50","21770","21660"
"In post","2022","20-29","Asian","Declared disabled","400","390","30380","27570"
"In post","2022","20-29","Asian","Declared non-disabled","5540","5430","29640","27570"
"In post","2022","20-29","Asian","Undeclared","230","220","30690","29930"
"In post","2022","20-29","Asian","Unknown","740","730","30900","28840"
"In post","2022","20-29","Black","Declared disabled","210","210","30630","30730"
"In post","2022","20-29","Black","Declared non-disabled","1850","1830","30310","29290"
"In post","2022","20-29","Black","Undeclared","70","70","31710","31060"
"In post","2022","20-29","Black","Unknown","240","230","32040","30280"
"In post","2022","20-29","Mixed","Declared disabled","260","250","30090","27910"
"In post","2022","20-29","Mixed","Declared non-disabled","1840","1810","31130","28690"
"In post","2022","20-29","Mixed","Undeclared","90","90","30830","29290"
"In post","2022","20-29","Mixed","Unknown","250","250","33640","32660"
"In post","2022","20-29","Other ethnicity","Declared disabled","50","50","31860","31060"
"In post","2022","20-29","Other ethnicity","Declared non-disabled","380","380","31660","30270"
"In post","2022","20-29","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other ethnicity","Unknown","60","60","33450","30480"
"In post","2022","20-29","Undeclared","Declared disabled","100","100","29730","27570"
"In post","2022","20-29","Undeclared","Declared non-disabled","610","600","31120","29180"
"In post","2022","20-29","Undeclared","Undeclared","430","420","32470","31060"
"In post","2022","20-29","Undeclared","Unknown","210","200","32660","32190"
"In post","2022","20-29","Unknown","Declared disabled","130","130","29100","27570"
"In post","2022","20-29","Unknown","Declared non-disabled","1240","1210","27540","26030"
"In post","2022","20-29","Unknown","Undeclared","80","80","30850","30050"
"In post","2022","20-29","Unknown","Unknown","19830","19550","29030","27230"
"In post","2022","20-29","White","Declared disabled","4640","4550","29410","27570"
"In post","2022","20-29","White","Declared non-disabled","38920","38460","29750","27570"
"In post","2022","20-29","White","Undeclared","1530","1510","30210","27570"
"In post","2022","20-29","White","Unknown","4640","4600","31500","29550"
"In post","2022","30-39","Asian","Declared disabled","590","560","33640","30820"
"In post","2022","30-39","Asian","Declared non-disabled","7470","7070","34030","30750"
"In post","2022","30-39","Asian","Undeclared","400","380","33250","28990"
"In post","2022","30-39","Asian","Unknown","760","730","37460","33370"
"In post","2022","30-39","Black","Declared disabled","320","310","34490","31060"
"In post","2022","30-39","Black","Declared non-disabled","2820","2720","32920","31060"
"In post","2022","30-39","Black","Undeclared","120","110","33670","31060"
"In post","2022","30-39","Black","Unknown","270","260","36750","33810"
"In post","2022","30-39","Mixed","Declared disabled","320","310","34820","31060"
"In post","2022","30-39","Mixed","Declared non-disabled","1930","1850","37280","33300"
"In post","2022","30-39","Mixed","Undeclared","120","120","35110","31060"
"In post","2022","30-39","Mixed","Unknown","240","230","40890","37370"
"In post","2022","30-39","Other ethnicity","Declared disabled","60","50","39660","36220"
"In post","2022","30-39","Other ethnicity","Declared non-disabled","480","460","37900","33210"
"In post","2022","30-39","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Other ethnicity","Unknown","60","60","38810","36500"
"In post","2022","30-39","Undeclared","Declared disabled","250","240","33630","29430"
"In post","2022","30-39","Undeclared","Declared non-disabled","1540","1480","35480","31900"
"In post","2022","30-39","Undeclared","Undeclared","1240","1210","37590","33370"
"In post","2022","30-39","Undeclared","Unknown","420","400","37640","35000"
"In post","2022","30-39","Unknown","Declared disabled","240","220","33560","30450"
"In post","2022","30-39","Unknown","Declared non-disabled","2170","2010","32060","27570"
"In post","2022","30-39","Unknown","Undeclared","230","220","34260","31180"
"In post","2022","30-39","Unknown","Unknown","16520","15900","34710","30750"
"In post","2022","30-39","White","Declared disabled","7130","6770","33470","29330"
"In post","2022","30-39","White","Declared non-disabled","56980","54150","35440","31540"
"In post","2022","30-39","White","Undeclared","3040","2880","33710","30450"
"In post","2022","30-39","White","Unknown","5800","5570","37610","35000"
"In post","2022","40-49","Asian","Declared disabled","940","860","32850","29290"
"In post","2022","40-49","Asian","Declared non-disabled","6940","6400","35500","30820"
"In post","2022","40-49","Asian","Undeclared","370","340","34580","30500"
"In post","2022","40-49","Asian","Unknown","740","700","40860","36740"
"In post","2022","40-49","Black","Declared disabled","400","370","33430","31060"
"In post","2022","40-49","Black","Declared non-disabled","3040","2930","34540","31060"
"In post","2022","40-49","Black","Undeclared","170","160","35190","31650"
"In post","2022","40-49","Black","Unknown","240","230","40400","37610"
"In post","2022","40-49","Mixed","Declared disabled","350","320","36030","31060"
"In post","2022","40-49","Mixed","Declared non-disabled","1370","1290","39910","34340"
"In post","2022","40-49","Mixed","Undeclared","90","90","37870","32520"
"In post","2022","40-49","Mixed","Unknown","110","100","42900","40000"
"In post","2022","40-49","Other ethnicity","Declared disabled","100","90","36200","31650"
"In post","2022","40-49","Other ethnicity","Declared non-disabled","460","440","38320","33210"
"In post","2022","40-49","Other ethnicity","Undeclared","30","30","[c]","[c]"
"In post","2022","40-49","Other ethnicity","Unknown","50","40","[c]","[c]"
"In post","2022","40-49","Undeclared","Declared disabled","480","450","32460","28770"
"In post","2022","40-49","Undeclared","Declared non-disabled","2110","1980","35630","31060"
"In post","2022","40-49","Undeclared","Undeclared","1740","1670","37990","33370"
"In post","2022","40-49","Undeclared","Unknown","510","490","42200","38280"
"In post","2022","40-49","Unknown","Declared disabled","240","220","34780","31210"
"In post","2022","40-49","Unknown","Declared non-disabled","2290","2110","34700","29280"
"In post","2022","40-49","Unknown","Undeclared","270","260","34050","31650"
"In post","2022","40-49","Unknown","Unknown","10850","10320","38270","32690"
"In post","2022","40-49","White","Declared disabled","9970","9250","33810","28430"
"In post","2022","40-49","White","Declared non-disabled","63060","59150","37910","32740"
"In post","2022","40-49","White","Undeclared","3770","3570","34500","31650"
"In post","2022","40-49","White","Unknown","5810","5510","40470","36840"
"In post","2022","50-59","Asian","Declared disabled","860","790","33060","29470"
"In post","2022","50-59","Asian","Declared non-disabled","4510","4230","34080","29750"
"In post","2022","50-59","Asian","Undeclared","250","240","34220","31020"
"In post","2022","50-59","Asian","Unknown","440","420","40560","33440"
"In post","2022","50-59","Black","Declared disabled","830","780","33440","31020"
"In post","2022","50-59","Black","Declared non-disabled","4120","3990","34160","31060"
"In post","2022","50-59","Black","Undeclared","300","280","32990","31300"
"In post","2022","50-59","Black","Unknown","260","260","39730","33390"
"In post","2022","50-59","Mixed","Declared disabled","340","320","35230","31060"
"In post","2022","50-59","Mixed","Declared non-disabled","1110","1060","36770","31740"
"In post","2022","50-59","Mixed","Undeclared","100","100","36770","31650"
"In post","2022","50-59","Mixed","Unknown","100","90","41910","37960"
"In post","2022","50-59","Other ethnicity","Declared disabled","130","120","35030","31590"
"In post","2022","50-59","Other ethnicity","Declared non-disabled","400","380","37600","31880"
"In post","2022","50-59","Other ethnicity","Undeclared","40","40","[c]","[c]"
"In post","2022","50-59","Other ethnicity","Unknown","50","40","[c]","[c]"
"In post","2022","50-59","Undeclared","Declared disabled","920","860","32940","28950"
"In post","2022","50-59","Undeclared","Declared non-disabled","3360","3150","34310","30030"
"In post","2022","50-59","Undeclared","Undeclared","2770","2650","36520","33300"
"In post","2022","50-59","Undeclared","Unknown","620","590","39680","35000"
"In post","2022","50-59","Unknown","Declared disabled","460","420","33420","29820"
"In post","2022","50-59","Unknown","Declared non-disabled","2430","2270","34520","28310"
"In post","2022","50-59","Unknown","Undeclared","390","360","33400","31650"
"In post","2022","50-59","Unknown","Unknown","9960","9380","37090","31740"
"In post","2022","50-59","White","Declared disabled","15870","14680","32510","27570"
"In post","2022","50-59","White","Declared non-disabled","79720","74940","36020","30870"
"In post","2022","50-59","White","Undeclared","5940","5610","33180","31650"
"In post","2022","50-59","White","Unknown","6770","6380","38980","35000"
"In post","2022","60-64","Asian","Declared disabled","250","210","30750","27710"
"In post","2022","60-64","Asian","Declared non-disabled","1180","1020","32010","28780"
"In post","2022","60-64","Asian","Undeclared","70","70","31580","28670"
"In post","2022","60-64","Asian","Unknown","100","90","37890","33240"
"In post","2022","60-64","Black","Declared disabled","240","220","30950","29290"
"In post","2022","60-64","Black","Declared non-disabled","1010","920","31670","29300"
"In post","2022","60-64","Black","Undeclared","90","80","30600","30910"
"In post","2022","60-64","Black","Unknown","80","80","35670","31310"
"In post","2022","60-64","Mixed","Declared disabled","100","80","30910","28030"
"In post","2022","60-64","Mixed","Declared non-disabled","250","220","35800","29340"
"In post","2022","60-64","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Other ethnicity","Declared disabled","30","30","[c]","[c]"
"In post","2022","60-64","Other ethnicity","Declared non-disabled","130","110","36380","31740"
"In post","2022","60-64","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Undeclared","Declared disabled","270","220","31220","27570"
"In post","2022","60-64","Undeclared","Declared non-disabled","1050","860","32230","27570"
"In post","2022","60-64","Undeclared","Undeclared","710","600","34640","31990"
"In post","2022","60-64","Undeclared","Unknown","170","140","40210","35000"
"In post","2022","60-64","Unknown","Declared disabled","160","120","32100","28580"
"In post","2022","60-64","Unknown","Declared non-disabled","740","630","31070","27130"
"In post","2022","60-64","Unknown","Undeclared","100","80","30950","28920"
"In post","2022","60-64","Unknown","Unknown","2530","2160","32840","28200"
"In post","2022","60-64","White","Declared disabled","5070","4090","29770","27570"
"In post","2022","60-64","White","Declared non-disabled","22570","18600","32520","27570"
