"Status","Year","Region_ITL3","Age","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Barnet","30-39","Unknown","50","40","[c]","[c]"
"In post","2021","Barnet","40-49","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","40-49","Declared non-disabled","200","190","42910","39480"
"In post","2021","Barnet","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","40-49","Unknown","120","120","50430","46000"
"In post","2021","Barnet","50-59","Declared disabled","40","30","[c]","[c]"
"In post","2021","Barnet","50-59","Declared non-disabled","250","230","38600","32330"
"In post","2021","Barnet","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","Unknown","140","140","48090","44950"
"In post","2021","Barnet","60-64","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","60-64","Declared non-disabled","70","60","36760","31880"
"In post","2021","Barnet","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","60-64","Unknown","50","40","[c]","[c]"
"In post","2021","Barnet","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","Declared non-disabled","280","270","24890","25300"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","Undeclared","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","Unknown","80","80","23770","22850"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Declared disabled","60","60","25050","24690"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Declared non-disabled","390","350","27290","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Undeclared","50","50","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Unknown","50","50","24400","24440"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Declared disabled","110","100","28040","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Declared non-disabled","500","440","27760","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Undeclared","60","50","30900","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Declared disabled","160","140","27660","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Declared non-disabled","720","640","28040","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Undeclared","90","90","31370","31650"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Declared disabled","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Declared non-disabled","210","150","25940","26480"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","Declared non-disabled","50","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","Declared non-disabled","60","60","18610","18960"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","Unknown","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Declared disabled","210","210","27830","27290"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Declared non-disabled","2080","2060","27690","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Undeclared","90","90","28010","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Unknown","440","430","27810","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Declared disabled","250","240","34700","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Declared non-disabled","2330","2220","36140","34800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Undeclared","170","160","37390","37000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Unknown","410","390","38660","36740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Declared disabled","300","290","39670","37990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Declared non-disabled","2030","1950","41730","40000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Undeclared","210","200","41690","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Unknown","340","330","44750","41270"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Declared disabled","430","410","39790","39860"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Declared non-disabled","2320","2260","44400","41480"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Undeclared","310","300","41350","39880"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Unknown","310","300","44440","40790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Declared disabled","120","110","36710","37170"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Declared non-disabled","580","510","42670","40640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Undeclared","70","60","41600","40900"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Unknown","60","50","42210","41840"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","Declared disabled","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","Declared non-disabled","150","120","37140","33790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","20-29","Declared non-disabled","100","100","28130","29920"
"In post","2021","Bedford","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","20-29","Unknown","40","30","[c]","[c]"
"In post","2021","Bedford","30-39","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","30-39","Declared non-disabled","120","110","29410","27850"
"In post","2021","Bedford","30-39","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","40-49","Declared disabled","30","30","[c]","[c]"
"In post","2021","Bedford","40-49","Declared non-disabled","130","120","31350","28990"
"In post","2021","Bedford","40-49","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","50-59","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","50-59","Declared non-disabled","180","160","33710","29230"
"In post","2021","Bedford","50-59","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","60-64","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","60-64","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Bedford","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","65+","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","20-29","Declared non-disabled","170","170","23980","21430"
"In post","2021","Belfast","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","20-29","Unknown","190","180","22480","20140"
"In post","2021","Belfast","30-39","Declared disabled","30","30","[c]","[c]"
"In post","2021","Belfast","30-39","Declared non-disabled","460","430","29150","25560"
"In post","2021","Belfast","30-39","Undeclared","40","40","[c]","[c]"
"In post","2021","Belfast","30-39","Unknown","210","200","26120","25560"
"In post","2021","Belfast","40-49","Declared disabled","70","70","26920","25440"
"In post","2021","Belfast","40-49","Declared non-disabled","430","400","30570","25560"
"In post","2021","Belfast","40-49","Undeclared","40","40","[c]","[c]"
"In post","2021","Belfast","40-49","Unknown","180","170","27120","25560"
"In post","2021","Belfast","50-59","Declared disabled","90","90","30900","28130"
"In post","2021","Belfast","50-59","Declared non-disabled","460","420","32280","28130"
"In post","2021","Belfast","50-59","Undeclared","40","40","[c]","[c]"
"In post","2021","Belfast","50-59","Unknown","160","150","32360","28130"
"In post","2021","Belfast","60-64","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","60-64","Declared non-disabled","100","80","28400","25840"
"In post","2021","Belfast","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","65+","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Belfast","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","20-29","Declared non-disabled","240","240","29160","27680"
"In post","2021","Berkshire","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","20-29","Unknown","140","140","28110","26610"
"In post","2021","Berkshire","30-39","Declared disabled","60","60","32500","29930"
"In post","2021","Berkshire","30-39","Declared non-disabled","380","370","34750","31670"
"In post","2021","Berkshire","30-39","Undeclared","40","30","[c]","[c]"
"In post","2021","Berkshire","30-39","Unknown","120","120","36160","37150"
"In post","2021","Berkshire","40-49","Declared disabled","70","60","34820","31430"
"In post","2021","Berkshire","40-49","Declared non-disabled","450","420","35580","30280"
"In post","2021","Berkshire","40-49","Undeclared","40","40","[c]","[c]"
"In post","2021","Berkshire","40-49","Unknown","120","110","37780","39070"
"In post","2021","Berkshire","50-59","Declared disabled","120","110","33180","31110"
"In post","2021","Berkshire","50-59","Declared non-disabled","570","550","36400","32520"
"In post","2021","Berkshire","50-59","Undeclared","70","70","33590","31810"
"In post","2021","Berkshire","50-59","Unknown","150","140","37410","37560"
"In post","2021","Berkshire","60-64","Declared disabled","40","40","[c]","[c]"
"In post","2021","Berkshire","60-64","Declared non-disabled","160","150","32740","29290"
"In post","2021","Berkshire","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","60-64","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","65+","Declared non-disabled","60","50","33210","29290"
"In post","2021","Berkshire","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","16-19","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","20-29","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","20-29","Declared non-disabled","190","190","29820","31060"
"In post","2021","Bexley and Greenwich","20-29","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","20-29","Unknown","90","90","29180","30150"
"In post","2021","Bexley and Greenwich","30-39","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","30-39","Declared non-disabled","280","270","32610","32600"
"In post","2021","Bexley and Greenwich","30-39","Undeclared","30","30","[c]","[c]"
"In post","2021","Bexley and Greenwich","30-39","Unknown","60","60","29630","30150"
"In post","2021","Bexley and Greenwich","40-49","Declared disabled","40","30","[c]","[c]"
"In post","2021","Bexley and Greenwich","40-49","Declared non-disabled","230","220","32700","31060"
"In post","2021","Bexley and Greenwich","40-49","Undeclared","50","40","[c]","[c]"
"In post","2021","Bexley and Greenwich","40-49","Unknown","40","40","[c]","[c]"
"In post","2021","Bexley and Greenwich","50-59","Declared disabled","80","80","31130","30780"
"In post","2021","Bexley and Greenwich","50-59","Declared non-disabled","320","310","33160","31880"
"In post","2021","Bexley and Greenwich","50-59","Undeclared","80","80","33970","34750"
"In post","2021","Bexley and Greenwich","50-59","Unknown","30","30","[c]","[c]"
"In post","2021","Bexley and Greenwich","60-64","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","60-64","Declared non-disabled","100","80","32340","31460"
"In post","2021","Bexley and Greenwich","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","65+","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","65+","Declared non-disabled","[c]","[c]","[c]","[c]"
