"Status","Year","Organisation","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Charity Commission","Male","White","140","130","35200","29400"
"In post","2021","Companies House","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Undeclared","40","30","[c]","[c]"
"In post","2021","Companies House","Female","Unknown","30","30","[c]","[c]"
"In post","2021","Companies House","Female","White","510","440","29230","24500"
"In post","2021","Companies House","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Undeclared","50","40","[c]","[c]"
"In post","2021","Companies House","Male","Unknown","60","60","29630","24500"
"In post","2021","Companies House","Male","White","360","360","33820","30720"
"In post","2021","Competition and Markets Authority","Female","Asian","60","60","42590","35270"
"In post","2021","Competition and Markets Authority","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","White","290","270","62780","58920"
"In post","2021","Competition and Markets Authority","Male","Asian","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","White","280","270","64700","59940"
"In post","2021","Criminal Injuries Compensation Authority","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","White","120","110","27250","22710"
"In post","2021","Criminal Injuries Compensation Authority","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","White","100","90","26010","23000"
"In post","2021","Crown Commercial Service","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Unknown","60","60","35170","34800"
"In post","2021","Crown Commercial Service","Female","White","300","290","36460","34800"
"In post","2021","Crown Commercial Service","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Unknown","60","60","31070","27770"
"In post","2021","Crown Commercial Service","Male","White","270","270","40380","35420"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","White","1370","1240","34640","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","White","510","490","37680","32360"
"In post","2021","Crown Prosecution Service","Female","Asian","430","380","38990","31820"
"In post","2021","Crown Prosecution Service","Female","Black","280","260","39330","32240"
"In post","2021","Crown Prosecution Service","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Mixed","120","110","41450","39260"
"In post","2021","Crown Prosecution Service","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Undeclared","60","60","39630","33650"
"In post","2021","Crown Prosecution Service","Female","Unknown","440","400","38440","30110"
"In post","2021","Crown Prosecution Service","Female","White","3110","2810","39930","33930"
"In post","2021","Crown Prosecution Service","Male","Asian","180","170","40460","38760"
"In post","2021","Crown Prosecution Service","Male","Black","90","90","43300","35630"
"In post","2021","Crown Prosecution Service","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Mixed","60","50","46140","48830"
"In post","2021","Crown Prosecution Service","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Undeclared","60","60","42260","42300"
"In post","2021","Crown Prosecution Service","Male","Unknown","240","230","42630","38180"
"In post","2021","Crown Prosecution Service","Male","White","1620","1580","45510","48080"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","White","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","White","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","White","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","White","50","50","67790","60660"
"In post","2021","Defence Electronics and Components Agency","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","White","60","60","27930","25630"
"In post","2021","Defence Electronics and Components Agency","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","White","330","320","28820","28750"
"In post","2021","Defence Equipment and Support","Female","Asian","110","100","32420","29230"
"In post","2021","Defence Equipment and Support","Female","Black","80","80","30190","30160"
"In post","2021","Defence Equipment and Support","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","Mixed","60","60","33240","29640"
"In post","2021","Defence Equipment and Support","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","Undeclared","140","130","36730","34290"
"In post","2021","Defence Equipment and Support","Female","Unknown","170","160","32770","30420"
"In post","2021","Defence Equipment and Support","Female","White","3060","2860","34250","32050"
"In post","2021","Defence Equipment and Support","Male","Asian","220","210","34540","32620"
"In post","2021","Defence Equipment and Support","Male","Black","130","130","34040","33950"
"In post","2021","Defence Equipment and Support","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Male","Mixed","80","80","35980","32670"
"In post","2021","Defence Equipment and Support","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Male","Undeclared","500","490","39850","38970"
"In post","2021","Defence Equipment and Support","Male","Unknown","440","430","31820","29400"
"In post","2021","Defence Equipment and Support","Male","White","5650","5550","38040","35790"
"In post","2021","Defence Science and Technology Laboratory","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Undeclared","90","90","39380","37320"
"In post","2021","Defence Science and Technology Laboratory","Female","Unknown","80","70","31950","28650"
"In post","2021","Defence Science and Technology Laboratory","Female","White","1330","1240","37990","37320"
"In post","2021","Defence Science and Technology Laboratory","Male","Asian","50","50","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Mixed","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Undeclared","350","340","42800","46080"
"In post","2021","Defence Science and Technology Laboratory","Male","Unknown","200","200","36490","37320"
"In post","2021","Defence Science and Technology Laboratory","Male","White","2170","2120","42370","46080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Asian","260","250","44690","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Black","180","180","40140","35530"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Mixed","100","90","45920","40650"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Undeclared","90","90","50160","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Unknown","280","270","44190","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","White","1650","1580","49440","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Asian","190","190","42980","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Black","90","90","42600","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Mixed","100","90","48590","52300"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Undeclared","160","160","53750","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Unknown","320","310","46240","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","White","1820","1800","51760","53380"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Asian","70","70","46090","50860"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Black","60","60","39590","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Unknown","100","90","46660","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","White","660","640","49730","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Asian","60","60","47270","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Unknown","90","90","48370","44530"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","White","560","560","51320","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Female","Asian","260","250","40380","36660"
"In post","2021","Department for Education (excl. agencies)","Female","Black","150","150","40070","36500"
"In post","2021","Department for Education (excl. agencies)","Female","Chinese","[c]","[c]","[c]","[c]"
