"Status","Year","Disability","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Male","60","50","50710","42480"
"In post","2021","Declared disabled","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Female","460","360","23020","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Male","200","190","26470","21590"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Female","170","150","28740","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Male","290","270","29560","26780"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Female","100","90","39050","36780"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Male","70","70","40350","37100"
"In post","2021","Declared disabled","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Female","30","30","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Male","50","50","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Male","40","40","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Female","390","370","43380","38600"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Male","330","330","45530","39110"
"In post","2021","Declared disabled","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","Female","30","30","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","Female","100","100","54980","59310"
"In post","2021","Declared disabled","Government Legal Department","Male","80","80","50470","51250"
"In post","2021","Declared disabled","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","Female","200","170","36680","31710"
"In post","2021","Declared disabled","Health and Safety Executive","Male","130","120","43530","43830"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Female","1490","1310","23730","20650"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Male","590","560","23730","20650"
"In post","2021","Declared disabled","HM Land Registry","Female","290","240","29870","27130"
"In post","2021","Declared disabled","HM Land Registry","Male","200","180","31490","27130"
"In post","2021","Declared disabled","HM Prison and Probation Service","Female","3440","3200","29740","28200"
"In post","2021","Declared disabled","HM Prison and Probation Service","Male","2520","2390","31820","31650"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","Female","3130","2710","30230","25630"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","Male","2360","2200","31880","28130"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","Female","100","100","43850","38890"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","Male","90","90","48820","52500"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Female","1670","1490","30990","27370"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Male","1400","1320","31720","27370"
"In post","2021","Declared disabled","Insolvency Service","Female","120","110","31440","28980"
"In post","2021","Declared disabled","Insolvency Service","Male","60","60","35770","34870"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal Aid Agency","Female","80","80","25210","21810"
"In post","2021","Declared disabled","Legal Aid Agency","Male","50","50","26470","20440"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","Male","40","40","[c]","[c]"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Female","30","30","[c]","[c]"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Met Office","Female","50","50","34840","32810"
"In post","2021","Declared disabled","Met Office","Male","50","50","37580","36730"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Female","1670","1580","30840","26670"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Male","1790","1740","32550","29670"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","150","150","42180","39600"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","130","130","43930","38160"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","Female","350","330","39770","35290"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","Male","210","210","41440","37050"
"In post","2021","Declared disabled","National Crime Agency","Female","100","100","37000","36310"
"In post","2021","Declared disabled","National Crime Agency","Male","100","100","39050","36630"
"In post","2021","Declared disabled","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Records of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Records of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education, Children's Services and Skills","Female","100","90","44830","51360"
"In post","2021","Declared disabled","Office for Standards in Education, Children's Services and Skills","Male","40","40","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of the Public Guardian","Female","120","110","22330","21170"
"In post","2021","Declared disabled","Office of the Public Guardian","Male","80","80","23500","19930"
"In post","2021","Declared disabled","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectorate","Male","30","30","[c]","[c]"
"In post","2021","Declared disabled","Public Health England","Female","230","210","36950","32330"
"In post","2021","Declared disabled","Public Health England","Male","110","100","42410","34900"
"In post","2021","Declared disabled","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Registers of Scotland","Female","80","70","32380","30080"
"In post","2021","Declared disabled","Registers of Scotland","Male","60","60","32380","30080"
"In post","2021","Declared disabled","Revenue Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Royal Fleet Auxiliary","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Royal Fleet Auxiliary","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Rural Payments Agency","Female","110","90","26450","24920"
"In post","2021","Declared disabled","Rural Payments Agency","Male","70","60","25870","21050"
"In post","2021","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Forestry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Forestry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government (excl. agencies)","Female","400","380","40260","35110"
"In post","2021","Declared disabled","Scottish Government (excl. agencies)","Male","290","280","40410","35110"
"In post","2021","Declared disabled","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Prison Service","Female","120","120","32840","33650"
"In post","2021","Declared disabled","Scottish Prison Service","Male","260","240","34240","33650"
"In post","2021","Declared disabled","Scottish Public Pensions Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Public Pensions Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Security Scotland","Female","80","70","27370","23340"
"In post","2021","Declared disabled","Social Security Scotland","Male","50","40","[c]","[c]"
"In post","2021","Declared disabled","Standards and Testing Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Standards and Testing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Student Awards Agency for Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Student Awards Agency for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Submarine Delivery Agency","Female","80","80","37000","35630"
"In post","2021","Declared disabled","Submarine Delivery Agency","Male","90","90","41770","39990"
"In post","2021","Declared disabled","Teaching Regulation Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Transport Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Transport Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Hydrographic Office","Male","50","40","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Female","30","30","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Male","40","40","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Female","330","290","31190","29540"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Male","190","170","32070","30130"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Valuation Office Agency","Female","140","120","30160","26000"
"In post","2021","Declared disabled","Valuation Office Agency","Male","110","100","36320","32110"
"In post","2021","Declared disabled","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government (excl. agencies)","Female","190","170","38370","37410"
"In post","2021","Declared disabled","Welsh Government (excl. agencies)","Male","140","130","39050","37410"
"In post","2021","Declared disabled","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wilton Park","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Accountant in Bankruptcy","Female","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Female","130","120","32890","30950"
"In post","2021","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Male","90","90","35540","30950"
"In post","2021","Declared non-disabled","Animal and Plant Health Agency","Female","1200","1110","30070","26520"
"In post","2021","Declared non-disabled","Animal and Plant Health Agency","Male","800","780","32690","29690"
"In post","2021","Declared non-disabled","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Cabinet Office (excl. agencies)","Female","2390","2300","46490","40600"
"In post","2021","Declared non-disabled","Cabinet Office (excl. agencies)","Male","2110","2090","51830","53500"
"In post","2021","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Female","200","190","31220","29270"
"In post","2021","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Male","200","190","34510","29750"
"In post","2021","Declared non-disabled","Charity Commission","Female","120","110","35790","29160"
"In post","2021","Declared non-disabled","Charity Commission","Male","90","90","34520","29160"
"In post","2021","Declared non-disabled","Companies House","Female","390","350","29900","24900"
"In post","2021","Declared non-disabled","Companies House","Male","280","280","35020","32910"
"In post","2021","Declared non-disabled","Competition and Markets Authority","Female","360","340","57760","55860"
"In post","2021","Declared non-disabled","Competition and Markets Authority","Male","350","340","61280","56630"
"In post","2021","Declared non-disabled","Criminal Injuries Compensation Authority","Female","90","80","28600","22710"
"In post","2021","Declared non-disabled","Criminal Injuries Compensation Authority","Male","70","70","26680","22910"
"In post","2021","Declared non-disabled","Crown Commercial Service","Female","120","120","38710","35290"
"In post","2021","Declared non-disabled","Crown Commercial Service","Male","80","80","45150","35470"
"In post","2021","Declared non-disabled","Crown Office and Procurator Fiscal Service","Female","1310","1200","34780","29040"
"In post","2021","Declared non-disabled","Crown Office and Procurator Fiscal Service","Male","490","480","37560","31720"
"In post","2021","Declared non-disabled","Crown Prosecution Service","Female","3000","2680","40780","34160"
"In post","2021","Declared non-disabled","Crown Prosecution Service","Male","1560","1520","46170","48830"
"In post","2021","Declared non-disabled","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Defence Electronics and Components Agency","Female","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Defence Electronics and Components Agency","Male","170","170","29050","28750"
"In post","2021","Declared non-disabled","Defence Equipment and Support","Female","2700","2530","34020","31600"
"In post","2021","Declared non-disabled","Defence Equipment and Support","Male","5140","5060","37910","35630"
"In post","2021","Declared non-disabled","Defence Science and Technology Laboratory","Female","1050","980","37890","37320"
"In post","2021","Declared non-disabled","Defence Science and Technology Laboratory","Male","1720","1680","42270","41820"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","1800","1720","48400","49080"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","1890","1870","51560","53380"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","Female","720","700","48500","51730"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","Male","610","610","50940","51730"
"In post","2021","Declared non-disabled","Department for Education (excl. agencies)","Female","2250","2120","44990","41990"
"In post","2021","Declared non-disabled","Department for Education (excl. agencies)","Male","1600","1590","47150","45850"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","2040","1920","41640","37240"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","1730","1720","43940","39490"
"In post","2021","Declared non-disabled","Department for International Trade","Female","640","620","46030","40810"
"In post","2021","Declared non-disabled","Department for International Trade","Male","780","770","47240","41730"
"In post","2021","Declared non-disabled","Department for Transport (excl. agencies)","Female","1040","990","47480","43360"
"In post","2021","Declared non-disabled","Department for Transport (excl. agencies)","Male","1320","1300","51370","46710"
"In post","2021","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Female","45040","38720","27260","27570"
"In post","2021","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Male","23470","22560","28690","27570"
"In post","2021","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Female","510","480","49160","50260"
"In post","2021","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Male","350","340","50990","50750"
"In post","2021","Declared non-disabled","Disclosure Scotland","Female","60","60","27570","24110"
"In post","2021","Declared non-disabled","Disclosure Scotland","Male","70","70","28600","22230"
"In post","2021","Declared non-disabled","Driver and Vehicle Licensing Agency","Female","2680","2220","24690","21590"
"In post","2021","Declared non-disabled","Driver and Vehicle Licensing Agency","Male","1760","1710","29370","25390"
"In post","2021","Declared non-disabled","Driver and Vehicle Standards Agency","Female","930","840","29370","26780"
"In post","2021","Declared non-disabled","Driver and Vehicle Standards Agency","Male","2320","2200","30400","27680"
"In post","2021","Declared non-disabled","Education and Skills Funding Agency","Female","790","750","41850","37100"
"In post","2021","Declared non-disabled","Education and Skills Funding Agency","Male","600","590","43900","37570"
"In post","2021","Declared non-disabled","Education Scotland","Female","100","90","55710","61010"
"In post","2021","Declared non-disabled","Education Scotland","Male","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","ESTYN","Female","60","50","54760","69690"
"In post","2021","Declared non-disabled","ESTYN","Male","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","FCDO Services","Female","260","240","38910","32090"
"In post","2021","Declared non-disabled","FCDO Services","Male","640","630","41330","39580"
"In post","2021","Declared non-disabled","Food Standards Agency","Female","280","260","40230","37910"
"In post","2021","Declared non-disabled","Food Standards Agency","Male","530","520","34930","29090"
"In post","2021","Declared non-disabled","Food Standards Scotland","Female","50","50","36130","33620"
"In post","2021","Declared non-disabled","Food Standards Scotland","Male","50","50","35300","29290"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Female","2550","2470","47180","41770"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Male","2390","2380","50870","50430"
"In post","2021","Declared non-disabled","Forestry and Land Scotland","Female","290","270","31530","29140"
"In post","2021","Declared non-disabled","Forestry and Land Scotland","Male","620","600","31780","30160"
"In post","2021","Declared non-disabled","Government Actuary's Department","Female","50","50","61950","62730"
"In post","2021","Declared non-disabled","Government Actuary's Department","Male","100","90","74010","66000"
"In post","2021","Declared non-disabled","Government Internal Audit Agency","Female","180","160","46860","44020"
"In post","2021","Declared non-disabled","Government Internal Audit Agency","Male","180","180","50930","49750"
"In post","2021","Declared non-disabled","Government Legal Department","Female","1210","1100","53760","51830"
"In post","2021","Declared non-disabled","Government Legal Department","Male","650","630","54450","52040"
"In post","2021","Declared non-disabled","Government Property Agency","Female","70","70","45400","45200"
"In post","2021","Declared non-disabled","Government Property Agency","Male","90","90","53870","52000"
"In post","2021","Declared non-disabled","Health and Safety Executive","Female","1010","910","38750","35910"
"In post","2021","Declared non-disabled","Health and Safety Executive","Male","1030","1000","48790","45870"
"In post","2021","Declared non-disabled","HM Courts and Tribunals Service","Female","8400","7300","24760","21180"
"In post","2021","Declared non-disabled","HM Courts and Tribunals Service","Male","3310","3190","26320","21950"
"In post","2021","Declared non-disabled","HM Land Registry","Female","2270","1940","31900","27130"
"In post","2021","Declared non-disabled","HM Land Registry","Male","1420","1320","35020","33840"
"In post","2021","Declared non-disabled","HM Prison and Probation Service","Female","18400","17110","29790","27380"
"In post","2021","Declared non-disabled","HM Prison and Probation Service","Male","17470","16870","31240","30400"
"In post","2021","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Female","18900","16740","31590","28130"
"In post","2021","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Male","16210","15620","34050","31810"
"In post","2021","Declared non-disabled","HM Treasury (excl. agencies)","Female","720","700","47110","43590"
"In post","2021","Declared non-disabled","HM Treasury (excl. agencies)","Male","720","720","49210","52500"
"In post","2021","Declared non-disabled","Home Office (incl. agencies)","Female","14910","13420","31340","27240"
"In post","2021","Declared non-disabled","Home Office (incl. agencies)","Male","13580","13000","32720","28350"
"In post","2021","Declared non-disabled","Insolvency Service","Female","630","590","32750","29320"
"In post","2021","Declared non-disabled","Insolvency Service","Male","450","430","37220","36060"
"In post","2021","Declared non-disabled","Institute for Apprenticeships and Technical Education","Female","110","110","47450","49960"
"In post","2021","Declared non-disabled","Institute for Apprenticeships and Technical Education","Male","70","70","50840","50620"
"In post","2021","Declared non-disabled","Legal Aid Agency","Female","530","480","28060","22570"
