"Status","Year","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Policy","Unknown","6110","5920","46780","41980"
"In post","2022","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Commercial","100","90","45160","41350"
"In post","2022","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Digital, Data & Technology","190","180","40120","35310"
"In post","2022","Project Delivery","Finance","50","50","41230","38280"
"In post","2022","Project Delivery","Human Resources","30","30","[c]","[c]"
"In post","2022","Project Delivery","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","No function","490","480","45130","41940"
"In post","2022","Project Delivery","Project Delivery","12970","12440","43330","40520"
"In post","2022","Project Delivery","Property","70","70","47970","41420"
"In post","2022","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","1950","1880","44230","41140"
"In post","2022","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Property","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Property","Finance","40","40","[c]","[c]"
"In post","2022","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Property","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Property","No function","30","30","[c]","[c]"
"In post","2022","Property","Project Delivery","60","60","41160","38330"
"In post","2022","Property","Property","7360","7040","37930","33380"
"In post","2022","Property","Unknown","80","80","39760","37460"
"In post","2022","Psychology","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","No function","1520","1450","35690","31180"
"In post","2022","Psychology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Analysis","710","670","37550","35900"
"In post","2022","Science and Engineering","Commercial","130","120","41490","41810"
"In post","2022","Science and Engineering","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Digital, Data & Technology","980","920","38900","39650"
"In post","2022","Science and Engineering","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","No function","6670","6360","40520","38110"
"In post","2022","Science and Engineering","Project Delivery","3520","3440","38920","37730"
"In post","2022","Science and Engineering","Security","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","Unknown","1940","1900","35930","33000"
"In post","2022","Security","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Security","Finance","320","310","42300","36650"
"In post","2022","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Security","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Security","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Security","No function","[c]","[c]","[c]","[c]"
"In post","2022","Security","Project Delivery","50","50","47040","47010"
"In post","2022","Security","Property","[c]","[c]","[c]","[c]"
"In post","2022","Security","Security","8510","8330","31960","28890"
"In post","2022","Security","Unknown","350","330","31350","28670"
"In post","2022","Social Research","Analysis","1090","1040","41810","38340"
"In post","2022","Social Research","No function","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","Unknown","240","230","45240","43560"
"In post","2022","Statistics","Analysis","2070","2000","43990","39850"
"In post","2022","Statistics","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","No function","60","60","50330","51710"
"In post","2022","Statistics","Project Delivery","30","30","[c]","[c]"
"In post","2022","Statistics","Unknown","230","220","38340","35490"
"In post","2022","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Tax","Communications","2490","2420","28980","26820"
"In post","2022","Tax","Counter Fraud","1910","1800","41890","37930"
"In post","2022","Tax","Debt","860","820","22200","21250"
"In post","2022","Tax","Digital, Data & Technology","80","80","40250","40180"
"In post","2022","Tax","Finance","90","90","36380","37770"
"In post","2022","Tax","Human Resources","210","200","35200","33080"
"In post","2022","Tax","Legal","340","330","41560","37930"
"In post","2022","Tax","No function","12940","12280","36030","33370"
"In post","2022","Tax","Project Delivery","640","600","35350","33370"
"In post","2022","Unknown","Analysis","150","150","40960","37610"
"In post","2022","Unknown","Commercial","1680","1660","68950","64500"
"In post","2022","Unknown","Communications","550","540","44430","40600"
"In post","2022","Unknown","Counter Fraud","790","780","33730","30750"
"In post","2022","Unknown","Debt","110","110","26240","21250"
"In post","2022","Unknown","Digital, Data & Technology","1530","1510","49540","54160"
"In post","2022","Unknown","Finance","330","320","46430","41140"
"In post","2022","Unknown","Human Resources","1320","1260","40020","35590"
"In post","2022","Unknown","Legal","220","220","58700","62120"
"In post","2022","Unknown","No function","7780","7620","38440","33080"
"In post","2022","Unknown","Project Delivery","360","350","56910","49700"
"In post","2022","Unknown","Property","120","120","49610","49700"
"In post","2022","Unknown","Security","990","950","33900","33000"
"In post","2022","Unknown","Unknown","16300","15670","40320","36130"
"In post","2022","Veterinarian","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","No function","400","380","43340","38390"
"In post","2022","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Commercial","140","130","40150","36470"
"Leaver CS","2021","Commercial","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2021","Commercial","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Communications","170","160","37280","33300"
"Leaver CS","2021","Communications","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Counter Fraud","30","30","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Digital, Data & Technology","370","350","41580","37960"
"Leaver CS","2021","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","70","70","43760","41950"
"Leaver CS","2021","Economics","Analysis","100","100","32460","24300"
"Leaver CS","2021","Economics","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Finance","200","180","42340","37590"
"Leaver CS","2021","Finance","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Human Resources","270","250","38720","33560"
"Leaver CS","2021","Human Resources","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","No function","80","70","67790","75500"
"Leaver CS","2021","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","Unknown","60","60","34950","32430"
"Leaver CS","2021","Internal Audit","Internal Audit","30","30","[c]","[c]"
"Leaver CS","2021","Internal Audit","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","No function","50","50","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","No function","70","60","37240","32650"
"Leaver CS","2021","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Legal","410","350","53050","54920"
"Leaver CS","2021","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","No function","70","50","83670","96510"
"Leaver CS","2021","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","Unknown","190","160","43150","37890"
"Leaver CS","2021","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Grants Management","90","80","24610","21050"
"Leaver CS","2021","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Legal","230","210","27640","23470"
"Leaver CS","2021","Operational Delivery","No function","7070","6330","27550","22350"
"Leaver CS","2021","Operational Delivery","Project Delivery","50","40","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Property","60","60","24180","20170"
"Leaver CS","2021","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Unknown","700","590","28920","25450"
"Leaver CS","2021","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","No function","130","120","40500","33010"
"Leaver CS","2021","Other","Project Delivery","130","130","30920","24910"
"Leaver CS","2021","Other","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Unknown","1120","1070","28790","26930"
"Leaver CS","2021","Planning","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","No function","510","490","44560","38960"
"Leaver CS","2021","Policy","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2021","Policy","Unknown","270","250","46490","40940"
"Leaver CS","2021","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Project Delivery","380","360","40170","37320"
"Leaver CS","2021","Project Delivery","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Property","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Property","410","360","31820","27650"
"Leaver CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","No function","110","90","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Analysis","30","30","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","No function","500","460","31790","28650"
"Leaver CS","2021","Science and Engineering","Project Delivery","150","140","35760","33890"
"Leaver CS","2021","Science and Engineering","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","120","110","32050","26670"
"Leaver CS","2021","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Security","380","370","30190","26670"
"Leaver CS","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","Analysis","40","30","[c]","[c]"
"Leaver CS","2021","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Analysis","50","40","[c]","[c]"
"Leaver CS","2021","Statistics","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Commercial","60","60","78630","69000"
"Leaver CS","2021","Unknown","Communications","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","50","50","45580","48190"
"Leaver CS","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","460","410","42030","32000"
"Leaver CS","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Property","50","50","30530","28120"
"Leaver CS","2021","Unknown","Security","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","11470","9510","28720","26890"
"Leaver CS","2021","Veterinarian","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Commercial","330","250","38870","36500"
"Leaver CS","2022","Commercial","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Project Delivery","30","30","[c]","[c]"
"Leaver CS","2022","Commercial","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Communications","320","270","39030","36660"
"Leaver CS","2022","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Counter Fraud","270","210","28860","27570"
"Leaver CS","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Digital, Data & Technology","1190","1100","40260","37100"
"Leaver CS","2022","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Digital, Data and Technology","Unknown","130","130","51480","45290"
"Leaver CS","2022","Economics","Analysis","160","150","36270","32350"
"Leaver CS","2022","Economics","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Finance","440","360","40140","35310"
"Leaver CS","2022","Finance","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","180","170","36060","33300"
"Leaver CS","2022","Geography","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Geography","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","530","470","36330","32730"
"Leaver CS","2022","Human Resources","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","No function","120","110","64820","70500"
"Leaver CS","2022","Inspector of Education and Training","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Security","60","60","34880","33300"
"Leaver CS","2022","Intelligence Analysis","Unknown","70","60","28140","27370"
"Leaver CS","2022","Internal Audit","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","60","50","[c]","[c]"
"Leaver CS","2022","Internal Audit","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","No function","100","100","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","No function","370","330","34710","29960"
"Leaver CS","2022","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","490","440","56680","55000"
"Leaver CS","2022","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","No function","160","130","88710","95140"
"Leaver CS","2022","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","280","240","42000","37280"
"Leaver CS","2022","Operational Delivery","Analysis","40","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Counter Fraud","50","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Grants Management","160","140","24210","21300"
"Leaver CS","2022","Operational Delivery","Human Resources","70","70","28960","27570"
"Leaver CS","2022","Operational Delivery","Legal","190","170","24590","23720"
"Leaver CS","2022","Operational Delivery","No function","19300","17270","28440","26900"
"Leaver CS","2022","Operational Delivery","Project Delivery","80","70","35950","32360"
"Leaver CS","2022","Operational Delivery","Property","140","120","22180","22010"
"Leaver CS","2022","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Unknown","1490","1220","28170","25310"
"Leaver CS","2022","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Analysis","30","30","[c]","[c]"
"Leaver CS","2022","Other","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Debt","210","170","22370","21260"
"Leaver CS","2022","Other","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Legal","40","40","[c]","[c]"
"Leaver CS","2022","Other","No function","720","670","33790","27570"
"Leaver CS","2022","Other","Project Delivery","180","170","29070","24130"
"Leaver CS","2022","Other","Property","40","30","[c]","[c]"
"Leaver CS","2022","Other","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Unknown","1640","1550","28110","22330"
"Leaver CS","2022","Planning","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Analysis","30","30","[c]","[c]"
"Leaver CS","2022","Policy","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","No function","1200","990","44590","40050"
"Leaver CS","2022","Policy","Project Delivery","80","70","[c]","[c]"
"Leaver CS","2022","Policy","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Unknown","270","250","47040","41570"
"Leaver CS","2022","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","No function","50","50","40280","38750"
"Leaver CS","2022","Project Delivery","Project Delivery","620","580","41010","38550"
"Leaver CS","2022","Project Delivery","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Unknown","80","70","45960","41300"
"Leaver CS","2022","Property","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Property","410","370","35250","33300"
"Leaver CS","2022","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","No function","110","100","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Analysis","50","40","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","No function","900","830","38980","37190"
"Leaver CS","2022","Science and Engineering","Project Delivery","240","230","36060","33520"
"Leaver CS","2022","Science and Engineering","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Unknown","220","200","34740","29200"
"Leaver CS","2022","Security","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Security","Property","[c]","[c]","[c]","[c]"
