"Status","Year","Region_ITL1","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Tax","130","120","31420","31810"
"In post","2021","East Midlands (England)","Asian","Unknown","630","550","24820","26840"
"In post","2021","East Midlands (England)","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Operational Delivery","250","230","25270","22850"
"In post","2021","East Midlands (England)","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Unknown","160","150","25560","27570"
"In post","2021","East Midlands (England)","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Operational Delivery","160","140","27120","24440"
"In post","2021","East Midlands (England)","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Unknown","100","90","26450","27570"
"In post","2021","East Midlands (England)","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Operational Delivery","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Operational Delivery","380","350","27670","26700"
"In post","2021","East Midlands (England)","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Other","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Science and Engineering","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Tax","70","60","36260","31940"
"In post","2021","East Midlands (England)","Undeclared","Unknown","210","190","25820","27570"
"In post","2021","East Midlands (England)","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Digital, Data and Technology","50","50","36540","31830"
"In post","2021","East Midlands (England)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Human Resources","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Legal","70","60","36710","31810"
"In post","2021","East Midlands (England)","Unknown","Medicine","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Operational Delivery","1340","1250","24710","22920"
"In post","2021","East Midlands (England)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Other","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Property","100","90","29700","25930"
"In post","2021","East Midlands (England)","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Science and Engineering","50","50","43180","40980"
"In post","2021","East Midlands (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Tax","420","400","26670","25560"
"In post","2021","East Midlands (England)","Unknown","Unknown","420","390","28110","27570"
"In post","2021","East Midlands (England)","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","Commercial","110","110","45010","43130"
"In post","2021","East Midlands (England)","White","Communications","80","80","37230","36530"
"In post","2021","East Midlands (England)","White","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","Digital, Data and Technology","190","190","36900","34110"
"In post","2021","East Midlands (England)","White","Finance","150","140","35120","31810"
"In post","2021","East Midlands (England)","White","Human Resources","290","270","38290","33840"
"In post","2021","East Midlands (England)","White","Inspector of Education and Training","70","60","64450","64500"
"In post","2021","East Midlands (England)","White","Intelligence Analysis","100","100","29710","27380"
"In post","2021","East Midlands (England)","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","Knowledge and Information Management","60","50","35530","33350"
"In post","2021","East Midlands (England)","White","Legal","340","310","43440","43310"
"In post","2021","East Midlands (England)","White","Medicine","130","120","42770","37890"
"In post","2021","East Midlands (England)","White","Operational Delivery","7200","6660","28020","25830"
"In post","2021","East Midlands (England)","White","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","Other","740","710","25050","21130"
"In post","2021","East Midlands (England)","White","Planning","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","Policy","190","180","41610","37100"
"In post","2021","East Midlands (England)","White","Project Delivery","300","290","39410","37300"
"In post","2021","East Midlands (England)","White","Property","330","310","34920","33250"
"In post","2021","East Midlands (England)","White","Psychology","150","150","35070","30450"
"In post","2021","East Midlands (England)","White","Science and Engineering","420","400","38950","37160"
"In post","2021","East Midlands (England)","White","Security","130","120","28880","25680"
"In post","2021","East Midlands (England)","White","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","White","Tax","730","680","36640","31810"
"In post","2021","East Midlands (England)","White","Unknown","3330","2950","26620","27570"
"In post","2021","East Midlands (England)","White","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Operational Delivery","510","450","26550","24440"
"In post","2021","East of England","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Project Delivery","30","30","[c]","[c]"
"In post","2021","East of England","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Science and Engineering","40","40","[c]","[c]"
"In post","2021","East of England","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Asian","Unknown","360","320","28050","27570"
"In post","2021","East of England","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Operational Delivery","220","210","27920","27260"
"In post","2021","East of England","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Black","Unknown","250","240","28330","29290"
"In post","2021","East of England","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Operational Delivery","170","160","27160","26890"
"In post","2021","East of England","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Tax","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Unknown","130","130","29060","28920"
"In post","2021","East of England","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
