"Status","Year","Responsibility_level","Sexual_orientation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","G6/G7","Unknown","Unknown","7830","7570","58730","56340"
"In post","2021","SCS","Heterosexual / straight","Declared disabled","330","320","89780","82150"
"In post","2021","SCS","Heterosexual / straight","Declared non-disabled","4170","4030","89960","82280"
"In post","2021","SCS","Heterosexual / straight","Undeclared","120","110","88350","81790"
"In post","2021","SCS","Heterosexual / straight","Unknown","290","280","95380","87830"
"In post","2021","SCS","LGBO","Declared disabled","50","50","[c]","[c]"
"In post","2021","SCS","LGBO","Declared non-disabled","260","250","87190","80020"
"In post","2021","SCS","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Declared disabled","30","30","[c]","[c]"
"In post","2021","SCS","Undeclared","Declared non-disabled","280","260","90070","82200"
"In post","2021","SCS","Undeclared","Undeclared","130","120","87560","81490"
"In post","2021","SCS","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","SCS","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Declared non-disabled","330","320","92950","85190"
"In post","2021","SCS","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","SCS","Unknown","Unknown","1180","1150","92350","80590"
"In post","2021","SEO/HEO","Heterosexual / straight","Declared disabled","8860","8430","36660","35630"
"In post","2021","SEO/HEO","Heterosexual / straight","Declared non-disabled","68940","66200","36830","36030"
"In post","2021","SEO/HEO","Heterosexual / straight","Undeclared","3040","2940","37360","36520"
"In post","2021","SEO/HEO","Heterosexual / straight","Unknown","6200","5970","37960","37520"
"In post","2021","SEO/HEO","LGBO","Declared disabled","1060","1030","35550","34490"
"In post","2021","SEO/HEO","LGBO","Declared non-disabled","3460","3400","36360","35370"
"In post","2021","SEO/HEO","LGBO","Undeclared","290","280","35580","34080"
"In post","2021","SEO/HEO","LGBO","Unknown","370","360","36300","36030"
"In post","2021","SEO/HEO","Undeclared","Declared disabled","1160","1100","37050","36150"
"In post","2021","SEO/HEO","Undeclared","Declared non-disabled","6160","5870","37530","36650"
"In post","2021","SEO/HEO","Undeclared","Undeclared","3480","3320","37250","36460"
"In post","2021","SEO/HEO","Undeclared","Unknown","1240","1180","38010","37410"
"In post","2021","SEO/HEO","Unknown","Declared disabled","730","680","36640","35900"
"In post","2021","SEO/HEO","Unknown","Declared non-disabled","7640","7210","37140","36230"
"In post","2021","SEO/HEO","Unknown","Undeclared","1000","960","38520","37320"
"In post","2021","SEO/HEO","Unknown","Unknown","15440","15000","35520","34460"
"In post","2021","Unknown","Heterosexual / straight","Declared disabled","2020","1880","31220","30210"
"In post","2021","Unknown","Heterosexual / straight","Declared non-disabled","9060","8480","31820","30210"
"In post","2021","Unknown","Heterosexual / straight","Undeclared","350","330","31810","30210"
"In post","2021","Unknown","Heterosexual / straight","Unknown","190","180","38740","34420"
"In post","2021","Unknown","LGBO","Declared disabled","190","180","29460","28200"
"In post","2021","Unknown","LGBO","Declared non-disabled","410","400","29630","27540"
"In post","2021","Unknown","LGBO","Undeclared","50","40","[c]","[c]"
"In post","2021","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Declared disabled","230","220","33810","33360"
"In post","2021","Unknown","Undeclared","Declared non-disabled","650","600","34560","34100"
"In post","2021","Unknown","Undeclared","Undeclared","310","290","34880","33700"
"In post","2021","Unknown","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2021","Unknown","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Declared non-disabled","390","350","33630","34340"
"In post","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2630","2560","34300","32690"
"In post","2022","AA/AO","Heterosexual / straight","Declared disabled","11440","10050","22410","21260"
"In post","2022","AA/AO","Heterosexual / straight","Declared non-disabled","66480","60470","22890","21380"
"In post","2022","AA/AO","Heterosexual / straight","Undeclared","4120","3720","23950","21680"
"In post","2022","AA/AO","Heterosexual / straight","Unknown","4340","3960","23330","22080"
"In post","2022","AA/AO","LGBO","Declared disabled","1210","1150","22820","21260"
"In post","2022","AA/AO","LGBO","Declared non-disabled","3560","3420","23150","21300"
"In post","2022","AA/AO","LGBO","Undeclared","320","310","24100","21300"
"In post","2022","AA/AO","LGBO","Unknown","300","290","23410","22080"
"In post","2022","AA/AO","Undeclared","Declared disabled","1720","1480","22270","21260"
"In post","2022","AA/AO","Undeclared","Declared non-disabled","6320","5530","22580","21380"
"In post","2022","AA/AO","Undeclared","Undeclared","2610","2370","23930","21840"
"In post","2022","AA/AO","Undeclared","Unknown","490","450","23650","22080"
"In post","2022","AA/AO","Unknown","Declared disabled","1350","1130","22480","21260"
"In post","2022","AA/AO","Unknown","Declared non-disabled","10540","8840","22540","21260"
"In post","2022","AA/AO","Unknown","Undeclared","1740","1490","27000","26560"
"In post","2022","AA/AO","Unknown","Unknown","20610","19150","22850","21650"
"In post","2022","EO","Heterosexual / straight","Declared disabled","12090","10960","27920","27570"
"In post","2022","EO","Heterosexual / straight","Declared non-disabled","67580","63000","27770","27570"
"In post","2022","EO","Heterosexual / straight","Undeclared","3240","3040","28360","27570"
"In post","2022","EO","Heterosexual / straight","Unknown","5430","5210","29670","28650"
"In post","2022","EO","LGBO","Declared disabled","1330","1280","27800","27570"
"In post","2022","EO","LGBO","Declared non-disabled","3510","3410","27690","27570"
"In post","2022","EO","LGBO","Undeclared","300","290","28020","27570"
"In post","2022","EO","LGBO","Unknown","390","380","28950","27500"
"In post","2022","EO","Undeclared","Declared disabled","1680","1510","28000","27570"
"In post","2022","EO","Undeclared","Declared non-disabled","6360","5790","27970","27570"
"In post","2022","EO","Undeclared","Undeclared","2500","2340","28500","27570"
"In post","2022","EO","Undeclared","Unknown","720","690","28570","27270"
"In post","2022","EO","Unknown","Declared disabled","1170","1030","28780","27570"
"In post","2022","EO","Unknown","Declared non-disabled","9800","8580","28070","27570"
"In post","2022","EO","Unknown","Undeclared","830","760","29940","27570"
"In post","2022","EO","Unknown","Unknown","14360","13730","28070","27130"
"In post","2022","G6/G7","Heterosexual / straight","Declared disabled","4000","3850","58610","56170"
"In post","2022","G6/G7","Heterosexual / straight","Declared non-disabled","38070","36730","59210","57400"
"In post","2022","G6/G7","Heterosexual / straight","Undeclared","1220","1190","58980","57110"
"In post","2022","G6/G7","Heterosexual / straight","Unknown","3730","3610","58460","55240"
"In post","2022","G6/G7","LGBO","Declared disabled","590","570","57880","55260"
"In post","2022","G6/G7","LGBO","Declared non-disabled","2360","2320","58660","56340"
"In post","2022","G6/G7","LGBO","Undeclared","130","130","58700","55420"
"In post","2022","G6/G7","LGBO","Unknown","250","250","57570","54700"
"In post","2022","G6/G7","Undeclared","Declared disabled","520","500","59350","57430"
"In post","2022","G6/G7","Undeclared","Declared non-disabled","3050","2930","59750","57680"
"In post","2022","G6/G7","Undeclared","Undeclared","1470","1430","59940","57540"
"In post","2022","G6/G7","Undeclared","Unknown","1060","1010","58510","54780"
"In post","2022","G6/G7","Unknown","Declared disabled","280","260","58270","56500"
"In post","2022","G6/G7","Unknown","Declared non-disabled","4240","4000","57370","56160"
"In post","2022","G6/G7","Unknown","Undeclared","140","140","62110","60040"
"In post","2022","G6/G7","Unknown","Unknown","8360","8130","59960","57430"
"In post","2022","SCS","Heterosexual / straight","Declared disabled","380","370","89830","80870"
"In post","2022","SCS","Heterosexual / straight","Declared non-disabled","4280","4140","89480","82040"
"In post","2022","SCS","Heterosexual / straight","Undeclared","110","110","88250","80250"
"In post","2022","SCS","Heterosexual / straight","Unknown","340","340","95930","89520"
"In post","2022","SCS","LGBO","Declared disabled","60","60","85990","77410"
"In post","2022","SCS","LGBO","Declared non-disabled","280","270","86800","79410"
"In post","2022","SCS","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Undeclared","Declared disabled","40","40","[c]","[c]"
"In post","2022","SCS","Undeclared","Declared non-disabled","270","260","88920","81930"
"In post","2022","SCS","Undeclared","Undeclared","120","120","84570","80930"
"In post","2022","SCS","Undeclared","Unknown","140","130","94980","92360"
"In post","2022","SCS","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Declared non-disabled","260","250","93390","83660"
"In post","2022","SCS","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Unknown","Unknown","890","860","97490","89300"
"In post","2022","SEO/HEO","Heterosexual / straight","Declared disabled","9880","9410","37040","36000"
"In post","2022","SEO/HEO","Heterosexual / straight","Declared non-disabled","76530","73640","37250","36340"
"In post","2022","SEO/HEO","Heterosexual / straight","Undeclared","3360","3240","37650","36690"
"In post","2022","SEO/HEO","Heterosexual / straight","Unknown","7110","6860","38150","37930"
"In post","2022","SEO/HEO","LGBO","Declared disabled","1370","1330","36040","34860"
"In post","2022","SEO/HEO","LGBO","Declared non-disabled","4200","4130","36700","35740"
"In post","2022","SEO/HEO","LGBO","Undeclared","310","310","36690","35310"
"In post","2022","SEO/HEO","LGBO","Unknown","520","510","36690","36500"
"In post","2022","SEO/HEO","Undeclared","Declared disabled","1300","1240","37130","35980"
"In post","2022","SEO/HEO","Undeclared","Declared non-disabled","6550","6250","37890","37290"
"In post","2022","SEO/HEO","Undeclared","Undeclared","3510","3370","37850","37230"
"In post","2022","SEO/HEO","Undeclared","Unknown","1460","1410","37290","36820"
"In post","2022","SEO/HEO","Unknown","Declared disabled","670","620","37010","36410"
"In post","2022","SEO/HEO","Unknown","Declared non-disabled","7150","6780","36830","36500"
"In post","2022","SEO/HEO","Unknown","Undeclared","520","490","39620","38160"
"In post","2022","SEO/HEO","Unknown","Unknown","17100","16660","36320","35050"
"In post","2022","Unknown","Heterosexual / straight","Declared disabled","2860","2660","31210","28690"
"In post","2022","Unknown","Heterosexual / straight","Declared non-disabled","11690","10950","31610","28880"
"In post","2022","Unknown","Heterosexual / straight","Undeclared","520","480","32140","28690"
"In post","2022","Unknown","Heterosexual / straight","Unknown","440","420","32350","28200"
"In post","2022","Unknown","LGBO","Declared disabled","320","310","30100","27980"
"In post","2022","Unknown","LGBO","Declared non-disabled","640","620","29840","26810"
"In post","2022","Unknown","LGBO","Undeclared","60","60","28970","28090"
"In post","2022","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","Declared disabled","290","270","32610","32600"
"In post","2022","Unknown","Undeclared","Declared non-disabled","690","640","33950","32710"
"In post","2022","Unknown","Undeclared","Undeclared","320","300","34810","33700"
"In post","2022","Unknown","Undeclared","Unknown","80","70","[c]","[c]"
"In post","2022","Unknown","Unknown","Declared disabled","50","50","33790","34340"
"In post","2022","Unknown","Unknown","Declared non-disabled","320","290","33130","34340"
"In post","2022","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Unknown","5140","4810","31340","28680"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Declared disabled","700","590","21020","21010"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Declared non-disabled","4010","3600","21310","21010"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Undeclared","250","220","21640","21010"
"Leaver CS","2021","AA/AO","Heterosexual / straight","Unknown","250","220","21620","20920"
"Leaver CS","2021","AA/AO","LGBO","Declared disabled","80","80","20950","21010"
"Leaver CS","2021","AA/AO","LGBO","Declared non-disabled","230","220","21020","21010"
"Leaver CS","2021","AA/AO","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA/AO","Undeclared","Declared disabled","110","90","21260","21010"
"Leaver CS","2021","AA/AO","Undeclared","Declared non-disabled","390","320","21160","21010"
"Leaver CS","2021","AA/AO","Undeclared","Undeclared","170","150","22240","21010"
"Leaver CS","2021","AA/AO","Undeclared","Unknown","90","80","22220","20850"
"Leaver CS","2021","AA/AO","Unknown","Declared disabled","380","290","21780","20810"
"Leaver CS","2021","AA/AO","Unknown","Declared non-disabled","1890","1480","21210","21010"
"Leaver CS","2021","AA/AO","Unknown","Undeclared","370","290","21420","21010"
"Leaver CS","2021","AA/AO","Unknown","Unknown","2970","2690","21000","21010"
"Leaver CS","2021","EO","Heterosexual / straight","Declared disabled","440","370","27570","27570"
"Leaver CS","2021","EO","Heterosexual / straight","Declared non-disabled","1990","1770","27210","27570"
"Leaver CS","2021","EO","Heterosexual / straight","Undeclared","110","90","26870","27470"
"Leaver CS","2021","EO","Heterosexual / straight","Unknown","140","130","28520","27650"
"Leaver CS","2021","EO","LGBO","Declared disabled","50","50","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Declared non-disabled","100","90","26940","27520"
"Leaver CS","2021","EO","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Undeclared","Declared disabled","90","70","27680","27570"
"Leaver CS","2021","EO","Undeclared","Declared non-disabled","240","200","27680","27370"
"Leaver CS","2021","EO","Undeclared","Undeclared","90","80","28320","27460"
"Leaver CS","2021","EO","Undeclared","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Declared disabled","230","180","28570","27570"
"Leaver CS","2021","EO","Unknown","Declared non-disabled","1170","930","27650","27570"
"Leaver CS","2021","EO","Unknown","Undeclared","140","120","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Unknown","1340","1190","27130","27570"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Declared disabled","100","90","61730","57390"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Declared non-disabled","950","870","60460","58800"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Heterosexual / straight","Unknown","100","90","61350","56500"
"Leaver CS","2021","G6/G7","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Declared non-disabled","50","50","[c]","[c]"
"Leaver CS","2021","G6/G7","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Declared non-disabled","130","110","63110","60320"
"Leaver CS","2021","G6/G7","Undeclared","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Declared non-disabled","390","330","60940","58040"
"Leaver CS","2021","G6/G7","Unknown","Undeclared","60","60","[c]","[c]"
"Leaver CS","2021","G6/G7","Unknown","Unknown","520","450","60170","57870"
"Leaver CS","2021","SCS","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Declared non-disabled","200","180","97420","93000"
"Leaver CS","2021","SCS","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Declared non-disabled","60","40","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS","Unknown","Unknown","110","90","95790","87400"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Declared disabled","300","270","36700","35430"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Declared non-disabled","1930","1760","37220","36460"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Undeclared","120","110","36810","36500"
"Leaver CS","2021","SEO/HEO","Heterosexual / straight","Unknown","240","230","38180","38430"
"Leaver CS","2021","SEO/HEO","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","LGBO","Declared non-disabled","90","90","37040","36790"
"Leaver CS","2021","SEO/HEO","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Declared disabled","50","50","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Undeclared","Declared non-disabled","240","220","38370","37000"
"Leaver CS","2021","SEO/HEO","Undeclared","Undeclared","120","110","38910","38000"
"Leaver CS","2021","SEO/HEO","Undeclared","Unknown","60","50","39170","39230"
"Leaver CS","2021","SEO/HEO","Unknown","Declared disabled","170","140","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Declared non-disabled","970","830","38350","36610"
"Leaver CS","2021","SEO/HEO","Unknown","Undeclared","160","150","34360","34530"
"Leaver CS","2021","SEO/HEO","Unknown","Unknown","1050","950","35920","35600"
"Leaver CS","2021","Unknown","Heterosexual / straight","Declared disabled","120","100","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Declared non-disabled","380","330","38960","36490"
"Leaver CS","2021","Unknown","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Declared non-disabled","30","20","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","610","570","34680","32100"
"Leaver CS","2022","AA/AO","Heterosexual / straight","Declared disabled","1140","990","21480","21260"
"Leaver CS","2022","AA/AO","Heterosexual / straight","Declared non-disabled","6900","6270","21680","21260"
"Leaver CS","2022","AA/AO","Heterosexual / straight","Undeclared","410","350","21520","21260"
"Leaver CS","2022","AA/AO","Heterosexual / straight","Unknown","440","390","23600","21840"
"Leaver CS","2022","AA/AO","LGBO","Declared disabled","160","160","21640","21260"
"Leaver CS","2022","AA/AO","LGBO","Declared non-disabled","480","460","21310","21260"
"Leaver CS","2022","AA/AO","LGBO","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Undeclared","Declared disabled","160","130","21620","21260"
"Leaver CS","2022","AA/AO","Undeclared","Declared non-disabled","600","500","21610","21260"
"Leaver CS","2022","AA/AO","Undeclared","Undeclared","220","200","22880","21260"
"Leaver CS","2022","AA/AO","Undeclared","Unknown","80","70","23370","21250"
"Leaver CS","2022","AA/AO","Unknown","Declared disabled","340","250","22130","21260"
"Leaver CS","2022","AA/AO","Unknown","Declared non-disabled","2030","1630","21600","21260"
"Leaver CS","2022","AA/AO","Unknown","Undeclared","310","240","[c]","[c]"
"Leaver CS","2022","AA/AO","Unknown","Unknown","4060","3750","21720","21260"
"Leaver CS","2022","EO","Heterosexual / straight","Declared disabled","850","720","27670","27570"
"Leaver CS","2022","EO","Heterosexual / straight","Declared non-disabled","4710","4260","27750","27570"
"Leaver CS","2022","EO","Heterosexual / straight","Undeclared","230","210","27510","27570"
"Leaver CS","2022","EO","Heterosexual / straight","Unknown","340","300","29270","28500"
"Leaver CS","2022","EO","LGBO","Declared disabled","140","130","27420","27570"
"Leaver CS","2022","EO","LGBO","Declared non-disabled","320","310","27680","27570"
"Leaver CS","2022","EO","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","EO","Undeclared","Declared disabled","140","110","27880","27570"
"Leaver CS","2022","EO","Undeclared","Declared non-disabled","500","410","27750","27570"
"Leaver CS","2022","EO","Undeclared","Undeclared","150","130","28100","27570"
"Leaver CS","2022","EO","Undeclared","Unknown","130","60","28500","27400"
"Leaver CS","2022","EO","Unknown","Declared disabled","150","120","28890","27570"
"Leaver CS","2022","EO","Unknown","Declared non-disabled","1070","840","27730","27570"
"Leaver CS","2022","EO","Unknown","Undeclared","100","80","[c]","[c]"
"Leaver CS","2022","EO","Unknown","Unknown","1720","1610","27350","27570"
"Leaver CS","2022","G6/G7","Heterosexual / straight","Declared disabled","180","170","59070","56950"
"Leaver CS","2022","G6/G7","Heterosexual / straight","Declared non-disabled","1940","1790","60260","58460"
"Leaver CS","2022","G6/G7","Heterosexual / straight","Undeclared","60","60","[c]","[c]"
"Leaver CS","2022","G6/G7","Heterosexual / straight","Unknown","220","190","59080","55000"
"Leaver CS","2022","G6/G7","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","LGBO","Declared non-disabled","110","110","60590","57480"
"Leaver CS","2022","G6/G7","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Declared non-disabled","180","170","60690","57590"
"Leaver CS","2022","G6/G7","Undeclared","Undeclared","80","80","59520","57130"
"Leaver CS","2022","G6/G7","Undeclared","Unknown","160","60","58640","56950"
"Leaver CS","2022","G6/G7","Unknown","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Declared non-disabled","450","380","58640","58280"
"Leaver CS","2022","G6/G7","Unknown","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Unknown","740","680","60800","57580"
"Leaver CS","2022","SCS","Heterosexual / straight","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Declared non-disabled","340","310","95710","93740"
"Leaver CS","2022","SCS","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Unknown","50","30","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
