"Status","Year","Parent_department","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Counter Fraud","70","70","45980","40270"
"In post","2021","Attorney General's Departments","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Legal","630","590","59470","58390"
"In post","2021","Attorney General's Departments","Unknown","Operational Delivery","330","300","25460","24590"
"In post","2021","Attorney General's Departments","Unknown","Other","60","50","33790","29150"
"In post","2021","Attorney General's Departments","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Communications","60","60","43110","39750"
"In post","2021","Attorney General's Departments","White","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Counter Fraud","160","160","46170","40330"
"In post","2021","Attorney General's Departments","White","Digital, Data and Technology","130","120","42090","38540"
"In post","2021","Attorney General's Departments","White","Finance","100","90","36850","31560"
"In post","2021","Attorney General's Departments","White","Human Resources","160","150","41740","38180"
"In post","2021","Attorney General's Departments","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Legal","3560","3300","56970","55610"
"In post","2021","Attorney General's Departments","White","Operational Delivery","2100","1930","27660","25820"
"In post","2021","Attorney General's Departments","White","Other","220","210","34470","27710"
"In post","2021","Attorney General's Departments","White","Policy","60","50","52990","54760"
"In post","2021","Attorney General's Departments","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Property","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Unknown","470","460","45910","40600"
"In post","2021","Cabinet Office","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Unknown","250","250","41960","35590"
"In post","2021","Cabinet Office","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Unknown","190","180","47420","40600"
"In post","2021","Cabinet Office","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Unknown","70","70","46760","39080"
"In post","2021","Cabinet Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Unknown","230","230","47580","42330"
"In post","2021","Cabinet Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","4010","3960","45080","32750"
"In post","2021","Cabinet Office","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","White","Unknown","4110","4000","48550","42030"
"In post","2021","Chancellor's other departments","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Other","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Other","180","170","70700","64990"
"In post","2021","Chancellor's other departments","White","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
