"Status","Year","Region_ITL1","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East of England","Ministry of Defence","Female","1700","1610","29870","26670"
"In post","2021","East of England","Ministry of Defence","Male","2110","2070","33190","33000"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","Female","40","40","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","Male","30","30","[c]","[c]"
"In post","2021","East of England","Ministry of Justice","Female","3410","3110","27320","24550"
"In post","2021","East of England","Ministry of Justice","Male","3120","3010","30280","30400"
"In post","2021","East of England","National Crime Agency","Female","70","60","34870","34140"
"In post","2021","East of England","National Crime Agency","Male","80","70","41710","40210"
"In post","2021","East of England","Office for Standards in Education","Female","70","70","58660","51360"
"In post","2021","East of England","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","Female","80","70","34840","34800"
"In post","2021","East of England","Other Cabinet Office Agencies","Male","90","90","35510","32960"
"In post","2021","London","Attorney General's Departments","Female","2930","2700","49500","51250"
"In post","2021","London","Attorney General's Departments","Male","1750","1710","50830","51250"
"In post","2021","London","Cabinet Office","Female","3450","3380","47090","40600"
"In post","2021","London","Cabinet Office","Male","3050","3030","52820","54700"
"In post","2021","London","Chancellor's other departments","Female","160","150","53920","47940"
"In post","2021","London","Chancellor's other departments","Male","200","200","63760","52280"
"In post","2021","London","Charity Commission","Female","50","50","[c]","[c]"
"In post","2021","London","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","London","Competition and Markets Authority","Female","400","380","58800","56000"
"In post","2021","London","Competition and Markets Authority","Male","390","380","62910","59170"
"In post","2021","London","Department for Business, Energy and Industrial Strategy","Female","2740","2640","47180","43130"
"In post","2021","London","Department for Business, Energy and Industrial Strategy","Male","2880","2850","49900","53380"
"In post","2021","London","Department for Digital, Culture, Media and Sport","Female","920","890","48550","51730"
"In post","2021","London","Department for Digital, Culture, Media and Sport","Male","790","790","50460","51730"
"In post","2021","London","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Department for Education","Female","1610","1530","49430","53420"
"In post","2021","London","Department for Education","Male","1020","1010","51630","53420"
"In post","2021","London","Department for Environment, Food and Rural Affairs","Female","1400","1340","44630","39420"
"In post","2021","London","Department for Environment, Food and Rural Affairs","Male","1190","1180","45280","39910"
"In post","2021","London","Department for International Trade","Female","1130","1120","44160","38540"
"In post","2021","London","Department for International Trade","Male","1180","1180","46260","39790"
"In post","2021","London","Department for Transport","Female","1420","1370","46450","42890"
"In post","2021","London","Department for Transport","Male","2020","1980","46710","42890"
"In post","2021","London","Department for Work and Pensions","Female","6520","5950","33050","31060"
"In post","2021","London","Department for Work and Pensions","Male","3670","3580","35240","31060"
"In post","2021","London","Department of Health and Social Care","Female","4100","3850","46400","40650"
"In post","2021","London","Department of Health and Social Care","Male","2320","2250","50830","46000"
"In post","2021","London","Food Standards Agency","Female","230","220","43240","40960"
"In post","2021","London","Food Standards Agency","Male","240","240","41820","40350"
"In post","2021","London","Foreign, Commonwealth and Development Office","Female","2240","2160","47810","41880"
"In post","2021","London","Foreign, Commonwealth and Development Office","Male","2020","2000","51070","48570"
"In post","2021","London","HM Land Registry","Female","200","190","39500","37290"
"In post","2021","London","HM Land Registry","Male","170","170","43690","37290"
"In post","2021","London","HM Revenue and Customs","Female","4270","3980","41690","36160"
"In post","2021","London","HM Revenue and Customs","Male","4450","4310","44580","39800"
"In post","2021","London","HM Treasury","Female","1100","1060","47060","43340"
"In post","2021","London","HM Treasury","Male","1230","1220","50580","52500"
"In post","2021","London","Home Office","Female","7160","6620","38680","35070"
"In post","2021","London","Home Office","Male","6170","5980","41100","35200"
"In post","2021","London","Ministry of Defence","Female","1550","1500","41010","37640"
"In post","2021","London","Ministry of Defence","Male","2350","2320","41490","37920"
"In post","2021","London","Ministry of Housing, Communities and Local Government","Female","920","890","48080","53130"
"In post","2021","London","Ministry of Housing, Communities and Local Government","Male","950","950","48490","53130"
"In post","2021","London","Ministry of Justice","Female","8440","8010","34690","30850"
"In post","2021","London","Ministry of Justice","Male","6170","6050","37290","33710"
"In post","2021","London","National Crime Agency","Female","750","720","41790","39840"
"In post","2021","London","National Crime Agency","Male","900","890","45600","43630"
"In post","2021","London","Northern Ireland Office","Female","40","40","[c]","[c]"
"In post","2021","London","Northern Ireland Office","Male","40","40","[c]","[c]"
"In post","2021","London","Office for Standards in Education","Female","300","290","55970","51360"
"In post","2021","London","Office for Standards in Education","Male","150","150","58650","51360"
"In post","2021","London","Office of Gas and Electricity Markets","Female","300","290","49510","46160"
"In post","2021","London","Office of Gas and Electricity Markets","Male","370","370","52470","48040"
"In post","2021","London","Office of Rail and Road","Female","90","90","50940","49580"
"In post","2021","London","Office of Rail and Road","Male","120","120","58950","57110"
"In post","2021","London","Other Cabinet Office Agencies","Female","60","60","48500","43400"
"In post","2021","London","Other Cabinet Office Agencies","Male","90","90","52010","49700"
"In post","2021","London","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","London","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","London","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","London","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","London","The National Archives","Female","290","270","35110","32290"
"In post","2021","London","The National Archives","Male","250","250","36130","34260"
"In post","2021","London","UK Export Finance","Female","150","150","49040","43000"
"In post","2021","London","UK Export Finance","Male","250","240","56280","50530"
"In post","2021","London","UK Supreme Court","Female","30","30","[c]","[c]"
"In post","2021","London","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","London","United Kingdom Statistics Authority","Female","200","200","40650","32540"
"In post","2021","London","United Kingdom Statistics Authority","Male","160","160","45000","37050"
"In post","2021","London","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","London","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","London","Water Services Regulation Authority","Female","40","40","[c]","[c]"
"In post","2021","London","Water Services Regulation Authority","Male","40","40","[c]","[c]"
"In post","2021","London","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","London","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Attorney General's Departments","Female","230","200","36330","28430"
"In post","2021","North East (England)","Attorney General's Departments","Male","110","110","41530","48080"
"In post","2021","North East (England)","Cabinet Office","Female","250","230","28400","24570"
"In post","2021","North East (England)","Cabinet Office","Male","160","160","31040","23850"
"In post","2021","North East (England)","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Business, Energy and Industrial Strategy","Female","130","120","30320","29190"
"In post","2021","North East (England)","Department for Business, Energy and Industrial Strategy","Male","80","80","34280","30950"
"In post","2021","North East (England)","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Education","Female","490","450","36960","36500"
"In post","2021","North East (England)","Department for Education","Male","300","300","40230","37100"
"In post","2021","North East (England)","Department for Environment, Food and Rural Affairs","Female","290","260","31300","29180"
"In post","2021","North East (England)","Department for Environment, Food and Rural Affairs","Male","250","250","32910","29230"
"In post","2021","North East (England)","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Department for Transport","Female","170","140","25730","21590"
"In post","2021","North East (England)","Department for Transport","Male","200","190","29260","26780"
"In post","2021","North East (England)","Department for Work and Pensions","Female","6070","5140","26420","27570"
"In post","2021","North East (England)","Department for Work and Pensions","Male","3550","3390","28590","27570"
"In post","2021","North East (England)","Department of Health and Social Care","Female","110","100","43190","38890"
"In post","2021","North East (England)","Department of Health and Social Care","Male","30","30","[c]","[c]"
"In post","2021","North East (England)","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","HM Land Registry","Female","460","410","27810","27130"
"In post","2021","North East (England)","HM Land Registry","Male","250","230","29410","27130"
"In post","2021","North East (England)","HM Revenue and Customs","Female","6560","5530","26510","21440"
"In post","2021","North East (England)","HM Revenue and Customs","Male","4720","4500","29190","25560"
"In post","2021","North East (England)","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Home Office","Female","750","620","24730","21430"
"In post","2021","North East (England)","Home Office","Male","550","510","25880","24880"
"In post","2021","North East (England)","Ministry of Defence","Female","100","90","23600","21580"
"In post","2021","North East (England)","Ministry of Defence","Male","120","120","24560","20720"
"In post","2021","North East (England)","Ministry of Housing, Communities and Local Government","Female","30","30","[c]","[c]"
"In post","2021","North East (England)","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Ministry of Justice","Female","2350","2120","27270","23970"
"In post","2021","North East (England)","Ministry of Justice","Male","2100","1990","29470","28200"
"In post","2021","North East (England)","National Crime Agency","Female","40","40","[c]","[c]"
"In post","2021","North East (England)","National Crime Agency","Male","70","70","37000","36410"
"In post","2021","North East (England)","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Attorney General's Departments","Female","650","590","37850","30610"
"In post","2021","North West (England)","Attorney General's Departments","Male","320","310","43070","48080"
"In post","2021","North West (England)","Cabinet Office","Female","250","240","45240","38890"
"In post","2021","North West (England)","Cabinet Office","Male","210","200","48710","49700"
"In post","2021","North West (England)","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Charity Commission","Female","180","160","32560","29160"
"In post","2021","North West (England)","Charity Commission","Male","130","130","33070","29160"
"In post","2021","North West (England)","Department for Business, Energy and Industrial Strategy","Female","260","240","31880","30950"
"In post","2021","North West (England)","Department for Business, Energy and Industrial Strategy","Male","200","200","33880","33720"
"In post","2021","North West (England)","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Education","Female","630","610","40340","36780"
"In post","2021","North West (England)","Department for Education","Male","520","510","40370","36780"
"In post","2021","North West (England)","Department for Environment, Food and Rural Affairs","Female","900","790","27880","24920"
"In post","2021","North West (England)","Department for Environment, Food and Rural Affairs","Male","540","520","30180","25190"
"In post","2021","North West (England)","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Department for Transport","Female","120","110","27430","26700"
"In post","2021","North West (England)","Department for Transport","Male","340","320","29650","26780"
"In post","2021","North West (England)","Department for Work and Pensions","Female","11820","10240","26800","27570"
"In post","2021","North West (England)","Department for Work and Pensions","Male","6800","6550","28830","27570"
"In post","2021","North West (England)","Department of Health and Social Care","Female","390","350","36730","31370"
"In post","2021","North West (England)","Department of Health and Social Care","Male","190","190","38510","29370"
"In post","2021","North West (England)","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Food Standards Agency","Male","40","40","[c]","[c]"
"In post","2021","North West (England)","HM Land Registry","Female","560","490","29310","27130"
"In post","2021","North West (England)","HM Land Registry","Male","340","320","29520","27130"
"In post","2021","North West (England)","HM Revenue and Customs","Female","6750","5990","29610","25560"
"In post","2021","North West (England)","HM Revenue and Customs","Male","6140","5910","30820","26060"
"In post","2021","North West (England)","HM Treasury","Female","30","30","[c]","[c]"
"In post","2021","North West (England)","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Home Office","Female","3990","3570","26370","24890"
"In post","2021","North West (England)","Home Office","Male","3180","3080","27910","25040"
"In post","2021","North West (England)","Ministry of Defence","Female","910","830","27440","23470"
"In post","2021","North West (England)","Ministry of Defence","Male","970","950","31070","26670"
"In post","2021","North West (England)","Ministry of Housing, Communities and Local Government","Female","80","80","34860","31950"
"In post","2021","North West (England)","Ministry of Housing, Communities and Local Government","Male","60","60","38570","36340"
"In post","2021","North West (England)","Ministry of Justice","Female","5410","4940","27290","23840"
"In post","2021","North West (England)","Ministry of Justice","Male","4150","3930","29440","27380"
"In post","2021","North West (England)","National Crime Agency","Female","620","600","34710","32770"
"In post","2021","North West (England)","National Crime Agency","Male","660","650","37790","36410"
"In post","2021","North West (England)","Office for Standards in Education","Female","320","300","39450","32010"
"In post","2021","North West (England)","Office for Standards in Education","Male","180","180","40000","32010"
"In post","2021","North West (England)","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Other Cabinet Office Agencies","Female","230","220","36510","34800"
"In post","2021","North West (England)","Other Cabinet Office Agencies","Male","180","180","41040","35420"
"In post","2021","Northern Ireland","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Transport","Male","30","30","[c]","[c]"
"In post","2021","Northern Ireland","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Food Standards Agency","Female","60","50","38740","37910"
"In post","2021","Northern Ireland","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","HM Revenue and Customs","Female","1020","910","28110","25560"
"In post","2021","Northern Ireland","HM Revenue and Customs","Male","980","950","28920","25560"
"In post","2021","Northern Ireland","Home Office","Female","270","230","25320","24890"
"In post","2021","Northern Ireland","Home Office","Male","270","260","25430","24880"
"In post","2021","Northern Ireland","Ministry of Defence","Female","280","260","26110","22330"
"In post","2021","Northern Ireland","Ministry of Defence","Male","640","630","23510","20310"
"In post","2021","Northern Ireland","National Crime Agency","Female","60","50","39180","39480"
"In post","2021","Northern Ireland","National Crime Agency","Male","60","60","40580","36740"
"In post","2021","Northern Ireland","Northern Ireland Office","Female","50","50","36720","34990"
"In post","2021","Northern Ireland","Northern Ireland Office","Male","30","30","[c]","[c]"
"In post","2021","Overseas","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Department for International Trade","Female","40","40","[c]","[c]"
"In post","2021","Overseas","Department for International Trade","Male","110","110","57190","53750"
"In post","2021","Overseas","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Foreign, Commonwealth and Development Office","Female","940","940","52310","53470"
"In post","2021","Overseas","Foreign, Commonwealth and Development Office","Male","1340","1340","51830","53030"
"In post","2021","Overseas","Home Office","Female","130","130","[c]","[c]"
"In post","2021","Overseas","Home Office","Male","200","200","28500","27370"
"In post","2021","Overseas","Ministry of Defence","Female","340","340","41410","40580"
"In post","2021","Overseas","Ministry of Defence","Male","450","450","43330","40580"
"In post","2021","Overseas","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","National Crime Agency","Male","110","110","67570","64330"
"In post","2021","Overseas","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Cabinet Office","Female","40","40","[c]","[c]"
"In post","2021","Scotland","Cabinet Office","Male","40","40","[c]","[c]"
"In post","2021","Scotland","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Competition and Markets Authority","Female","30","30","[c]","[c]"
"In post","2021","Scotland","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for Business, Energy and Industrial Strategy","Female","200","190","33350","29850"
"In post","2021","Scotland","Department for Business, Energy and Industrial Strategy","Male","200","190","37050","33860"
"In post","2021","Scotland","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for Environment, Food and Rural Affairs","Female","100","90","30790","26580"
"In post","2021","Scotland","Department for Environment, Food and Rural Affairs","Male","60","50","35040","31410"
"In post","2021","Scotland","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department for Transport","Female","120","110","29330","26780"
"In post","2021","Scotland","Department for Transport","Male","340","330","32710","27680"
"In post","2021","Scotland","Department for Work and Pensions","Female","6060","5170","25430","27570"
"In post","2021","Scotland","Department for Work and Pensions","Male","2980","2830","27380","27570"
"In post","2021","Scotland","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Foreign, Commonwealth and Development Office","Female","550","520","39850","33930"
"In post","2021","Scotland","Foreign, Commonwealth and Development Office","Male","420","410","41510","38500"
"In post","2021","Scotland","HM Revenue and Customs","Female","4320","3720","26320","21440"
"In post","2021","Scotland","HM Revenue and Customs","Male","3450","3290","28000","25560"
"In post","2021","Scotland","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Home Office","Female","550","490","26920","25040"
"In post","2021","Scotland","Home Office","Male","490","470","27380","25040"
"In post","2021","Scotland","Ministry of Defence","Female","1440","1350","27260","22080"
"In post","2021","Scotland","Ministry of Defence","Male","2670","2610","30780","26670"
"In post","2021","Scotland","Ministry of Justice","Female","320","290","24650","21490"
"In post","2021","Scotland","Ministry of Justice","Male","250","240","26050","22570"
"In post","2021","Scotland","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","National Crime Agency","Male","40","40","[c]","[c]"
"In post","2021","Scotland","Office of Gas and Electricity Markets","Female","240","240","34900","31720"
"In post","2021","Scotland","Office of Gas and Electricity Markets","Male","270","270","37700","32480"
"In post","2021","Scotland","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Scotland Office","Female","50","50","47490","48930"
"In post","2021","Scotland","Scotland Office","Male","30","30","[c]","[c]"
"In post","2021","Scotland","Scottish Government","Female","11550","10730","36160","30650"
"In post","2021","Scotland","Scottish Government","Male","10650","10270","36960","33650"
"In post","2021","Scotland","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Attorney General's Departments","Female","470","430","40860","33930"
"In post","2021","South East (England)","Attorney General's Departments","Male","220","210","45120","50520"
"In post","2021","South East (England)","Cabinet Office","Female","110","100","39030","33300"
"In post","2021","South East (England)","Cabinet Office","Male","110","110","46100","34640"
"In post","2021","South East (England)","Department for Business, Energy and Industrial Strategy","Female","140","130","33110","34390"
"In post","2021","South East (England)","Department for Business, Energy and Industrial Strategy","Male","100","100","37380","36730"
"In post","2021","South East (England)","Department for Environment, Food and Rural Affairs","Female","760","710","33760","29700"
"In post","2021","South East (England)","Department for Environment, Food and Rural Affairs","Male","610","600","38360","33880"
"In post","2021","South East (England)","Department for International Trade","Female","50","50","47890","51970"
"In post","2021","South East (England)","Department for International Trade","Male","70","70","45680","38540"
"In post","2021","South East (England)","Department for Transport","Female","530","490","33120","30730"
"In post","2021","South East (England)","Department for Transport","Male","960","920","37920","31680"
"In post","2021","South East (England)","Department for Work and Pensions","Female","4550","3970","27500","27570"
"In post","2021","South East (England)","Department for Work and Pensions","Male","2210","2130","27770","27570"
"In post","2021","South East (England)","Department of Health and Social Care","Female","360","310","44310","39380"
"In post","2021","South East (England)","Department of Health and Social Care","Male","170","160","50260","42380"
"In post","2021","South East (England)","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
