"Status","Year","Region_ITL1","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Medicine","White","130","120","42770","37890"
"In post","2021","East Midlands (England)","Operational Delivery","Asian","730","660","24900","22180"
"In post","2021","East Midlands (England)","Operational Delivery","Black","250","230","25270","22850"
"In post","2021","East Midlands (England)","Operational Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Mixed","160","140","27120","24440"
"In post","2021","East Midlands (England)","Operational Delivery","Other ethnicity","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Delivery","Undeclared","380","350","27670","26700"
"In post","2021","East Midlands (England)","Operational Delivery","Unknown","1340","1250","24710","22920"
"In post","2021","East Midlands (England)","Operational Delivery","White","7200","6660","28020","25830"
"In post","2021","East Midlands (England)","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Operational Research","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Undeclared","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Other","Unknown","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Other","White","740","710","25050","21130"
"In post","2021","East Midlands (England)","Planning","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Planning","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Policy","White","190","180","41610","37100"
"In post","2021","East Midlands (England)","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","White","300","290","39410","37300"
"In post","2021","East Midlands (England)","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Unknown","100","90","29700","25930"
"In post","2021","East Midlands (England)","Property","White","330","310","34920","33250"
"In post","2021","East Midlands (England)","Psychology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Psychology","White","150","150","35070","30450"
"In post","2021","East Midlands (England)","Science and Engineering","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Undeclared","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Science and Engineering","Unknown","50","50","43180","40980"
"In post","2021","East Midlands (England)","Science and Engineering","White","420","400","38950","37160"
"In post","2021","East Midlands (England)","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","White","130","120","28880","25680"
"In post","2021","East Midlands (England)","Social Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Social Research","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Statistics","White","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Asian","130","120","31420","31810"
"In post","2021","East Midlands (England)","Tax","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Tax","Undeclared","70","60","36260","31940"
"In post","2021","East Midlands (England)","Tax","Unknown","420","400","26670","25560"
"In post","2021","East Midlands (England)","Tax","White","730","680","36640","31810"
"In post","2021","East Midlands (England)","Unknown","Asian","630","550","24820","26840"
"In post","2021","East Midlands (England)","Unknown","Black","160","150","25560","27570"
"In post","2021","East Midlands (England)","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Mixed","100","90","26450","27570"
"In post","2021","East Midlands (England)","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Undeclared","210","190","25820","27570"
"In post","2021","East Midlands (England)","Unknown","Unknown","420","390","28110","27570"
"In post","2021","East Midlands (England)","Unknown","White","3330","2950","26620","27570"
"In post","2021","East Midlands (England)","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Veterinarian","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","White","210","200","39240","35900"
"In post","2021","East of England","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","White","70","70","34180","31450"
"In post","2021","East of England","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Undeclared","30","30","[c]","[c]"
"In post","2021","East of England","Digital, Data and Technology","Unknown","80","80","33560","31810"
"In post","2021","East of England","Digital, Data and Technology","White","350","330","36940","34820"
"In post","2021","East of England","Economics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Economics","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Unknown","40","40","[c]","[c]"
"In post","2021","East of England","Finance","White","290","270","38100","35000"
"In post","2021","East of England","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","White","160","150","34980","31910"
"In post","2021","East of England","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Inspector of Education and Training","White","80","80","64630","64500"
"In post","2021","East of England","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Undeclared","40","40","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Intelligence Analysis","White","350","340","32460","33300"
"In post","2021","East of England","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Knowledge and Information Management","White","130","120","35900","33300"
"In post","2021","East of England","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Unknown","110","100","33340","26270"
"In post","2021","East of England","Legal","White","470","430","39770","35320"
"In post","2021","East of England","Medicine","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Medicine","White","110","90","53660","37890"
"In post","2021","East of England","Operational Delivery","Asian","510","450","26550","24440"
"In post","2021","East of England","Operational Delivery","Black","220","210","27920","27260"
"In post","2021","East of England","Operational Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Mixed","170","160","27160","26890"
"In post","2021","East of England","Operational Delivery","Other ethnicity","50","50","[c]","[c]"
"In post","2021","East of England","Operational Delivery","Undeclared","440","400","29500","27370"
"In post","2021","East of England","Operational Delivery","Unknown","1090","1040","26060","24880"
