"Status","Year","Responsibility_level","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Legal","480","440","28050","28430"
"In post","2021","EO","Unknown","No function","7950","7420","28530","27380"
"In post","2021","EO","Unknown","Project Delivery","660","620","25030","25560"
"In post","2021","EO","Unknown","Property","550","520","28180","26670"
"In post","2021","EO","Unknown","Security","170","170","29020","26670"
"In post","2021","EO","Unknown","Unknown","12440","11070","28040","27570"
"In post","2021","G6/G7","Heterosexual / straight","Analysis","1620","1550","58520","56520"
"In post","2021","G6/G7","Heterosexual / straight","Commercial","790","770","61450","59720"
"In post","2021","G6/G7","Heterosexual / straight","Communications","670","640","58130","56130"
"In post","2021","G6/G7","Heterosexual / straight","Counter Fraud","750","720","57380","55010"
"In post","2021","G6/G7","Heterosexual / straight","Debt","30","30","[c]","[c]"
"In post","2021","G6/G7","Heterosexual / straight","Digital, Data & Technology","2210","2160","57610","55320"
"In post","2021","G6/G7","Heterosexual / straight","Finance","1500","1460","58550","57540"
"In post","2021","G6/G7","Heterosexual / straight","Grants Management","30","30","[c]","[c]"
"In post","2021","G6/G7","Heterosexual / straight","Human Resources","1470","1420","57900","56240"
"In post","2021","G6/G7","Heterosexual / straight","Internal Audit","170","160","58560","56610"
"In post","2021","G6/G7","Heterosexual / straight","Legal","3920","3630","58750","57000"
"In post","2021","G6/G7","Heterosexual / straight","No function","14030","13560","58430","55560"
"In post","2021","G6/G7","Heterosexual / straight","Project Delivery","5120","4990","57430","55620"
"In post","2021","G6/G7","Heterosexual / straight","Property","910","890","57570","55610"
"In post","2021","G6/G7","Heterosexual / straight","Security","250","250","60210","57640"
"In post","2021","G6/G7","Heterosexual / straight","Unknown","8530","8210","60810","59750"
"In post","2021","G6/G7","LGBO","Analysis","120","110","58700","57990"
"In post","2021","G6/G7","LGBO","Commercial","30","30","[c]","[c]"
"In post","2021","G6/G7","LGBO","Communications","60","60","58600","57200"
"In post","2021","G6/G7","LGBO","Counter Fraud","40","40","[c]","[c]"
"In post","2021","G6/G7","LGBO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Digital, Data & Technology","160","160","58290","56300"
"In post","2021","G6/G7","LGBO","Finance","60","60","57660","56010"
"In post","2021","G6/G7","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Human Resources","120","120","57410","55740"
"In post","2021","G6/G7","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Legal","240","230","60070","58040"
"In post","2021","G6/G7","LGBO","No function","1140","1120","58050","54700"
"In post","2021","G6/G7","LGBO","Project Delivery","280","270","57900","55860"
"In post","2021","G6/G7","LGBO","Property","30","30","[c]","[c]"
"In post","2021","G6/G7","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","LGBO","Unknown","480","460","59840","57880"
"In post","2021","G6/G7","Undeclared","Analysis","180","170","60530","58130"
"In post","2021","G6/G7","Undeclared","Commercial","80","80","65010","61730"
"In post","2021","G6/G7","Undeclared","Communications","60","60","56760","55070"
"In post","2021","G6/G7","Undeclared","Counter Fraud","150","140","58240","57130"
"In post","2021","G6/G7","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Digital, Data & Technology","300","290","58340","56340"
"In post","2021","G6/G7","Undeclared","Finance","190","180","59650","58700"
"In post","2021","G6/G7","Undeclared","Human Resources","110","100","59200","58240"
"In post","2021","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Legal","390","370","60530","60220"
"In post","2021","G6/G7","Undeclared","No function","1890","1820","58680","55810"
"In post","2021","G6/G7","Undeclared","Project Delivery","660","640","58270","56240"
"In post","2021","G6/G7","Undeclared","Property","130","130","57910","56150"
"In post","2021","G6/G7","Undeclared","Security","50","50","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Unknown","1110","1080","61630","60830"
"In post","2021","G6/G7","Unknown","Analysis","500","480","57190","54650"
"In post","2021","G6/G7","Unknown","Commercial","830","820","61190","55420"
"In post","2021","G6/G7","Unknown","Communications","280","270","58000","55430"
"In post","2021","G6/G7","Unknown","Counter Fraud","160","150","57230","55610"
"In post","2021","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Digital, Data & Technology","1010","980","56470","53620"
"In post","2021","G6/G7","Unknown","Finance","320","310","58650","56440"
"In post","2021","G6/G7","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Human Resources","200","200","56570","54800"
"In post","2021","G6/G7","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Legal","1480","1340","61010","59930"
"In post","2021","G6/G7","Unknown","No function","4020","3890","57800","55110"
"In post","2021","G6/G7","Unknown","Project Delivery","1310","1280","56600","55060"
"In post","2021","G6/G7","Unknown","Property","180","180","57400","55760"
"In post","2021","G6/G7","Unknown","Security","70","70","60280","55420"
"In post","2021","G6/G7","Unknown","Unknown","1920","1820","60640","59730"
"In post","2021","SCS","Heterosexual / straight","Analysis","120","110","86210","78490"
"In post","2021","SCS","Heterosexual / straight","Commercial","150","150","106440","96970"
"In post","2021","SCS","Heterosexual / straight","Communications","80","80","89250","82070"
"In post","2021","SCS","Heterosexual / straight","Counter Fraud","30","30","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Digital, Data & Technology","180","180","91260","83450"
"In post","2021","SCS","Heterosexual / straight","Finance","220","210","91230","84380"
"In post","2021","SCS","Heterosexual / straight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Human Resources","180","170","90110","83680"
"In post","2021","SCS","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Legal","290","280","90000","83370"
"In post","2021","SCS","Heterosexual / straight","No function","2090","1990","88780","79930"
"In post","2021","SCS","Heterosexual / straight","Project Delivery","510","500","91930","84580"
"In post","2021","SCS","Heterosexual / straight","Property","70","70","89960","82380"
"In post","2021","SCS","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Heterosexual / straight","Unknown","940","920","90440","83230"
"In post","2021","SCS","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Legal","30","30","[c]","[c]"
"In post","2021","SCS","LGBO","No function","160","150","87950","78840"
"In post","2021","SCS","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","LGBO","Unknown","60","60","85700","79950"
"In post","2021","SCS","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Legal","40","40","[c]","[c]"
"In post","2021","SCS","Undeclared","No function","200","180","91180","82560"
"In post","2021","SCS","Undeclared","Project Delivery","60","60","89850","81690"
"In post","2021","SCS","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Unknown","100","90","86310","82200"
"In post","2021","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Commercial","420","410","87860","72000"
"In post","2021","SCS","Unknown","Communications","40","40","[c]","[c]"
"In post","2021","SCS","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Digital, Data & Technology","50","50","93250","87860"
"In post","2021","SCS","Unknown","Finance","30","30","[c]","[c]"
"In post","2021","SCS","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Legal","100","100","86810","81010"
"In post","2021","SCS","Unknown","No function","510","490","97950","90000"
"In post","2021","SCS","Unknown","Project Delivery","90","90","91330","83230"
"In post","2021","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Unknown","240","230","91200","84710"
"In post","2021","SEO/HEO","Heterosexual / straight","Analysis","2390","2310","36120","36030"
"In post","2021","SEO/HEO","Heterosexual / straight","Commercial","2120","2060","38390","37690"
"In post","2021","SEO/HEO","Heterosexual / straight","Communications","2060","2010","35800","34550"
"In post","2021","SEO/HEO","Heterosexual / straight","Counter Fraud","2660","2520","35160","34010"
"In post","2021","SEO/HEO","Heterosexual / straight","Debt","180","170","34290","32100"
"In post","2021","SEO/HEO","Heterosexual / straight","Digital, Data & Technology","3880","3770","37310","36820"
"In post","2021","SEO/HEO","Heterosexual / straight","Finance","2680","2580","37500","36970"
"In post","2021","SEO/HEO","Heterosexual / straight","Grants Management","190","180","32810","31090"
"In post","2021","SEO/HEO","Heterosexual / straight","Human Resources","2880","2760","36520","36010"
"In post","2021","SEO/HEO","Heterosexual / straight","Internal Audit","350","340","40670","40580"
"In post","2021","SEO/HEO","Heterosexual / straight","Legal","2120","1990","38730","38000"
"In post","2021","SEO/HEO","Heterosexual / straight","No function","28980","27760","37000","36160"
"In post","2021","SEO/HEO","Heterosexual / straight","Project Delivery","9940","9610","36210","36160"
"In post","2021","SEO/HEO","Heterosexual / straight","Property","2550","2450","37140","36400"
"In post","2021","SEO/HEO","Heterosexual / straight","Security","1040","1020","39650","36620"
"In post","2021","SEO/HEO","Heterosexual / straight","Unknown","23030","22030","36960","35370"
"In post","2021","SEO/HEO","LGBO","Analysis","240","240","35470","34710"
"In post","2021","SEO/HEO","LGBO","Commercial","80","80","37060","36410"
"In post","2021","SEO/HEO","LGBO","Communications","170","170","36390","34710"
"In post","2021","SEO/HEO","LGBO","Counter Fraud","120","120","34630","32480"
"In post","2021","SEO/HEO","LGBO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","LGBO","Digital, Data & Technology","240","230","36340","36480"
"In post","2021","SEO/HEO","LGBO","Finance","110","100","36090","36160"
"In post","2021","SEO/HEO","LGBO","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","LGBO","Human Resources","190","190","35840","34700"
"In post","2021","SEO/HEO","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","LGBO","Legal","120","120","38040","37540"
"In post","2021","SEO/HEO","LGBO","No function","2080","2040","36140","34860"
"In post","2021","SEO/HEO","LGBO","Project Delivery","430","420","35340","35000"
"In post","2021","SEO/HEO","LGBO","Property","90","90","36120","36230"
"In post","2021","SEO/HEO","LGBO","Security","50","50","[c]","[c]"
"In post","2021","SEO/HEO","LGBO","Unknown","1220","1190","36310","35200"
"In post","2021","SEO/HEO","Undeclared","Analysis","250","240","36610","36160"
"In post","2021","SEO/HEO","Undeclared","Commercial","300","290","38430","38280"
"In post","2021","SEO/HEO","Undeclared","Communications","210","200","36190","35000"
"In post","2021","SEO/HEO","Undeclared","Counter Fraud","430","410","35450","35000"
"In post","2021","SEO/HEO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Digital, Data & Technology","630","610","37780","38150"
"In post","2021","SEO/HEO","Undeclared","Finance","360","350","38100","37640"
"In post","2021","SEO/HEO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Human Resources","250","240","37050","35900"
"In post","2021","SEO/HEO","Undeclared","Internal Audit","50","50","41150","40580"
"In post","2021","SEO/HEO","Undeclared","Legal","510","470","39440","38350"
"In post","2021","SEO/HEO","Undeclared","No function","3930","3740","37410","36480"
"In post","2021","SEO/HEO","Undeclared","Project Delivery","1450","1380","37050","37360"
"In post","2021","SEO/HEO","Undeclared","Property","390","370","37790","36500"
"In post","2021","SEO/HEO","Undeclared","Security","200","200","40640","37640"
"In post","2021","SEO/HEO","Undeclared","Unknown","3030","2910","37310","36570"
"In post","2021","SEO/HEO","Unknown","Analysis","830","800","34970","35840"
"In post","2021","SEO/HEO","Unknown","Commercial","530","510","37600","38000"
"In post","2021","SEO/HEO","Unknown","Communications","860","840","35430","32810"
"In post","2021","SEO/HEO","Unknown","Counter Fraud","1010","960","35280","34500"
"In post","2021","SEO/HEO","Unknown","Debt","50","40","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Digital, Data & Technology","2080","2020","37040","37100"
"In post","2021","SEO/HEO","Unknown","Finance","680","660","36440","36160"
"In post","2021","SEO/HEO","Unknown","Grants Management","120","110","32520","31040"
"In post","2021","SEO/HEO","Unknown","Human Resources","530","510","35550","35000"
"In post","2021","SEO/HEO","Unknown","Internal Audit","40","30","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Legal","570","540","37040","36160"
"In post","2021","SEO/HEO","Unknown","No function","10260","9870","35490","33980"
"In post","2021","SEO/HEO","Unknown","Project Delivery","1940","1870","36730","37420"
"In post","2021","SEO/HEO","Unknown","Property","590","570","37760","37400"
"In post","2021","SEO/HEO","Unknown","Security","290","280","37780","35320"
"In post","2021","SEO/HEO","Unknown","Unknown","4440","4230","37200","35310"
"In post","2021","Unknown","Heterosexual / straight","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Commercial","180","170","40250","38260"
"In post","2021","Unknown","Heterosexual / straight","Digital, Data & Technology","80","80","38290","38110"
"In post","2021","Unknown","Heterosexual / straight","Finance","50","40","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Human Resources","190","180","37950","32710"
"In post","2021","Unknown","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","No function","9530","8820","30040","30210"
"In post","2021","Unknown","Heterosexual / straight","Project Delivery","1050","1030","42270","40290"
"In post","2021","Unknown","Heterosexual / straight","Property","30","30","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Security","40","40","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Unknown","470","470","38410","35530"
"In post","2021","Unknown","LGBO","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","No function","580","550","29140","26810"
"In post","2021","Unknown","LGBO","Project Delivery","30","30","[c]","[c]"
"In post","2021","Unknown","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Commercial","30","30","[c]","[c]"
"In post","2021","Unknown","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","No function","900","830","31800","32090"
"In post","2021","Unknown","Undeclared","Project Delivery","160","160","46100","44350"
"In post","2021","Unknown","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Unknown","80","80","[c]","[c]"
"In post","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","1000","890","27010","24020"
"In post","2021","Unknown","Unknown","Project Delivery","110","110","39480","36450"
"In post","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","1900","1900","37560","34460"
"In post","2022","AA/AO","Heterosexual / straight","Analysis","170","160","21860","21260"
"In post","2022","AA/AO","Heterosexual / straight","Commercial","150","140","22470","21830"
"In post","2022","AA/AO","Heterosexual / straight","Communications","300","270","21840","21250"
"In post","2022","AA/AO","Heterosexual / straight","Counter Fraud","1690","1490","22330","21260"
"In post","2022","AA/AO","Heterosexual / straight","Debt","2960","2580","21580","21260"
"In post","2022","AA/AO","Heterosexual / straight","Digital, Data & Technology","650","630","21970","21380"
"In post","2022","AA/AO","Heterosexual / straight","Finance","960","820","21730","21260"
"In post","2022","AA/AO","Heterosexual / straight","Grants Management","490","430","21280","21300"
"In post","2022","AA/AO","Heterosexual / straight","Human Resources","1160","1050","21730","21260"
"In post","2022","AA/AO","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
