"Status","Year","Sexual_orientation","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Department of Health and Social Care (excl. agencies)","60","60","50140","40650"
"In post","2021","Heterosexual / straight","Commercial","Driver and Vehicle Licensing Agency","110","100","34050","31040"
"In post","2021","Heterosexual / straight","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","FCDO Services","70","70","46830","41170"
"In post","2021","Heterosexual / straight","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","39940","39630"
"In post","2021","Heterosexual / straight","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Health and Safety Executive","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","HM Prison and Probation Service","540","520","49660","48560"
"In post","2021","Heterosexual / straight","Commercial","HM Revenue and Customs (excl. agencies)","80","70","37070","33860"
"In post","2021","Heterosexual / straight","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Legal Aid Agency","130","130","38810","39680"
"In post","2021","Heterosexual / straight","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Ministry of Defence (excl. agencies)","1180","1140","34860","33300"
"In post","2021","Heterosexual / straight","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Ministry of Justice (excl. agencies)","160","150","33900","34090"
"In post","2021","Heterosexual / straight","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Public Health England","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Scottish Prison Service","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Submarine Delivery Agency","110","110","41060","39860"
"In post","2021","Heterosexual / straight","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","UK Export Finance","160","150","53920","50180"
"In post","2021","Heterosexual / straight","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Cabinet Office (excl. agencies)","190","180","47440","42210"
"In post","2021","Heterosexual / straight","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Crown Prosecution Service","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Defence Equipment and Support","230","220","26940","22450"
"In post","2021","Heterosexual / straight","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","60","50230","45270"
"In post","2021","Heterosexual / straight","Communications","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department for Education (excl. agencies)","150","140","38270","33640"
"In post","2021","Heterosexual / straight","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","180","170","41010","37360"
"In post","2021","Heterosexual / straight","Communications","Department for International Trade","50","50","42980","38540"
"In post","2021","Heterosexual / straight","Communications","Department for Transport (excl. agencies)","70","60","46990","43360"
"In post","2021","Heterosexual / straight","Communications","Department of Health and Social Care (excl. agencies)","80","70","42010","36070"
"In post","2021","Heterosexual / straight","Communications","Driver and Vehicle Licensing Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Driver and Vehicle Standards Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Education and Skills Funding Agency","60","60","43860","39840"
"In post","2021","Heterosexual / straight","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","49480","45840"
"In post","2021","Heterosexual / straight","Communications","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Revenue and Customs (excl. agencies)","2200","2100","30000","25560"
"In post","2021","Heterosexual / straight","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Ministry of Defence (excl. agencies)","390","370","34140","33300"
"In post","2021","Heterosexual / straight","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","70","60","40020","34080"
"In post","2021","Heterosexual / straight","Communications","Ministry of Justice (excl. agencies)","80","80","44120","39870"
"In post","2021","Heterosexual / straight","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Public Health England","50","50","48130","42310"
"In post","2021","Heterosexual / straight","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Rural Payments Agency","60","50","31030","26520"
"In post","2021","Heterosexual / straight","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","United Kingdom Statistics Authority","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Cabinet Office (excl. agencies)","70","70","48510","50730"
"In post","2021","Heterosexual / straight","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Food Standards Agency","50","50","38850","37320"
"In post","2021","Heterosexual / straight","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","HM Revenue and Customs (excl. agencies)","5360","5040","33700","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Insolvency Service","140","130","39590","39170"
"In post","2021","Heterosexual / straight","Counter Fraud","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Serious Fraud Office","160","160","45980","40000"
"In post","2021","Heterosexual / straight","Counter Fraud","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","HM Revenue and Customs (excl. agencies)","2150","1920","24010","21440"
"In post","2021","Heterosexual / straight","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Cabinet Office (excl. agencies)","660","650","51890","54700"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Companies House","170","170","39590","38000"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Competition and Markets Authority","60","60","56130","51270"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Crown Commercial Service","80","80","42190","38600"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Crown Prosecution Service","90","90","39380","38180"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","110","110","46360","40050"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Education (excl. agencies)","270","260","39020","36500"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","480","460","44580","47550"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for International Trade","60","60","45420","43000"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department for Transport (excl. agencies)","80","80","42050","40280"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","70","70","44590","37500"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Driver and Vehicle Licensing Agency","470","460","40600","38930"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Driver and Vehicle Standards Agency","120","120","38530","35040"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Education and Skills Funding Agency","130","130","39700","36780"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","FCDO Services","100","100","45580","41690"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Food Standards Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","130","130","39720","33930"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","HM Courts and Tribunals Service","140","140","36930","31780"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","HM Land Registry","380","350","39360","38450"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","1520","1460","39800","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Maritime and Coastguard Agency","80","80","39040","34540"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Ministry of Defence (excl. agencies)","530","510","32240","29200"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","80","70","47080","43270"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Ministry of Justice (excl. agencies)","540","530","46910","45000"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","National Crime Agency","200","190","41180","38490"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","60","60","46380","39850"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Planning Inspectorate","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Public Health England","60","60","43580","41630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Registers of Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Serious Fraud Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","The National Archives","60","50","38650","36110"
