"Status","Year","Organisation","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Companies House","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","No function","390","330","25170","22490"
"In post","2021","Companies House","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Digital, Data & Technology","180","180","39770","38000"
"In post","2021","Companies House","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","No function","240","230","26310","22490"
"In post","2021","Companies House","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Analysis","60","50","57500","56360"
"In post","2021","Competition and Markets Authority","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Legal","90","80","67170","71370"
"In post","2021","Competition and Markets Authority","Female","Project Delivery","200","190","58920","55860"
"In post","2021","Competition and Markets Authority","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Analysis","80","80","62080","56630"
"In post","2021","Competition and Markets Authority","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Legal","80","70","71290","72430"
"In post","2021","Competition and Markets Authority","Male","Project Delivery","170","170","63200","59360"
"In post","2021","Competition and Markets Authority","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Female","No function","160","140","25820","22570"
"In post","2021","Criminal Injuries Compensation Authority","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Male","No function","130","130","25130","22710"
"In post","2021","Crown Commercial Service","Female","Commercial","190","180","33620","33340"
"In post","2021","Crown Commercial Service","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","No function","100","100","39290","36740"
"In post","2021","Crown Commercial Service","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Commercial","180","180","34510","34800"
"In post","2021","Crown Commercial Service","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Digital, Data & Technology","80","70","40390","35470"
"In post","2021","Crown Commercial Service","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","No function","80","80","41930","35350"
"In post","2021","Crown Commercial Service","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Legal","430","390","54110","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","No function","980","890","26370","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Legal","170","170","55850","55850"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","No function","330","320","28300","25410"
"In post","2021","Crown Office and Procurator Fiscal Service","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Communications","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Digital, Data & Technology","60","60","38250","38180"
"In post","2021","Crown Prosecution Service","Female","Finance","50","50","30600","30110"
"In post","2021","Crown Prosecution Service","Female","Human Resources","110","110","41450","38180"
"In post","2021","Crown Prosecution Service","Female","Legal","4170","3760","39610","32490"
"In post","2021","Crown Prosecution Service","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Digital, Data & Technology","60","50","40700","38180"
"In post","2021","Crown Prosecution Service","Male","Finance","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Human Resources","30","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Legal","2070","2020","45060","48080"
"In post","2021","Crown Prosecution Service","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Project Delivery","50","40","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Project Delivery","320","300","27800","28750"
"In post","2021","Defence Electronics and Components Agency","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","Commercial","80","80","40860","35530"
"In post","2021","Defence Equipment and Support","Female","Communications","90","80","30200","27220"
"In post","2021","Defence Equipment and Support","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Female","Finance","230","210","35510","31800"
"In post","2021","Defence Equipment and Support","Female","Human Resources","150","140","37270","32540"
"In post","2021","Defence Equipment and Support","Female","Project Delivery","2870","2690","33700","31600"
"In post","2021","Defence Equipment and Support","Female","Property","100","100","36620","34180"
"In post","2021","Defence Equipment and Support","Female","Unknown","110","100","34290","33380"
"In post","2021","Defence Equipment and Support","Male","Commercial","200","200","45800","42000"
"In post","2021","Defence Equipment and Support","Male","Communications","200","200","25560","21380"
"In post","2021","Defence Equipment and Support","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Male","Finance","200","190","39320","31500"
"In post","2021","Defence Equipment and Support","Male","Human Resources","40","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Male","Project Delivery","6250","6130","37420","35630"
"In post","2021","Defence Equipment and Support","Male","Property","120","120","42630","39340"
"In post","2021","Defence Equipment and Support","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Analysis","140","130","37880","37320"
"In post","2021","Defence Science and Technology Laboratory","Female","Commercial","40","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Finance","40","40","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Human Resources","60","60","34470","28650"
"In post","2021","Defence Science and Technology Laboratory","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","No function","680","640","38640","37320"
"In post","2021","Defence Science and Technology Laboratory","Female","Project Delivery","540","500","37190","37320"
"In post","2021","Defence Science and Technology Laboratory","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Analysis","320","310","41340","39420"
"In post","2021","Defence Science and Technology Laboratory","Male","Commercial","30","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","No function","1910","1870","41260","39550"
"In post","2021","Defence Science and Technology Laboratory","Male","Project Delivery","470","460","45160","46080"
"In post","2021","Defence Science and Technology Laboratory","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Analysis","100","100","42610","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Communications","60","60","50360","47380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Finance","60","60","53480","57870"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Human Resources","80","80","46040","45970"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","No function","2170","2090","47610","44300"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Project Delivery","50","50","51450","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Analysis","190","190","43790","37890"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Communications","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Digital, Data & Technology","90","90","47490","41120"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Finance","60","60","52640","53330"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Human Resources","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","No function","2220","2190","50790","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Project Delivery","60","60","51330","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Analysis","50","50","53780","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Human Resources","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","No function","670","650","47170","47060"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Project Delivery","110","110","46160","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Analysis","90","90","51690","43280"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Counter Fraud","[c]","[c]","[c]","[c]"
