"Status","Year","Region_ITL3","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","Digital, Data & Technology","70","70","38170","36300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","Project Delivery","260","250","43570","43970"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","Property","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Economics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Finance","480","460","38940","34400"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Project Delivery","300","280","42580","39940"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Human Resources","440","400","34270","28860"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","Commercial","60","50","43220","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","Project Delivery","110","110","35160","33080"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","Legal","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Operational Delivery","Human Resources","130","120","34040","32170"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Operational Delivery","No function","980","910","30990","30990"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Operational Delivery","Unknown","190","180","26500","25220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","Commercial","50","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","Finance","110","100","40530","32820"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","Project Delivery","1820","1740","34180","32480"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","Property","60","60","37640","34770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Other","Unknown","230","210","31350","28260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","Project Delivery","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Policy","Unknown","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Commercial","60","60","47530","42850"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Finance","60","50","43570","39920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Project Delivery","2730","2650","40860","39980"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Property","110","110","36800","34890"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Psychology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Science and Engineering","Commercial","60","50","45000","42530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Science and Engineering","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Science and Engineering","Project Delivery","2290","2250","38350","37810"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Science and Engineering","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Science and Engineering","Unknown","210","210","44500","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","Security","120","120","28220","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Statistics","Analysis","60","50","40280","37050"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","520","480","30960","27570"
"In post","2021","Bedford","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Operational Delivery","No function","490","460","30710","29920"
"In post","2021","Bedford","Operational Delivery","Unknown","110","100","28540","26160"
"In post","2021","Bedford","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Policy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Psychology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Unknown","Unknown","170","150","27950","27570"
"In post","2021","Belfast","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Legal","Counter Fraud","150","150","29000","26340"
"In post","2021","Belfast","Legal","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Operational Delivery","Counter Fraud","160","150","29800","28130"
"In post","2021","Belfast","Operational Delivery","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Operational Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Operational Delivery","No function","960","870","25690","21440"
"In post","2021","Belfast","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Operational Delivery","Unknown","410","370","24790","24880"
"In post","2021","Belfast","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Other","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Other","Unknown","50","50","[c]","[c]"
"In post","2021","Belfast","Policy","No function","70","70","41460","37910"
"In post","2021","Belfast","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Project Delivery","Project Delivery","30","30","[c]","[c]"
"In post","2021","Belfast","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Tax","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Tax","Counter Fraud","60","60","38570","38630"
"In post","2021","Belfast","Tax","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Tax","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Tax","No function","550","520","31980","31810"
"In post","2021","Belfast","Tax","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Unknown","No function","110","110","26170","25560"
"In post","2021","Belfast","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Veterinarian","No function","[c]","[c]","[c]","[c]"
